"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0141,"Страховое Акционерное Общество ""Медэкспресс""",52346027.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,51252743.327,1147480,0,0,0,1128630,0,18850,50105263.327,2609918.183,46710234.544,785110.6,1093284.424,1052634.424,109319.417,109319.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809275.848,0,0,809275.848,134039.159,0,0,134039.159,40650,23000,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17650,0,0,0,0,17650,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",15381999908.78529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,11337587904.5113,11337587904.5113,981328398.5435,0,0,0,0,10356259505.9678,0,0,0,0,4044412004.27399,2293846149.46035,233136897.94885,233136897.94885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060709251.5115,205611833.4965,0,1855097418.015,35039688.7765,12224470,12224470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22815218.7765,0,0,0,0,22815218.7765,0,,0,0,0,0,0,0,0,0,0,1715526166.03714,17555323.46519,0,1697970842.57195,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",23242550.68947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,15431407.42034,852435.80051,0,0,0,328820,0,523615.80051,14578971.61983,3360881.03883,1573763.115,9644327.466,7811143.26913,7206024.58618,149380.28895,130485.28895,18895,0,0,0,0,0,123034.50638,0,0,0,0,0,0,0,0,0,0,0,5550834.82442,0,0,5550834.82442,1382774.96643,110802,36314.913,1235658.05343,605118.68295,2000,0,0,2000,0,286,0,0,0,0,0,0,0,451.08025,0,451.08025,566881.6027,431105.5,0,1800,0,133976.1027,35500,,0,0,0,0,0,0,35500,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",82280758.34953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82280758.34953,71583303.38241,0,0,0,0,0,0,0,0,69522422.94096,0,0,0,0,0,0,0,0,0,0,0,2060880.44145,0,39888.44312,2020991.99833,0,0,0,0,8798775.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3835077.26667,3835077.26667,0,4963698.53333,0,0,0,0,4963698.53333,0,,0,0,0,0,0,0,0,0,701679.16712,1197000,0,0,1197000,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",2127591244.8318002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,13644359.6108,1210801.41015,0,0,0,0,0,1210801.41015,12433558.20065,12433558.20065,0,0,1074139184.80482,1066036676.66843,0,0,0,0,0,0,0,0,1045021154.68423,0,0,0,0,0,0,0,0,0,0,0,20731701.18261,0,2196502.39516,18535198.78745,283820.80159,0,0,283820.80159,4725010.32219,0,0,0,0,0,0,0,0,0,0,0,0,0,1199050.5299,0,1199050.5299,3525959.79229,0,0,0,0,3525959.79229,0,,0,0,0,0,0,0,0,0,0,3377497.8142,0,0,3377497.8142,,,,,,,,,0,2315453.8175,2315453.8175,0,0,0,1037492246.59868,0,0,0,0,0,0,1037492246.59868,0,0,0,0,0,0,0,0,0,0,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",1543697.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1188889.582,300,0,0,0,0,0,300,1188589.582,0,0,1188589.582,354808.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127880,,0,0,0,0,0,0,0,127880,0,226928.172,226928.172,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",97751115.92662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,61005815.99453,43220072.71495,20524389.6665,0,0,0,0,22695683.04845,17785743.27958,0,3531656.27958,14254087,36745299.93209,33727594.33767,9862611.67552,9862611.67552,0,0,0,0,0,0,11417224.9883,0,0,0,0,0,0,0,0,0,0,0,10163913.29632,24134.13555,1571116.02478,8568663.13599,2283844.37753,515705.32593,78341,1689798.0516,2803884.21052,11400,11400,0,0,0,200,0,0,0,0,0,0,0,24000,0,24000,2699784.21052,1306138.30685,0,49800,0,1343845.90367,68500,,0,0,0,0,0,0,68500,0,0,213821.3839,202714.8649,0,11106.519,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",242733771.28696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,80374129.65195,80305759.65195,0,0,0,0,0,80305759.65195,68370,0,0,68370,162359641.63501,117894634.5488,0,0,0,0,460212.5,2926225.63,2926225.63,0,3366956.11984,0,0,0,0,0,0,0,0,0,0,0,62056423.57536,0,0,62056423.57536,49084816.7236,0,0,49084816.7236,39231147.08077,0,0,0,0,0,497087.5,36913999.67057,0,36913999.67057,0,0,0,0,302500,0,302500,1517559.9102,0,0,0,0,1517559.9102,0,,0,0,0,0,0,0,0,0,0,5233860.00544,0,5233860.00544,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",4915.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4915.525,0,0,0,0,0,0,0,4915.525,0,0,4915.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",16538117.321010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4546451.66159,126255,0,0,0,0,0,126255,4420196.66159,0,0,4420196.66159,8164165.65942,8122332.65942,1090521.86,1090521.86,0,0,0,0,0,0,3668611.1573,0,0,0,0,0,0,0,0,0,0,0,3299781.64212,0,0,3299781.64212,63418,52660,10737,21,32833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32833,0,0,0,0,32833,0,,0,0,0,0,0,0,0,0,0,9000,0,0,9000,,,,,,,,,0,3827500,3612500,135000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",16304481.51714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4652441.22332,3676152.54062,45961.826,0,0,0,0,3630190.71462,976288.6827,0,148746.09326,827542.58944,11652040.29382,11603280.29382,2214072.525,2214072.525,0,0,0,0,0,0,1239973.08564,7315,0,0,0,0,0,7315,0,0,7315,0,1108097.91191,0,0,1108097.91191,7033821.77127,1631890.05587,3681728.50006,1720203.21534,44160,7200,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36960,0,0,0,0,36960,0,,0,0,0,0,0,0,0,0,0,4600,0,0,4600,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",460197701103.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1938021962.015,952493799.229,502092702.084,549830,0,66682939.612,0,383168327.533,985528162.786,0,593510659.101,392017503.685,3632478341.848,3216088388.927,279561959.87,279561959.87,0,37142538.974,29154704.23,52885700.865,52885700.865,0,691427211.568,641568.032,451602.532,28113.745,0,423488.787,0,189965.5,21316.451,0,168649.049,0,1612063661.313,117480710.086,402760667.19,1091822284.037,513211044.075,489480164.932,22393462.335,1337416.808,361606669.703,9558589.925,9558589.925,0,0,0,6570232.15,251501884.88,251501884.88,0,3858904.78,70000,0,3788904.78,4401066.82,4401066.82,0,85569651.279,16027877.245,0,3233054.694,577101,65731618.34,146339.869,,0,0,0,0,0,0,51000,95339.869,24850926.161,29932357.057,0,0,29932357.057,,,,,,,,,0,289955000,226560000,4835000,7960000,50600000,454337245800,54450528750,0,54450528750,14737950,0,14737950,69621525,267466050,266398875,1067175,398196520425,16884942075,35441304975,29490700725,316379572650,1338371100,0,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",52192500062.5172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,60503391.51614,26590176.02814,0,0,0,0,0,26590176.02814,33913215.488,3785716.588,0,30127498.9,141140219.00106,138808852.9847,21436402.69316,21436402.69316,0,772407.8,0,0,0,0,71350652.31885,0,0,0,0,0,0,0,0,0,0,0,29709799.21383,0,0,29709799.21383,15539590.95886,10324361.83246,0,5215229.1264,1222215.86,292000,292000,0,0,0,0,0,0,0,0,0,0,0,2750,0,2750,822915.86,0,0,0,0,822915.86,104550,,0,0,0,0,0,0,104550,0,0,1109150.15636,0,0,1109150.15636,,,,,,,,,0,12362500,12362500,0,0,0,51978493952,0,0,0,0,0,0,0,0,0,0,51978493952,0,0,51978493952,0,0,0,0
0667,"Общество с ограниченной ответственностью ""Инлайф страхование""",31551009.907330003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,6814685.55324,6635585.55324,0,0,0,0,0,6635585.55324,179100,0,80500,98600,24736324.35409,23560184.35409,0,0,0,0,0,0,0,0,14859251.8583,0,0,0,0,0,0,0,0,0,0,0,167637,0,0,167637,8533295.49579,33273.63508,50603.20048,8449418.66023,1153922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153922,0,0,0,0,1153922,0,,0,0,0,0,0,0,0,0,0,22218,0,0,22218,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",105801.49471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,5080,5080,0,0,0,5080,0,0,0,0,0,0,100721.49471,100721.49471,91330,91330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9391.49471,0,0,9391.49471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",20014012691.53144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,59313472.9947,51749857.4222,0,0,0,0,0,51749857.4222,7563615.5725,0,6912315.5725,651300,1169402330.53674,1076822242.78763,7641262.8975,7641262.8975,0,95533,28000,108860,0,108860,851067314.47192,0,0,0,0,0,0,0,0,0,0,0,141474844.99021,70542761.24291,9554845.27048,61377238.47682,76406427.428,5812160.42635,897709.10831,69696557.89334,48142842.74518,1683345,1683345,0,0,0,25821.6,212348.12,0,212348.12,97525.84594,97525.84594,0,0,827850,274350,553500,45239452.17924,1354559.91383,0,73300,100,43811492.26541,56500,,0,0,0,0,0,0,6500,50000,202167.09424,44235077.90969,39862770.6737,0,4372307.23599,,,,,,,,,0,11115000,6810000,285000,140000,3880000,18774181888,0,0,0,3076096,0,3076096,0,114100224,114100224,0,18657005568,271650816,1848594432,3444983808,13091776512,0,0,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",866520611308.1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2842529238.1527,279849573.78421,4756782.78815,1417091.157,1520000,0,0,272155699.83906,2562679664.36849,1906184367.84194,288468437.001,368026859.52555,7819346119.9535,3702504744.65129,581625663.47662,581625663.47662,0,10493767.00059,10999050.73648,379625361.71219,367866384.7847,11758976.92749,748820793.1616,1310996.99182,620941.129,38638.562,0,582302.567,0,690055.86282,0,0,690055.86282,0,1337932486.99511,0,118840971.53299,1219091515.46212,631696624.57688,337646221.59918,36893510.08534,257156892.89236,3933692002.53468,82576427.535,82576427.535,0,0,0,35968955.851,3623930077.7392,3540523849.65,83406228.0892,1615498.02222,222200,3000,1390298.02222,45402014.8777,0,45402014.8777,144162354.10956,22332430.72705,5185150,6713550,120125.14,109811098.24251,36674.4,,0,0,0,0,0,0,36050,624.4,4029619.48473,179119753.2828,2130306.24731,0,176989447.03549,,,,,,,,,0,297437500,213325000,10212500,5280000,68620000,855561298450,2833600000,1291716800,1541883200,38389950,2430000,35959950,26450550,2425255425,2414379150,10876275,699953531625,46792476900,112157962200,23408552475,517594540050,110515703400,39768367500,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",5676229406969.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3195161483865.95,3194994088281.96,1528818.8,0,0,8546077.37,0,3194984013385.79,167395583.99,125095956.59,97900,42201727.4,2458992076943.52,31991186030.79,51682132.24,51682132.24,0,91850,0,0,0,0,58202626.59,98930.3,0,0,0,0,0,98930.3,0,0,98930.3,0,36267586.66,0,6901435.271,29366151.389,31844842905,89821059.666,2827045.896,31752194799.438,52147548.71,629356,629356,0,0,0,0,0,0,0,752100,752100,0,0,279700,277600,2100,49900042.85,20022135.789,0,325900.1,36000,29516006.961,586349.86,,0,0,210000.1,0,0,0,25500,350849.76,1400,2426948741964.02,616006685.54,0,2426332735278.48,,,,,,,,,0,29290000,18337500,312500,960000,9680000,22046556160,0,0,0,0,0,0,23252992,617181184,617181184,0,21406121984,3175993344,9026465792,2375387136,6828275712,0,0,0
