"Сведения о вознаграждении посредникам (кроме договоров страхования, заключенных путем обмена информацией в электронной форме), тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",259120.50682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,144449.06693,144289.00568,0,0,160.06125,114671.43989,88599.01769,0,0,1.53693,8369.79518,1814.8829,0,0,34886.86628,43525.9364,14794.26674,0,0,4.8,6794.85371,0,1518.5442,6476.06883,0,0,11278.15546,,0,0,0,
0448,"Страховое Акционерное Общество ""Геополис""",78.7525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,78.7525,0,0,0,78.7525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
0518,"Акционерное общество Страховая компания ""БАСК""",6917.40916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,835.48771,360.85263,0,0,474.63508,1494.12306,1487.07706,1142.24943,0,0,0,0,0,0,15.2286,329.59903,7.046,0,0,0,0,0,0,7.046,0,0,0,,4577.20639,10.592,0,
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",15995.63774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3706.90416,3268.54766,0,0,438.3565,9312.32785,9215.87787,2119.15278,0,0,0,0,61.25984,0,786.03499,6249.43026,30.29998,6.2532,0,0,0,0,0,24.04678,0,0,66.15,,2976.40573,0,0,
0621,"Страховое акционерное общество ""ВСК""",13605199.01861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2583053.76996,1816241.70088,0,0,766812.06908,10777759.96745,8819271.38669,4320525.56612,5325.81389,48074.23454,174262.95462,530163.6635,11206.17436,9527.37976,488465.31178,3241247.66788,201812.03306,35865.59649,0,194.8219,52286.79712,5968.71229,3693.73643,103758.11883,44.25,31791.19936,1724885.34834,,236475.18811,4235.72483,3674.36826,
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",427631.54365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,55759.73109,33964.18798,0,0,21795.54311,297605.79821,282450.76599,199001.30284,512.11247,0,17.70951,61270.84195,0,0,9943.57358,11705.22564,7147.13135,353.902,0,0,0,0,81,4366.28935,2345.94,0,8007.90087,,71624.14681,969.68485,1672.18269,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",1187789.68047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,197418.07234,156804.24362,0,0,40613.82872,988812.57166,945632.57704,57716.54921,129.30018,949.32442,926.14455,625094.85766,0,0,164437.93227,96378.46875,26848.57822,939.4667,0,68.8473,1243.41826,246.61952,1309.73277,22666.78867,373.705,124.52566,16206.89074,,1052.87668,296.11876,210.04103,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",9266989.51084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1269831.6564,752675.08223,468.86454,0,517156.57417,7440826.27106,6058958.30595,4478950.40009,2329.35949,14462.38793,103803.42918,303584.10131,5469.01948,4509.39247,516234.6561,634124.95237,373699.88331,78136.16944,0,1004.05362,78983.69327,3790.78461,79581.99504,131300.97388,902.21345,1888.76534,1006279.31646,,535199.84309,12619.29872,8512.44157,
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",225353.21897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,119119.64103,68944.44178,0,0,50175.19925,106233.57794,79406.33048,37831.69782,0,7290.20909,0,11603.2229,0,0,12105.79747,10575.4032,18093.58084,85.62799,0,2873.03365,0,0,14238.1442,0,896.775,0,8733.66662,,0,0,0,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",5734989.474320001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3319255.96719,2799654.48438,0,0,519601.48281,2249714.08445,1805996.95976,1087421.84478,15835.95367,65688.36634,3282.94518,19970.49359,1203.37364,796.73128,314476.70397,298117.27859,159583.19035,17571.31799,0,4560.98185,2351.50892,5516.74319,9225.43138,120229.73581,127.47121,22567.70912,261566.22522,,156246.08231,2991.46784,6781.87253,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",12243369.52987,-222.8007,-222.8007,0,0,0,0,0,0,-222.8007,0,-222.8007,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4039627.48525,2587070.79968,335.93544,0,1452556.68557,6869554.20241,6141009.8447,4449434.75559,2401.73883,0,0,177127.92015,794.53589,389.18917,501505.66898,1009745.22526,234608.33188,79473.73384,0.47137,30.722,178.73708,7531.35617,8270.76138,127388.4696,11734.08044,11558.95089,482377.07494,,1317808.92075,14221.08051,2380.64165,
1216,"Акционерное общество Страховая компания ""Чулпан""",48541.44734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1658.9782,747.437,0,0,911.5412,46646.95818,46265.795,16393.63912,0,0,44.6875,25852.60113,70.22036,0,275.43198,3629.21491,372.57757,9.33104,0,0,52.11442,0.25,0,310.88211,0,0,8.58561,,13.08966,200.90416,21.51714,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",5944039.582669999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1210905.29014,864377.63095,0,0,346527.65919,4546748.01349,3012796.01479,2503951.41485,205.18349,0,8027.51005,9179.9265,0,0,26866.20849,464565.77141,46246.8241,24979.93966,0,0,28.71823,0,1029.68055,20208.48566,0,0,1487705.1746,,184413.44069,732.43496,1240.40339,
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",2956543.1680300003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,240675.566,177865.24913,0,0,62810.31687,2681743.85837,2186074.08935,1630662.6314,878.46767,3371.90892,37431.78692,171218.42244,55447.0037,52843.75949,174903.87952,112159.98878,119996.29401,31260.63556,0,656.69467,49611.75035,475.4433,388.31587,36972.03892,631.41534,10585.98152,365087.49349,,32591.28293,669.59042,862.87031,
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",112383.68035000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,53994.81953,598.44902,0,0,53396.37051,58388.86082,57962.77175,19621.3006,0,0,0,38085.94942,0,0,227.53902,27.98271,91.27404,15.25404,0,0,0,0,0,76.02,0,0,334.81503,,0,0,0,
1412,"Акционерное общество ""Д2 Страхование""",1477048.4258599998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1289246.10561,1279385.26865,0,0,9860.83696,187802.32025,122867.87944,112436.21447,0,0,0,785.99617,0,0,831.3178,8814.351,3365.8355,51.3,0,0,0,0,0,2479.05275,835.48275,0,61568.60531,,0,0,0,
1427,"Акционерное общество ""Московская акционерная страховая компания""",1512093.9394000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,303031.56469,300159.00788,0,0,2872.55681,1111854.51013,466584.23698,409715.13806,17851.33532,36,219.84227,978.60401,0,0,4538.01522,33245.3021,17688.45962,5633.08583,0,6,148.53493,899.54348,142.31269,2219.76119,8639.2215,2856.26218,624725.55135,,95738.42675,378.89858,1090.53925,
1580,Общество с ограниченной ответственностью «РБ Страхование»,202634.30744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,31005.26185,25140.89542,0,0,5864.36643,171629.04559,145290.46287,0,0,0,0,0,0,0,0,145290.46287,2855.53884,0,0,0,0,0,0,2855.53884,0,0,23483.04388,,0,0,0,
1587,"Акционерное общество ""Страховое общество ""Талисман""",1771.04944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,76.74445,76.74445,0,0,0,1694.30499,1694.30499,635.80749,0,0,0,0,0,0,874.19499,184.30251,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",23741.01109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,16161.06244,16161.06244,0,0,0,7579.94865,5285.98306,0,0,0,0,0,0,0,0,5285.98306,766.238,0,0,0,0,0,0,766.238,0,0,1527.72759,,0,0,0,
1675,"Акционерное общество ""Совкомбанк страхование""",2236648.46497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,695841.88413,630593.82797,0,0,65248.05616,1540380.42962,1353740.47454,1202614.2094,249.0278,0,0,31559.44038,0,0,58811.0165,60506.78046,88636.30702,11364.54055,0,0,0,1030.20427,712.42242,65259.07079,10270.06899,1360.40013,96643.24793,,299.99731,59.8945,66.25941,
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",2120353.9267700003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,420133.84571,342574.63248,1078.40081,13.57142,77559.21323,1621309.01774,1528875.43319,840289.59149,977.196,0,2343.46983,257297.12928,8744.9412,7367.72765,262570.51942,156652.58597,64162.61226,8139.60113,0,29.448,2860.06434,1014.21709,3165.95959,47731.95112,1221.37099,5656.29662,22614.67567,,70937.08156,4777.9133,3196.06846,
1858,"Акционерное общество Страховая компания ""Армеец""",25112.29612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1327.58328,959.23424,0,0,368.34904,4683.90906,3965.4401,2786.7738,0,0,0,6.827,0,0,138.81216,1033.02714,718.46896,0,0,0,0,0,0,718.46896,0,0,0,,19100.80378,0,0,
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",135345.68232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,34619.72694,9910.01371,0,0,24709.71323,38779.87711,26904.28628,20086.08445,0,0,0,4884.74258,0,0,864.96478,1068.49447,11858.78405,10525.09288,0,0,0,5.11646,1008.76125,304.61346,15.2,0,16.80678,,61946.07827,0,0,
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",61606.561630000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5746.51984,2891.83993,0,0,2854.67991,55860.04179,50108.46862,38678.87375,320,0,42.41265,1044.41213,0,0,5582.5192,4440.25089,3998.11903,194.09014,0,0,17.4875,0,2912.87602,716.71537,156.95,0,1753.45414,,0,0,0,
2239,"Акционерное общество ""АльфаСтрахование""",19041363.604130004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3572380.0111,2622856.77503,3152.28195,0,949523.23607,14886219.08247,10948540.10037,5677175.89157,4985.04389,39050.40204,156893.62266,202521.03944,66512.20826,63515.46221,662585.23816,4138816.65435,1362931.18344,81232.8066,0,12844.15226,110419.9846,5241.0469,22624.00311,1127885.7332,2683.45677,53783.02946,2520964.7692,,569651.35454,8309.44719,4803.70883,
2346,"Акционерное общество ""Объединенная страховая компания""",236669.67137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,49662.36278,28984.88742,0,0,20677.47536,185208.04073,133401.56558,105955.03996,0,0,866.40123,1626.67078,25.6,0,17779.96166,7147.89195,5702.91053,314.15278,0,126.81326,794.86562,4.5,754.16075,3704.39679,4.02133,0,46103.56462,,1799.26786,0,0,
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",1337612.8332299998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,270534.85526,210969.92128,7008.27657,0,59564.93398,1062562.8165,916824.61302,134582.71564,58.38807,0,33040.44849,214167.69746,18495.78436,18300.67053,419144.17951,97335.39949,123115.63912,717.44428,0,146.345,36117.62262,0,47763.73125,38370.49597,0,2507.33176,20115.2326,,3231.971,219.982,1063.20847,
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",692095.49522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,175974.48772,163961.35948,0,0,12013.12824,473533.66659,282846.65882,129379.9889,0,0,299.91837,1971.63613,755.56374,755.56374,25439.2555,125000.29618,177256.63424,172004.2751,0,0,129.11914,0,149.4504,4704.20451,269.58509,0,13430.37353,,42092.18726,25.96375,469.1899,
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",1328781.51096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,333328.97367,333328.97367,0,0,0,982977.91725,106665.23605,106305.62443,0,0,0,0,0,0,0,359.61162,499.89371,499.89371,0,0,0,0,0,0,0,0,875812.78749,,12474.62004,0,0,
2708,Акционерное общество «Баланс Страхование»,8016.996410000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,27.05943,27.05943,0,0,0,7989.93698,7563.82051,0,0,0,1435.36681,5857.24936,0,0,271.20434,0,426.11647,0,0,0,297.38213,0,0,128.73434,0,0,0,,0,0,0,
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",5380.69015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3384.34052,620.79857,0,0,2763.54195,1996.34963,417.70614,0,0,0,0,0,0,0,175.82,241.88614,343.40718,0,0,0,0,0,0,343.40718,0,0,1235.23631,,0,0,0,
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",76747.78103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15836.92264,13779.51935,0,0,2057.40329,60910.85839,60910.85839,7788.51228,0,0,0,38013.32819,0,0,15088.02559,20.99233,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",794039.8449899999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,319593.26508,311174.56508,0,0,8418.7,474446.57991,282906.97464,23995.01256,630.9258,0,0,170.63497,193115.1653,163279.00641,30363.51431,34631.7217,19916.02331,134.04,0,0,0,0,54.675,19727.30831,0,6741.74814,164881.83382,,0,0,0,
3064,"Акционерное общество ""Боровицкое страховое общество""",132535.95608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,43306.7171,20116.31817,0,0,23190.39893,58248.55574,52293.01324,39576.88571,0,0,0,6249.34813,0,0,6261.48435,205.29505,5948.7925,0.126,0,0,0,0,599.20538,1635.53689,3713.92423,0,6.75,,30980.68324,0,0,
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",75180.31914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,40009.6504,0,0,0,40009.6504,35170.66874,35099.83874,0,0,0,0,0,0,0,0,35099.83874,70.83,0,0,0,0,0,0,70.83,0,0,0,,0,0,0,
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",3252229.2450300003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1090098.61303,943626.5643,0,0,146472.04873,1650869.79113,1505734.99822,926767.07156,24.77048,1154.85247,5938.34295,91406.5322,319.4846,0,112970.77676,367153.1672,48882.62214,13911.36042,0,-116.22756,3133.50772,4238.49096,468.21397,25976.06973,1271.2069,287.98401,95964.18676,,507342.04966,1774.612,2144.17921,
