"Сведения о страховых премиях по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",81629.66469,0,0,827.10666,827.10666,0,0,0,80802.55803,80785.68303,759.34816,0,0,0,8242.794039999999,0,0,71733.09157,50.44926,16.875,0,0,0,0,0,0,0,0,16.875,0,0,0,,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",243147.42781999998,0,0,1546.92758,1546.92758,0,0,0,241600.50024,179735.39398,0,0,178776.03471,0,523.27219,0,0,0,436.08708,61865.10626,0,0,0,0,61865.10626,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",3381227.50964,0,0,6574.259419999999,6574.259419999999,0,0,0,3374424.82734,3365297.39063,230097.40628,4237.47286,0,1856.6834000000001,13504.18226,2807830.7536799996,2236519.78303,328327.62516999996,-20556.73302,4253.4985799999995,0,0,0,0,0,0,0,325.18325999999996,3928.3153199999997,0,7873.45878,-2999.52065,,0,228.42288,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",131467.33429000003,0,0,0,0,0,0,0,2986.26064,2986.26064,782.5999999999999,0,0,0,1046.0302399999998,0,0,1095.78259,61.84781,0,0,0,0,0,0,0,0,0,0,0,0,0,,128481.07365000002,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",14342.782399999998,0,0,747.47195,747.47195,0,0,0,13595.310449999999,13595.310449999999,-21.05,0,0,0,-294.94253,0,0,13911.30298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",2867714.3896600003,0,0,2364.24624,2226.43143,0,0,137.81481000000002,642030.20667,565864.22635,14908.22882,0,38698.447960000005,9834.8379,67752.44653,0,0,433636.87152,1033.39362,69591.46969,-6377.20622,0,-6377.20622,0,32847.25139,8552.28627,10128.50158,0,23915.14041,525.49626,6.98979,6567.52084,,2142830.40982,38192.00649,42297.52044,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",651.4352700000001,0,0,0,0,0,0,0,651.4352700000001,651.4352700000001,651.4352700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",262776.79252,0,0,1918.24,1918.24,0,0,0,237299.83533,222548.77751999997,194.30258,0,0,-997.3084,12361.93339,0,0,210353.16126999998,636.68868,14751.05781,0,0,0,0,0,75.71441,0,244.25,14422.3398,8.7536,0,0,,120.66069999999999,6130.004279999999,17308.052209999998,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",4633.00673,0,0,0,0,0,0,0,4633.00673,6075.08356,0,0,0,0,5968.87487,0,0,106.20868999999999,0,-1442.07683,0,0,0,0,0,0,0,0,-1442.07683,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",157000.16293,0,0,9793.91086,9793.91086,0,0,0,130999.69062,116273.77316000001,23356.33916,0,772.7319,2547.6759,79156.98922,0,0,6092.97971,4347.057269999999,14725.91746,24,24,0,0,1342.3388400000001,10795.608,0,14.25994,2549.71068,0,0,0,,15742.73533,432.78626999999994,31.03985,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",2814901.3009099998,0,0,915.122,915.122,0,0,0,2813932.21624,1838256.06794,0,109.50888,107122.82506,140797.08684,31357.81771,0,0,1558567.3306500001,301.4988,188385.4437,0,0,0,0,3794.66158,354.67695,8720.07014,-5230.0374600000005,180746.07249,0,8664.09462,778626.6099800001,,0,-1.1164599999999998,55.07913,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",83638.48743,62456.21043,0,21182.277,5999.90601,0,0,15182.370990000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",3568.11118,0,0,3568.11118,0,0,0,3568.11118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",-35864.64232,-30587.860200000003,0,-5276.78212,-5276.78212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",546291.6605700001,542909.25467,0,3382.4059,3382.4059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",77.09875,0,0,77.09875,77.09875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",28134.43447,0,0,0,0,0,0,0,28134.43447,534.43447,348.61955,0,0,0,185.81492,0,0,0,0,27600,0,0,0,0,0,0,0,0,27600,0,0,0,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",11891.76293,0,0,0,0,0,0,0,11891.76293,7453.25639,0,0,0,0,3985.10015,0,0,3116.07318,352.08306,4374.05582,0,0,0,0,0,0,0,0,4374.05582,0,0,64.45072,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",250.97868,0,0,0,0,0,0,0,250.97868,231.09073,0,0,0,0,0,0,0,231.09073,0,19.88795,0,0,0,0,0,0,0,0,19.88795,0,0,0,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",251743.35748,2433.0637,0,249310.29378,215261.35064,0,0,34048.943139999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",13075.512390000002,11860.768180000001,0,1214.74421,767.93737,0,0,446.80683999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",177565.09908,43121.25528,0,134443.8438,51597.33311,0,0,82846.51069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",1769408.27382,0,0,0,0,0,0,0,1755778.66109,1751567.90724,993.6,0,166181.27878999998,0,1541409.29038,0,0,40579.93227,2403.8058,4210.75385,0,0,0,0,3256.1939899999998,0,0,0,954.5598600000001,0,0,0,,0,13629.61273,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",-10321.12169,-10321.12169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",95073.33664,0,0,21588.12787,21588.12787,0,0,0,73485.20877,53846.49111,9795.613949999999,0,34711.43109,0,14.840000000000002,1156.0285999999999,0,6516.3838,1652.1936699999999,19620.7293,0,0,0,0,5209.91543,0,0,17.91882,14392.89505,0,0,17.98836,,0,0,0,0
