"Сведения о страховых премиях по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0191,"Акционерное общество ""Т-Страхование""",1543409.90686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1543409.90686,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",2134.90463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2134.90463,609.95802,0,0,0,0,609.95802,0,0,0,0,1524.94661,0,0,,0,0,0,0,0,1524.94661,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",1533640.58775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13849.19254,13849.19254,,,0,1519791.39521,1512773.99895,41061.69373,0,0,2284.08947,41267.55207,11180.06223,0,1410986.97053,5993.63092,4981.63962,544.82055,544.82055,,0,0,0,0,0,4241.93724,194.88183,2035.75664,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",277434.90682000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,61637.35664,54097.88947,-13646.16574,906.53008,0,0,41.04677,0,0,66771.32755,25.15081,7539.46717,0,0,,0,0,0,466.48423,86.04599,6986.93695,0,0,0,,142977.06445,44137.56942,28682.91631
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",5383.50312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3.15,,,0,1131.14886,1131.14886,0,0,0,0,54.99751,0,0,882.64622,193.50513,0,0,0,,0,0,0,0,0,0,0,0,0,,4249.20426,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",24178.29505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,24178.29505,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",23150.78178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,23150.78178,0,0
0621,"Страховое акционерное общество ""ВСК""",9226608.37144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711.40985,4711.40985,,,0,5943796.50337,4904594.3832,33477.34617,890.35196,313491.53647,177187.83753,169288.4982,1182.02666,857.86779,4207183.56516,1893.22105,789667.82156,120.98152,120.98152,,112.34463,80318.41352,28379.8242,9869.7695,15498.25508,655368.23311,0,248738.55472,795.74389,,3012318.90205,158268.1605,107513.39567
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",80005.76013000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.90269,1153.90269,,,0,68089.1717,65762.40537,5032.32871,50.34247,191.84366,0,43201.93947,0,0,15540.34703,1745.60403,2010.554,52.5178,52.5178,,0,0,0,699.43815,420.46383,675.63422,162.5,5.22898,310.98335,,6953.87424,2020.10773,1788.70377
0928,"Страховое публичное акционерное общество ""Ингосстрах""",7068082.860950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65548.04118,36414.46342,,,29133.57776,2907849.81121,2448447.53703,62317.75503,0,508194.00911,173994.96918,175932.62535,19481.51954,144.46718,1508526.65882,0,379914.90327,4735.37741,4735.37741,,0,262396.13578,2149.84889,17131.40976,11993.66827,81508.46316,0,26000.5967,53486.77421,,3695936.70535,240654.07937,158094.22384
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",11674.50386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.54724,199.54724,,,0,11474.95662,3772.42974,0,0,3773.36851,0,0,0,0,-0.93877,0,7702.52688,0,0,,0,7702.52688,0,0,0,0,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",6741463.362939999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8289.3848,8289.3848,,,0,4296178.56706,3503700.86832,1766.3994,47.20198,80361.8659,368949.97579,294665.00218,1584.58055,0,2756325.84252,0,273020.71464,0,0,,0,4626.2024,23809.00953,22290.34955,4379.5,214086.1147,3829.53846,515500.94192,3956.04218,,2003900.29979,256154.66675,176940.44454
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",5610650.7905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2809.22032,2809.22032,,,0,179907.96436,157130.9702,4046.6713,919.98826,0,2054.98614,10759.40891,128.50294,0,120657.64234,18563.77031,15360.37174,99.45025,99.45025,,0,0,0,10216.74165,172.52067,4871.65917,0,7416.62242,0,,4918768.26704,293953.98744,215211.35134
1216,"Акционерное общество Страховая компания ""Чулпан""",103348.15449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,387.99227,387.99227,286.27535,0,0,101.71692,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,69846.39055,20168.62965,12945.14202
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1791795.4820299998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,122941.79415,82673.37354,0,0,0,0,0,0,0,82673.37354,0,2397.29249,0,0,,0,0,0,0,0,2397.29249,0,0,37871.12812,,1453297.11713,131664.64569,83891.92506
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",2670549.25991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3356.27196,3356.27196,,,0,1617628.68328,1479855.69685,3013.7145,3701.3871,458164.6712,41476.05019,128619.10253,19444.73283,2991.80442,824548.99912,887.03938,52144.93573,47.775,0,,0,30736.66938,2843.28913,1950.31455,6141.87054,10322.53731,102.47982,69326.11714,16301.93356,,945489.69372,63021.50709,41053.10386
1427,"Акционерное общество ""Московская акционерная страховая компания""",805984.6775000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17695.26894,17695.26894,,,0,136368.85536,133225.85483,21.11608,0,32463.7171,2738.48916,34281.92585,0,0,63654.10664,66.5,2523.00053,0,0,,0,156.91865,72.02961,2564.01787,0,-277.1656,7.2,0,620,,577192.4991,45290.65101,29437.40309
1587,"Акционерное общество ""Страховое общество ""Талисман""",2.12244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2.12244,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",280864.71493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.91109,379.91109,,,0,71268.22871,50484.52463,180.16357,0,0,0,26402.65941,0,0,22939.14572,962.55593,9508.05295,85.82812,85.82812,,0,0,0,3013.2709,126.524,6282.42993,0,818.08303,10457.5681,,133008.04007,42221.17689,33987.35817
1820,"Акционерное общество ""ГУТА-Страхование""",124544.72985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,124544.72985,124534.58134,0,0,0,0,0,104693.52302,104693.52302,19841.05832,0,10.14851,0,0,,0,0,0,0,0,10.14851,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",858527.0019400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.17489,1434.17489,,,0,250026.8365,224284.00109,18772.41614,323.55265,2253.11355,5389.88994,75592.69429,2868.35414,20.26755,115438.46478,3645.5156,14382.24896,59.2,59.2,,0,0,204.2988,1402.65591,322.28,12393.81425,0,10280.50734,1080.07911,,549044.27497,37228.01852,20793.69706
1858,"Акционерное общество Страховая компания ""Армеец""",66046.41853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,66046.41853,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",5329.49176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,5329.49176,0,0
2239,"Акционерное общество ""АльфаСтрахование""",6992477.32015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7754.0652,7754.0652,,,0,1527692.06216,1208214.25807,0,0,162806.15437,195686.1373,55959.31805,0,0,793762.64835,0,196570.31135,0,0,,0,25003.30764,16115.15083,13734.75326,0,141404.80899,312.29063,122907.49274,0,,5459211.11515,-1213.32454,-966.59782
2346,"Акционерное общество ""Объединенная страховая компания""",183365.04339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4890.50351,4890.50351,,,0,57559.08121,55206.62175,33802.97008,66.13521,893.66147,1722.63237,8396.66645,61.2,0,8317.95694,1945.39923,2352.45946,1454.97071,0,,0,47.0362,145.6625,0,0,704.79005,0,0,0,,120915.45867,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",172051.13576999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.23916,33.23916,,,0,95222.3038,63375.83978,5709.66565,9,5219.09791,33313.41244,3446.19583,0,0,15595.54455,82.9234,28705.80386,0,0,,0,0,1313.62933,0,1197.4859,26194.68863,0,12.77604,3127.88412,,52140.17609,14967.25835,9688.15837
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",124304.40633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13563.97273,13563.97273,,,0,70231.2139,57517.90617,15235.83367,0,744.82086,3158.41923,13627.50825,0,0,22499.81922,2251.50494,12573.34813,0,0,,0,0,190.39241,0,0,12382.95572,0,0,139.9596,,8252.78736,17238.00077,15018.43157
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",41568.44312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,41568.44312,0,0
2708,Акционерное общество «Баланс Страхование»,1498.30232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,1498.30232,23.32232,0,0,0,0,23.32232,0,0,0,0,1474.98,0,0,,0,0,0,0,0,1474.98,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",385485.92280999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80658.40326,74103.10379,,,6555.29947,266872.56176,215412.09819,4400.42914,887.33216,2989.27498,639.10647,22468.05285,795.83021,145.81681,182530.23487,701.83751,17775.23419,0,0,,0,22.33541,164.50599,380,283.41844,16924.97435,0,6888.56195,26796.66743,,0,23900.79029,14054.1675
3064,"Акционерное общество ""Боровицкое страховое общество""",2220.39819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2220.39819,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",2270.56128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2270.56128,2270.56128,0,0,0,0,0,0,0,0,2270.56128,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",1724704.33105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17886.52951,291.30307,,,17595.22644,205140.87236,161702.3041,1711.59472,22.26921,40314.74591,13478.06055,24095.87513,0,0,80790.05135,1289.70723,30873.72398,0,0,,0,1518.63166,2810.95069,4472.49783,565.88289,21336.67867,169.08224,11936.02688,628.8174,,1423757.52133,46989.42515,30929.9827
3229,"Акционерное общество ""Страховая бизнес группа""",13981.44184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,5.75,,,0,5765.27394,5649.115,943.79609,13.5,0,0,4465.12046,0,0,217.11648,9.58197,116.15894,0,0,,0,0,0,0,0,116.15894,0,0,0,,670.77151,4880.94987,2658.69652
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",606.16148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,606.16148,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",4702.88282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.52359,19.52359,,,0,1646.24724,1344.01035,731.28083,55.0801,0,151.43291,100.17541,0,0,283.88751,22.15359,302.23689,0,0,,0,0,13.125,0,0,289.11189,0,0,0,,3037.11199,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",505958.93677000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,382463.13825,178135.1919,0,0,-2103.72071,0,0,0,0,180238.91261,0,7455.56177,0,0,,0,-8333.11359,0,69.76757,0,15718.90779,0,0,196872.38458,,0,79309.42449,44186.37403
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",53876.617280000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,25225.65188,25225.65188,0,0,0,0,20114.70715,0,0,5110.94473,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,28650.9654,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,1718591.2228700002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,1686346.81098,1527933.69496,0,0,0,116774.73048,774004.90711,0,0,637154.05737,0,144496.54259,0,0,,0,0,1932.58034,0,13947.88849,128616.07376,0,2874.59032,11041.98311,,0,32244.41189,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",87124.52805000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.80213,663.80213,,,0,5186.37867,1235.16637,92.21999,0,0,25.33875,728.37632,0,0,255.81131,133.42,1055.4623,0,0,,0,0,72,0,4.98,978.4823,0,0,2895.75,,81274.34725,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",2685.46008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2685.46008,898.37558,0,0,0,0,0,0,0,898.37558,0,1787.0845,0,0,,0,0,0,0,0,1787.0845,0,0,0,,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",7580.12344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53236,-0.53236,,,0,7580.6558,14853.14338,4208.06625,0,-7722.7897,3917.93612,1620.4473,20.69255,0,12808.79086,0,-7272.48758,0,0,,0,-7364.60415,0,0,0,-23.6617,115.77827,0,0,,0,0,0
4189,Общество с ограниченной ответственностью «Протекта Торговое Страхование»,6556.30595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,6556.30595,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6556.30595,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",2703831.19709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.7574,217.7574,,,0,1960502.06017,1370290.87601,0,268.61077,140479.19275,66798.2365,358484.2949,1521.51621,1521.51621,802734.38144,4.64344,403752.84588,0,0,,0,178162.17178,0,10167.89969,23865.91445,188715.08599,2841.77397,90548.69896,95909.63932,,505448.44403,143284.50323,94378.43226
4334,Общество с ограниченной ответственностью Страховая компания «АСТК»,61134.32998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,61134.32998,57365.0518,0,0,0,0,0,0,0,57365.0518,0,3769.27818,0,0,,0,0,0,0,13.66568,3755.6125,0,0,0,,0,0,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",69505541.91183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410397.14931,1141239.33474,,,269157.81457,68070091.57496,54127223.65054,2951288.59403,97233.22176,3488287.93344,3853537.60244,2813963.66803,2337400.98183,1995424.90784,38353168.26047,232343.38854,7387145.56697,1679.703,0,,349.3,2411242.0153,2187636.2818,0,1333896.48248,1392734.39404,59607.39035,137809.80998,6417912.54747,,25053.18756,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",703899.29037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.688,364.344,,,364.344,703170.60237,573524.40827,14869.73232,8445.66183,0,15151.25276,70011.19221,0,0,436046.56719,29000.00196,65702.06032,107.45454,107.45454,,0,0,4027.7404,0,0,32639.09879,28927.76659,48008.4859,15935.64788,,0,0,0
4404,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СТРАХОВАЯ КОМПАНИЯ «ХАТХОР»,2040.67959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2040.67959,0,0
4406,"Общество с ограниченной ответственностью ""Новая Перестраховочная Компания""",26638.09975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,26638.09975,11979.60081,0,0,0,0,903.94568,0,0,11075.65513,0,10272.27228,0,0,,0,0,0,0,0,10272.27228,0,4386.22666,0,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
