"Сведения о количестве договоров страхования, действовавших на конец отчетного периода, в разрезе страховщиков, единиц",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0191,"Акционерное общество ""Тинькофф Страхование""",2239988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,686484,686484,118257,0,0,0,0,568227,0,0,0,0,542231,328029,148470,148470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179559,86709,0,92850,31531,12646,12646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18885,0,0,0,0,18885,0,0,0,0,0,0,0,0,0,0,0,182671,98329,0,84342,,,,,,,,,1011273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",96680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,84738,10038,0,0,0,362,0,9676,74700,1851,227,72622,11942,10806,203,159,44,0,2,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,519,0,2,517,10018,1980,447,7591,1136,49,49,0,0,0,6,0,0,0,4,0,0,4,10,0,10,987,210,0,5,1,771,80,0,0,0,0,0,0,0,80,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,175,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,82,0,2,80,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,0,211,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,46,76,0,0,76,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",144072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,25767,4927,0,0,99,0,0,4828,20840,20840,0,0,117711,5097,1,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1234,0,64,1170,3826,0,0,3826,530,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,431,2,0,0,0,429,0,0,0,0,0,0,0,0,0,0,9,112075,0,0,112075,,,,,,,,,0,529,529,0,0,0,65,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",34053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,34008,52,0,0,0,0,0,52,33956,0,0,33956,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,0,14,14,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",964948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,307936,261428,119,0,0,0,0,261309,46508,0,1603,44905,189608,174368,149065,149065,0,2,1,11,0,11,229,126,125,120,0,5,0,1,1,0,0,0,4188,8,238,3942,20746,4399,4209,12138,12274,2192,2192,0,0,0,88,471,0,471,11,0,0,11,34,0,34,9383,294,0,106,0,8983,95,0,0,0,0,0,0,0,95,0,0,2966,34,0,2932,,,,,,,,,467404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",53485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,19159,19159,0,0,0,0,0,19159,0,0,0,0,34326,18581,0,0,0,0,0,44,44,0,10,0,0,0,0,0,0,0,0,0,0,0,266,0,0,266,18261,0,0,18261,366,0,0,0,0,0,0,241,0,241,0,0,0,0,19,0,19,106,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,15379,0,15379,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,510,510,,0,0,0,510,0,,0,0,0,0,49,0,0,0,0,0,0,0,49,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",101052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,11818,6701,0,0,0,0,0,6701,5117,0,0,5117,21037,20833,19384,19384,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,151,0,0,151,1072,869,201,2,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,3,0,191,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,,,,,,,,,67855,342,313,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",158638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,40694,30196,11,0,0,0,0,30185,10498,0,5037,5461,53624,52430,23676,23676,0,0,0,2,0,2,5,217,0,0,0,0,0,217,0,0,217,0,747,0,0,747,27783,10250,9924,7609,680,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,514,0,0,514,,,,,,,,,64320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",12848735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3241691,1764150,55231,52,36,6408,0,1702423,1477541,0,124535,1353006,5711858,5068663,562594,562594,0,865,216,351,351,0,225682,1097,347,148,0,199,0,750,13,0,736,1,48936,1315,12269,35352,4228922,872490,3355775,657,194417,62602,50533,12069,0,0,1057,518,518,0,277,91,1,185,708,708,0,128257,7198,585,3024,243,117207,998,0,0,0,0,0,976,0,17,5,124,448654,0,77,448577,,,,,,,,,3851668,35052,24486,1219,838,8509,8466,4,1,3,15,5,10,185,126,115,11,8119,2471,861,1790,2997,11,6,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",624284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,214172,144329,0,0,0,0,0,144329,69843,10598,0,59245,129068,117802,99916,99916,0,38,0,10,0,10,1431,0,0,0,0,0,0,0,0,0,0,0,1430,0,0,1430,14977,4714,0,10263,5577,1058,1058,0,0,0,0,0,0,0,0,0,0,0,11,0,11,3720,0,0,0,0,3720,788,0,0,0,0,0,0,0,788,0,0,5689,0,0,5689,,,,,,,,,278070,1938,1938,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,1036,0,0,1036,0,0,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",186751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,138892,130949,2,0,0,37,0,130910,7943,192,2817,4934,47859,30285,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,3705,14,0,3691,26100,305,2845,22950,6620,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,6213,0,0,0,0,6213,356,0,0,0,0,0,356,0,0,0,0,10954,2,0,10952,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,349,349,269,269,0,0,0,0,0,0,0,37,37,35,0,2,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",513467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,182514,146887,0,0,0,0,0,146887,35627,0,9145,26482,305990,245391,8649,8649,0,33,18,70,0,70,70517,0,0,0,0,0,0,0,0,0,0,0,12757,3914,369,8474,153347,5847,19586,127914,22467,5045,5045,0,0,0,45,213,0,213,29,29,0,0,551,52,499,16220,301,0,49,10,15860,364,0,0,0,0,0,250,0,114,0,49,38083,24062,76,13945,,,,,,,,,23289,1508,540,12,28,928,166,0,0,0,5,0,5,9,40,29,11,112,32,52,17,11,0,0,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",11147148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2267050,1741079,6480,530,1075,27,0,1732967,525971,68848,4123,453000,3437741,2880148,1229457,1229457,0,830,407,921,728,193,95511,304,199,150,0,49,0,105,0,0,105,0,96539,0,9744,86795,1456179,462006,413094,581079,448304,140797,140797,0,0,2,2200,1358,1028,330,401,208,5,188,2410,24,2386,300338,9282,3303,3040,183,284530,798,0,10,0,0,0,0,0,592,196,555,108734,1324,0,107410,,,,,,,,,5384773,44088,27827,1436,1344,13481,13496,7,2,5,33,7,26,146,209,152,57,13041,5726,4072,1133,2110,34,25,1
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",1326216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,302718,234061,162,0,0,1082,0,232817,68657,8177,811,59669,503941,425953,157734,157734,0,12,0,0,0,0,167,1747,0,0,0,0,0,1747,0,0,1747,0,10643,0,1517,9126,255650,213455,38252,3943,40844,9117,3276,5841,0,0,0,0,0,0,37,37,0,0,101,90,11,31298,8869,0,196,27,22206,291,0,0,0,99,0,0,0,8,184,21,37123,6665,0,30458,,,,,,,,,514894,3410,1435,64,155,1756,1253,0,0,0,0,0,0,40,55,55,0,1158,510,300,96,252,0,0,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",249966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,202063,19671,29,0,0,0,0,19642,182392,0,0,182392,47903,27820,4031,4031,0,0,36,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,766,0,7,759,22523,105,0,22418,14569,553,553,0,0,0,224,0,0,0,0,0,0,0,13453,0,13453,0,0,0,0,0,0,339,0,0,0,0,0,0,0,272,67,218,5296,21,70,5205,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",12284023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,6110004,5115100,810243,7948,3,12174,2,4284730,994904,0,24947,969957,3941069,1752848,233436,205524,27912,2120,468,237,160,77,2325,82,23,0,0,23,0,59,0,0,59,0,27421,0,9208,18213,1486759,35559,3,1451197,657761,38403,38403,0,0,9,682,256,171,85,642,39,190,413,4740,472,4268,612608,5373,286,266,59,606624,421,0,3,51,0,3,103,0,19,242,1030,1529430,815769,12,713649,,,,,,,,,2174475,52176,37068,1274,6098,7736,6299,11,1,10,23,2,21,19,62,54,8,6160,2218,578,494,2870,10,14,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",10923284,1172,1079,758,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,755,0,0,0,0,755,0,0,0,0,0,0,321,0,,,0,,0,0,0,0,0,0,0,243,0,0,0,0,243,78,0,0,0,0,78,0,0,0,0,0,0,93,4,0,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,4,0,0,0,0,0,0,0,,0,,0,0,89,0,,0,0,0,0,0,,,,0,,89,0,0,0,0,89,0,0,,0,0,0,0,,0,0,0,0,853,853,,0,0,0,853,0,,0,0,0,0,1674717,1001687,731,52,33,24095,0,976776,673030,21745,19094,632191,3534824,2514778,577513,577513,0,100,0,2,2,0,7471,425,2,0,0,2,0,423,0,0,423,0,107421,0,25219,82202,1821846,493479,646600,681767,614722,202363,192321,10042,0,1,104,36,2,34,165,73,0,92,817,817,0,410865,4075,251,1893,200,404446,371,0,0,0,0,0,0,0,21,350,4470,400854,5057,110,395687,,,,,,,,,5679951,28077,12627,678,606,14166,3690,1,0,1,0,0,0,15,28,24,4,3645,1406,1280,491,468,0,1,0
1216,"Акционерное общество Страховая компания ""Чулпан""",183140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,52161,51848,0,0,0,104,0,51744,313,2,200,111,25196,14946,1166,1166,0,0,0,2,0,2,2,282,0,0,0,0,0,282,0,0,282,0,176,0,0,176,13318,6157,7087,74,10238,139,139,0,0,0,4,17,0,17,13,4,0,9,2,0,2,10059,40,0,3,0,10016,4,0,0,0,0,0,0,0,4,0,0,12,0,0,12,,,,,,,,,104062,1633,968,2,596,67,88,0,0,0,0,0,0,0,1,1,0,87,57,17,10,3,0,0,0
