"Сведения о страховых премиях по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0235,"Акционерное общество ""Русское перестраховочное общество""",502101.12176999997,0,0,2399.76099,2399.76099,0,0,0,499701.36078,494621.85585,26137.91114,0,0,1595.50789,4674.66526,2890.37327,0,456508.33828,2815.06001,5079.50493,442.01871,442.01871,0,0,0,0,204.29832,81.99446,4419.83344,-68.64,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",123198.41161,0,0,0,0,0,0,0,84639.59012,1161.37857,0,0,0,0,0,0,0,936.3866,224.99197,41881.63687,0,0,0,0,0,0,263.39461,16447.89105,25170.35121,0,40725.24506,871.32962,,0,29640.28876,8918.53273,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",-738875.0394100001,0,0,-6789.88999,-6789.88999,0,0,0,-732085.14942,-322448.23824,0,0,-322448.23824,0,0,0,0,0,0,-409636.91118,0,0,0,0,-406545.29709,0,0,0,-3091.61409,0,0,0,,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",1539347.41185,0,0,3219.96976,115.39956,0,0,3104.5702,1489967.7348,1132299.17013,3922.71165,375.01183,163051.61803,57063.43072,20480.73128,10160.48502,6676.66396,877033.13121,212.05039,339043.1843,150.66,150.66,0,2023.97757,20280.80208,1893.87544,2729.1086,579.89199,311384.86862,0,775.86827,17849.5121,,0,36743.91763,9415.78966,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",534.55644,0,0,0,0,0,0,0,534.55644,381.451,0,0,0,0,4.50064,0,0,376.95036,0,153.10544,0,0,0,0,0,0,137.03395,0,16.07149,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",24319.295050000004,0,0,862.45473,862.45473,0,0,0,17754.15878,16083.80712,1891.30904,0,394.3375,0,6191.81155,0,0,4521.01907,3085.32996,1389.34254,234.2952,234.2952,0,0,0,0,532.26123,220.912,401.87411,0,0,281.00912,,0,4554.33425,1148.34729,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",2552248.5225099996,0,0,46731.66296,11357.96331,482.58113,0,35373.69965,2353737.67727,1708270.36343,23136.03689,0,346927.48836,158403.63338,76118.69809,2172.09334,0,1101512.41337,0,554558.82441,42782.4713,0,0,0,301888.68388,0,9111.55022,2859.96508,197916.15393,0,5650.67834,85257.81109,,0,136580.87137,15198.31091,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",16159.79473,0,0,40.49894,40.49894,0,0,0,5399.22668,4656.32125,3759.71323,0,0,0,171.25579,0,0,709.59341,15.75882,742.90543,0,0,0,0,0,0,437.45569,0,305.44974,0,0,0,,0,8214.66582,2505.40329,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",-12586.0828,0,0,739.35636,739.35636,0,0,0,-13325.43916,21676.71658,1027.48665,0,8852.14645,0,7847.1905,0,0,3436.8167,513.07628,-35028.20066,92.396,92.396,0,0,-35201.23796,0,0,78.3013,2.34,0,0,26.04492,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1062209.10996,0,0,660.93694,660.93694,0,0,0,989907.66229,871656.44593,1667.62316,442.81067,33959.30409,827.4143,41716.61925,-17661.7257,0,810704.40016,0,78982.5521,0,0,0,0,20546.94006,0,4212.1602,0,54223.45184,0,36891.64314,2377.02112,,0,53302.34797,18338.16276,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",192002.10397999999,0,0,3163.68831,1925.60184,0,0,1238.08647,78314.15719,63996.7605,5065.51854,-320.11895,1577.32713,1780.65027,296.45068,166.44893,0,46741.10004,8689.38386,7316.04448,208.92793,208.92793,0,0,0,0,3999.7936,105.705,3001.61795,0,6214.04,787.31221,,0,91762.51337,18761.74511,0
1216,"Акционерное общество Страховая компания ""Чулпан""",10549.95893,0,0,0,0,0,0,0,153.90904,144.29644,140.29644,0,0,0,0,0,0,4,0,9.6126,0,0,0,0,0,0.6126,0,0,9,0,0,0,,0,7962.22353,2433.82636,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",80521.19622000001,0,0,0,0,0,0,0,117.87097,117.87097,0,0,0,0,-3.51991,0,0,121.39088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,61932.41221,18470.91304,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1177274.5029000002,0,0,1404.00086,1404.00086,0,0,0,1156699.97423,1005533.03289,1283.94378,3724.12577,332146.24346,40776.86188,12818.93933,3016.95231,0,611417.94703,348.01933,41901.18182,0,0,0,0,28106.02426,0,0,1760.7615,11972.3335,62.06256,102221.4199,7044.33962,,0,14711.1928,4459.33501,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",100088.59207000001,0,0,11825.53912,11825.53912,0,0,0,75287.08152,73804.95498,-89.31507,3.59985,8605.16037,57.75,5941.83849,196.87539,0,59038.57192,50.47403,1482.12654,1.172,0,1.172,0,0,0,278.05935,728.21988,391.17531,83.5,0,0,,0,10396.74803,2579.2234,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",-53.89192,0,0,0,0,0,0,0,-53.89192,-53.89192,0,0,0,0,0,0,0,-53.89192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",7752.930629999999,0,0,524.5629,524.5629,0,0,0,1556.6856,738.7344,0,0,0,0,0,0,0,527.61971,211.11469,817.9512,1.242,0,1.242,0,0,0,13.32333,110.25,693.13587,0,0,0,,0,4363.59528,1308.08685,0
1820,"Акционерное общество ""ГУТА-Страхование""",15730.09527,0,0,0,0,0,0,0,15730.10607,15730.10607,0,0,0,0,0,0,0,15730.10607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-0.0108,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",97077.15957999999,0,0,1087.83003,1087.83003,0,0,0,85167.79663,69772.78476,7280.97918,12.60565,2050.51013,107.45251,7265.8683,818.77203,0,51313.03306,923.5639,2101.20808,0,0,0,0,0,0,515.47628,10.33372,1575.39808,0,13132.69422,161.10957,,0,8701.94953,2119.58339,0
2239,"Акционерное общество ""АльфаСтрахование""",1010948.2422499999,0,0,1486.17359,1486.17359,0,0,0,957621.07899,778947.03333,2820.42767,0,100883.50587,103192.65743,3402.70223,0,0,568647.74013,0,117757.61239,0,0,0,0,36678.38655,1583.44514,650.0995,0,78789.63291,56.04829,60906.74081,9.69246,,0,42301.44809,9539.54158,0
2346,"Акционерное общество ""Объединенная страховая компания""",13622.94453,0,0,690.42316,690.42316,0,0,0,15837.0748,14921.97324,7073.12892,4.25,1563.9323,78.68,1070.74276,92.16625,0,3876.79955,1162.27346,915.10156,42.21411,0,0,0,703.25154,18,0,0,151.63591,0,0,0,,0,-1462.20644,-1442.34699,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",61331.742529999996,0,0,377.09272,377.09272,0,0,0,56785.17101,38543.42171,29558.36809,6.36989,1593.24549,1851.68754,238.25466,0,0,4935.51146,359.98458,18241.7493,75.93264,75.93264,0,0,878.59895,0,0,52.33014,17234.88757,0,0,0,,0,3191.8114,977.6674,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",31.28467,0,0,0,0,0,0,0,31.28467,0,0,0,0,0,0,0,0,0,0,31.28467,0,0,0,0,0,0,31.28467,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",14394.12223,0,0,33.999,33.999,0,0,0,4507.02553,4504.03096,-80.38356,0,690.24254,0,2484.70361,0,0,1409.46837,0,1.13743,0,0,0,0,0,0,0,0,1.13743,0,0,1.85714,,0,5582.95931,4270.13839,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",11462.7931,0,0,247.72077,247.72077,0,0,0,2008.52228,2008.52228,109.37405,0,1374.97444,0,288.63467,0,0,235.53912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7328.33902,1878.21103,0
3229,"Акционерное общество ""Страховая бизнес группа""",4730.12379,0,0,0,0,0,0,0,2339.63261,2338.81498,444.3035,0,0,0,1560.49195,0,0,334.01953,0,0.81763,0,0,0,0,0,0,0,0,0.81763,0,0,0,,0,1915.24847,475.24271,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",0.61209,0,0,0,0,0,0,0,0.61209,0.61209,0,0,0,0,0.61209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",3979.6221100000002,0,0,0,0,0,0,0,1577.19117,1558.41482,0,4.06,0,755.33445,666.54074,0,0,132.47963,0,18.77635,0,0,0,0,0,0,0,27.56565,-8.7893,0,0,0,,0,1826.54291,575.88803,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",39754.12801,0,0,0,0,0,0,0,4347.16432,2361.63645,0,0,0,0,0,0,0,2361.63645,0,1985.52787,0,0,0,0,0,0,0,0,1985.52787,0,0,0,,0,28120.24923,7286.71446,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",19237.888300000002,0,0,0,0,0,0,0,1870.15964,1870.15964,0,0,0,0,918.01819,0,0,952.14145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,17367.72866,0,0
3947,"Акционерное общество ""АИГ страховая компания""",551783.32349,0,0,0,0,0,0,0,546864.7315,96476.93497,0,0,0,0,94736.89484,0,0,1740.04013,0,313241.08362,0,0,0,0,0,0,0,0,313241.08362,0,0,137146.71291,,0,4918.59199,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",595692.44502,0,0,1783.14738,1783.14738,0,0,0,593909.29764,340392.84952,0,0,0,0,21088.34708,0,0,319304.50244,0,173531.82022,0,0,0,0,0,0,0,5954.6715,167577.14872,0,79984.6279,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",1560773.2473,0,0,8359.36738,4365.55039,0,0,3993.81699,1552413.87992,1483324.10202,109547.60139,-1151.68058,-1311.52862,26823.40808,21476.49739,77746.32394,0,1250193.48042,0,66221.06586,828.15997,406.18506,0,0,-465.15416,0,0,0,65161.14301,696.91704,0,2868.71204,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",61327.57389,0,0,0,0,0,0,0,61327.57389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57876.70443,3450.86946,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",627146.12234,0,0,743.60196,743.60196,0,0,0,603161.123,469364.20698,-267.94521,38.10841,56497.33574,0,5736.48381,0,0,219410.94646,187949.27777,107678.12321,0,0,0,0,1132.63001,0,276.58337,1225.30664,105040.8639,2.73929,27173.86702,-1055.07421,,0,15978.406,7262.99138,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",11016832.71453,0,0,208095.55793,166168.64867,0,0,41926.90926,10806758.43309,8425265.81843,247293.22145,17183.33077,1760166.697,325176.69971,1005075.81258,669684.21428,22116.8149,4366928.66793,33757.17471,1953713.90777,2689.66971,0,0,0,1501648.41202,78364.84985,0,193193.3818,175388.97765,2428.61674,3121.34049,424657.3664,,1978.72351,0,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",239338.22991,0,0,0,0,0,0,0,239338.22991,198253.68583,0,3135.97114,-898.3183,6310.8539,2546.81741,0,0,184890.47754,2267.88414,7370.8158,0,0,0,0,106.25386,2536.49556,0,0,551.21115,4176.85523,28648.79359,5064.93469,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
