"Сведения о доле перестраховщиков в выплатах по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",47690.36301,0,0,3124.37175,3124.37175,0,0,0,44565.99126,24389.11372,1207.04445,0,0,0,0,0,0,23182.06927,0,20176.87754,0,0,0,0,128.48018,0,0,0,0,20048.39736,0,0,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",462555.29935,0,0,6804.94526,1966.27646,0,0,4838.6688,437030.19704,404414.21459,0,0,377335.73255,0,0,0,0,27078.48204,0,32615.98245,0,0,0,0,11738.16353,0,0,0,968.17894,19909.63998,0,0,,0,0,18720.15705,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",15512.692210000001,0,0,0,0,0,0,0,5491.01357,5491.01357,111.72,0,0,0,0,0,0,5373.15707,6.1365,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,10021.67864,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",312792.45729,124817.96334,0,187974.49395,151739.11211,0,0,36235.38184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",5750.22327,0,0,0,0,0,0,0,5750.22327,5750.22327,174.03759,0,0,0,678.74156,0,0,4897.44412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",17772.22323,0,0,10676.95984,10676.95984,0,0,0,7033.32339,7033.32339,5042.88838,0,0,0,1434.37724,0,0,556.05777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,61.94,0
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""ВТБ Страхование""",213424.42307999998,0,0,6106.41456,6106.41456,0,0,0,207067.50043,32565.67471,0,0,39.9683,1055.30742,0,0,0,31470.39899,0,153572.68585,0,0,0,0,139995.06832,0,0,4270.3867,9307.23083,0,0,20929.13987,,0,65.48129,185.0268,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",2080.31023,1772.25853,0,308.0517,308.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",59.00089,0,0,59.00089,0,0,0,59.00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",41667.80665,34562.4884,0,7105.31825,7105.31825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",114440.6395,89248.5098,0,25192.1297,0,0,0,25192.1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",355.92104,0,0,0,0,0,0,0,355.92104,0,0,0,0,0,0,0,0,0,0,355.92104,0,0,0,0,0,0,0,0,355.92104,0,0,0,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",269094.27372,7533.13602,0,261561.1377,250405.17578,0,0,11155.96192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",1053513.11208,46617.9356,0,1006895.17648,12005.86257,0,0,994889.31391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",3733416.5618700003,0,0,0,0,0,0,0,3731447.73387,3731435.66137,0,0,0,0,3731390.58137,0,0,0,45.08,12.0725,0,0,0,0,0,0,0,0,12.0725,0,0,0,,0,1968.828,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",10980.39387,10980.39387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",4729.39604,0,0,2603.40878,2603.40878,0,0,0,2125.98726,2125.98726,2033.69638,0,0,0,0,0,0,0,92.29088,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",2695.21708,2695.21708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",280389.50189,68276.82487,0,212112.67702,211137.86454,0,0,974.81248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",10858.70832,0,0,0,0,0,0,0,10858.70832,10858.70832,6732.37049,0,0,0,0,0,0,4126.33783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3947,"Акционерное общество ""АИГ страховая компания""",201789.37427,0,0,0,0,0,0,0,201789.37427,163923.26826,0,0,0,0,130277.64594,0,0,33645.62232,0,36901.39811,0,0,0,0,0,0,0,0,36901.39811,0,0,964.7079,,0,0,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",218927.44997,0,0,212183.45526,0,0,0,212183.45526,6743.99471,5080.59761,0,0,0,0,3121.41481,0,0,1159.1828,800,1663.3971,0,0,0,0,0,0,0,1630,33.3971,0,0,0,,0,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",955271.81405,0,0,1579.80951,1579.80951,0,0,0,953692.00454,888664.86481,0,0,0,0,23745.58544,0,0,864794.84031,124.43906,31490.36297,0,0,0,0,0,0,0,0,31490.36297,0,16737.96459,16798.81217,,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",291402.74332,225093.52017,0,66309.22315,27535.40065,0,0,38773.8225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",22302.9067,22232.8315,0,70.0752,70.0752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",275.08511,275.08511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4008,"Общество с ограниченной ответственностью ""Общество страхования жизни ""РЕСО-Гарантия""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4009,"Акционерное общество ""ЕРВ Туристическое Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",1928,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4014,"Акционерное общество ""Страховая компания ""Югория-Жизнь""",2219.13201,131.87203,0,2087.25998,2087.25998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
