"Сведения о страховых выплатах по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0928,"Страховое публичное акционерное общество ""Ингосстрах""",4792850.935179999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14574.60542,9825.93471,,,4748.67071,1577795.64974,1444075.64153,14113.43202,0,142598.27567,13864.15956,24447.7868,2428.38313,0,1246623.60435,0,15519.84005,3212.81294,3212.81294,,0,9363.37523,0,0,24.84026,2918.81162,0,0,118200.16816,,3130571.52437,21934.57779,47974.57786
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",5930.07432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,5930.07432,399.88883,0,0,198.14919,0,47.37777,0,0,154.36187,0,5530.18549,0,0,,0,0,0,0,9.70766,5520.47783,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1876842.43212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9045.20026,9045.20026,,,0,642974.62581,636556.30723,54.532,0,4502.87012,18846.73926,19217.22713,2686.07751,0,591248.86121,0,4905.0711,0,0,,0,0,0,720.25658,0,4184.81452,0,0,1513.24748,,1170184.61105,10155.89289,44482.10211
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",3764594.17797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.77211,656.96857,,,1215.80354,40504.52756,29848.46531,6256.21962,8.6899,540.16604,0,6294.20617,0,0,16464.4979,284.68568,10656.06225,0,0,,0,0,0,0,0,10656.06225,0,0,0,,3628911.55914,27273.11816,66032.201
1216,"Акционерное общество Страховая компания ""Чулпан""",71793.12943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,645.37021,645.37021,0,0,0,645.37021,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,64665.67662,1868.63058,4613.45202
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1174014.8135600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,352.16573,352.16573,0,0,0,0,0,0,0,352.16573,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1136946.77768,11447.51157,25268.35858
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1316592.3586599997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,549875.06979,236631.02503,3352.15784,0,47345.07674,105,856.8776,0,0,184971.91285,0,0,0,0,,0,0,0,0,0,0,0,195857.15101,117386.89375,,752234.14588,4183.06203,10300.08096
1427,"Акционерное общество ""Московская акционерная страховая компания""",603370.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,75306.49205,75098.90168,0,7.38123,2010.36901,0,169.7228,0,0,72911.42864,0,207.59037,0,0,,0,0,0,0,0,207.59037,0,0,0,,517633.21021,3177.02604,7253.3062
1587,"Акционерное общество ""Страховое общество ""Талисман""",1309.31851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1309.31851,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",147518.29563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,15450.05334,11358.44519,0,0,0,0,3040.87964,0,0,8317.56555,0,990.96407,0,0,,0,0,0,0,0,0,990.96407,0,3100.64408,,125883.63907,1468.74458,4715.85864
1820,"Акционерное общество ""ГУТА-Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",559742.29076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,65557.91503,58617.77779,19287.72776,8.36638,1958.88497,0,12769.71903,1549.95624,0,22883.05608,160.06733,6940.13724,0,0,,0,0,0,0,0,6940.13724,0,0,0,,485902.61113,2388.91059,5892.85401
1858,"Акционерное общество Страховая компания ""Армеец""",80860.89298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,80860.89298,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",2355.95813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2355.95813,0,0
2239,"Акционерное общество ""АльфаСтрахование""",4126393.9969800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46411,7.46411,,,0,462619.30377,385629.27322,141.1948,0,0,9073.5541,854.79054,0,0,375559.73378,0,554.3283,0,0,,0,554.3283,0,0,0,0,0,76435.70225,0,,3611494.84102,14892.44507,37379.94301
2346,"Акционерное общество ""Объединенная страховая компания""",137439.19253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.82403,577.82403,,,0,20769.19227,20750.19873,17324.26903,0,461.2174,1608.33242,1023.33712,0,0,332.29168,0.75108,18.99354,0,0,,0,0,0,0,0,18.99354,0,0,0,,116092.17623,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",131597.50764000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.7053,187.7053,,,0,75975.86926,73867.16846,61589.6875,0,1904.92607,9527.718,0,0,0,780.37571,64.46118,2108.7008,0,0,,0,0,60.43704,0,0,2048.26376,0,0,0,,51095.86014,1244.4646,3093.60834
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",5402.4461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,552,,,0,828.45954,828.45954,8.86132,0,0,0,764.42186,0,0,15.62596,39.5504,0,0,0,,0,0,0,0,0,0,0,0,0,,3951.31721,51.45917,19.21018
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",17924.92668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,17924.92668,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",22190.47035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9213.21947,236.54042,,,8976.67905,8560.24105,4285.02979,2684.99686,0,2.16383,0,0,0,0,1173.42665,424.44245,4275.21126,0,0,,0,0,0,0,0,4275.21126,0,0,0,,0,1295.71878,3121.29105
3064,"Акционерное общество ""Боровицкое страховое общество""",1023.18832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1023.18832,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",4451.18186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,250.01876,0,0,0,0,0,0,0,0,0,0,250.01876,0,0,,0,0,0,0,12.94355,0,237.07521,0,0,,2438.73495,492.79494,1269.63321
3300,"Акционерное общество Страховая группа ""Спасские ворота""",8093.03707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2237.9637,178.16184,0,0,0,0,178.16184,0,0,0,0,2059.80186,0,0,,0,0,0,0,0,2059.80186,0,0,0,,5855.07337,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",24656.7325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,7836.75656,16819.97594
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",3019.61706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,1173.42665,1173.42665,0,0,0,0,0,0,0,1173.42665,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,1846.19041,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,1016.5655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,1016.5655,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",121281.87681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,121281.87681,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",119027.68489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,119027.68489,117594.78655,14209.0156,0,49490.47054,0,194.61615,0,0,53700.68426,0,1432.89834,0,0,,0,0,0,0,0,1432.89834,0,0,0,,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",797826.39931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,366658.92052,279049.75669,0,0,206663.04499,1020.27796,9340.96482,0,0,62025.46892,0,552.82087,0,0,,0,174.27535,0,0,0,378.54552,0,87056.34296,0,,409327.93849,5665.02917,16174.51113
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",8735399.08533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628490.29689,590826.60662,,,37663.69027,7835122.18654,7132178.40976,1393270.22647,11362.33481,116579.85454,335417.77722,403670.82486,581165.0201,269299.26825,4278837.91177,11874.45999,73080.62811,0,0,,0,31317.42085,3158.70535,0,5095.08808,8375.82153,25133.5923,0,629863.14867,,271786.6019,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",104234.37067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,104234.37067,10091.58488,0,0,0,1085.65071,9005.93417,0,0,0,0,4271.97332,0,0,,0,0,0,0,0,4271.97332,0,89870.81247,0,,0,0,0
4404,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СТРАХОВАЯ КОМПАНИЯ «ХАТХОР»,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
