"Сведения о страховых премиях по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0191,"Акционерное общество ""Тинькофф Страхование""",444214.98849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,444214.98849,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",2001.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2001.996,498.77959,0,0,0,0,498.77959,0,0,0,0,1503.21641,0,0,,0,0,0,0,0,1503.21641,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",300961.78239999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115.23335,5115.23335,,,0,295846.54905,293656.77927,14039.45305,0,0,794.41444,17921.86482,2281.00858,0,256110.31711,2509.72127,2189.76978,175.56697,175.56697,,0,0,0,0,0,1980.03998,34.16283,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",44052.58231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,22691.81194,18163.86754,0,0,0,0,0,0,0,18163.86754,0,4527.9444,0,0,,0,0,0,0,58.94775,4468.99665,0,0,0,,0,16449.00995,4911.76042
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",5972.554039999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3.15,,,0,4407.18826,4407.18826,0,0,0,0,47.78035,0,0,4359.36493,0.04298,0,0,0,,0,0,0,0,0,0,0,0,0,,1562.21578,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",18800.01506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,18800.01506,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",8753.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,8753.785,0,0
0621,"Страховое акционерное общество ""ВСК""",4034578.87124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314.13821,1314.13821,,,0,3097774.13311,2699322.37152,4222.53353,84.65579,164457.73959,46762.38535,56492.32062,0,0,2427130.61749,172.11915,249466.2468,50.75119,50.75119,,112.34463,22427.67065,5632.35308,0,12471.92018,208771.20707,0,148578.41717,407.09762,,870736.45085,51608.23977,13145.9093
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",21867.584490000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.06618,505.06618,,,0,20708.861,20272.77462,956.28361,24,0,0,12452.90166,0,0,6231.82974,607.75961,378.67144,28.87973,28.87973,,0,0,0,0,122.74476,227.04695,0,5.22898,52.18596,,42.29477,177.75904,433.6035
0928,"Страховое публичное акционерное общество ""Ингосстрах""",2522167.2528399997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14764.88142,5022.15861,,,9742.72281,1064527.66821,877088.41405,18360.66592,0,203361.54727,49087.58574,87740.30366,3205.59928,0,515332.71218,0,164351.82218,1381.02376,1381.02376,,0,140306.45598,844.77169,0,1394.00591,20425.56484,0,10804.77215,12282.65983,,1335098.54549,82473.23755,25302.92017
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",159430.01905000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,1861.74209,1725.48805,1346.625,3.69942,0,0,22.16065,0,0,351.04688,1.9561,136.25404,0,0,,0,0,0,0,0,136.25404,0,0,0,,144943.29224,9781.1036,2843.88112
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",838.5590500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.68861,37.68861,,,0,800.87044,-206.39129,0,0,-206.3318,0,0,0,0,-0.05949,0,1007.26173,0,0,,0,1007.26173,0,0,0,0,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1976982.44877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2867.32177,2867.32177,,,0,1247882.0044,1065953.99209,245.6125,0,32907.30775,89553.81269,124245.60053,-6963.89315,0,825965.55177,0,100806.81092,0,0,,0,1469.8056,4524.46325,26.51759,0,91737.29337,3048.73111,81163.65384,-42.45245,,620839.39576,64720.01602,40673.71082
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",1671781.7369999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6176,175.6176,,,0,82288.2502,78688.9096,0,639.38656,0,684.99538,808.64532,0,0,72950.34443,3605.53791,2416.55043,7.2,7.2,,0,0,0,0,105.36725,2303.98318,0,1097.4621,85.32807,,1469443.97901,95087.76337,24786.12682
1216,"Акционерное общество Страховая компания ""Чулпан""",32559.61995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,36.25,36.25,0,0,0,36.25,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,22414.26016,7788.33279,2320.777
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",476962.26952000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,8350.42307,8350.42307,0,0,0,0,0,0,0,8350.42307,0,0,0,0,,0,0,0,0,0,0,0,0,0,,406021.13751,48491.14721,14099.56173
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",857231.4787099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.23464,648.23464,,,0,543863.21191,491720.23188,102.3224,890.59868,135824.56836,10458.81939,35241.97663,3536.01667,2991.80442,305569.79573,96.13402,12610.83269,0,0,,0,5578.35757,875.0443,0,1070.55711,5080.48189,6.39182,30853.7498,8678.39754,,283648.78816,22439.99923,6631.24477
1427,"Акционерное общество ""Московская акционерная страховая компания""",268206.07923999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.407,22.407,,,0,44797.53309,44319.36481,36.48493,0,8915.49338,83.21841,15687.46352,0,0,19530.20457,66.5,478.16828,0,0,,0,156.91865,7.76088,0,0,313.48875,0,0,0,,204802.8025,14871.09747,3712.23918
1587,"Акционерное общество ""Страховое общество ""Талисман""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",84618.21741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.36863,134.36863,,,0,20386.16405,14811.2773,0,0,0,0,3634.4806,0,0,11108.90963,67.88707,2795.11676,29.50625,29.50625,,0,0,0,0,0,2765.61051,0,354.26146,2425.50853,,48060.3561,8852.37377,7184.95486
1820,"Акционерное общество ""ГУТА-Страхование""",19851.20683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,19851.20683,19841.05832,0,0,0,0,0,0,0,19841.05832,0,10.14851,0,0,,0,0,0,0,0,10.14851,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",300597.40879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.50115,406.50115,,,0,75033.12453,65931.19083,6083.05833,61.47871,671.88803,705.8727,30650.91577,447.16848,0,25922.17219,1388.63662,4880.78588,5.4,5.4,,0,0,22.78649,103.88125,84.16,4664.55814,0,3961.24556,259.90226,,212824.10805,7863.23414,4470.44092
1858,"Акционерное общество Страховая компания ""Армеец""",26894.08792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,26894.08792,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",1680.94066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1680.94066,0,0
2239,"Акционерное общество ""АльфаСтрахование""",2969551.9901400004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.03486,649.03486,,,0,422436.32029,335111.32806,0,0,35432.45173,36132.89326,791.09109,0,0,262754.89198,0,48033.37221,0,0,,0,6959.18743,762.15557,0,0,40354.57509,-42.54588,39291.62002,0,,2546400.76176,-79.69142,145.56465
2346,"Акционерное общество ""Объединенная страховая компания""",60684.610530000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.50369,1914.50369,,,0,22623.76909,22157.89959,15682.2949,47.12329,236.29041,68.69847,1479.59955,0,0,3709.05023,934.84274,465.8695,257.76535,0,,0,15.90577,18,0,0,174.19838,0,0,0,,36146.33775,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",30267.7717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,6995.98777,3323.59639,9,0,1647.34761,55.185,43.19404,0,0,1562.86974,6,3670.39138,0,0,,0,0,34.63725,0,541.86863,3093.8855,0,0,2,,16240.83169,5415.97387,1614.97837
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",25342.11503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.17706,633.17706,,,0,16303.77029,14262.38167,4570.6467,0,0,200.7966,3572.22562,0,0,4725.00254,1193.71021,2041.38862,0,0,,0,0,42.57038,0,0,1998.81824,0,0,0,,2053.86426,5072.86558,1278.43784
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",12196.30299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,12196.30299,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",92106.40283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73971.51558,73859.83967,,,111.67591,22777.7391,27047.86389,-125.29725,-0.50766,-1901.85637,-163.13559,4538.27709,-3.02535,-44.17895,24742.78926,-39.38024,-3987.75659,0,0,,0,0,0,-380,-83.41844,-3524.33815,0,-5907.758,5625.3898,,0,-2983.66869,-1659.18316
3064,"Акционерное общество ""Боровицкое страховое общество""",591.05446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,591.05446,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",502824.19860000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.64307,277.64307,,,0,76920.91675,66205.58774,960.05605,0.35536,10994.2978,12157.07649,5638.06841,0,0,35833.95402,621.77961,9235.19397,0,0,,0,67.50018,106.72523,1188.74208,425.27531,7446.95117,0,1480.13504,0,,407525.22723,14504.67387,3595.73768
3229,"Акционерное общество ""Страховая бизнес группа""",4236.6073400000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2282.80395,2187.22972,293.62133,0,0,0,1855.86272,0,0,28.1637,9.58197,95.57423,0,0,,0,0,0,0,0,95.57423,0,0,0,,277.37228,1342.8534,333.57771
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",1561.37357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,88.6402,66.35784,0,0,0,0,9.25,0,0,47.88874,9.2191,22.28236,0,0,,0,0,0,0,0,22.28236,0,0,0,,1472.73337,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",126378.69919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,99857.5994,37309.5872,0,0,-2103.72071,0,0,0,0,39413.30791,0,8092.15927,0,0,,0,-8345.99246,0,69.76757,0,16368.38416,0,0,54455.85293,,0,18774.39458,7746.70521
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",13247.876649999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2550.15651,2550.15651,0,0,0,0,315.15326,0,0,2235.00325,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,10697.72014,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,308749.84604000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,302675.85895,279930.40233,0,0,0,0,182469.37815,0,0,97461.02418,0,17376.05722,0,0,,0,0,0,0,-9764.39668,27140.4539,0,505.38426,4864.01514,,0,6073.98709,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",29669.93511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.57518,316.57518,,,0,907.14304,390.22464,0,0,0,0,296.86541,0,0,77.75923,15.6,516.9184,0,0,,0,72,0,0,2.49,442.4284,0,0,0,,28446.21689,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",214.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,214.016,0,0,0,0,0,0,0,0,0,0,214.016,0,0,,0,0,0,0,0,214.016,0,0,0,,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",4558.65749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53236,-0.53236,,,0,4559.18985,4436.20252,4013.01465,0,0,0,6.50013,0,0,416.68774,0,122.98733,0,0,,0,0,0,0,0,0,122.98733,0,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",1048946.11706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-356.44126,-356.44126,,,0,815853.64694,634080.53274,0,3.1875,10468.98765,47859.38537,102536.31381,0,0,473212.65841,0,103524.52121,0,0,,0,3613.78161,0,1137.13967,17135.71822,81430.68205,207.19966,16820.39024,61428.20275,,167762.50039,50668.69232,15017.71867
4334,Общество с ограниченной ответственностью Страховая компания «АСТК»,45566.43016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,45566.43016,42518.70223,0,0,0,0,0,0,0,42518.70223,0,3047.72793,0,0,,0,0,0,0,0,3047.72793,0,0,0,,0,0,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",22107449.60129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415237.7614,347617.20703,,,67620.55437,21683576.79969,16509944.1791,562353.27455,29798.12736,864794.45352,1656230.89406,882565.73625,306830.9091,208276.24778,12140638.83699,66731.94727,3347422.93732,808.45741,0,,0,807832.47112,721573.40689,0,817855.73223,979382.24181,19970.62786,130766.80387,1695442.8794,,8635.0402,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",444099.89618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,444099.89618,383904.13103,1919.68446,5675.50055,0,13943.95996,38407.52606,0,0,316812.87597,7144.58403,22015.91996,0,0,,0,0,2870.0036,0,0,15146.52125,3999.39511,31429.39555,6750.44964,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
