"Сведения о страховых выплатах по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0191,"Акционерное общество ""Тинькофф Страхование""",421069.46015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,421069.46015,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",837536.4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.95624,592.95624,,,0,836943.45126,836943.45126,2185.59831,0,0,200.13316,245.02849,1542.50828,0,832752.28319,17.89983,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",19474.04364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,11937.45612,6499.87191,0,0,0,0,0,0,0,6499.87191,0,5437.58421,0,0,,0,0,0,0,0,5437.58421,0,0,0,,0,1815.26024,5721.32728
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",3982.44787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,3982.44787,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",18311.56314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,18311.56314,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",15170.03532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,15170.03532,0,0
0621,"Страховое акционерное общество ""ВСК""",1566170.0658600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,467283.62044,304937.6757,709.28589,0,87382.68411,772.12438,1522.13431,0,0,214541.15395,10.29306,345.94474,0,0,,0,255.33992,0,0,0,90.60482,0,162000,0,,1080909.62962,5826.5438,12150.272
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",23581.785020000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.03164,789.03164,,,0,6392.1608,6192.23363,435.33371,0,128.91747,0,340.23603,0,0,3871.27883,1416.46759,199.92717,0,0,,0,0,0,0,0,199.92717,0,0,0,,14652.20832,618.83507,1129.54919
0928,"Страховое публичное акционерное общество ""Ингосстрах""",2639492.27251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6218.17108,5327.9035,,,890.26758,1114551.42342,1016939.54376,4887.02888,0,1824.6816,10261.22089,11197.81327,417.66379,0,988351.13533,0,7697.62323,0,0,,0,7690.60573,0,0,7.0175,0,0,0,89914.25643,,1477165.14818,13387.85728,28169.67255
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",172664.16006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,136.52372,136.52372,53.69736,0,0,0,0,0,0,82.82636,0,0,0,0,,0,0,0,0,0,0,0,0,0,,169660.96983,925.01193,1941.65458
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",5882.69655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,5882.69655,352.51106,0,0,198.14919,0,0,0,0,154.36187,0,5530.18549,0,0,,0,0,0,0,9.70766,5520.47783,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1260182.15622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7545.20026,7545.20026,,,0,492148.18996,489024.65239,0,0,4502.87012,5581.75941,12730.42757,2685.79336,0,463523.80193,0,3123.53757,0,0,,0,0,0,0,0,3123.53757,0,0,0,,734752.08928,5568.86984,20167.80688
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",2408315.35928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.22409,656.96857,,,-0.74448,23899.78574,23824.31054,4762.54301,0,515.67175,0,6294.20617,0,0,12211.94036,39.94925,75.4752,0,0,,0,0,0,0,0,75.4752,0,0,0,,2329806.04979,17225.41425,36727.88541
1216,"Акционерное общество Страховая компания ""Чулпан""",32633.00434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,29817.13389,642.84927,2173.02118
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",640836.8496200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,337.00424,337.00424,0,0,0,0,0,0,0,337.00424,0,0,0,0,,0,0,0,0,0,0,0,0,0,,618336.53222,7210.54033,14952.77283
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",615661.83019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,259653.38995,172224.15518,178.3555,0,17831.96362,19,0,0,0,154194.83606,0,0,0,0,,0,0,0,0,0,0,0,3418.96752,84010.26725,,347532.87839,2574.23489,5901.32696
1427,"Акционерное общество ""Московская акционерная страховая компания""",404853.49489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,58781.12571,58573.53534,0,0,1973.02758,0,1.63096,0,0,56598.8768,0,207.59037,0,0,,0,0,0,0,0,207.59037,0,0,0,,341005.83021,1777.5576,3288.98137
1587,"Акционерное общество ""Страховое общество ""Талисман""",1309.31851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1309.31851,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",70876.17666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,5120.27067,2254.52959,0,0,0,0,0,0,0,1064.27942,1190.25017,990.96407,0,0,,0,0,0,0,0,0,990.96407,0,1874.77701,,63220.57652,478.91733,2056.41214
1820,"Акционерное общество ""ГУТА-Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",270627.46359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,43352.11394,43352.11394,9522.72731,0,1927.0424,0,11474.86762,733.27239,0,19694.20422,0,0,0,0,,0,0,0,0,0,0,0,0,0,,223770.24153,827.62302,2677.4851
1858,"Акционерное общество Страховая компания ""Армеец""",39703.34686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,39703.34686,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",1449.25445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1449.25445,0,0
2239,"Акционерное общество ""АльфаСтрахование""",1770645.55619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11117,5.11117,,,0,134781.45985,63482.77159,0,0,0,730.40828,0,0,0,62752.36331,0,554.3283,0,0,,0,554.3283,0,0,0,0,0,70744.35996,0,,1611221.11638,5050.61494,19587.25385
2346,"Акционерное общество ""Объединенная страховая компания""",70541.37155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74084,2.74084,,,0,12518.77492,12518.77492,11370.8172,0,441.14804,0,388.30123,0,0,318.50845,0,0,0,0,,0,0,0,0,0,0,0,0,0,,58019.85579,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",75646.24001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.7053,187.7053,,,0,41550.73659,39502.47283,36123.68831,0,1873.63388,715.61179,0,0,0,776.84202,12.69683,2048.26376,0,0,,0,0,0,0,0,2048.26376,0,0,0,,31367.23887,764.62485,1775.9344
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",1946.3097300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,53.7442,53.7442,0,0,0,0,0,0,0,14.1938,39.5504,0,0,0,,0,0,0,0,0,0,0,0,0,,1892.56553,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",7308.94985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,7308.94985,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",7836.710300000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746.38215,0,,,5746.38215,121.72525,121.72525,0,0,2.16383,0,0,0,0,91.77963,27.78179,0,0,0,,0,0,0,0,0,0,0,0,0,,0,604.54385,1364.05905
3064,"Акционерное общество ""Боровицкое страховое общество""",483.70705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,483.70705,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",647174.75324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,6502.18509,6473.05692,0,0,1937.5188,0,4528.03781,0,0,7.50031,0,29.12817,0,0,,0,29.12817,0,0,0,0,0,0,0,,636249.93967,1536.68329,2885.94519
3229,"Акционерное общество ""Страховая бизнес группа""",3048.79971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,403.6994,0,0,0,0,0,0,0,0,0,0,403.6994,0,0,,0,0,0,0,0,0,403.6994,0,0,,1404.22254,260.87296,980.00481
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",3.23587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,3.23587,0,0,0,0,0,0,0,0,0,0,3.23587,0,0,,0,0,0,0,0,3.23587,0,0,0,,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",6002.52752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2012.91211,13.64135,0,0,0,0,13.64135,0,0,0,0,1999.27076,0,0,,0,0,0,0,0,1999.27076,0,0,0,,3989.61541,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",12991.641200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,4440.00507,8551.63613
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",2257.4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,1121.09218,1121.09218,0,0,0,0,0,0,0,1121.09218,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,1136.34872,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,600.70784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,600.70784,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",77101.41376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,77101.41376,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",8477.42634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,8477.42634,8405.2537,7852.65871,0,0,0,36.87719,0,0,515.7178,0,72.17264,0,0,,0,0,0,0,0,72.17264,0,0,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",469170.27022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,268086.32587,181018.46824,0,0,117213.74093,0,5807.04583,0,0,57997.68148,0,11.51467,0,0,,0,11.51467,0,0,0,0,0,87056.34296,0,,189345.78509,3245.54265,8492.61661
4334,Общество с ограниченной ответственностью Страховая компания «АСТК»,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",3705284.9780200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314922.21666,296833.37005,,,18088.84661,3252231.13499,2801543.83531,564170.23291,1459.60631,48843.8973,166834.66116,350214.50637,372002.67105,148869.40624,1291470.51818,6547.74203,36443.55084,533.48148,0,,0,25471.91749,2831.88299,0,0,4683.28772,2922.98116,0,414243.74884,,138131.62637,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",7559.10903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,7559.10903,7559.10903,0,0,0,0,7559.10903,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
