"Сведения о страховых выплатах по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0191,"Акционерное общество ""Тинькофф Страхование""",1023335.07313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1023335.07313,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",1344418.61017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090.70478,2090.70478,0,,0,1342327.90539,1342327.90539,12426.40532,0,0,0,1509.7678,14834.70046,0,1313035.55732,521.47449,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",54071.3912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,27980.53487,7559.21464,0,0,0,0,0,0,0,7559.21464,0,20421.32023,0,0,0,0,0,0,0,0,20421.32023,0,0,0,,0,5711.89846,20378.95787
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",67714.94899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,67714.94899,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",55241.77887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,55241.77887,0,0
0621,"Страховое акционерное общество ""ВСК""",4021132.6058199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07025,1.07025,0,,0,848002.86844,642414.74502,4704.06791,0,137223.38064,39389.10621,1071.25698,300.60795,0,459697.91386,28.41147,16333.67572,0,0,0,0,52.03725,82.19572,0,0,16199.44275,0,177980.20938,11274.23832,,3109179.82373,14752.12067,49196.72273
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",4284.82872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4284.82872,0,0
0667,"Общество с ограниченной ответственностью ""Инлайф страхование""",73.83163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,73.83163,73.83163,0,0,0,0,0,0,0,73.83163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",65048.51759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.8829,407.8829,0,,0,18125.21652,14603.77829,4235.3557,0,2.68244,0,3979.26079,0,0,6221.87661,164.60275,3521.43823,0,0,0,0,0,0,0,1.32818,3520.11005,0,0,0,,39907.83263,1816.8303,4790.75524
0928,"Страховое публичное акционерное общество ""Ингосстрах""",6465235.99293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49119.47393,27041.70621,0,,22077.76772,1972985.13261,1886650.90064,49514.07502,2728.83071,417192.03145,165603.15718,62589.72262,4342.42993,0,1184680.65373,0,16983.59672,9229.89758,9229.89758,0,0,1372.19646,0,3306.41027,399.26409,2675.82832,0,0,69350.63525,,4335150.34739,30055.35374,77925.68526
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",511874.82751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,2024.85731,2024.85731,733.13906,0,0,0,1.49334,0,0,1263.9105,26.31441,0,0,0,0,0,0,0,0,0,0,0,0,0,,502009.11124,1876.82355,5964.03541
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",24219.94828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,24219.94828,18065.74234,988.09091,0,11063.8972,1650.96206,3807.91244,0,0,489.04134,65.83839,6154.20594,0,0,0,0,0.15162,0,0,1501.70594,4652.34838,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",2994445.33169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3617.51341,3617.51341,0,,0,712453.89522,657056.60185,1022.45114,0,72906.3433,21183.52842,19460.58255,1751.95128,0,540731.74516,0,49812.71725,0,0,0,0,0.2289,0,665.75125,0,49146.7371,0,0,5584.57612,,2174854.86232,16587.34212,86931.71862
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",7715886.70396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.69497,68.43334,0,,87.26163,614055.89909,611235.53549,18587.99535,19.16951,0,0,120.61267,0,0,592252.11565,255.64231,2350.59533,179.89342,179.89342,0,0,0,0,220.42735,0,1950.27456,0,0,469.76827,,6962970.08216,35573.28345,103131.74429
1216,"Акционерное общество Страховая компания ""Чулпан""",90642.05279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80766.70483,2692.13955,7183.20841
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",2002067.2724300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,60.8,0,,0,377.94107,377.94107,0,0,0,0,0,0,0,377.94107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1937611.68173,16488.91652,47527.93311
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1556266.78452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.69265,318.69265,0,,0,621760.17864,552727.36746,6766.71038,0,267257.77863,28785.94927,103.90576,0,0,244038.01819,5775.00523,7740.12904,0,0,0,0,6690.77688,41.96277,838.68309,0,168.7063,0,9963.38057,51329.30157,,914038.0151,4706.7765,15443.12163
1427,"Акционерное общество ""Московская акционерная страховая компания""",1163887.74881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.42414,396.42414,0,,0,25681.87217,25681.87217,0,14.2976,17632.8818,0,124.52755,0,0,7910.16522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1120406.03438,4238.85504,13164.56308
1587,"Акционерное общество ""Страховое общество ""Талисман""",17970.42195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17970.42195,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",286781.32106000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,9179.63176,5577.52441,0,0,0,0,2263.69092,0,0,2646.01465,667.81884,507.5598,507.5598,0,507.5598,0,0,0,0,0,0,0,0,3094.54755,,271779.76406,1351.22112,4470.70412
1820,"Акционерное общество ""ГУТА-Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",931780.3668199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191.56158,1191.56158,0,,0,246422.16567,131168.23396,19822.81733,15.99759,13.94728,856.63677,5539.88437,7298.74719,0,96585.81733,1034.3861,6453.87522,0,0,0,0,0,0,15.95907,0,6437.91615,0,108800.05649,0,,671609.22966,3452.95373,9104.45618
1858,"Акционерное общество Страховая компания ""Армеец""",152176.55818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,152176.55818,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",4086.58218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4086.58218,0,0
2239,"Акционерное общество ""АльфаСтрахование""",5270090.003450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.48912,270.48912,0,,0,795876.18276,726370.546,1398.16848,0,388391.19425,12485.89511,0,0,0,324095.28816,0,11668.01345,0,0,0,0,9070.429,0,0,0,2597.58445,0,57837.62331,0,,4406086.82039,17590.6266,50265.88458
2346,"Акционерное общество ""Объединенная страховая компания""",216505.30658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.68697,2460.68697,0,,0,29828.30062,24993.0947,17740.62753,171.7856,1184.10398,135.97061,2101.04582,0,0,3295.06599,364.49517,4835.20592,0,0,0,0,0.03972,0,0,0,4835.1662,0,0,0,,184216.31899,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",286295.77729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.47873,198.47873,0,,0,164301.9997,162898.93532,157520.29509,0,25.97721,3254.92126,15.24578,0,0,1992.63084,89.86514,1403.06438,0,0,0,0,0,82.19572,0,0,1320.86866,0,0,0,,116627.90864,1150.78397,4016.60625
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",6875.135200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,312,0,,0,1206.22255,1206.22255,0,0,0,0,868.09787,0,0,338.12468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5356.91265,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",6378.8235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6378.8235,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",27975.63544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14479.16859,0,0,,14479.16859,6827.36286,6827.36286,0,0,2.99051,0,49.24515,0,0,6775.1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1650.9849,5018.11909
3064,"Акционерное общество ""Боровицкое страховое общество""",1428.63094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1428.63094,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",2026313.67994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.26356,236.26356,0,,0,67226.76497,11057.37443,0,0,0,0,408.68772,0,0,10595.06889,53.61782,324.39796,0,0,0,324.39796,0,0,0,0,0,0,55844.99258,0,,1945440.20769,3105.17501,10305.26871
3229,"Акционерное общество ""Страховая бизнес группа""",17969.00581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,5097.15837,38.11375,0,0,0,0,38.11375,0,0,0,0,5059.04462,0,0,0,0,0,0,0,0,0,5059.04462,0,0,,9966.15878,794.5269,2111.16176
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",628.27795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,628.27795,0,0,0,0,0,0,0,0,0,0,628.27795,0,0,0,0,0,0,0,0,628.27795,0,0,0,,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",22298.50288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1794.65544,985.2245,0,0,0,0,949.36684,0,0,35.85766,0,809.43094,0,0,0,0,0,0,0,0,809.43094,0,0,0,,18519.23576,501.05336,1483.55832
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",58092.4427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.87167,483.87167,0,,0,8236.18633,5584.45197,0,0,5494.59124,89.86073,0,0,0,0,0,2651.73436,0,0,0,0,1686.15594,0,0,0,965.57842,0,0,0,,0,14058.63338,35313.75132
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",5586.230820000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,2326.15905,2326.15905,0,0,0,0,0,0,0,2326.15905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3260.07177,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,2700.88742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1268.85534,1268.85534,0,0,0,0,0,0,0,1268.85534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1432.03208,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",162570.8793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,162570.8793,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",153072.75764999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5616.94853,0,0,,5616.94853,147455.80912,139159.10477,192360.94771,0,0,0,13726.8428,16831.75051,0,-83760.43625,0,8296.70435,32.84447,32.84447,0,0,0,0,0,0,8150.38258,113.4773,0,0,,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",842166.6222399999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,268517.10459,261205.63924,0,7.65454,106812.13141,2898.29387,19668.44688,0,0,131819.11254,0,1703.17676,0,0,0,0,236.07626,0,0,0,1467.1005,0,1885.02574,3723.26285,,550073.49314,5065.2749,18510.74961
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",14411268.41543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364107.56209,1222946.87505,0,,141160.68704,12527497.03272,11815156.81088,3204252.88176,15508.05447,1507274.38865,256390.95439,1470719.15299,2424870.4412,846633.8539,2888173.39796,47967.53946,117878.39436,175.1341,0,0,0,40983.92655,1948.27646,0,55315.92248,18636.26439,818.87038,0,594461.82748,,518818.84911,844.97151,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",149132.74138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,149132.74138,68078.43277,0,0,0,0,6071.43983,0,0,62006.99294,0,0,0,0,0,0,0,0,0,0,0,0,81054.30861,0,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
