"Сведения о вознаграждении посредникам за их заключение по договорам страхования, заключенным путем обмена информацией в электронной форме, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
0191,"Акционерное общество ""Т-Страхование""",314535.42818,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,48258.27546,48258.27546,0,,0,170157.91462,63265.77509,3629.13811,0,0,0,0,0,,0,59636.63698,12.69356,1.06976,,0,0,0,0,11.6238,0,0,106879.44597,,96119.2381,0,0,
0290,"Акционерное общество ""Зетта Страхование""",653056.19274,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,81031.24199,71261.48158,84.74925,,9769.76041,561097.8837,499976.52337,388741.13504,237.49865,0,0,15112.6666,338.25494,,28666.97071,66879.99743,39834.60152,3754.1978,,0,0,10.5,1248.62121,33139.68586,1681.59665,50.96718,21235.79163,,8678.68114,760.61199,1487.77392,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",5.90594,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,0,,0,5.90594,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,5.90594,,0,0,0,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",66860.71135,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,66860.71135,0,0,
0621,"Страховое акционерное общество ""ВСК""",1170053.3631600002,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,61263.7623,61263.2248,0,,0.5375,29602.2508,29574.20949,632.29941,0,0,0,0,0,,0,28941.91008,27.34531,0,,0,0,0,0,27.34531,0,0,0.696,,1079187.35006,0,0,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",197135.68964,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,117338.44756,117209.35506,0,,129.0925,69328.42462,62821.37022,0,0,0,0,0,0,,0,62821.37022,38.08375,0,,0,0,0,0,38.08375,0,0,6468.97065,,10468.81746,0,0,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",3445424.64834,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,33033.88493,10055.23796,0,,22978.64697,2022888.37572,2012897.4462,1649081.13984,0,127.5,0,36434.44386,0,,7639.66411,319614.69839,7791.89488,1529.66498,,16.265,1.87,0,843.57458,5388.02032,12.5,0,2199.03464,,1387725.82879,312.91091,1463.64799,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",535892.7661400001,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,379007.9527,371884.30478,0,,7123.64792,129051.86634,125054.64489,20838.66053,0,0,0,8.8452,0,,0,104207.13916,603.5396,0,,0,0,0,0,603.5396,0,0,3393.68185,,27832.9471,0,0,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",1241398.69919,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,1241398.69919,0,0,
1216,"Акционерное общество Страховая компания ""Чулпан""",32841.25988,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,3049.04583,3049.04583,0,,0,4757.47295,4285.36865,0,0,0,0,0,0,,0,4285.36865,472.1043,0,,0,0,0,0,472.1043,0,0,0,,25034.7411,0,0,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",375123.92418,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,104486.74931,84491.60979,0,,19995.13952,71928.5139,56415.12059,35360.16793,0,0,0,0,0,,0,21054.95266,3505.58751,46.48303,,0,0,0,0,3459.10448,0,0,12007.8058,,198708.66097,0,0,
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",2123989.09486,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,216321.3666,201554.21547,0,,14767.15113,1660108.9147,1066196.8228,974678.32078,0,0,0,215.21303,0,,76.11305,91227.17594,7629.27098,1614.8794,,0,0,0,0,6014.39158,0,0,586282.82092,,247558.81356,0,0,
1427,"Акционерное общество ""Московская акционерная страховая компания""",127081.83199,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,29465.76337,29465.76337,0,,0,7564.00169,5444.61484,221.36045,0,0,0,0,0,,0,5223.25439,2.75337,0,,0,0,0,0,2.75337,0,0,2116.63348,,90052.06693,0,0,
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",792592.8814300001,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,534642.2023,474447.16093,0,,60195.04137,257950.67913,185559.42798,0,0,0,0,0,0,,0,185559.42798,7338.68447,0,,0,0,0,0,7338.68447,0,0,65052.56668,,0,0,0,
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",49153.3656,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,34379.61706,26929.97706,0,,7449.64,8854.17283,8781.64159,2010.84393,0,0,0,0,0,,1.725,6769.07266,58.41,0,,0,0,0,0,58.41,0,0,14.12124,,5919.57571,0,0,
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",85959.07594000001,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,34251.32245,34251.32245,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,51707.75349,0,0,
2239,"Акционерное общество ""АльфаСтрахование""",1887293.32879,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,709593.86417,705473.62437,0,,4120.2398,1051271.78908,209380.29631,6499.13108,0,0,0,0,0,,194.13316,202687.03207,1220.53929,24.69527,,0,0,0,0,1195.84402,0,0,840670.95348,,126427.67554,0,0,
2346,"Акционерное общество ""Объединенная страховая компания""",76923.20223,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,318.07381,198.76274,0,,119.31107,973.40492,882.69836,783.82328,0,0,0,0,0,,0,98.87508,66.52245,30.125,,0,0,0,0,36.39745,0,0,24.18411,,75631.7235,0,0,
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",291475.02537999995,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,62391.10826,51282.65704,0,,11108.45122,225439.38958,214709.15921,165466.77463,0,0,0,0,0,,39329.37595,9913.00863,7539.78788,3924.02624,,0,0,0,0,3615.76164,0,0,3190.44249,,3644.52754,0,0,
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
3064,"Акционерное общество ""Боровицкое страховое общество""",0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",19752.22929,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,9668.53515,9668.53515,0,,0,5120.62727,5117.03087,32.158,0,1644.77514,0,0,0,,30.90246,3409.19527,3.5964,0,,0,0,0,0,3.5964,0,0,0,,4963.06687,0,0,
3229,"Акционерное общество ""Страховая бизнес группа""",829.2718600000001,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,603.44158,212.21108,0,,391.2305,159.07221,156.09721,0,0,0,0,80.28601,0,,0,75.8112,0,0,,0,0,0,0,0,0,0,2.975,,66.75807,0,0,
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",3010.66099,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,2814.71136,1.8,0,,2812.91136,49.52,49.52,0,0,0,0,0,0,,0,49.52,0,0,,0,0,0,0,0,0,0,0,,146.42963,0,0,
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",27650821.18861,4795420.85892,4795420.85892,4511760.68012,163448.4698,4219820.25093,128491.95939,0,0,283660.1788,,0,283660.1788,0,,0,0,0,,0,,,0,0,,0,,,,,,22855400.32969,873.23106,0,,22854527.09863,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",30660.3071,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,19841.12926,19841.12926,0,,0,10819.17784,9124.92697,0,0,0,0,0,0,,0,9124.92697,1009.4385,0,,0,0,0,0,1009.4385,0,0,684.81237,,0,0,0,
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",4423.78867,4423.78867,4423.78867,147.18322,0,147.18322,0,0,0,4276.60545,,4276.60545,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",450,431.85915,431.85915,431.85915,0,0,431.85915,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,18.14085,18.14085,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",43142.31424,43142.31424,42909.83673,3080.22063,0,0,3080.22063,0,0,39829.6161,,0,39829.09322,0.52288,,232.47751,232.47751,232.47751,,0,,,0,0,,0,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",187314.11054,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,99120.72875,101058.1056,0,,0,58676.70972,2050.11589,2161.95351,0,0,0,0,0,,0,512.10916,4.152,0,,0,0,0,0,4.284,0,0,56622.44183,,29516.67207,0,0,
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",4675.3233199999995,0.21757,0.21757,0.21757,0,0,0,0,0.21757,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,4675.10575,8.9936,0,,4666.11215,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
3987,"Акционерное общество «Инлайф страхование жизни""",204119.43505,204119.43505,204119.43505,204119.43505,0,204119.43505,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
4014,Акционерное общество «Страховая компания «Ю-Лайф»,11.08013,0.50144,0.50144,0.50144,0,0,0,0.50144,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,10.57869,6.88655,0,,3.69214,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",16874.70149,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,2044.13445,1718.38791,0,,325.74654,14830.56704,14372.22988,4906.83818,144.2,0,2169.12892,0,0,,6177.35639,974.70639,458.33716,0,,0,179.17966,0,0,279.1575,0,0,0,,0,0,0,
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",635803.06045,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,37612.08242,32206.65679,0,,5405.42563,250042.34956,238519.92027,41984.49552,0,0,0,0,0,,115556.5696,80978.85515,6380.38911,101.16357,,0,0,0,71.67306,6207.55248,0,3070.6012,2071.43898,,348148.62847,0,0,
4365,Общество с ограниченной ответственностью Страховая компания «БКС Страхование жизни»,78825.06742,77130.66714,2743.3193,1794.65075,0,192.67441,1601.97634,0,0,948.66855,,0,948.66855,0,,74387.34784,43142.14784,43125.14784,,17,,,31245.2,31245.2,,0,,,,,,1694.40028,1694.40028,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
4405,Общество с ограниченной ответственностью «Т-Страхование Будущего»,46099.18742,46074.01791,46074.01791,46074.01791,0,0,46074.01791,0,0,0,,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,25.16951,25.16951,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
