"Сведения о доле перестраховщиков в выплатах по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Цюрих""",5197.8861099999995,0,0,54.71707,54.71707,0,0,0,5143.16904,2827.4037799999996,0,0,0,0,2281.22576,0,0,546.1780200000001,0,1448.49938,0,0,0,0,0,0,0,10.278970000000001,1438.2204100000001,0,867.26588,0,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",91854.40546,0,0,0,0,0,0,0,91854.40546,91854.40546,0,0,0,0,8.94421,0,0,91845.46125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",22572.54414,0,0,5890.662130000001,5288.712460000001,0,0,601.9496700000001,16681.88201,5974.90566,657.09121,0,0,0,4882.62038,0,0,435.19407,0,0,0,0,0,0,0,0,0,0,0,0,3896.74787,6810.22848,,0,0,0,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",652.5524899999999,0,0,0,0,0,0,0,652.5524899999999,652.5524899999999,12.17056,0,640.38193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",24857.42322,0,0,0,0,0,0,0,24857.42322,24270.50981,0,0,0,0,0,0,0,24270.50981,0,586.91341,0,0,0,0,0,0,0,0,0,586.91341,0,0,,0,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",360.929,0,0,0,0,0,0,0,360.929,360.929,360.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",419.03836,0,0,39.34916,39.34916,0,0,0,379.6892,379.6892,356.6892,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",521.94853,0,0,0,0,0,0,0,521.94853,521.94853,503.11072,0,0,0,0,0,0,18.83781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",42426.32332,0,0,0,0,0,0,0,37997.830780000004,36382.61451,0,0,0,0,0,19558.66666,19558.66666,16823.94785,0,1615.21627,0,0,0,0,0,0,1615.21627,0,0,0,0,0,,0,0,4428.49254,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",32041.84331,0,0,1185.9450199999999,1185.9450199999999,0,0,0,21882.44295,21882.44295,21753.97637,0,0,0,0,0,0,128.46658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7370.99753,0,1602.45781,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",4183.71502,0,0,4183.71502,4183.71502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",18764.05579,0,0,0,0,0,0,0,18530.162,18530.162,0,0,0,0,0,0,0,18530.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,233.89379,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",574696.9378300001,0,0,100174.94491,0,0,0,100174.94491,403858.38109000004,379761.02504,60691.29998,0,240544.88711,22121.994590000002,25775.35195,0,0,30627.491409999995,0,16887.95463,735.7177,0,0,0,2642.82926,5778.109579999999,0,0,7731.29809,0,0,7209.40142,,0,22683.0193,47980.59253,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",40543.92712,0,0,32953.75245,0,0,0,32953.75245,5610.6982499999995,5206.42374,431.42374,0,0,0,0,0,0,0,4775,0,0,0,0,0,0,0,0,0,0,0,0,404.27451,,0,0,1979.47642,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",31575.887520000004,0,0,7139.63003,7139.63003,0,0,0,24436.257490000004,24436.257490000004,24308.573969999998,0,0,0,0,0,0,0,127.68352,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1588425.06664,0,0,1403.83807,0,0,0,1403.83807,1526972.23978,1517791.71972,811564.05602,3681.46273,148397.67719999998,127626.15233,195.625,9151.55979,0,417175.18665000005,0,5895.05842,0,0,0,0,5895.05842,0,0,0,0,0,3285.46164,0,,23221.94202,17149.62449,19677.42228,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",534988.03614,0,0,359475.53826999996,35395.53722,0,0,324080.00105,168863.30984,132278.91263,13916.33295,0,0,0,8076.88971,0,0,21536.07297,88749.617,21821.65588,18879.59347,1030.46298,17849.13049,0,0,12.558,0,0,181.91208,2747.59233,14678.12107,84.62026,,0,727.00638,5922.18165,0
1216,"Акционерное общество Страховая компания ""Чулпан""",2669.0878900000002,0,0,0,0,0,0,0,716.76975,716.76975,671.32725,0,0,0,0,0,0,45.4425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1952.31814,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",138027.01005999997,0,0,41365.969979999994,36086.12476,0,0,5279.84522,94437.43879,83429.51075,53863.62247,0,0,0,0,0,0,29565.0512,0.83708,112.51133999999999,93.25327,93.25327,0,0,0,0,0,0,19.25807,0,0,10895.4167,,0,0,2223.60129,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",170461.41632,0,0,0,0,0,0,0,151806.88322,2460.95798,2460.95798,0,0,0,0,0,0,0,0,109.07256,0,0,0,109.07256,0,0,0,0,0,0,149236.85268,0,,0,1147.45002,17507.08308,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",2213.38571,0,0,0,0,0,0,0,2213.38571,2213.38571,0,0,0,0,2213.38571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",22462.77447,0,0,19441.26142,19441.26142,0,0,0,197.4805,197.4805,197.4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2824.03255,0
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",15.482,0,0,0,0,0,0,0,15.482,15.482,0,0,0,0,0,0,0,0,15.482,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",-24.99999,0,0,0,0,0,0,0,-24.99999,-24.99999,-24.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",60455.42805,0,0,60455.42805,0,0,0,60455.42805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",4476.34573,0,0,3520.9999000000003,3520.9999000000003,0,0,0,955.34583,8.1585,0,0,0,0,8.1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.18733,,0,0,0,0
1820,"Акционерное общество ""ГУТА-Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",101275.28013999999,0,0,7.72008,7.72008,0,0,0,94529.14934999999,94529.14934999999,11520.069599999999,0,0,0,0,388.83005,0,82620.2497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,99.89972,6638.51099,0
1858,"Акционерное общество Страховая компания ""Армеец""",68018.20212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,68018.20212,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",1593.68037,0,0,0,0,0,0,0,1593.68037,631.94363,631.94363,0,0,0,0,0,0,0,0,961.73674,961.73674,0,961.73674,0,0,0,0,0,0,0,0,0,,0,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",4472.258540000001,0,0,320.02295000000004,320.02295000000004,0,0,0,4152.23559,4152.23559,4152.23559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",1593153.6476099999,0,0,20459.738520000003,16970.84815,0,0,3488.89037,1562144.71886,1502818.1074700002,20412.0403,0,402595.2271,12227.3071,3519.9066300000004,1037.77911,36.96431,1063022.2904,3.55683,10990.970130000002,0,0,0,0,4083.61875,0,0,0,6907.35138,0,0,48335.64126,,0,7357.49939,3191.69084,0
2346,"Акционерное общество ""Объединенная страховая компания""",3658.5418699999996,0,0,3499.99923,3499.99923,0,0,0,18.90174,18.90174,0,0,0,0,0,0,0,18.90174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,139.6409,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",20221.44489,0,0,11223.32902,11223.32902,0,0,0,8998.11587,8998.11587,7000,0,0,0,0,1983.4968,1983.4968,14.61907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",1472.56035,0,0,0,0,0,0,0,1472.56035,1472.56035,1223.55841,0,0,0,0,0,0,105.76605,143.23589,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",1007.74464,0,0,0,0,0,0,0,1007.74464,0,0,0,0,0,0,0,0,0,0,1007.74464,0,0,0,0,1007.74464,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",1018823.78087,0,0,143692.22712999998,143692.22712999998,0,0,0,875131.55374,875131.55342,17413.61071,0,0,0,0,820072.75513,448289.77424,35223.75559,2421.43199,0.00032,0,0,0,0,0,0,0,0,0.00032,0,0,0,,0,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",4419.359530000001,0,0,0,0,0,0,0,4419.359530000001,1322.5,1322.5,0,0,0,0,0,0,0,0,3096.8595299999997,0,0,0,0,0,0,0,0,0,3096.8595299999997,0,0,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",17318.49006,0,0,1305.49113,0,0,0,1305.49113,15546.5,15546.5,0,0,0,0,0,0,0,15546.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,466.49893,0
3229,"Акционерное общество ""Страховая бизнес группа""",395.80637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,395.80637,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",37970.18442,20799.49538,0,17170.689039999997,23889.44164,0,0,-6718.7526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",190.90213999999997,0,0,0,0,0,0,0,190.90213999999997,190.90213999999997,0,0,0,0,190.90213999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",10197.4343,0,0,8533.02063,8533.02063,0,0,0,1664.41367,1664.41367,1604.1579199999999,0,0,0,60.25575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",959.09135,950.09135,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",142.32277,0,0,142.32277,0,0,0,142.32277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",7316.2938699999995,5871.71117,0,1444.5827,1444.5827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",49080.04248,49080.04248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",56206.16642,12231,0,43975.16642,32840.12053,0,0,11135.045890000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",213898.57184,8010.949119999999,0,205887.62271999998,3535.8204699999997,0,0,202351.80225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",2203.47696,2203.47696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",2645.5215000000003,0,0,1886.7418200000002,1886.7418200000002,0,0,0,758.77968,758.77968,445.21182,0,0,0,0,0,0,0,313.56786,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",2.2117,2.2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",34294.10212,3499.05859,0,30795.043530000003,29798.96871,0,0,996.07482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",2165.66781,0,0,0,0,0,0,0,2165.66781,2165.66781,2164.40449,0,0,0,0,0,0,1.26332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3947,"Акционерное общество ""АИГ страховая компания""",112291.05314,0,0,0,0,0,0,0,112291.05314,110098.50674,0,0,0,0,20859.4415,0,0,89239.06524,0,1432.07431,0,0,0,0,0,0,0,0,1432.07431,0,0,760.47209,,0,0,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",70646.60441,0,0,54011.09891,0,0,0,54011.09891,16635.5055,10005.5055,0,0,0,0,0,10005.5055,10005.5055,0,0,6630,0,0,0,0,0,0,0,6630,0,0,0,0,,0,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",423.42315999999994,0,0,226.24733999999998,226.24733999999998,226.24733999999998,0,0,197.17582,0,0,0,0,0,0,0,0,0,0,197.17582,0,0,0,0,0,0,0,0,197.17582,0,0,0,,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",94458.95994,77968.62099,0,16490.33895,6151.67145,0,0,10338.6675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4009,"Акционерное общество ""ЕРВ Туристическое Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4014,"Акционерное общество ""Страховая компания ""Югория-Жизнь""",30.00965,30.00965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4079,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",4688.463540000001,4688.463540000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4104,"Общество с ограниченной ответственностью ""Страховая компания КАРДИФ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4105,"Общество с ограниченной ответственностью ""Страховая компания ""СиВ Лайф""",43686.59474,43686.59474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",8475.70638,0,0,8475.70638,8475.70638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4133,Общество с ограниченной ответственностью Страховая компания ЭчДиАй Глобал,30633.94531,0,0,0,0,0,0,0,30633.94531,30421.73838,0,0,0,0,30379.409610000002,0,0,42.32877,0,212.20693,0,0,0,0,0,0,0,0,212.20693,0,0,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",413346.80296,0,0,0,0,0,0,0,413346.80296,412991.73641,32477.97049,0,685.07827,0,730.66707,4731.48906,0,374366.53152,0,355.06655,44.82898,44.82898,0,0,0,0,0,0,284.4011,25.83647,0,0,,0,0,0,0
4179,"Общество с ограниченной ответственностью ""Страховая компания ""Райффайзен Лайф""",19597.95014,12860.5706,0,6737.37954,0,0,0,6737.37954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
