"Сведения о страховых премиях по договорам исходящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0191,"Акционерное общество ""Тинькофф Страхование""",2226611.95133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,40.525,40.525,0,0,0,0,0,0,0,0,40.525,0,0,0,0,0,0,0,0,0,0,0,0,0,,2226571.42633,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",44760.22956000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2235.91043,2235.91043,0,,0,42524.31913,42905.77139,15179.6248,0,-2364.04929,0,967.01435,0,0,23052.43539,6070.74614,-381.45226,0,0,0,0,-1146.16733,0,0,65,699.71507,0,0,0,,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",911778.76886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,911778.76886,621786.71796,0,0,0,0,110421.37486,0,0,511365.3431,0,98820.36962,0,0,0,0,0,0,0,36168.533,62651.83662,0,117156.00488,74015.6764,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",1206225.94874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2180.47696,2180.47696,0,,0,1204045.47178,1204045.47178,0,0,0,0,2390.96845,0,0,1201654.50333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",582387.02313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1897.99465,1888.51137,0,,9.48328,574218.67392,116784.6269,0,486.842,0,0,73820.51395,0,0,41817.40623,659.86472,23935.81177,0,0,0,0,-3066.47014,0,-105.28024,4107.10207,23000.46008,0,55467.49513,378030.74012,,0,3939.33641,2331.01815
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",104146.13038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,54.15,54.15,0,,0,52655.74282,52630.72169,8657.74423,543.18742,0,765.407,4817.32959,1858.93431,1858.93431,35979.62439,8.49475,25.02113,0,0,0,0,0,0,0,0,25.02113,0,0,0,,51436.23756,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",97006.25529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2773.8416,2773.8416,0,,0,94232.41369,53360.10357,0,0,725.69913,29178.07273,7000.02785,0,0,16340.30386,116,40872.31012,0,0,0,0,142.03076,40730.27936,0,0,0,0,0,0,,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",218584.2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,149176.76065,38688.27052,2941.83601,0,0,0,4565.81347,0,0,30691.37463,489.24641,110421.8204,0,0,0,0,0,0,0,0,110421.8204,0,0,66.66973,,54618.7016,14788.82785,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",84480.7355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,5020.99695,5020.99695,0,,0,32542.04989,32399.17946,15849.67949,0,0,25.87173,1377.87928,0,0,8086.11819,7059.63077,142.87043,0,0,0,0,0,0,0,0,142.87043,0,0,0,,46917.68866,0,0
0621,"Страховое акционерное общество ""ВСК""",14233692.1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,83155.84197,82151.78438,0,,1004.05759,7484783.88345,5773765.36031,27115.23075,2471.40717,727537.72381,488649.08263,795011.34612,306306.58625,279776.96297,3407770.91303,18903.07055,974210.03678,8124.81873,2885.54324,5239.27549,34336.57711,50070.86938,172163.45486,42198.23234,33739.84088,633576.24348,0,203556.52929,533251.95707,,6213262.89487,297128.33143,155361.17908
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",108379.30554999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,58.41695,58.41695,0,,0,56909.54511,56542.47096,5820.40828,77.77593,0,8159.19996,35616.62477,0,0,6422.20897,446.25305,367.07415,0,0,0,0,0,0,0,0,367.07415,0,0,0,,0,17871.85543,33539.48806
0667,"Общество с ограниченной ответственностью ""Инлайф страхование""",20371.51647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,14601.42327,14601.42327,0,,0,5770.0932,4917.92474,0.00108,0,0,0,519.7995,0,0,4398.12416,0,852.16844,0,0,0,0,0,0,0,0,852.16844,0,0,2e-05,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",249107.98649000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1243.85281,1243.85281,0,,0,227219.10146,209294.24549,9897.8028,11.488,113.42466,1881.91104,76985.43676,0,0,106374.10765,14030.07458,17081.43976,0,0,0,0,0,375.67965,0,49.5,16656.26011,0,95.83332,747.58289,,14912.98436,3479.5216,2252.52626
0928,"Страховое публичное акционерное общество ""Ингосстрах""",24111472.51615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1217.39105,902.45813,0,,314.93292,12419006.28658,7771099.43763,106309.31814,0,328749.62461,702395.28154,665900.33328,17478.76526,17478.76526,5950266.1148,0,3847191.4463,325.31122,0,0,0,996779.79233,1459090.96724,0,0,1390995.37551,0,0,800715.40265,,10966474.37577,340889.46178,383885.00097
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",562343.71519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,5682.26989,5848.20202,0,,-165.93213,256259.30465,228504.44196,137068.44773,250.41902,0,0,17597.59319,2395.89883,0,59303.73377,11888.34942,17893.58127,3424.63417,225.048,3199.58617,0,0,0,3424.89569,85,10035.27682,923.77459,0,9861.28142,,257532.94205,24342.08755,18527.11105
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",110322.14208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,13262.6419,13262.6419,0,,0,97059.50018,65972.87705,2667.98306,0,33711.03978,0,3529.34045,0,0,22411.83753,3652.67623,27071.30019,0,0,0,0,25844.87758,0,0,160.77907,591.23528,474.40826,0,4015.32294,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",57395896.86883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,160546.18776,145747.74836,-147.22873,,14798.4394,53240408.41522,45452863.45091,6859235.94441,21853.27352,4243745.89085,1668035.6047,217421.78053,24684.24155,18680.02323,32393167.8993,24718.81605,3786003.38129,6233.51358,0,0,0,922684.56402,172757.45218,548002.58226,391478.11731,1744788.96326,58.18868,3948337.53945,53204.04357,,3038721.69731,597789.6896,358430.87894
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",4080813.81813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,104070.61338,70776.56985,0,,33294.04353,1176648.98437,950715.74418,40141.71837,688.17472,0,0,131427.88024,9293.39576,3390.18228,753647.33932,15517.23577,157978.00457,6941.46154,0,6941.46154,0,0,0,66305.01613,56164.56178,23360.23128,5206.73384,66345.57945,1609.65617,,2604482.57452,146932.94254,48678.70332
1216,"Акционерное общество Страховая компания ""Чулпан""",71502.73018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,16743.4032,16678.4032,12472.15525,0,0,0,356.64695,0,0,2099.57656,1750.02444,65,0,0,0,0,0,0,0,0,0,65,0,0,,22264.58917,10420.49389,22074.24392
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",2335247.82928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,173972.00862,122048.47291,0,,51923.53571,681887.06557,576224.61119,113886.50874,0,0,10443.4114,31147.00227,0,0,355548.26792,65199.42086,37692.8869,238.90657,238.90657,0,0,0,0,0,14257.85403,23196.1263,0,0,67969.56748,,1403181.28842,30830.82739,45376.63928
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",3479180.75494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,13600.19563,13600.19563,0,,0,1615310.8989,1294849.66129,-11934.24977,47127.71781,39462.87414,60873.96352,149701.33353,188940.87918,47664.6,817503.49307,3173.64981,95037.91525,3716.92404,-526.14502,4243.06906,0,2651.58376,51326.52373,18891.14808,6922.70485,11407.44158,121.58921,231858.77404,-6435.45168,,1765054.981,37566.25634,47648.42307
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",77982.09054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,77982.09054,77982.09054,0,0,0,0,77132.70916,0,0,803.35588,46.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",13010.23935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,29.463,29.463,0,,0,12980.77635,12885.77635,11209.81489,0,0,0,453.04482,0,0,1222.91664,0,95,0,0,0,0,0,0,0,0,0,95,0,0,,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",1417743.8521800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,4890.85899,4890.85899,0,,0,82162.5033,72312.90242,0,48870.72209,0,0,1131.6693,0,0,17739.14707,4571.36396,9025.67649,0,0,0,0,0,0,9025.67649,0,0,0,0,823.92439,,1286017.64885,9371.46936,35301.37168
1587,"Акционерное общество ""Страховое общество ""Талисман""",2790.6649100000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,2704.05783,2683.2484,1627.81276,0,77.36066,0,0,0,0,763.95466,214.12032,20.80943,0,0,0,0,11.15779,0,0,9.65164,0,0,0,0,,86.60708,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",8377.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,6822.26548,4429.53548,0,,2392.73,1555.51452,1092.87015,0,0,0,0,0,0,0,0,1092.87015,0,0,0,0,0,0,0,0,0,0,0,0,462.64437,,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",891665.7870400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,20935.68783,9792.60539,0,,11143.08244,239538.00853,215859.36583,15845.24603,50.81404,417.012,587.32891,21602.34717,0,0,154153.51919,23203.09849,22882.32569,84,84,0,0,0,14.01159,6993.92659,673.33749,15084.98634,32.06368,825.06171,-28.7447,,624365.11446,2433.89378,4393.08244
1820,"Акционерное общество ""ГУТА-Страхование""",40175.57432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,230.22622,230.22622,0,,0,39945.3481,39945.3481,3236.84192,0,0,578.67642,10047.4701,0,0,26082.35966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",1464611.78117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,47648.89902,47648.89902,0,,0,509457.4236,484488.03196,95107.24461,0,2850.824,0,37802.20318,9636.4265,8164.9125,307535.35596,31555.97771,22143.24051,4224.2783,4224.2783,0,0,0,0,10557.47676,0,7361.48545,0,659.6744,2166.47673,,761983.32588,73600.51425,71921.61842
1858,"Акционерное общество Страховая компания ""Армеец""",31593.69899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,163.66667,163.66667,0,,0,873.918,820.4105,0,0,0,0,0,0,0,457.47273,362.93777,53.5075,0,0,0,0,0,0,0,0,53.5075,0,0,0,,30556.11432,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",132852.43271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2007.98923,2007.98923,0,,0,21775.91475,16551.92935,5048.09285,0,0,0,7898.1454,0,0,3605.6911,0,5046.7847,4154.1847,442.35776,3711.82694,0,0,0,0,137.5,755.1,0,0,177.2007,,109068.52873,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",20843.20922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,716.71254,716.71254,0,,0,20126.49668,19152.6044,11302.95992,0,0,0,1912.22808,0,0,4285.78921,1651.62719,647.5864,0,0,0,0,0,0,0,258.57839,389.00801,0,0,326.30588,,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",20941509.4519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,215942.86739,215755.20522,0,,187.66217,13114669.26256,9854878.12485,54003.78028,3567.36159,1107008.39308,589095.19773,495070.4161,639912.04174,524580.86472,6928618.78516,37602.14917,2418403.58731,28855.77527,0,28855.77527,0,779608.93247,585421.04464,46643.613,83254.75543,893957.54887,661.91763,829772.50876,11615.04164,,7272713.91275,209266.36436,128917.04484
2346,"Акционерное общество ""Объединенная страховая компания""",243994.25942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1576.34538,788.74381,0,,787.60157,19463.07638,17124.00089,4842.67623,0,0,2942.77098,477.7966,0,0,8783.49388,77.2632,2339.07549,1882.84237,0,0,0,0,150.03,0,242.20312,64,0,0,0,,222954.83766,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",937742.25369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,38473.45425,38473.45425,0,,0,471375.73003,379096.38232,15848.82972,0,0,60862.22088,22280.92686,25355.48918,25191.21054,244651.98857,10096.92711,85164.46921,90.06345,90.06345,0,0,0,31677.45618,0,32018.08152,21378.86806,0,7114.8785,0,,361044.90581,5844.82421,61003.33939
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",871181.81595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,277.137,277.137,0,,0,81468.92568,81257.8329,5616.25809,0,0,874.25,4361.87738,0,0,65690.22662,4715.22081,211.09278,0,0,0,0,0,0,0,0,211.09278,0,0,0,,789435.75327,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",26563.19511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,24.1425,24.1425,0,,0,911.90554,787.34134,787.34134,0,0,0,0,0,0,0,0,124.5642,124.5642,124.5642,0,0,0,0,0,0,0,0,0,0,,25627.14707,0,0
2708,Акционерное общество «Баланс Страхование»,44881.56857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,234,234,0,,0,44647.56857,42587.10393,0,0,842.56821,88.18547,3027.40572,0,0,38628.94453,0,1789.72718,0,0,0,0,6.94688,1722.7803,0,60,0,0,0,270.73746,,0,0,0
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",1422.42518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1422.42518,0,0,,1422.42518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",78262.84361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,282.79832,282.79832,0,,0,77980.04529,77980.04529,0,0,0,0,26288.61507,0,0,51680.44232,10.9879,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",409566.88842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1038.94985,1038.94985,0,,0,408527.93857,328050.76604,0,0,324625.44246,0,2989.23652,0,0,436.08706,0,80477.17253,0,0,0,0,80053.67253,0,0,0,423.5,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",3779499.6030800003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,10169.27233,10169.27233,0,,0,3769127.18182,3761932.22442,214848.49002,3648.45636,0,1856.6834,11157.57667,3243261.89508,2699031.74385,287028.09744,131.02545,4032.37268,0,0,0,0,0,0,0,314.7555,3717.61718,0,642.38434,2520.20038,,0,203.14893,0
3064,"Акционерное общество ""Боровицкое страховое общество""",155769.67447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,2855.45168,2855.45168,244.36452,0,0,0,1555.01045,0,0,1022.72671,33.35,0,0,0,0,0,0,0,0,0,0,0,0,0,,152914.22279,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",3463138.6506299996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,4294.07007,4294.07007,0,,0,1227660.69066,1095066.20806,3429.30824,0,211454.94486,26861.31522,401644.67637,0,0,449263.13803,2412.82534,114214.92819,334.68965,0,334.68965,0,30161.96811,13265.02788,9283.13521,50,61120.10734,0,12512.3784,5867.17601,,2140362.60302,42344.97538,48476.3115
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",2187.53786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,2187.53786,2187.53786,2187.53786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
