"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0191,"Акционерное общество ""Тинькофф Страхование""",1523231.99346,0,0,352289.57747,352289.57747,0,0,0,1170933.42228,1141534.74591,945241.2831,0,0,0,0,0,0,0,196293.46281,745.8412,699.0422,0,0,0,0,0,46.799,0,0,28652.83517,,8.99371,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",32286.57074,0,0,22284.38484,4191.14019,0,0,18093.24465,10002.1859,8949.00998,763.42335,0,0,0,19.41915,0,0,5410.22611,2755.94137,1053.17592,0,0,0,0,0,164.6,888.57592,0,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Цюрих""",133052.22649,0,0,0,0,0,0,0,133052.22649,69792.83351,0,0,0,0,35830.23838,0,0,33962.59513,0,34296.00238,0,0,0,0,0,6482.10882,27813.89356,0,13391.8148,15571.5758,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",614768.2100399999,0,0,22570.21791,21432.97392,1154.22,0,1137.24399,590021.96989,208587.8252,0,606.53437,0,0,58612.0461,0,0,144261.66552,5107.57921,84577.80882,0,0,3487.26636,0,405,10108.02343,70577.51903,0,50795.06278,246061.27309,,0,1854.25452,321.76772,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",38347.90757,0,0,37192.37157,0.37157,0,0,37192,1155.536,83.753,0,0,0,0,83.753,0,0,0,0,118.48297,0,0,0,0,0,0,2,116.48297,0,953.30003,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",391163.27658,0,0,68953.86056,50544.63819,0,0,18409.22237,187775.42987,180664.57508,69790.50585,0,0,-3.66099,538.64392,73.554,73.554,103630.82425,6634.70805,5664.9584,1148.17065,0,45.84,286.87843,90,162.5,3942.79535,-11.22603,0,1445.89639,,134433.98615,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",31230.687179999997,0,0,2177.30248,2177.30248,0,0,0,29053.3847,6366.7877,0,0,0,3358.72198,1375.8754,0,0,869.13563,763.05469,22555.03093,0,0,0,9596.64093,0,0,12958.39,0,0,131.56607,,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",742.2,0,0,742.2,0,0,0,742.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",51100.52303,0,0,2986.634,594.459,0,0,2392.175,2263.11049,2254.35049,2060.50107,0,0,0,0,0,0,0,193.84942,8.76,0,0,0,0,0,0,8.76,0,0,0,,45797.81854,52.96,0,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",58276.613750000004,0,0,8244.86332,3266.10422,0,0,4978.7591,50031.75043,47703.09491,37873.77982,0,0,0,3395.77719,0,0,3785.96788,2647.57002,1714.09622,525.81762,0,0,0,0,0,1060.7786,127.5,0,614.5593,,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",105214.31307,0,0,10561.34937,10403.81437,0,0,157.535,21025.8429,20954.6379,8410.42584,0,0,0,249.19516,596.33799,0,1813.20249,9885.47642,71.205,9.882,0,0,0,0,0,61.323,0,0,0,,73627.1208,0,0,0
0621,"Страховое акционерное общество ""ВСК""",15276422.834879998,0,0,4264536.17892,1703290.93732,118.49,0,2561245.2416,9855063.77687,9050519.31524,5167635.28055,9882.41604,234811.70669,154863.93476,291024.21446,39474.2391,14991.70201,980975.64346,2171851.88018,363436.41965,90514.68229,0,8684.85601,41044.37773,15844.87842,12967.03976,194299.52681,81.05863,9695.15608,431412.8859,,1070070.20369,67178.81982,19573.85558,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",656761.21482,0,0,124625.48089,40732.67611,0,0,83892.80478,317314.1659,302635.87935,233090.21691,392.7876,0,0,45748.45287,0,0,10527.69921,12876.72276,6805.63638,427.59121,0,0,0,0,30,1338.74517,5009.3,0,7872.65017,,208907.88137,2745.49308,3168.19358,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",493085.79069,0,0,473457.61904,434643.89097,0,0,38813.72807,19628.17165,21031.55596,0,0,0,0,46.48081,0,0,4756.00547,16229.06968,4537.87674,0,0,0,0,32.89799,0,4504.97875,0,0,-5941.26105,,0,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",994139.36146,0,0,296280.4576,193848.06989,0,0,102432.38771,689862.27067,636998.40484,43327.78052,110.09509,3348.816,821.45381,323649.7942,0,0,171577.61755,94162.84767,28718.03324,1511.49012,0,336.66932,1380.11764,551.86775,2697.21906,21967.66935,273,107.8895,24037.94309,,5611.57114,1649.32,735.74205,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",18065933.81557,0,0,3379998.42692,1183356.92442,2399.4026,0,2196641.5025,11915166.62199,10327070.7745,6871403.04691,9417.52579,247359.72587,389401.2806,594336.6112,8004.0308,0,1377105.14628,830043.40705,913245.3101,110292.02658,0,26896.35799,227166.14856,37232.78617,105120.18228,404305.78328,2232.02524,13375.13405,661475.40334,,2676309.12107,71703.36,22756.28559,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",1347343.89017,0,0,183401.90013,131831.46143,0,0,51570.4387,995446.76769,885896.28991,681954.88001,146.96,0,0,14988.24208,2814.12877,0,51831.95217,134160.12688,102914.4418,62088.67979,0,0,0,731.92781,1208.727,36463.81987,2421.28733,82.7099,6553.32608,,156317.92404,7236.80535,4940.49296,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",431690.42235,0,0,196024.9118,95255.92339,0,0,100768.98841,235665.51055,148760.37145,84279.29104,0,9291.16328,0,10828.31667,0,0,28899.56457,15462.03589,69121.04814,470.591,0,9806.28764,0,0,56936.2985,0,1907.871,0,17784.09096,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",31666946.006400004,0,0,18145481.42941,14508357.79958,0,0,3637123.62983,12796891.56516,11298475.78746,2419805.97569,52351.4419,1874286.50457,105935.58181,194326.8877,6077.90401,3487.053,5719803.4127,925888.07908,650466.37931,26907.48087,58,135252.26564,46432.78768,22978.59305,13060.27824,401999.48744,3777.48639,384524.70993,463424.68846,,661884.54094,43838.46287,18850.00802,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",26699973.02691,2005.98346,0,8905066.5946,1263865.14818,518.03056,0,7641201.44642,11014669.03101,9875727.25113,7517763.09903,13196.98637,-0.00644,0,165570.81281,9646.48322,0,1143481.32132,1026068.55482,509882.22948,241309.30925,0,52.17,0,5620.04518,23473.78061,215141.87991,24285.04453,169251.00538,459808.54502,,6688554.11764,75281.77379,14395.52641,0
1216,"Акционерное общество Страховая компания ""Чулпан""",45499.86714,0,0,13912.25774,3698.13407,0,0,10214.12367,26485.75504,25397.99518,15126.16251,0,0,0,11.55,305.0939,0,1643.68388,8311.50489,1059.63886,59.62888,0,0,0,5,0,995.00998,0,0,28.121,,3594.67501,1316.53575,190.6436,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",6568776.388809999,0,0,1649306.22935,759448.4674,0,0,889857.76195,4187565.58848,3074874.8751,2536635.18186,41.568,0,42943.23359,15347.26105,0,0,150353.9603,329553.6703,59392.91522,27106.81806,0,0,197.42033,0,1371.95479,30716.72204,0,0,1053297.79816,,728822.75776,1941.82,1139.99322,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",6078917.15494,0,0,768165.59212,267978.9985,0,0,500186.59362,4959687.60725,4447705.35607,3406353.90104,13860.20028,3528.26,11257.82934,88870.80534,50322.50959,44382.36451,709816.24937,163695.60111,224927.28063,124290.8178,400,1155.7555,31423.58487,880.81045,2004.5785,60612.48356,4159.24995,75899.93504,211155.03551,,342481.92132,6058.80342,2523.23083,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",404878.01535,0,0,344781.57219,1453.59998,0,0,343327.97221,60096.44316,59497.27336,29175.13687,0,0,0,29809.14917,0,0,440.51858,72.46874,31.24,22.14,0,0,0,0,0,9.1,0,0,567.9298,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",202698.27404000002,0,0,155819.66278,143276.95813,0,0,12542.70465,46878.61126,17722.08177,2625.8071,0,0,0,0,0,0,57.44,15038.83467,3124.25172,0,0,0,0,0,0,3124.25172,0,0,26032.27777,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",2439977.89749,0,0,447280.9322,308745.73432,0,0,138535.19788,1143784.31927,735212.13736,640240.64272,31571.5354,1181.89,294.1278,1010.48254,0,0,10246.55784,50666.90106,23842.49079,12706.10123,0,0,78.7986,0,0,5623.45567,5434.13529,0,384729.69112,,841384.42434,2474.1195,5054.10218,0
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",157642.5454,0,0,5554.57929,5554.57929,0,0,0,152087.96611,115800.67735,0,0,0,0,0,0,0,0,115800.67735,1318.394,0,0,0,0,0,0,1318.394,0,0,34968.89476,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",66487.65931,0,0,313.91049,313.91049,0,0,0,6152.51729,6152.51729,4101.29268,0,250,0,0,0,0,1584.99076,216.23385,0,0,0,0,0,0,0,0,0,0,0,,60021.23153,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",15388.355319999999,0,0,10119.67981,10048.04581,0,0,71.634,5268.67551,3090.61865,-87.2375,0,0,0,0,0,0,0,3177.85615,0,0,0,0,0,0,0,0,0,0,2178.05686,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",3035437.9079299993,0,0,1101279.85979,590539.3608,0,0,510740.49899,1588809.4761,960350.5137,772069.82594,119.6064,0,-1079.69705,30664.15965,0,0,27897.17799,130679.44077,595131.77439,10032.98574,0,0,0,274.75692,1717.19012,579986.53865,3120.30296,809.44869,32517.73932,,344874.16082,364.13,110.28122,0
1820,"Акционерное общество ""ГУТА-Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",3043674.1944,0,0,822024.08916,400124.14575,2355.76805,70,421899.94341,1846490.12116,1730097.00701,976770.58505,288.03948,0,1237.86611,295275.85674,2293.22129,279.70805,289304.20543,164927.23291,88546.34997,7074.37506,0,16.5,3698.44434,1521.3165,1550.00656,74130.42351,555.284,2837.99028,25008.7739,,342803.06318,22298.50428,10058.41662,0
1858,"Акционерное общество Страховая компания ""Армеец""",253844.38578999997,0,0,26576.11958,8271.21191,0,0,18304.90767,8981.7987,5819.07192,2129.7037,0,0,0,0,0,0,1721.06426,1968.30396,3158.60809,0,0,0,0,0,0,3158.60809,0,0,4.11869,,218286.46751,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",394666.5389,0,0,4872.42878,4749.90378,0,0,122.525,102002.9496,29058.21402,18532.88138,0,0,0,8854.74593,0,0,516.40729,1154.17942,72944.73558,71513.615,0,0,0,0,336.46784,1094.65274,0,0,0,,287791.16052,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",38659.48032,0,0,4229.78867,2755.29586,0,0,1474.49281,34429.69165,29648.33626,25763.6884,0,0,399.883,39.85054,0,0,1462.53323,1982.38109,4040.83293,258.4,0,0,0,0,3228.53493,493.898,60,0,740.52246,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",20791.7819,0,0,10308.78327,8427.93021,0,0,1880.85306,10482.99863,10461.96868,3640.99777,0,0,0,32.35391,3.2,0,824.96388,5960.45312,21.02995,0,0,0,0,0,0,21.02995,0,0,0,,0,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",17980577.35031,0,0,3072898.1213,1290204.02639,2156.69875,0,1782694.09491,11957057.1082,10113731.98438,5262766.35805,12611.863,159872.84468,206709.01961,143814.17267,431836.94429,403372.65581,911461.19481,2984659.58727,631670.57924,168484.51317,0,15031.75529,33189.5461,952.11949,23730.05083,380849.06999,9433.52437,219987.30539,991667.23919,,2881722.51164,52192.92277,16706.6864,0
2346,"Акционерное общество ""Объединенная страховая компания""",372009.04344999994,0,0,80320.80016,27151.9441,0,0,53168.85606,221687.59861,208886.74971,181225.49383,0,29.25,175.9597,3545.39496,0,0,15487.32295,8423.32827,5711.76,596.00843,0,41.306,88.472,8.1,1648.50418,3007.86422,321.50517,0,7089.0889,,70000.18531,0.45937,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",1297432.2673600002,0,0,484329.11936,227136.81836,1609.22255,0,257192.301,805221.17419,693767.51479,264886.78479,694.68178,0,49504.29552,142330.87839,707.17838,672.06123,166058.06298,69585.63295,93386.22378,2232.11546,0,121,21560.90561,0,28735.94743,40736.25528,0,9446.63639,8620.79923,,5745.71298,1106.86794,1029.39289,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",642997.93628,0,0,405854.59469,383670.78819,0,0,22183.8065,99305.91717,94737.34708,58346.97629,0,0,342.684,1371.17688,5.25,0,12343.55966,22327.70025,4568.57009,55.6,0,0,0,0,206.82,4293.86009,12.29,0,0,,137837.42442,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",547794.71313,0,0,142420.54667,142420.54667,0,0,0,405374.16646,101428.13329,101428.13329,0,0,0,0,0,0,0,0,974.10499,974.10499,0,0,0,0,0,0,0,0,302971.92818,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",11.72038,0,0,0,0,0,0,0,11.72038,0,0,0,0,0,0,0,0,0,0,11.72038,0,0,0,0,0,0,11.72038,0,0,0,,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",69154.45117,0,0,22804.54519,6964.63574,0,0,15839.90945,46349.90598,46283.65598,30550.76744,0,0,0,0,0,0,15048.31038,684.57816,66.25,0,0,0,0,0,0,66.25,0,0,0,,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",805488.56,0,0,190920.10169,186747.9732,0,0,4172.12849,614568.45831,415860.19009,20267.1506,0,0,0,227.8468,345291.64139,174701.48147,25306.90782,24766.64348,15420.91529,0,0,0,0,0,46,15374.91529,0,6186.42,177100.93293,,0,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",174518.71238,0,0,49959.38616,16039.19605,0,0,33920.19011,29367.1562,22194.26041,13973.48633,0,0,0,5615.6182,0,0,2463.09269,142.06319,7147.89579,0,0,0,0,0,103.1316,384.3546,6660.40959,0,25,,95192.17002,0,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",45847.867849999995,0,0,12787.255,0,0,0,12787.255,33060.61285,30010.45285,0,0,0,0,0,0,0,0,30010.45285,3050.16,0,0,0,0,0,0,3050.16,0,0,0,,0,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",19197.24626,0,0,4349.99371,148.41199,0,0,4201.58172,14847.25255,-13620.40005,-131.19195,0,0,-12358.03517,0,0,0,-1119.80813,-11.3648,27221.93918,0,0,0,-15104.61419,0,0,4.39937,42322.154,0,1245.71342,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",3528125.69942,0,0,491760.1758,383034.98236,0,0,108725.19344,1322646.22125,1192033.88585,955239.67436,0,-234.07414,10957.09923,20312.83918,856.47859,0,74561.97041,130339.89822,30362.73847,3521.466,0,39.59627,13796.27161,413.05396,1115.23905,9464.76858,2012.343,4.71843,100244.8785,,1700577.77979,7342.50625,5799.01633,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",183331.24426,0,0,1200.39421,1200.39421,0,0,0,182130.85005,175372.77442,175372.77442,0,0,0,0,0,0,0,0,6758.07563,6758.07563,0,0,0,0,0,0,0,0,0,,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",935642.4397999999,0,0,68118.62621,2086.95505,0,0,66031.67116,861243.30074,805789.67543,137.2,381.27,23.72994,114.99247,33730.31952,0,0,771142.50471,259.65879,54236.77008,0,0,5.05,3277.16792,0,1661.1,49077.12172,216.33044,0,1216.85523,,53.74737,1662.18493,4564.58055,0
3230,"Акционерное общество ""Страховая компания ""СОГАЗ-Мед""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",1033190.6719600001,685773.71802,77841.46816,269575.48578,263070.74122,0,0,6504.74456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",34944.49955,0,0,32626.84004,322.84004,0,0,32304,2303.93898,1800.82529,157.49315,0,0,28.12238,105.16345,0,0,1043.3646,466.68171,503.11369,409.7,0,6,0,0,6,81.41369,0,0,0,,13.72053,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",136258.85349,0,0,84641.52211,7667.85522,0,0,76973.66689,50261.192,49419.91008,4737.27421,0,0,0,38254.81989,0,0,1343.84711,5083.96887,640.08192,22.2,0,0,10,0,9,598.88192,0,0,201.2,,1351.03938,5.1,0,0
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",60.99322,0,0,-37.98,-10.85,0,0,-27.13,98.97322,98.97322,98.97322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",456127.18434000004,0,0,241368.71593,122160.99197,0,0,119207.72396,214758.46841,213713.29282,34514.31022,114.05057,0,0,0,0,0,121268.30401,57816.62802,1708.42893,0,0,0,0,578.60926,0,1129.81967,0,0,-663.25334,,0,0,0,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",14300230.27435,14085666.17897,0,214564.09538,154143.526,0,0,60420.56938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",109491.08202,0,0,73987.42852,73987.42852,0,0,0,35503.6535,26342.8425,0,0,0,0,0,0,0,0,26342.8425,2810.861,0,0,0,0,0,0,2810.861,0,0,6349.95,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",732362.04319,722495.78312,0,9866.26007,120.453,0,0,9745.80707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",192968.227,0,0,192968.227,0,0,0,192968.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3594,"Общество с ограниченной ответственностью ""Международная Страховая Группа""",541760.539,0,0,52805.219,11224.1,0,0,41581.119,488955.32,0,0,0,0,0,0,0,0,0,0,488955.32,0,0,0,0,0,0,0,488955.32,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",1127032.19139,959275.83391,152943.141,14813.21648,14040.12048,0,0,773.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",26360884.77677,26276177.19376,0,84707.58301,19738.4903,0,0,64969.09271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",1187869.4610899999,829828.49939,0,358040.9617,193151.58099,0,0,164889.38071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",346951.32883,0,0,208615.85883,208615.85883,0,0,0,138335.47,32717.21838,29332.5521,0,0,0,67.55678,0,0,3072.57129,244.53821,105553.7134,0,0,0,0,0,0,105433.7134,120,0,64.53822,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",164700.03659,0,0,47581.90008,299.10311,0,0,47282.79697,117118.13651,8914.62458,2953.75156,0,0,0,3379.60617,0,0,2071.93232,509.33453,98079.84581,67.60877,0,0,0,0,0,96286.412,1725.82504,10123.66612,0,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",4898.59861,0,0,0,0,0,0,0,4898.59861,2639.54774,0,0,0,0,0,0,0,2639.54774,0,2259.05087,0,0,0,0,0,40,2219.05087,0,0,0,,0,0,0,0
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",3613.728,0,0,0,0,0,0,0,3613.728,0,0,0,0,0,0,0,0,0,0,578.39,0,0,0,0,0,0,238,340.39,0,3035.338,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",1508594.56521,1237444.01375,8635.62537,262514.92609,261845.86888,0,0,669.05721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",7593151.54148,7577651.12343,8.8276,15491.59045,15446.80845,0,0,44.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3826,"Общество с ограниченной ответственностью ""Вита-страхование""",26957.07366,26474.87906,0,482.1946,482.1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
