"Сведения о выплатах по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",167929.02768,0,0,2216.26564,2216.26564,0,0,0,151667.55658,150290.36442,15331.68261,0,7387.29743,4017.87826,966.79568,2931.23622,0,119607.07356,48.40066,1377.19216,0,0,0,0,0,0,44.05612,0,1333.13604,0,0,0,,4782.01694,3669.80576,5593.38276,0
1858,"Акционерное общество Страховая компания ""Армеец""",1541.28017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1541.28017,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",194.98004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,194.98004,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",293653.96533000004,0,0,38.67923,38.67923,0,0,0,209584.64507,176508.72855,694.40667,0,72521.57298,8083.39642,0,0,0,95209.35248,0,2068.1379,0,0,0,0,0,0,0,0,2068.1379,0,31005.46885,2.30977,,37917.7159,18212.1813,27900.74383,0
2346,"Акционерное общество ""Объединенная страховая компания""",35321.083959999996,0,0,1253.84841,1253.84841,0,0,0,20959.88873,17253.24293,12271.24573,0,2855.69051,0,927.85228,0,0,1089.72201,108.7324,3706.6458,0,0,0,0,0,0,0,0,3706.6458,0,0,0,,405.88048,12370.30026,331.16608,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",214801.91063,0,0,57.01396,57.01396,0,0,0,211197.973,208375.93508,183820.05073,0,7072.68617,10092.86391,7.94773,0,0,7314.76938,67.61716,2822.03792,0,0,0,0,295.00031,1977.1179,0,74.74771,475.172,0,0,0,,628.24496,1145.25496,1773.42375,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",322.5904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,322.5904,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",7163.80799,0,0,2917.3322,0,0,0,2917.3322,262.53202,262.53202,0,0,0,0,45.87697,0,0,201.52478,15.13027,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1835.3447,2148.59907,0
3064,"Акционерное общество ""Боровицкое страховое общество""",53.76432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53.76432,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",172322.43245,0,0,119.75136,119.75136,0,0,0,39258.14308,24010.8825,0,0,0,0,10.5825,0,0,24000.3,0,125.40968,0,0,0,0,18.13684,0,0,0,107.27284,0,15121.8509,0,,125348.69184,3033.23202,4562.61415,0
3229,"Акционерное общество ""Страховая бизнес группа""",5382.777239999999,0,0,0,0,0,0,0,1214.22406,32.30811,0,0,0,0,32.30811,0,0,0,0,1181.91595,0,0,0,0,0,0,0,0,251.12925,930.7867,0,0,,2283.19431,774.49067,1110.8682,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",7604.31514,0,0,0,0,0,0,0,7604.31514,7418.39378,0,0,5191.7592,0,7.02169,0,0,2219.61289,0,185.92136,0,0,0,0,0,0,0,0,185.92136,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",3464.9507700000004,0,0,0,0,0,0,0,856.40205,724.57573,0,0,0,0,723.70152,0,0,0.87421,0,131.82632,0,0,0,0,0,0,0,0,131.82632,0,0,0,,724.63838,768.12993,1115.78041,0
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",72232.21841,0,0,1784.26534,1784.26534,0,0,0,3505.59739,2759.70635,0,0,3702.68013,0,35.27523,0,0,-978.24901,0,745.89104,0,0,0,0,0,0,0,401.95321,343.93783,0,0,0,,0,28284.30079,38658.05489,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",435.26576,0,0,0,0,0,0,0,435.26576,0,0,0,0,0,0,0,0,0,0,435.26576,0,0,0,0,0,0,0,0,435.26576,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",7813.19273,0,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4213.19273,0,0
3947,"Акционерное общество ""АИГ страховая компания""",224753.50762,0,0,0,0,0,0,0,222871.77933,125850.22145,0,0,0,0,36637.52239,0,0,89212.69906,0,0,0,0,0,0,0,0,0,0,0,0,0,97021.55788,,0,1881.72829,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",934.84416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,934.84416,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",1418331.61354,0,0,3279.86693,482.53902,0,0,2797.32791,1415051.74661,1413150.39076,185065.18266,0,1370.15655,0,6677.27432,206065.34893,0,1013972.4283,0,1901.35585,231.81088,162.75654,0,0,0,0,0,0,1319.42824,350.11673,0,0,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",453.15575,0,0,0,0,0,0,0,453.15575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.15575,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",86011.93071,0,0,0,0,0,0,0,73764.62454,61819.04363,0,0,0.36,0,74.86688,0,0,61743.81675,0,93.92078,0,0,0,0,93.92078,0,0,0,0,0,11750.90387,100.75626,,3331.4386,3306.97027,5608.8973,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",1908869.55802,0,0,304431.3337,257046.14735,0,0,47385.18635,1591635.89527,1408425.99843,218872.14801,99.51199,157507.00746,69708.8289,58505.6378,67915.28308000001,15547.07972,825159.34781,10658.23338,39741.75427,265.06185,0,0,0,2516.75133,487.66319,0,25240.12996,10472.05081,760.09713,0,143468.14257,,12339.64996,462.67909,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",1803.79713,0,0,0,0,0,0,0,1803.79713,1803.79713,0,0,0,0,0,0,0,1803.79713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
