"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0191,"Акционерное общество ""Тинькофф Страхование""",3986075.1957199997,0,0,996713.09752,996713.09752,0,0,0,2989353.10449,2882197.57446,2410587.0391,0,0,0,0,0,0,0,471610.53536,1906.47133,1845.18133,0,0,0,0,0,61.29,0,0,105249.0587,,8.99371,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",202326.5819,0,0,111085.69905,14055.99643,0,0,97029.70262,91240.88285,63532.2821,9138.02401,0,19583.535,0,391.71743,0,0,21435.31425,12983.69141,27708.60075,1.5,0,21876.91082,0,0,661.6,4040.58993,1128,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",392087.98832,0,0,0,0,0,0,0,392087.98832,348743.24504,0,0,0,0,71355.53601,0,0,277387.70903,0,28290.06748,0,0,0,0,0,1321.29,26968.77748,0,0,15054.6758,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",1252494.93841,0,0,50978.36706,49582.95243,3854.70475,0,1395.41463,1197404.22508,354467.17883,0,1002.95902,0,0,101196.20465,0,0,240996.85429,11271.16087,108095.98395,0,0,110.832,0,405,16739.04452,90841.10743,0,61267.21163,673573.85067,,0,3145.73384,966.61243,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",94988.95877,0,0,84010.5937,0.37157,0,0,84010.22213,10978.36507,83.753,0,0,0,0,83.753,0,0,0,0,125.28297,0,0,0,0,0,0,8.8,116.48297,0,10769.3291,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",1736232.14708,0,0,235486.52108,154060.82675,0,0,81425.69433,868059.56378,822658.70463,418314.69549,0,217.525,511.07288,5680.35156,26488.087839999997,25924.95262,345854.56497,25592.40689,37325.61132,3354.25522,0,242.125,1184.85817,292.5,646.07017,30722.77879,883.02397,0,8075.24783,,632686.06222,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",105044.41003,0,0,19490.28247,19490.28247,0,0,0,85554.12756,46585.99532,0,0,0,20220.81371,6291.22619,0,0,15009.85142,5064.104,38283.63967,0,0,0,22303.91585,0,0,15979.72382,0,0,684.49257,,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",1837.49,0,0,1837.49,0,0,0,1837.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",150720.77179,0,0,6957.1163,1360.5523,0,0,5596.564,12740.87723,12711.55723,5928.14857,0,0,0,0,0,0,6407.99164,375.41702,29.32,0,0,0,0,0,0,29.32,0,0,0,,130969.81826,52.96,0,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",16429.63588,0,0,11531.17981,5274.55334,0,0,6256.62647,4898.45607,1528.38899,-14203.52305,0,0,0,4507.98551,0,0,4898.40931,6325.51722,2592.82567,466.08663,0,0,0,0,1.15,1978.08904,147.5,0,777.24141,,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",427227.65134,0,0,57933.25701,34729.17246,0,0,23204.08455,78738.82071,78282.02986,30913.0965,0,0,0,983.51157,823.85077,0,6760.27963,38801.29139,348.79085,86.24274,0,0,0,0,0,262.54811,0,0,108,,290555.57362,0,0,0
0621,"Страховое акционерное общество ""ВСК""",45382267.19077,0,0,10713021.34801,4855200.58989,1401.14213,0,5857820.75812,30612794.58921,27639233.0477,15221361.53757,41062.24304,598943.70213,375844.37364,1405016.7892,247979.20659000002,180880.45292,3404863.60524,6344161.59029,1324423.68182,339581.15917,0,11431.8535,191043.3984,160532.33972,105274.13598,516338.12528,222.66977,70438.23473,1578699.62496,,3805824.1515,143606.25155,107020.8505,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",2277012.82569,0,0,316174.76229,129804.14425,0,0,186370.61804,1136818.08024,1090696.77951,841254.20896,1175.81474,0,2143.26351,167707.1987,0,0,33338.43925,45077.85435,17421.65517,1567.43647,0,0,0,0,81.9,3202.0187,12570.3,0,28699.64556,,773553.89577,29702.32573,20763.76166,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",1665543.0343,0,0,1563300.82616,1459736.80123,0,0,103564.02493,102242.20814,73258.91098,0,0,0,0,49.65569,0,0,15708.0477,57501.20759,16930.80667,0,0,0,0,32.89799,0,16897.90868,0,0,12052.49049,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",3192334.12029,0,0,848640.16045,519334.22646,0,0,329305.93399,2320121.81265,2106244.23757,183134.29314,692.72197,5396.72751,6097.26302,1120406.40745,0,0,523323.85768,267192.9668,139058.62873,3686.07687,0,494.54932,7701.19108,14007.59187,6772.2847,105047.41489,1349.52,527.45171,74291.49464,,15874.25903,3621.79632,4076.09184,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",58764833.38075,0,0,9983071.09095,3621899.16018,8366.984,0,6361171.93077,38430090.69851,32594023.92437,19851363.08713,32362.06185,882566.64783,911586.2778,1796654.72194,49219.22101,18457.79649,6220024.00226,2850247.90455,3534900.99593,360996.55455,0,239098.99228,773783.79,257040.12526,510536.19182,1387680.55692,5764.7851,59725.87671,2241439.9015,,10056494.78446,172040.52931,123136.27752,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",4271873.05537,0,0,529214.36854,423210.50173,0,0,106003.86681,3322169.71852,2922281.24048,2224489.08365,422.95035,0,0,40432.41396,7325.94225,0,190946.02101,458664.82926,339085.74877,158979.84408,0,0,0,16106.52682,2737.23153,149077.08705,12185.05929,373.79853,60428.93074,,385436.33265,16248.61465,18804.02101,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",1285334.90131,0,0,570872.26989,230710.72544,0,0,340161.54445,714462.63142,454078.74189,252865.49239,0,31859.01494,10,38479.42953,0,0,71742.99823,59121.8068,205115.97955,1823.626,0,21255.9542,0,0,177160.67835,0,4875.721,0,55267.90998,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",108648832.25740999,0,0,67453436.06321,60609222.45309,0,0,6844213.61012,38459999.41282,33236751.3235,8254809.13285,197634.50915,3536957.14129,239410.73569,414078.22563,33386.455839999995,12206.74298,17487186.73061,3073288.39244,1710382.91167,84150.06428,180.6,228128.99272,50698.05907,284186.05129,35580.54287,1019716.94916,7741.65228,2041444.53106,1471420.64659,,2466462.90072,73662.92934,195270.95132,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",78716525.65367001,4249.70692,0,21892603.96178,4031344.47033,3654.83095,0,17861259.49145,34054552.54724,30847622.15966,23563387.62993,38065.95737,-0.02318,0,556121.54219,11418.0356,0,2720370.4454,3958258.57235,1693136.94836,722632.47655,5.68175,247.3155,1154.02695,232147.80084,52198.08435,575158.86943,109592.69299,224750.17847,1289043.26075,,22562766.28911,149157.56572,53195.5829,0
1216,"Акционерное общество Страховая компания ""Чулпан""",152338.18563999998,0,0,37858.83796,8969.7475,0,0,28889.09046,88034.21822,84539.96646,44772.20286,0,0,142.5,17.13,632.46311,0,12859.41058,26116.25991,3461.0629,232.64688,0,0,434.2868,17.84,0,2776.28922,0,0,33.18886,,7131.27975,2013.16625,17300.68346,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",20829269.19184,0,0,6664618.55197,2287663.20898,0,0,4376955.34299,11567086.33611,9167680.68033,7815880.24058,791.748,0,54543.81462,44781.07951,0,0,285689.35996,965994.43766,208767.91021,56968.65174,0,0,172.98338,0,19652.94412,131879.83097,93.5,0,2190637.74557,,2562703.05799,8039.1875,26822.05827,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",17404667.395150002,0,0,2737493.60018,712063.43826,0,0,2025430.16192,13630735.34441,11890435.4433,8974256.47683,27667.46565,22340.62412,122671.57846,291126.08387,346591.21009999997,332977.21316,1537075.01792,568706.98635,770004.36616,332204.21749,400,2905.89969,140246.94351,61398.55189,3316.85463,221720.26463,7811.63432,605750.83569,364544.69926,,990644.06387,21446.60443,24347.78226,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",914557.16539,0,0,703223.47895,4539.98234,0,0,698683.49661,211333.68644,209616.23168,122208.56064,0,0,0,86109.40423,0,0,1116.58067,181.68614,205.82911,121.19911,0,0,0,0,0,84.63,0,0,1511.62565,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",692721.66132,0,0,527482.10882,475528.03634,0,0,51954.07248,165239.5525,68864.51962,24301.61914,0,0,0,0,0,0,173.675,44389.22548,10125.0886,0,0,0,0,0,0,10070.0886,55,0,86249.94428,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",8236925.965350001,0,0,1032266.84284,856651.53132,0,0,175615.31152,3289339.44271,2290242.52885,2060555.8804,66323.3321,1687.89,1902.29089,4213.33325,0,0,28703.05054,126856.75167,114455.32604,57759.31198,0,51.203,680.2166,27312.47847,0,12478.0001,16174.11589,0,884641.58782,,3878403.47185,5069.23739,31846.97056,0
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",626264.7335099999,0,0,130012.39119,130012.39119,0,0,0,496252.34232,402161.23048,0,0,0,0,0,0,0,0,402161.23048,4541.286,0,0,0,0,0,0,4541.286,0,0,89549.82584,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",106506.90091,0,0,693.54387,693.54387,0,0,0,9385.8148,9360.8148,6645.26684,0,250,0,0,0,0,1897.19853,568.34943,25,0,0,25,0,0,0,0,0,0,0,,96427.54224,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",20770.02259,0,0,13835.82152,12756.85549,0,0,1078.96603,6934.20107,4031.56214,-87.2375,0,0,0,0,0,0,0,4118.79964,0,0,0,0,0,0,0,0,0,0,2902.63893,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",10744779.292329999,0,0,3374891.58395,1898939.60713,0,0,1475951.97682,6607633.90844,3174047.9082,2636380.18886,246.61173,0,-2555.00371,83475.74243,0,0,121504.73911,334995.62978,1819532.82411,33809.3146,0,0,-138.7867,9133.50102,4284.71936,1754429.40097,18014.67486,2804.62808,1611248.54805,,758826.60968,1962.89345,1464.29681,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",9896032.22866,0,0,2165774.61702,1314951.73152,6192.12665,73.5,850822.8855,6393580.39383,6043592.27399,3343267.49097,2606.00734,0,9574.72275,1202307.85356,171373.37761999998,160783.00246,798592.63644,515870.18531,262362.64563,23498.74374,144,123.33863,12533.97724,29689.51456,5393.6448,187724.67637,3254.75029,12257.7501,75367.72411,,1236316.71355,48688.92015,51671.58411,0
1858,"Акционерное общество Страховая компания ""Армеец""",708259.02291,0,0,43921.72272,18151.94156,0,0,25769.78116,17571.43624,12259.86515,4140.18212,0,0,0,0,0,0,2070.6641,6049.01893,5292.71659,1.8,0,0,0,0,0,5290.91659,0,0,18.8545,,646765.86395,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",1336696.1436100001,0,0,32164.07169,25421.53944,0,0,6742.53225,364741.60823,98029.4729,66662.65255,0,0,0,25018.30086,0,0,2596.45035,3752.06914,266712.13533,264815.046,0,0,0,0,442.71671,1454.37262,0,0,0,,939790.46369,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",166388.21243,0,0,16180.40163,10206.35692,0,0,5974.04471,150207.8108,134054.23004,113191.67994,496.8,0,896.24,689.34405,0,0,6426.17524,12353.99081,12497.85606,643.1,0,0,140.73,0,8837.34149,2433.03357,443.651,0,3655.7247,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",83469.29151000001,0,0,47647.95697,28576.4969,0,0,19071.46007,35821.33454,35510.99339,11726.62728,0,0,0,109.16941,81.42154,0,2871.48779,20722.28737,310.34115,0,0,0,0,0,0,310.34115,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",60107810.15245,0,0,12577000.79111,5454328.36018,9075.87995,0,7122672.43093,37595677.72976,32570918.51388,17838527.44696,43729.90583,255401.62332,765591.30446,630628.37289,1795927.18695,1693885.0449,3296525.87553,7944586.79794,2577916.04909,651248.11957,0,117009.47456,272133.30638,173097.25953,69690.05574,1273496.16839,21241.66492,546629.61063,1900213.55616,,9724650.41428,120425.18945,90056.02785,0
2346,"Акционерное общество ""Объединенная страховая компания""",1189125.1664800001,0,0,288989.55669,81446.47339,0,0,207543.0833,691079.22006,638503.24736,533790.25059,0,255.25,6986.37699,10812.72363,0,0,57989.8737,28668.77245,27694.53056,2442.12994,0,296.7534,2803.55872,20.1,4198.71251,17491.95724,441.31875,0,24881.44214,,209055.82385,0.45937,0.10651,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",4272747.755580001,0,0,1418719.04884,667306.78231,11900.6117,0,751412.26653,2822402.81968,2432462.33769,979328.19472,986.37898,0,156054.58043,442174.00674,108908.06324999999,102083.95523,553943.50699,191067.60658,339621.93328,6378.90948,0,399.5,95945.66223,0,110710.03725,126187.82432,0,23202.30632,27116.24239,,23440.94965,2997.96544,5186.97197,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",2312660.3575399998,0,0,1526379.67981,1460527.99217,0,0,65851.68764,336846.49722,326292.63728,197421.22941,0,0,893.204,3384.4683,11.37,0,34659.38157,89922.984,10324.85994,172.74,0,0,211.733,0,847.32,9041.35194,51.715,0,229,,449434.18051,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",1312981.10744,0,0,320504.12818,320504.12818,0,0,0,992476.97926,348996.78074,348996.78074,0,0,0,0,0,0,0,0,4884.22868,4884.22868,0,0,0,0,0,0,0,0,638595.96984,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",11.72038,0,0,0,0,0,0,0,11.72038,0,0,0,0,0,0,0,0,0,0,11.72038,0,0,0,0,0,0,11.72038,0,0,0,,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",542559.21696,0,0,311951.07597,29175.17333,0,0,282775.90264,230608.14099,230517.01063,112219.97352,0,0,0,17574.02616,0,0,99972.47293,750.53802,91.13036,0,0,19.88036,0,0,0,71.25,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",2936820.53891,0,0,618739.26646,618739.26646,0,0,0,2318081.27245,1772332.4448,78724.17905,2724.00119,0,75.20858,769.80743,1504618.2309499998,1330790.81862,109117.23395,76303.78365,53231.04599,75,0,0,10.77055,0,542.8,52602.47544,0,16627.25136,475890.5303,,0,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",683221.9594,0,0,194907.00837,69704.06034,0,0,125202.94803,113767.33869,94051.45265,60279.58867,0,0,0,25774.23623,0,0,7161.31156,836.31619,19648.8514,0,0,0,0,0,236.43944,1730.22488,17682.18708,0,67.03464,,374547.61234,0,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",159401.86581,0,0,50013.22,0,0,0,50013.22,109388.64581,101437.62581,0,0,0,0,0,0,0,0,101437.62581,7951.02,0,0,0,0,0,0,7951.02,0,0,0,,0,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",-1656.76226,0,0,2977.82533,-1188.50489,0,0,4166.33022,-4634.58759,-22456.17623,-757.3784,0,0,-19392.1888,0,0,0,-1987.12235,-319.48668,16572.62412,0,0,0,-24533.01035,0,0,-164.42531,41270.05978,0,1248.96452,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",13813938.520259999,0,0,2240579.32139,1915460.43933,0,0,325118.88206,4232686.19103,3894399.26338,3038846.6717,28.748,41664.72826,18052.63194,58575.70167,3812.90599,0,221249.95783,512167.91799,154752.45588,18017.42428,0,26287.00811,24856.09256,38671.01987,5586.90315,37026.22547,4307.78244,2538.51364,180995.95813,,7297441.19319,14965.70898,28266.10567,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",827783.33575,0,0,8935.74764,7453.45828,0,0,1482.28936,818847.58811,790058.37613,789070.18315,0,0,0,0,0,0,988.19298,0,28789.21198,28789.21198,0,0,0,0,0,0,0,0,0,,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",1823679.2685800001,0,0,157169.58778,10380.34591,0,0,146789.24187,1648056.02022,1553912.35479,215.2,1411.41,45.72994,114.99247,95601.9737,0,0,1455787.15091,735.89777,92836.48218,0,0,42.358,3768.41546,0,4470.94126,84033.27947,521.48799,0,1307.18325,,97.30548,4967.38808,13388.96702,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",3002678.70045,2086512.01462,223070.83256,693095.85327,675067.50822,0,0,18028.34505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",52743.91734,0,0,49898.84004,322.84004,0,0,49576,2809.07455,2099.19489,127.56024,0,0,28.12238,150.63144,0,0,1131.90812,660.97271,709.87966,734.7,0,6,0,0,-11.5,-19.32034,0,0,0,,36.00275,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",382770.76925,0,0,223774.52877,25300.40513,0,0,198474.12364,154067.93953,151456.13273,21535.99227,0,0,0,111780.45232,0,0,2463.07929,15676.60885,1984.57803,38.0125,0,0,10,0,34.5,1902.06553,0,0,627.22877,,4859.48095,68.82,0,0
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",61.17466,0,0,-37.98,-10.85,0,0,-27.13,98.97322,98.97322,98.97322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.18144,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",1839753.9514700002,0,0,1085367.78175,683354.47867,0,0,402013.30308,754386.16972,650286.12227,64387.25866,-145.26699,0,209093.71004,0,0,0,172380.28464,204570.13592,115565.47728,-0.6,0,0,0,86161.24452,0,29404.83276,0,0,-11465.42983,,0,0,0,0
3438,"Общество с ограниченной ответственностью ""ПРОМИНСТРАХ""",-850,0,0,0,0,0,0,0,-850,0,0,0,0,0,0,0,0,0,0,-850,0,0,0,0,0,0,0,-850,0,0,,0,0,0,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",60913041.41822,60125040.09822,0,788001.32,559151.59056,0,0,228849.72944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",1134021.57234,0,0,920560.68684,920560.68684,0,0,0,213460.8855,150532.4985,0,0,0,0,0,0,0,0,150532.4985,22299.313,0,0,0,0,0,0,22299.313,0,0,40629.074,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",3272259.53439,3213035.99042,0,59223.54397,529.29908,0,0,58694.24489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",197758.682,0,0,197758.682,0,0,0,197758.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3594,"Общество с ограниченной ответственностью ""Международная Страховая Группа""",1283941.27283,0,0,128063.11283,45961.55835,0,0,82101.55448,1155878.16,2,0,0,0,0,0,0,0,0,2,1155876.16,0,0,0,0,0,0,0,1155876.16,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",3477606.81061,2980005.22215,441043.79269,56557.79577,53866.88777,0,0,2690.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",92879525.66873999,92704392.49698,0,175133.17176,83326.0346,0,0,91807.13716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",3382069.5355700003,2256323.07787,0,1125746.4577,627726.75079,0,0,498019.70691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",682933.01738,0,0,277383.15738,277383.15738,0,0,0,405549.86,105963.67467,94256.97805,0,0,0,219.27623,0,0,10988.91879,498.5016,299313.40625,0,0,0,0,0,0,299497.51584,-184.10959,0,272.77908,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",466885.46461,0,0,92168.97226,855.07734,0,0,91313.89492,374716.49235,40835.89424,7494.01934,0,0,0,17685.54311,0,0,13305.24465,2351.08714,301746.57871,178.6581,0,0,0,0,24.8,296589.82177,4953.29884,0,32134.0194,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",17939.309200000003,0,0,19.116,19.116,0,0,0,17920.1932,9584.09558,0,0,0,0,0,0,0,9584.09558,0,8336.09762,0,0,0,0,0,475,7861.09762,0,0,0,,0,0,0,0
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",17998,0,0,0,0,0,0,0,17998,0,0,0,0,0,0,0,0,0,0,2897.733,0,0,0,0,0,0,1195.1,1702.633,0,15100.267,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",8182085.54035,7298352.87071,32741.62741,850991.04223,844491.41751,0,0,6499.62472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",34574689.06352001,34555872.5574,49.6488,18766.85732,18766.85732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3826,"Общество с ограниченной ответственностью ""Вита-страхование""",78450.58187,77189.79556,0,1260.78631,1260.78631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
