"Сведения о страховых премиях по договорам исходящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0191,"Акционерное общество ""Т-Страхование""",1533752.40324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1533752.40324,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",54127.70088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1522.07088,1522.07088,,,0,52605.63,52035.44149,16805.27936,0,553.168,0,329.7837,0,0,29371.88605,4975.32438,570.18851,96.4,0,,0,0,0,0,0,473.78851,0,0,0,,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",214696.93933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,214696.93933,152809.85466,0,0,0,0,39514.9653,0,0,113294.88936,0,21220.67666,0,0,,0,0,0,0,9337.95184,11882.72482,0,31900.50597,8765.90204,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",1012288.23601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2975.77852,2975.77852,,,0,1009312.45749,1009312.45749,0,0,0,0,23.32969,0,0,1009289.1278,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",559546.07463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5139.60919,5139.60919,,,0,435288.8079,211272.15866,1604.84307,1310.38094,0,0,57509.3312,570.22705,0,141686.08733,8591.28907,27026.40463,57.29623,57.29623,,0,0,0,1432.5857,0,25416.9623,119.5604,7803.3722,189186.87241,,104010.13942,8960.84094,6146.67718
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",188271.38845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,37914.47772,37866.44206,202.22222,0,0,-246.10559,3056.19302,0,0,34844.88571,9.2467,48.03566,0,0,,0,0,0,0,0,48.03566,0,0,0,,150356.91073,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",109938.88652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3293.62899,3293.62899,,,0,106645.25753,68600.69641,0,0,9273.09401,19392.21283,9011.35466,0,0,30638.03491,286,38044.56112,0,0,,0,1521.68729,36279.36883,0,0,243.505,0,0,0,,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",85719.24528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,45534.14536,41843.95189,1997.6759,0,0,0,3062.87845,0,0,36490.18353,293.21401,3690.19347,0,0,,0,0,0,0,0,3690.19347,0,0,0,,24168.02108,16017.07884,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",53380.46972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4342.83767,4342.83767,,,0,29237.68395,29189.10994,13890.16319,0,0,25.87173,2393.32444,16.64,0,5533.46521,7329.64537,48.57401,0,0,,0,0,0,0,0,48.57401,0,0,0,,19799.9481,0,0
0621,"Страховое акционерное общество ""ВСК""",12425991.57682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,68872.19246,61191.48971,,,7680.70275,8090705.76932,6079072.13962,22028.69948,710.91117,161615.95202,460744.64282,446309.39813,64415.92215,50990.62059,4912900.82632,10345.78753,1251021.63437,5803.63353,5803.63353,,0,12266.93426,501275.38536,925.43369,30374.60037,700375.64716,0,250687.02903,509924.9663,,3848237.60847,275367.26826,142808.73831
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",246743.57255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,122.695,122.695,,,0,92645.6817,89898.85855,10270.48497,330.88954,0,3580.04413,39561.404,0,0,34406.8424,1749.19351,2617.97872,0,0,,0,0,0,0,0,2617.97872,0,0,128.84443,,108001.04322,17447.15474,28526.99789
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",248801.83904000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,618.56864,618.56864,,,0,241580.79456,225199.25697,12908.83086,178.06376,132,1072.21378,74631.20735,0,0,117306.86498,18970.07624,14025.8918,0,0,,0,0,207.43236,0,0,13818.45944,0,118.25852,2237.38727,,1370.25094,3817.39781,1414.82709
0928,"Страховое публичное акционерное общество ""Ингосстрах""",19983916.48984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15835.58513,15835.58513,,,0,12289331.30143,9222665.03249,43849.05021,0,487440.68467,812268.35436,1470991.23917,32218.57389,32218.57389,6375897.13019,0,2513291.34969,801.16603,0,,0,781062.54202,1022916.83716,0,0,708510.80448,0,0,553374.91925,,7023484.65036,285794.70876,369470.24416
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",108838.75865999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9660.46535,9660.46535,,,0,99178.29331,67557.54998,5915.73248,0,36913.45938,1133.652,1543.10905,0,0,17169.50653,4882.09054,25950.00953,0,0,,0,24200.28869,47.68893,0,1271.71918,904.72099,-474.40826,0,5670.7338,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",42076066.97177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,33722.1923,17730.60184,,,15991.59046,38934977.03828,32259213.4875,4081454.54096,6736.63725,3052103.35718,746781.41051,192886.36571,19011.55085,14223.7528,24135906.00814,24333.6169,2671059.41257,8110.12176,0,,0,701477.47759,242941.96623,370251.25196,266672.51047,1081569.6593,36.42526,3940378.15868,64325.97953,,2193212.46874,622255.10306,291900.16939
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",2719168.8711800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,48809.01613,34812.83805,,,13996.17808,868066.53771,722661.36979,38652.13984,728.52322,0,0,121565.07783,1726.08438,1601.10696,543218.62917,16770.91535,123445.93507,0,0,,0,0,0,9314.87166,88279.1566,19168.86105,6683.04576,21756.61262,202.62023,,1599105.07745,158110.05568,45078.18421
1216,"Акционерное общество Страховая компания ""Чулпан""",48516.63621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,16642.83439,16480.33439,12458.54841,0,0,0,1529.60057,0,0,1571.8374,920.34801,162.5,0,0,,0,0,0,0,0,0,162.5,0,0,,17570.29946,12408.48382,1895.01854
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",2231969.5434800005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,156222.31761,111519.01444,,,44703.30317,665088.0749,585807.12653,92473.73419,0,0,9189.67246,24364.29293,0,0,396176.18318,63603.24377,16445.16258,39.93135,39.93135,,0,0,0,0,4005.11329,12400.11794,0,0,62835.78579,,1287171.78693,35961.57402,87525.79002
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",3017978.1161100003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2445.58612,2445.58612,,,0,1323327.50337,785416.15679,6535.23985,42027.6899,10639.16738,71412.30188,177525.19526,68861.82505,65889.10446,405431.95248,2982.78499,329675.97948,0,0,,0,8030.96898,301896.21123,278.89407,13574.23462,5640.29708,255.3735,207726.31968,509.04742,,1625353.00093,31674.146,35177.87969
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",89312.02858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,89312.02858,89312.02858,0,0,0,0,88854.75104,0,0,438.2697,19.00784,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",17787.4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,17787.4277,16590.40162,9628.9342,0,0,0,2536.48901,0,0,4424.97841,0,1193.6572,0,0,,0,0,0,0,0,46.45151,1147.20569,0,3.36888,,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",610377.4416499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6152.92858,6152.92858,,,0,58941.39591,58089.00078,227.85,43986.99227,0,0,286.89487,0,0,9217.9352,4369.32844,820.58707,0,0,,0,0,0,802.25042,0,18.33665,0,0,31.80806,,518262.46131,6896.09568,20124.56017
1587,"Акционерное общество ""Страховое общество ""Талисман""",2639.18632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,2619.95443,2601.48525,1130.28288,0,523.1,0,0,0,0,691.47431,256.62806,18.46918,0,0,,0,11.25,0,0,0,7.21918,0,0,0,,19.23189,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",44981.21538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,38213.265,0,,,38213.265,6767.95038,6767.95038,0,0,0,0,0,0,0,0,6767.95038,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",700107.2070800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,29668.93154,11941.94678,,,17726.98476,381376.21347,353979.28095,13345.33246,1021.86671,0,262.18572,53445.56778,0,0,250995.73338,34908.5949,26814.42115,0,0,,0,0,4.87785,3361.34984,1065.01531,22323.11164,60.06651,582.51137,0,,282697.10283,3597.62642,2767.33282
1820,"Акционерное общество ""ГУТА-Страхование""",43636.24906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2574.76157,2574.76157,,,0,41061.48749,41061.48749,2686.72715,0,0,395.87137,11256.27,0,0,26722.61897,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",852776.8167399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,31905.98346,31905.98346,,,0,518449.07989,501220.95083,85988.85976,0,2114.118,0,42576.10684,6241.24196,5488.348,333468.15156,30832.47271,15622.83886,3942.16625,3942.16625,,0,0,0,4364.09315,0,7316.57946,0,0,1605.2902,,172883.67586,75998.44388,53539.63365
1858,"Акционерное общество Страховая компания ""Армеец""",17492.247140000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,85,85,,,0,684.92549,650.02549,0,0,0,0,0,0,0,381.86208,268.16341,34.9,0,0,,0,0,0,0,0,34.9,0,0,0,,16722.32165,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",125502.88750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1996.09049,1996.09049,,,0,23308.19727,20942.15399,2379.1186,0,0,0,13020.43393,0,0,5542.60146,0,2205.43304,244.24902,244.24902,,0,0,0,0,126.524,1834.66002,0,0,160.61024,,100198.59974,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",16619.927050000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,329.30379,329.30379,,,0,16290.62326,16016.82255,11591.69729,354.10144,0,0,73.30926,0,0,2025.0553,1972.65926,83.80309,0,0,,0,0,0,0,74.95597,8.84712,0,0,189.99762,,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",11441006.671140002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,32853.46858,32853.46858,,,0,7061058.98917,5255099.62298,29922.72,1164.6207,468601.66488,452294.0793,449266.30564,403929.61836,373834.07616,1940934.84949,1508985.76461,1064133.28023,0,0,,0,258342.38661,4516.53634,3999.65345,66107.12106,727650.80383,3516.77894,587508.61557,154317.47039,,4134733.75675,129308.29013,83052.16651
2346,"Акционерное общество ""Объединенная страховая компания""",217725.17075000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1072.74252,1072.74252,,,0,16526.63909,15574.12412,4226.01318,0,0,1733.74086,781.35598,0,0,8800.95617,32.05793,952.51497,678.76497,0,,0,0,170.25,0,44,59.5,0,0,0,,200125.78914,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",1130144.21366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,28265.14483,28265.14483,,,0,873732.63936,564437.65904,9754.10505,0,0,96549.02625,53924.03394,118265.43676,118240.32787,274093.3006,11851.75644,303015.86144,45,45,,0,0,92982.00152,0,45599.78689,164389.07303,0,2416.37915,3862.73973,,210378.27047,5826.27565,11941.88335
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",479435.5731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,355.775,355.775,,,0,39839.49722,39447.99009,297.65,0,0,318.66,3847.88557,0,0,34939.96364,43.83088,391.50713,0,0,,0,0,0,0,0,391.50713,0,0,0,,430008.75779,928.13454,8303.40855
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",30269.54192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,1344.52001,1264.30824,1264.30824,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,80.21177,,28925.02191,0,0
2708,Акционерное общество «Баланс Страхование»,139183.64323000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,102.01144,102.01144,,,0,139081.63179,81690.60893,0,0,15829.63098,10089.08719,40424.93847,0,0,15346.95229,0,44079.6296,0,0,,0,1364.17069,6334.89685,0,10305.60579,26074.95627,0,0,13311.39326,,0,0,0
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",2815.19946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2815.19946,0,,,2815.19946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",128978.11447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,128978.11447,128978.11447,0,0,0,0,35583.78854,0,0,93394.32593,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",246699.40495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,418.5,418.5,,,0,246280.90495,181258.75409,0,0,180044.46117,0,744.2103,0,0,33.99556,436.08706,65022.15086,156.66928,156.66928,,0,64089.84793,0,0,0,775.63365,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",2338726.2311599995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14059.61709,14059.61709,,,0,2324454.74692,2278816.62868,-40943.74472,4010.13622,0,1519,7034.43426,2153128.87052,1509863.38665,154068.01326,-0.08086,5492.97628,0,0,,0,0,0,0,2363.85,3129.12628,0,18904.36186,21240.7801,,0,211.86715,0
3064,"Акционерное общество ""Боровицкое страховое общество""",1451.51795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,1451.51795,1451.51795,242.76676,0,0,0,301,0,0,895.96167,11.78952,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",2298405.0432399996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6036.66789,6036.66789,,,0,1110412.18098,978913.86292,2131.044,0,23345.57899,46642.42863,337055.92558,0,0,566128.80853,3610.07719,113577.43314,0,0,,0,-531.81777,53278.56655,1909.92041,50,58870.76395,0,11860.15922,6060.7257,,1096947.53456,38789.86599,46218.79382
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",1861.82022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,1861.82022,0,0,0,0,0,0,0,0,0,0,1861.82022,1861.82022,1861.82022,,0,0,0,0,0,0,0,0,0,,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",128102.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1396.97305,1396.97305,,,0,116585.21414,106234.50687,0,0,0,0,6428.82592,0,0,93960.81469,5844.86626,10350.70727,0,0,,0,4.146,57.72228,0,667.0539,9621.78509,0,0,0,,0,4829.99916,5289.81476
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",215.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,215.5,215.5,0,0,0,0,0,0,0,215.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",162489.34388000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10357.72443,10357.72443,,,0,146216.08511,138619.6961,2083.90175,243,0,603.99291,129218.13866,0,0,3138.02819,3332.63459,7596.38901,0,0,,0,0,5557.4496,0,0,2038.93941,0,0,0,,5915.53434,0,0
