"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",153095.3255,0,0,86615.77241,55247.81266,0,0,31367.95975,66479.55309,46027.61717,23364.98846,0,1996.23982,0,6082.03137,0,0,7144.98374,7439.37378,12809.10465,95.185,0,-159.34756,0,0,12342.68945,0,530.57776,0,7642.83127,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",15694065.67186,0,0,13345246.95873,13043243.50704,0,0,302003.45169,2275657.82622,1876901.5326,705393.85953,12376.03267,170466.59226,8747.79782,23862.36977,683.31957,174.35265,526677.5346,428694.02638,125407.6124,7868.23771,2.9,9193.5899,1825.21721,4004.15698,4474.49745,97373.00891,666.00424,41698.39258,231650.28864,,67042.54445,4266.86398,1851.47848
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",4669053.33598,-2.00292,0,1284937.34584,594080.7491,59.50852,0,690856.59674,2727121.75688,2398006.94212,1798650.06893,1626.85335,0,-40,44564.95615,1986.62824,0,200864.42455,350354.0109,123768.71188,48845.49075,0,13.784,0,989.96552,2528.48102,67586.12203,3804.86856,11046.92451,194299.17837,,648472.93173,7524.58187,998.72258
1216,"Акционерное общество Страховая компания ""Чулпан""",6244.688300000001,0,0,734.92442,503.59611,0,0,231.32831,5029.63695,4777.27694,2274.45043,0,0,0,1.155,45.7041,0,224.87917,2231.08824,243.92371,6.88,0,0,0,0.25,0,236.79371,0,0,8.4363,,329.40894,131.65363,19.06436
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",2261432.87762,0,0,373549.33776,283123.83366,0,0,90425.5041,1814327.58339,935918.57761,664408.85329,11.00522,0,7605.77821,3361.71028,0,0,13215.32399,247315.90662,21817.65228,3814.15254,0,0,55.83762,0,255.0387,17692.62342,0,0,856591.3535,,73226.1963,205.18452,124.57565
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",2109329.62902,0,0,188791.0509,133491.10476,0,0,55299.94614,1834667.59963,1611816.71788,1126742.60291,4929.12116,902.0295,3650.50314,42775.15951,8780.28184,8342.13128,309822.37057,114214.64925,54828.76911,27249.2592,80,300.27539,5135.42014,126.8064,567.37644,21037.38883,332.24271,21892.86225,146129.25039,,85285.20954,453.83862,131.93033
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",46616.15141,0,0,27394.75957,449.27484,0,0,26945.48473,19221.39184,18939.73485,11555.89071,0,0,0,7251.61926,0,0,110.74803,21.47685,10.31,7.125,0,0,0,0,0,3.185,0,0,271.34699,,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",150512.77444,0,0,125630.82013,123454.06708,0,0,2176.75305,24881.95431,10861.11456,1138.21523,0,0,0,0,0,0,28.72,9694.17933,1965.68315,0,0,0,0,0,0,1965.68315,0,0,12055.1566,,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",921636.1563600001,0,0,236112.31327,215924.12753,0,0,20188.18574,604136.76682,249672.82769,221285.34652,7667.19065,236.378,70.20116,297.6087,0,0,1908.43751,18207.66515,7940.82238,4611.37269,0,0,7.317,368.06689,0,1155.28494,1798.78086,0,346523.11675,,80663.81585,197.15962,526.1008
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",83855.86461,0,0,2991.52258,2991.52258,0,0,0,80864.34203,61189.75664,0,0,0,0,0,0,0,0,61189.75664,750.06768,0,0,0,0,0,0,750.06768,0,0,18924.51771,,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",8193.29939,0,0,86.45775,86.45775,0,0,0,2180.67811,2180.67811,1683.99698,0,42.5,0,0,0,0,364.73112,89.45001,0,0,0,0,0,0,0,0,0,0,0,,5926.16353,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",7705.008760000001,0,0,5029.83813,5011.62993,0,0,18.2082,2675.17063,1586.26789,0,0,0,0,0,0,0,0,1586.26789,0,0,0,0,0,0,0,0,0,0,1088.90274,,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",373235.04348,0,0,56215.87413,26027.4319,0,0,30188.44223,316918.4678,282307.27412,246887.3335,51.73959,0,139.90745,8755.86772,0,0,7609.55328,18862.87258,5693.24423,2353.40599,0,0,0,29.59314,489.14525,1929.51231,891.58754,301.5758,28616.37365,,91.98388,35.3305,-26.61283
1820,"Акционерное общество ""ГУТА-Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",927403.3709999998,0,0,274000.41547,214090.25632,1558.83707,2.1,59910.15915,616512.67439,572016.1244,297881.32679,104.28967,0,260.86324,83876.86536,824.95844,53.14455,114706.22494,74361.59596,29862.90908,1975.44569,0,3.3,778.71211,208.31113,395.03692,26228.07702,274.02621,933.6336,13700.00731,,33575.18416,2262.36605,1052.73093
1858,"Акционерное общество Страховая компания ""Армеец""",33435.6611,0,0,8218.22177,4139.56639,0,0,4078.65538,3160.2255,1740.60144,547.68437,0,0,0,0,0,0,509.23504,683.68203,1417.99202,0,0,0,0,0,0,1417.99202,0,0,1.63204,,22057.21383,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",54281.958,0,0,2404.60858,2342.95308,0,0,61.6555,23098.19001,8651.98203,6853.07415,0,0,0,1362.15928,0,0,129.10184,307.64676,14446.20798,14265.26375,0,0,0,0,47.30764,133.63659,0,0,0,,28779.15941,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",12117.92785,0,0,1287.72372,724.30888,0,0,563.41484,10830.20413,9389.11649,8148.60681,0,0,119.9649,8.36861,0,0,494.22574,617.95043,1331.84213,64,0,0,0,0,1093.81556,159.02657,15,0,109.24551,,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",8921.68932,0,0,4822.946,4563.77072,0,0,259.17528,4098.74332,4096.70332,810.69247,0,0,0,4.85312,0.704,0,120.32246,3160.13127,2.04,0,0,0,0,0,0,2.04,0,0,0,,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",7060564.698480001,0,0,1067958.03632,881319.20692,304.4427,0,186638.8294,5699861.24026,4597421.72305,1954957.31369,5791.14892,13979.59562,17982.06638,25877.41328,43023.50089,41935.39786,106586.13363,2429224.55064,159893.57915,41079.18147,0,823.82768,4341.66342,526.69371,6143.23591,105683.01139,1295.96557,1950.3167,940595.62136,,287967.859,3595.53724,1182.02566
2346,"Акционерное общество ""Объединенная страховая компания""",104862.07924,0,0,37332.3658,9391.92787,0,0,27940.43793,60837.63321,56549.49957,48345.45766,0,7.3125,120.4554,849.86658,0,0,4353.90087,2872.50656,1543.95729,90.02059,0,4.139,22.118,1.62,623.778,743.00395,59.27775,0,2744.17635,,6692.08021,2e-05,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",480114.25629,0,0,151978.62134,121422.74454,633.87782,0,30555.8768,327347.68629,284314.1549,81872.59341,275.43431,0,10957.11807,81356.95371,139.20665,135.69493,77432.71382,32280.13493,36284.17443,532.06819,0,42.35,3730.29949,0,16074.80985,15904.6469,0,1794.27537,4955.08159,,575.96893,110.24252,101.73721
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",267357.03518,0,0,217667.95075,213112.53486,0,0,4555.41589,35185.81861,33661.6015,18690.04442,0,0,65.6768,404.48103,0,0,3946.72473,10554.67452,1524.21711,10.27,0,0,0,0,41.44552,1468.62309,3.8785,0,0,,14503.26582,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",133614.42366,0,0,49361.55202,49361.55202,0,0,0,84252.87164,10492.32526,10492.32526,0,0,0,0,0,0,0,0,93.938,93.938,0,0,0,0,0,0,0,0,73666.60838,,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",1.17204,0,0,0,0,0,0,0,1.17204,0,0,0,0,0,0,0,0,0,0,1.17204,0,0,0,0,0,0,1.17204,0,0,0,,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",27317.137300000002,0,0,6581.32998,2942.0984,0,0,3639.23158,20735.80732,20719.24482,13839.91368,0,0,0,0,0,0,6754.6634,124.66774,16.5625,0,0,0,0,0,0,16.5625,0,0,0,,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",305292.05078999995,0,0,120851.06903,120851.06903,0,0,0,184440.14526,69690.15982,5342.69909,0,0,0,50.76625,36591.85918,28614.53584,8956.62767,18748.20763,10513.11524,0,0,0,0,0,13.8,10499.31524,0,2800.5182,101436.352,,0,0.8365,0
3064,"Акционерное общество ""Боровицкое страховое общество""",42431.510740000005,0,0,17795.04878,7988.88647,0,0,9806.16231,15456.96247,13385.96308,7914.912,0,0,0,4410.58055,0,0,1015.94878,44.52175,2059.99939,0,0,0,0,0,45.15922,164.58017,1850.26,0,11,,9179.49949,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",24574.251080000002,0,0,9547.32038,0,0,0,9547.32038,15026.9307,13044.3267,0,0,0,0,0,0,0,0,13044.3267,1982.604,0,0,0,0,0,0,1982.604,0,0,0,,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",3613.08051,0,0,2689.95533,-175.52452,0,0,2865.47985,923.12518,-5314.65525,-26.8009,0,0,-4855.73019,0,0,0,-393.29148,-38.83268,5692.74015,0,0,0,-5636.20708,0,0,2.69113,11326.2561,0,545.04028,,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",784243.1457299999,0,0,321168.29351,281287.60449,0,0,39880.68902,451059.77843,361552.31841,268426.06304,0,-61.3853,4156.07383,7761.21489,219.1977,0,19054.5034,61996.65085,10473.60919,834.90944,0,11.01187,4948.04421,44.0554,316.86781,3947.53956,371.1809,3.98299,79029.86784,,10731.70783,740.63711,542.72885
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",65711.76312999999,0,0,431.76503,431.76503,0,0,0,65279.9981,62848.02133,62848.02133,0,0,0,0,0,0,0,0,2431.97677,2431.97677,0,0,0,0,0,0,0,0,0,,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",252886.53271,0,0,13437.3847,723.09152,0,0,12714.29318,238769.42919,227121.03018,0,75.891,4.74599,593.82877,16573.30226,0,0,209844.24162,29.02054,11526.71349,0,0,0.505,1526.58092,0,455.14,9490.40496,54.08261,0,121.68552,,8.66411,166.21849,504.83622
3230,"Акционерное общество ""Страховая компания ""СОГАЗ-Мед""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",217981.35981,155208.22275,7003.28356,55769.8535,50732.53188,0,0,5037.32162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",4854.7297499999995,0,0,4219.15633,112.67185,0,0,4106.48448,634.27342,634.27342,57.9,0,0,5.62448,21.03269,0,0,405.02376,144.69249,0,0,0,0,0,0,0,0,0,0,0,,1.3,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",37836.63618,0,0,18571.64933,3400.53991,0,0,15171.10942,19129.56299,18941.51235,1532.51373,0,0,0,14780.97215,0,0,293.01308,2335.01339,126.40064,5.26,0,0,2.5,0,0.9,117.74064,0,0,61.65,,135.42386,0,0
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",31.4755,0,0,-0.2975,-0.2975,0,0,0,31.773,31.773,31.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",-200919.38895,0,0,-154766.51867,-125359.22541,0,0,-29407.29326,-46152.87028,-43692.44723,-5340.58384,0,0,0,0,0,0,426.01804,-38777.88143,-444.46296,0,0,0,0,-278.55633,0,-165.90663,0,0,-2015.96009,,0,0,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",7199392.7138600005,7086723.40737,0,112669.30649,96807.67929,0,0,15861.6272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",78648.56047,0,0,56394.18112,56394.18112,0,0,0,22254.37935,16311.83342,0,0,0,0,0,0,0,0,16311.83342,1809.25156,0,0,0,0,0,0,1809.25156,0,0,4133.29437,,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",489849.92717,482495.17659,0,7354.75058,15.57139,0,0,7339.17919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",15098.49211,0,0,15098.49211,0,0,0,15098.49211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3594,"Общество с ограниченной ответственностью ""Международная Страховая Группа""",184396.00994,0,0,28711.43534,0,0,0,28711.43534,155684.5746,0,0,0,0,0,0,0,0,0,0,155684.5746,0,0,0,0,0,0,0,155684.5746,0,0,,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",258451.16405999998,238373.49602,15100.42541,4977.24263,4688.47566,0,0,288.76697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",584164.50451,578907.5811,0,5256.92341,3860.1546,0,0,1396.76881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",408963.52054,239013.19574,0,169950.3248,81549.40086,0,0,88400.92394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",155582.50571,0,0,109451.72015,109451.72015,0,0,0,46130.78556,14411.86924,12815.82379,0,0,0,27.02272,0,0,1475.74133,93.2814,31697.63492,0,0,0,0,0,0,31615.63492,82,0,21.2814,,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",62652.51676,0,0,7230.54227,97.19003,0,0,7133.35224,55421.97449,2535.24228,607.52787,0,0,0,1075.99727,0,0,715.97304,135.7441,48400.26797,14.7972,0,0,0,0,0,47643.09049,742.38028,4486.46424,0,,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",1583.5328,0,0,0,0,0,0,0,1583.5328,793.04403,0,0,0,0,0,0,0,793.04403,0,790.48877,0,0,0,0,0,12,778.48877,0,0,0,,0,0,0
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",2108.7368,0,0,0,0,0,0,0,2108.7368,0,0,0,0,0,0,0,0,0,0,287.534,0,0,0,0,0,0,83.3,204.234,0,1821.2028,,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",147849.94063,80661.20567,228.10631,66960.62865,66948.9844,0,0,11.64425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",516930.49351,515752.46877,0,1178.02474,1157.79912,0,0,20.22562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3826,"Общество с ограниченной ответственностью ""Вита-страхование""",3039.31263,2936.70881,0,102.60382,102.60382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",248851.74363,63169.78513,0,185681.9585,6972.8027,0,0,178709.1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",366.16517,0,0,318.63545,212.836,212.836,0,105.79945,47.52972,-16.69556,0,0,0,0,6.36073,0,0,-59.5,36.44371,35.2,0,0,0,0,0,0,1.505,33.695,0,29.02528,,0,0,0
3837,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-М""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
