Сведения о количестве урегулированных страховых случаев,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
93,4279,  КООПЕРАТИВНОЕ ЕДИНСТВО,Новосибирск,36,0,0,0,0,0,36,0,0,0,0,0,36,36,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,4296,  КООП-РЕСУРС,Вологда,13,0,0,0,0,0,13,0,0,0,0,0,13,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,4209,  КОФАС РУС СТРАХОВАЯ КОМПАНИЯ,Москва,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
96,4189,  КРЕДЕНДО-ИНГОССТРАХ КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,79,11,0,0,0,0,79,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0
97,4117,  КРЕДИТ ЕВРОПА ЛАЙФ,Москва,288,0,1,1,0,0,287,287,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,4246,  КРИСТАЛЛ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3781,  КРК-СТРАХОВАНИЕ,Москва,32374,0,0,0,0,0,32374,28291,39,0,0,28252,4083,4081,4046,0,0,0,1,0,0,19,15,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
100,4325,  КРЫММЕДСТРАХ,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,4326,  КРЫМСКАЯ ПЕРВАЯ СТРАХОВАЯ КОМПАНИЯ,Симферополь,961,0,0,0,0,0,961,921,11,0,0,910,40,39,30,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,4337,  КРЫМСКИЙ СТРАХОВОЙ АЛЬЯНС,Красноперекопск,1432,0,0,0,0,0,1432,341,164,0,0,177,1091,1085,1080,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
103,4310,  КС СТРАХОВАНИЕ,Саранск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,348,  ЛЕКСГАРАНТ,Москва,4456,0,0,0,0,0,4456,144,0,0,0,144,4312,91,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4220,0,0,0,0,0,0,0,0
105,1675,  ЛИБЕРТИ СТРАХОВАНИЕ,Санкт-Петербург,67413,125,0,0,0,0,58136,48813,537,0,0,48276,9323,9176,9003,0,0,1,101,0,0,43,28,119,82,82,0,0,0,0,0,3,13,21,2,26,0,0,0,9277,9227,4,46,0
106,1427,  МАКС,Москва,374013,0,0,0,0,0,227919,211265,6458,0,106,204807,16654,15982,14304,0,0,4,2,3,3,366,1303,638,562,562,0,0,0,3,0,14,56,3,1,33,14763,14763,0,131331,131005,37,289,0
107,4013,  МАКС-ЖИЗНЬ,Москва,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2226,  МАКС-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,195,  МАСКИ,Иркутск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2877,  МЕГАРУСС-Д,Москва,6682,0,0,0,0,0,3689,144,27,0,0,117,3545,3534,3525,0,0,0,0,0,0,4,5,11,3,2,0,0,0,8,0,0,0,0,0,0,2,2,0,2991,2991,0,0,0
111,660,  МЕДИКА-ВОСТОК,Красноярск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1958,  МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ СТРАЖ,Рязань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,484,  МЕДСТРАХ,Москва,792,0,0,0,0,0,792,792,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,141,  МЕДЭКСПРЕСС,Санкт-Петербург,66367,0,0,0,0,0,65388,65144,276,0,0,64868,244,243,236,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,979,979,0,0,0
115,3594,  МЕЖДУНАРОДНАЯ СТРАХОВАЯ ГРУППА,Москва,2443,7,0,0,0,0,2443,2432,2255,0,0,177,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
116,3256,  МЕТЛАЙФ,Москва,971119,0,9115,9113,7373,2,962004,962004,7202,0,0,954802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,4349,  МОВС,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,3128,  МСК АЙАЙСИ,Москва,47,2,0,0,0,0,47,2,0,0,0,2,45,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2326,  МСК УРАЛСИБ,Климовск,7,0,0,0,0,0,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1447,  НАДЕЖДА,Красноярск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2182,  НАДЕЖДА,Красноярск,49181,0,0,0,0,0,22071,13706,1165,0,0,12541,8365,2315,2142,0,0,0,0,0,0,16,157,100,60,60,0,0,0,0,0,0,40,0,0,5950,0,0,0,27110,27110,0,0,0
122,4192,  НАРОДНЫЕ КАССЫ,Москва,179,0,0,0,0,0,179,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0
123,3116,  НАСКО ТАТАРСТАН,Казань,45664,0,0,0,0,0,24188,20787,4768,0,0,16019,3401,3065,1429,0,0,2,5,379,0,151,1099,269,0,0,0,0,0,0,0,91,177,1,0,67,0,0,0,21476,21439,0,37,0
124,3493,  НАЦИОНАЛЬНЫЕ СТРАХОВЫЕ ТРАДИЦИИ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3847,  НЕЗАВИСИМАЯ СТРАХОВАЯ ГРУППА,Москва,42245,52,0,0,0,0,42244,41942,4,0,0,41938,302,300,289,0,0,0,8,0,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,2917,  НИК,Ульяновск,5012,0,0,0,0,0,5012,4874,32,0,0,4842,138,73,62,0,9,0,0,0,0,0,2,30,2,2,0,0,25,0,0,0,3,0,0,35,0,0,0,0,0,0,0,0
127,401,  НИК-ЛАЙФ,Ульяновск,18,0,16,1,0,15,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4301,  НКО НОВС,Камышин,71,0,0,0,0,0,71,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
129,4323,  НКО ОВСС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4354,  НКО ПОВС ВЗАИМОПОМОЩЬ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1961,  НОВЫЙ УРЕНГОЙ,Новый Уренгой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,3295,  НСГ-РОСЭНЕРГО,Горно-Алтайск,47718,0,0,0,0,0,5109,4593,834,0,0,3759,516,516,493,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42609,42609,0,0,0
133,3010,  ОБЛАСТНАЯ МЕД.СТРАХ. КОМПАНИЯ,Калининград обл.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2346,  ОБЪЕДИНЕННАЯ СТРАХОВАЯ КОМПАНИЯ,Самара,27444,0,0,0,0,0,9811,2277,789,0,0,1488,7534,7428,7202,0,0,4,3,0,0,74,145,106,89,89,0,0,0,0,0,4,13,0,0,0,0,0,0,17633,17620,0,13,0
135,4314,  ОВС ЗАСТРОЙЩИКОВ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,4348,  ОВС МЕД,Тюмень,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
137,4293,  ОЙЛЕР ГЕРМЕС РУ,Москва,111,0,0,0,0,0,111,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0
138,3099,  ОПОРА,Рязань,29038,0,0,0,0,0,11258,6540,371,0,0,6169,4718,4408,4254,0,0,0,1,7,5,18,128,285,79,0,0,0,0,0,1,8,197,0,1,24,0,0,0,17780,17746,0,34,0
139,326,  ОРБИТА,Москва,119,0,0,0,0,0,119,88,1,0,0,87,31,7,7,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,22,1,0,0,1,0,0,0,0,0,0,0,0
140,4008,  ОСЖ РЕСО-ГАРАНТИЯ,Москва,115,2,96,96,0,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,173,  ПАНАЦЕЯ,Ростов-на-Дону,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,915,  ПАРИ,Москва,60074,0,0,0,0,0,58193,53693,227,0,0,53466,4500,4117,2984,0,0,1,844,0,0,155,133,82,7,7,0,0,0,7,0,19,48,1,1,300,0,0,0,1881,1867,2,12,0
143,3268,  ПАРИТЕТ-СК,Москва,3557,42,0,0,0,0,1713,1013,35,0,0,978,700,697,639,0,0,0,1,0,0,12,45,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1844,1844,0,0,0
144,2284,  ПЛАТО,Москва,352,0,0,0,0,0,352,345,332,0,0,13,7,7,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3568,  ПОВОЛЖСКИЙ СТРАХОВОЙ АЛЬЯНС,Сызрань,23131,0,0,0,0,0,2180,901,815,0,0,86,1279,1264,1196,0,0,1,0,0,0,6,61,15,2,2,0,0,0,0,0,1,12,0,0,0,0,0,0,20951,20951,0,0,0
146,3390,  ПОЛИС-ГАРАНТ,Москва,8666,0,0,0,0,0,7676,5114,9,0,0,5105,2562,2452,2429,0,0,0,0,0,0,4,19,27,23,23,0,0,0,0,0,0,4,0,0,83,0,0,0,990,990,0,0,0
147,3609,  ППФ СТРАХОВАНИЕ ЖИЗНИ,Москва,14699,0,12693,10720,0,1973,2006,2006,1995,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,3889,  ПРЕСТИЖ-ПОЛИС,Москва,130,0,0,0,0,0,130,52,0,0,0,52,78,78,76,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3438,  ПРОМИНСТРАХ,Москва,8849,220,0,0,0,0,3258,1581,255,0,0,1326,1677,1352,247,0,0,0,0,0,0,43,1062,64,0,0,0,0,0,0,0,2,10,52,260,1,0,0,0,5591,5556,0,35,0
150,2682,  ПРОФСОДРУЖЕСТВО,Москва,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,4179,  РАЙФФАЙЗЕН ЛАЙФ,Москва,1567,89,1527,1527,291,0,40,40,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3621,  РЕГИОНАЛЬНЫЙ СТРАХОВОЙ ЦЕНТР,Москва,76,0,0,0,0,0,76,19,3,0,0,16,57,52,47,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
153,2733,  РЕЗЕРВ,Хабаровск,1190,0,0,0,0,0,1190,1163,1163,0,0,0,27,12,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0
154,3972,  РЕНЕССАНС ЖИЗНЬ,Москва,24352,11,20265,20265,10408,0,4087,4087,2929,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1209,  РЕСО-ГАРАНТИЯ,Москва,3642393,64216,861,824,0,37,3306861,3137673,13555,0,0,3124118,169188,154751,147590,7,0,6,93,0,0,1043,6012,1862,1641,1287,354,0,0,3,0,8,205,5,11,12564,0,0,0,334671,334603,6,62,0
156,879,  РЕСО-МЕД,Павловский Посад,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,13,  РЕСО-ШАНС,Москва,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,3492,  РЕСПЕКТ,Рязань,2029,0,0,0,0,0,2029,213,26,0,0,187,1816,1615,0,0,0,0,0,0,0,1615,0,201,0,0,0,0,0,0,0,0,198,3,0,0,0,0,0,0,0,0,0,0
159,473,  РИКС,Москва,3427,0,0,0,0,0,3427,490,2,0,0,488,2937,79,0,0,0,0,0,0,0,0,79,5,0,0,0,0,0,0,0,0,5,0,0,2853,0,0,0,0,0,0,0,0
160,4351,  РНПК,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,1,  РОСГОССТРАХ,Люберцы,1117950,2699,0,0,0,0,432613,226757,10081,0,0,216676,205856,203059,135841,110,9,139,177,2076,29,2204,62503,2671,1248,792,456,0,2,68,2,24,1317,10,4,122,26,26,0,685311,685097,47,167,0
162,3984,  РОСГОССТРАХ-ЖИЗНЬ,Москва,399714,0,72342,71003,428,1339,327372,327372,327372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,3676,  РОСГОССТРАХ-МЕДИЦИНА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,3535,  РОСИНКОР РЕЗЕРВ,Дмитров,729,0,0,0,0,0,729,49,2,0,0,47,680,668,616,0,0,0,0,0,0,52,0,10,1,1,0,0,0,0,0,2,6,1,0,2,0,0,0,0,0,0,0,0
165,2191,  РОСМЕДСТРАХ - К,Курск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2947,  РСХБ-СТРАХОВАНИЕ,Москва,7207,0,0,0,0,0,7158,5564,5479,0,0,85,1594,1558,988,0,0,0,1,151,74,201,217,9,1,1,0,0,0,0,0,0,8,0,8,19,49,49,0,0,0,0,0,0
167,1999,  РУССКАЯ КОРОНА,Рязань,9,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,3748,  РУССКИЙ СТАНДАРТ СТРАХОВАНИЕ,Москва,2201,0,346,346,0,0,1855,1855,1007,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,235,  РУССКОЕ ПЕРЕСТРАХОВОЧНОЕ ОБ-ВО,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4202,  САКЛАУ,Казань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2873,  САХАМЕДСТРАХ,Якутск,9404,4608,0,0,0,0,9404,9404,0,0,0,9404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,4331,  СБЕРБАНК СТРАХОВАНИЕ,Москва,21220,0,0,0,0,0,21220,8278,200,0,0,8078,12942,11471,0,0,0,0,1,0,0,187,11283,420,0,0,0,0,0,0,0,0,420,0,11,1040,0,0,0,0,0,0,0,0
173,3692,  СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ,Москва,43286,0,38456,38456,36762,0,4830,4830,4818,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,924,  СЕЛЕКТА,Москва,4048,0,0,0,0,0,4048,3145,71,0,0,3074,903,808,742,0,0,15,2,0,0,36,13,95,0,0,0,0,0,13,0,0,79,3,0,0,0,0,0,0,0,0,0,0
175,632,  СЕРВИСРЕЗЕРВ,Ковров,25655,0,0,0,0,0,1520,936,885,0,0,51,584,574,547,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,24135,24135,0,0,0
176,2353,  СИБИРСКИЙ ДОМ СТРАХОВАНИЯ,Кемерово,88572,0,0,0,0,0,80192,80053,506,0,0,79547,139,72,52,0,0,0,0,0,0,0,20,67,58,58,0,0,0,0,0,0,9,0,0,0,0,0,0,8380,8376,0,4,0
177,3467,  СИБИРСКИЙ СПАС,Новокузнецк,32249,238,0,0,0,0,25418,24753,913,0,0,23840,665,660,639,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,6831,6831,0,0,0
178,3270,  СИБИРСКИЙ СПАС-МЕД,Новокузнецк,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,4105,  СИВ ЛАЙФ,Москва,1733,0,1305,1305,252,0,428,428,369,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2444,  СИМАЗ-МЕД,Новосибирск,4896,0,0,0,0,0,4896,4896,0,0,0,4896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,3803,  СК ДОМИНАНТА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,3225,  СК ЕВРОПЛАН,Москва,4777,0,0,0,0,0,4777,0,0,0,0,0,4777,4752,4752,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,3825,  СК СОГАЗ-ЖИЗНЬ,Москва,3585,0,3398,1229,41,2169,183,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
184,4174,  СКОР П.О.,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3941,  СМП-СТРАХОВАНИЕ,Москва,18068,5,0,0,0,0,18068,17661,205,0,0,17456,407,405,304,0,0,0,0,0,0,10,91,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,3834,  СО ПОМОЩЬ,Санкт-Петербург,10475,0,0,0,0,0,10475,6487,42,0,0,6445,3988,159,130,0,0,0,10,0,0,16,3,186,63,63,0,0,0,0,0,9,105,9,0,3643,0,0,0,0,0,0,0,0
187,1208,  СОГАЗ,Москва,5344795,0,0,0,0,0,5056830,4994858,53248,0,0,4941610,61972,54716,35903,1069,142,73,377,9,0,4229,12914,1821,540,540,0,68,342,25,23,173,648,2,25,5410,24606,24606,0,263359,258775,1373,3211,0
188,3230,  СОГАЗ-МЕД,Москва,1896,0,0,0,0,0,1896,1896,0,0,0,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,1307,  СОГЛАСИЕ,Москва,1333173,21547,0,0,0,0,1218712,1113541,20606,0,0,1092935,105171,101257,98133,508,1,25,86,86,24,1567,851,2595,1120,636,484,1079,1,14,0,1,326,54,17,1302,5,5,0,114456,114318,7,131,0
190,3511,  СОГЛАСИЕ-ВИТА,Москва,359,0,290,290,0,0,69,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1580,  СОСЬЕТЕ ЖЕНЕРАЛЬ СТРАХОВАНИЕ,Москва,985,0,0,0,0,0,985,276,2,0,0,274,709,452,382,0,0,0,0,0,0,0,70,2,0,0,0,0,0,0,0,0,2,0,0,255,0,0,0,0,0,0,0,0
192,4079,  СОСЬЕТЕ ЖЕНЕРАЛЬ СТРАХОВАНИЕ ЖИЗНИ,Москва,1974,0,1383,1383,1383,0,591,591,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,3528,  СПАСЕНИЕ,Казань,81009,0,0,0,0,0,81009,81009,0,0,0,81009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,3300,  СПАССКИЕ ВОРОТА,Салехард,12583,246,0,0,0,0,12339,11923,8,0,0,11915,416,409,89,0,0,0,314,0,0,6,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,244,244,0,0,0
195,2354,  СПАССКИЕ ВОРОТА-М,Москва,11936,0,0,0,0,0,11936,11936,0,0,0,11936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,3983,  СТЕРХ,Якутск,17127,0,0,0,0,0,1523,1293,1275,0,0,18,230,222,88,0,4,0,0,1,1,31,98,8,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,15604,15597,2,5,0
197,3229,  СТРАХОВАЯ БИЗНЕС ГРУППА,Воронеж,7075,0,0,0,0,0,2954,2874,318,0,0,2556,80,41,16,0,0,0,5,0,0,17,3,39,0,0,0,0,0,1,0,3,35,0,0,0,0,0,0,4121,3934,0,187,0
198,574,  СТРАХОВАЯ КОМПАНИЯ ЕКАТЕРИНБУРГ,Екатеринбург,15164,18,0,0,0,0,15164,13001,142,0,0,12859,2163,2151,2070,0,0,0,0,0,0,54,27,7,1,1,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0
199,4104,  СТРАХОВАЯ КОМПАНИЯ КАРДИФ,Москва,8658,1,0,0,0,0,8658,5637,5637,0,0,0,3021,1955,585,0,0,0,0,0,0,0,1370,2,0,0,0,0,0,0,0,0,2,0,0,1064,0,0,0,0,0,0,0,0
200,3857,  СТРАХОВАЯ КОМПАНИЯ ТРУДОВОЕ СТРАХОВАНИЕ,Москва,26,0,0,0,0,0,24,12,1,0,0,11,12,5,2,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,2,0,0,2,0
201,2359,  СТРАХОВАЯ КОМПАНИЯ УСПЕХ,Москва,1748,0,0,0,0,0,1748,1742,0,0,0,1742,6,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,3969,  СТРАХОВАЯ КОМПАНИЯ ЧАББ,Москва,402,27,0,0,0,0,402,268,268,6,0,0,134,68,0,0,0,0,43,0,0,17,8,56,0,0,0,0,0,0,0,1,55,0,9,1,0,0,0,0,0,0,0,0
203,3928,  СТРАХОВЫЕ ИНВЕСТИЦИИ,Уфа,143,0,0,0,0,0,143,136,49,0,0,87,7,5,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
