"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
0290,"Акционерное общество ""Зетта Страхование""",48366.80282999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10263.35075,10263.35075,16.31581,0,0,37865.31869,27865.75341,0,0,0,0,7616.94042,0,0,17912.08107,2336.73192,7369.3705,0,0,0,0,0,2233.79578,5135.57472,0,906.64071,1723.55407,,0,139.48875,98.64464,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",7309.11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6387.76188,0,0,0,6387.76188,921.34818,0,0,0,0,0,0,0,0,0,0,16.04,0,0,0,0,0,0,0,16.04,0,905.30818,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",451591.15063999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,72133.46912,47086.5061,0,0,25046.96302,339707.58504,313013.26785,155212.3819,753.7903,0,476.00758,7362.96879,20323.05483,20318.13093,119979.4292,8905.63525,16275.46118,230.84018,0,103.4774,943.59784,26.84,97.23839,14526.99209,346.47528,0,10418.85601,,39750.09648,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",88931.65604999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,53939.0049,53939.0049,0,0,0,34992.65115,23799.20004,0,0,0,2630.5328,1346.49948,0,0,5528.42719,14293.74057,10639.01466,0,0,0,4905.76526,0,885.55,4847.6994,0,0,554.43645,,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",386.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,386.785,0,0,0,386.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",7418.70266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,867.42594,339.53846,0,0,527.88748,1431.00576,1425.01476,1165.639,0,0,0,0,0,0,0.804,258.57176,5.991,0,0,0,0,0,0,5.991,0,0,0,,5114.97496,5.296,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",36338.67643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,18015.31966,17044.20523,0,0,971.11443,10494.88159,10259.62699,1630.02103,0,0,0,47.29621,87.19488,0,918.09849,7577.01638,76.3546,5.9076,0,0,0,0,0,70.447,0,0,158.9,,7828.47518,0,0,0
0621,"Страховое акционерное общество ""ВСК""",12002461.678709999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3095631.81195,2378005.95737,83.8512,0,717625.85458,8657076.70402,6948382.21689,2887922.89274,4677.38451,49180.59386,68053.81858,327121.0503,16373.77951,13217.14896,557451.30752,3037601.38987,228542.18039,43570.02929,0,561.80637,73057.62691,6253.57411,4844.71188,100254.43183,0,7185.19844,1472967.1083,,243040.49809,3585.97204,3126.69261,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",348183.09176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,54792.04722,32032.028,0,0,22760.01922,235368.17692,226623.00498,159976.99094,314.03498,38.17218,0,47171.49796,0,0,8248.47584,10873.83308,3903.63034,363.134,0,0,0,0,63.2805,874.51584,2602.7,0,4841.5416,,56256.20689,447.20736,1319.45337,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",438482.21665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,420872.26828,410676.02635,0,0,10196.24193,17609.94837,12535.39407,0,0,0,0,0,0,0,2965.78441,9569.60966,2911.69457,0,0,0,0,0,702.06753,2209.62704,0,0,2162.85973,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",1129918.3239399998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,213018.06363,175546.94774,0,0,37471.11589,915412.82329,872750.7448,37190.14312,82.33207,686.71206,777.54276,627823.70776,0,0,119793.80943,86396.4976,22878.4612,373.08078,0,91.21305,1631.1319,373.98799,1160.39565,18896.45683,352.195,60.46108,19723.15621,,1049.65589,218.11141,219.66972,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",8066940.5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1476725.98693,1056347.29827,37.93125,0,420378.68866,5952816.47898,5061617.13935,3490186.32215,4180.33461,9569.51575,61245.77936,246544.3513,3659.3979,2730.94191,516685.63157,729545.80671,321631.74396,65819.67599,0,2671.19238,46015.03003,2317.10231,55278.77226,148708.39009,821.5809,1630.18766,567937.40801,,621012.63177,10060.72966,6324.69416,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",409870.66172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,65563.90047,34382.02887,0,0,31181.8716,344199.31682,276773.09633,163758.0954,156.98319,0,0,9478.66253,1424.10232,0,40805.25573,61149.99716,56853.62199,14156.72245,0,0,0,1676.0191,622.97879,38368.47438,2029.42727,142.75033,10429.84817,,107.44443,0,0,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",479163.60011999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,269357.28047,141849.80376,0,0,127507.47671,209806.31965,166679.98846,78146.84389,0,9965.5798,0,30208.49019,0,0,28768.88087,19590.19371,32497.76229,403.88212,0,5206.59248,0,0,24814.44519,0,2072.8425,0,10628.5689,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",49695103.53803999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,44542719.52736,44062650.23296,0,0,480069.2944,4983045.62987,3203348.30252,761395.89199,10662.87143,35738.60636,2064.89747,11650.89885,1013.30161,425.15169,129496.27368,2251325.56113,1373434.19163,6328.81709,0,10982.36613,833.40424,986.1952,4937.45927,1348365.97629,999.97341,7676.45028,398586.68544,,158363.88924,3186.40005,7788.09152,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",11426464.38968,-231.70933,-231.70933,0,0,0,0,0,0,-231.70933,0,-231.70933,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4090604.96732,2888517.83704,49.19793,0,1202087.13028,5746901.634,5193495.5864,3675373.27027,1733.90543,0,0,146353.91415,2332.15899,715.26812,465877.8308,901824.50676,239775.93977,77735.88613,0,52.78353,121.0184,18206.37603,6976.61777,120278.30914,16404.94877,13534.27965,300095.82818,,1576749.32148,10081.2869,2358.88931,0
1216,"Акционерное общество Страховая компания ""Чулпан""",15007.35369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3497.4112,3112.69741,0,0,384.71379,9342.63912,8912.23931,5150.11757,0,0,35.625,0,69.03106,0,190.22042,3467.24526,421.96351,14.1228,0,0,52.11442,0.25,0,355.47629,0,0,8.4363,,19.46264,145.05341,2002.78732,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",4741991.43613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1230939.78872,855794.13451,0,0,375145.65421,3303927.36742,2229322.46939,1747192.5104,473.28662,0,9299.79168,7173.76597,0,0,19106.196,446076.91872,40401.43678,16457.5152,0,0,51.44858,0,3385.84862,20506.62438,0,0,1034203.46125,,204658.4812,1062.99488,1402.80391,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",2182285.1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,197438.68772,122951.49533,0,0,74487.19239,1954188.96645,1735384.26816,1285601.45933,1093.0826,2199.86813,19642.39493,113927.25063,32857.29729,31210.90614,155932.61853,124130.29672,94722.22663,27067.81244,0,547.65842,12558.02731,808.95324,304.135,52498.02766,937.61256,14619.46667,109463.00499,,28955.24611,797.33137,904.86875,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",77120.69303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,38028.48309,468.15042,0,0,37560.33267,39092.20994,38724.47262,20069.33965,0,0,0,18414.74064,0,0,209.16463,31.2277,63.07477,10.61477,0,0,0,0,0,52.46,0,0,304.66255,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",353959.09896000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,268800.27412,258600.94856,0,0,10199.32556,85158.82484,50626.14054,35846.54935,0,0,0,0,0,0,83.7175,14695.87369,3129.74997,0,0,0,0,0,0,3110.24997,19.5,0,31402.93433,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",2547216.28595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,982373.3748,969580.93725,0,0,12792.43755,1332586.30969,482297.28449,424730.5048,14395.033,72.756,239.56195,1580.03643,0,0,2916.39614,38362.99617,12441.64849,6490.97093,0,71.16045,161.36222,0,91.8171,1027.54309,4598.7947,0,837847.37671,,230662.48581,302.38733,1291.72832,0
1580,Общество с ограниченной ответственностью «РБ Страхование»,228205.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,32174.50995,30463.04923,0,0,1711.46072,196030.49195,162867.92029,0,0,0,0,0,0,0,0,162867.92029,2989.68632,0,0,0,0,0,0,2989.68632,0,0,30172.88534,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",1359.81234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,145.49313,145.49313,0,0,0,1176.97472,1176.97472,440.03695,0,0,0,0,0,0,532.51203,204.42574,0,0,0,0,0,0,0,0,0,0,0,,37.34449,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",6759.92832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4700.00159,4690.00159,0,0,10,2059.92673,1480.83275,0,0,0,0,0,0,0,0,1480.83275,0,0,0,0,0,0,0,0,0,0,579.09398,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",1184168.84265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,229588.73886,151256.04005,0,0,78332.69881,954461.78457,915156.52449,841499.58587,151.3211,0,0,17745.29794,0,0,35245.59136,20514.72822,16415.19465,7265.99311,0,0,0,58.93877,401.00091,3156.45327,5532.80859,547.51228,22342.55315,,0,54.18175,64.13747,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",2171485.12365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,492723.37628,408486.52055,1138.45626,73.4912,84236.85573,1596593.4003,1507964.29286,782519.11814,695.44567,0,1851.88114,341632.63586,12486.80001,10284.67142,209175.44699,159602.96505,63793.64725,7746.8353,0,7.125,2066.55737,856.75675,2192.72929,49130.30464,1793.3389,2029.73443,22805.72576,,75887.81521,3431.27648,2849.25538,0
1858,"Акционерное общество Страховая компания ""Армеец""",33509.41557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6867.61769,1902.48804,0,0,4965.12965,3696.89398,3003.49468,1804.3521,0,0,0,0,0,0,152.72494,1046.41764,689.37816,0,0,0,0,0,0,689.37816,0,0,4.02114,,22944.9039,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",151352.67898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,51199.47047,6411.61461,0,0,44787.85586,29151.71518,16926.09268,15647.22783,0,0,0,193.67012,0,0,342.26219,742.93254,12211.6225,12114.46625,0,0,0,0,35.2,61.95625,0,0,14,,71001.49333,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",47833.1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5112.8904,3271.36158,0,0,1841.52882,42720.2582,38085.99095,31705.14013,0,0,71.85065,787.59047,0,0,2039.48394,3481.92576,3451.15633,135.181,0,0,18.1175,0,2686.50802,551.74981,59.6,0,1183.11092,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",14608659.111070001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3310783.88106,2622333.07401,0,0,688450.80705,10683733.86886,8842725.98614,3908342.04518,9054.13578,29626.48408,80834.23596,159151.83234,93594.17042,91758.39795,789178.79505,3772944.28733,467324.90533,82764.52817,0,7407.12117,36370.41905,4267.73258,15311.56601,318031.4831,3172.05525,40653.82107,1333029.15632,,602558.74317,7231.42478,4351.1932,0
2346,"Акционерное общество ""Объединенная страховая компания""",192278.75341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,58614.72528,22683.2026,0,0,35931.52268,129417.66384,111783.44114,86343.9744,0,12,1597.48309,1681.95192,0,0,15981.80043,6166.2313,7536.31322,253.71219,0,80.36932,729.96392,4.2,1097.10927,5342.27528,28.68324,0,10097.90948,,4246.36429,0,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",1114521.32104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,320288.80331,276014.95637,2445.31667,0,44273.84694,787852.48121,657250.27323,130717.57328,150.16442,0,30070.18623,200453.77028,14803.6242,14658.23474,177329.71453,103725.24029,104163.85833,733.16333,0,0,28608.56743,0,44690.59647,30131.5311,0,2382.96716,24055.38249,,3156.65164,178.65893,3044.72595,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",549116.81268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,415257.33925,400700.64733,0,0,14556.69192,99664.22241,85882.98153,40354.57157,0,0,175.1066,1239.07987,80.1436,0,13778.52787,30255.55202,11632.02848,8452.22159,0,0,25.62,0,112.63461,3035.38128,6.171,0,2149.2124,,34195.25102,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",362680.37328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,147505.81058,147505.81058,0,0,0,211404.433,32006.00495,32006.00495,0,0,0,0,0,0,0,0,259.01669,259.01669,0,0,0,0,0,0,0,0,179139.41136,,3770.1297,0,0,0
2708,Акционерное общество «Баланс Страхование»,845.97145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,845.97145,845.97145,0,0,0,0,845.97145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",4371.33155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4260.6653,2.31851,0,0,4258.34679,110.66625,0.65228,0,0,0,0,0,0,0,0,0.65228,0.27181,0,0,0,0,0,0,0.27181,0,0,109.74216,,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",155344.9138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,86444.20591,17254.85553,0,0,69189.35038,68900.70789,68875.08289,14019.52785,0,0,0,27214.9058,0,0,27528.88411,111.76513,25.625,0,0,0,0,0,0.625,25,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",669660.0375699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,233902.36631,233902.36631,0,0,0,435757.67126,258976.26678,21984.03691,575.33171,0,0,93.7146,166773.95382,144020.69969,34466.86755,35082.36219,21745.4001,29.25,0,0,0,0,66.575,21649.5751,0,9010.92201,146025.08237,,0,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",142784.50526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,52535.18736,31662.01381,0,0,20873.17355,64315.80204,58467.40676,32981.765,0,0,0,16440.79473,0,0,8865.37478,179.47225,5837.39528,0,0,0,0,0,244.08137,1406.80181,4186.5121,0,11,,25933.51586,0,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",87610.52172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,61363.82832,0,0,0,61363.82832,26246.6934,26062.4934,0,0,0,0,0,0,0,0,26062.4934,184.2,0,0,0,0,0,0,184.2,0,0,0,,0,0,0,0
