"Сведения о страховых выплатах по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0191,"Акционерное общество ""Т-Страхование""",1600503.92781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1600503.92781,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",1485939.89264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6978.58746,6978.58746,,,0,1478961.30518,1478961.30518,33369.67315,0,0,200.13316,12180.54743,3175.87597,0,1427189.61908,2845.45639,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",475473.12918999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,224400.22162,206475.78742,197347.8945,0,0,0,0,0,0,9127.89292,0,17924.4342,0,0,,0,0,0,0,0,17924.4342,0,0,0,,231890.77472,4227.90434,14954.22851
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",9855.613370000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,1.93841,1.93841,0,0,0,0,0,0,0,1.93841,0,0,0,0,,0,0,0,0,0,0,0,0,0,,9853.67496,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",61589.77914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,61589.77914,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",40743.78229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,40743.78229,0,0
0621,"Страховое акционерное общество ""ВСК""",5220625.98266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386.80672,1386.80672,,,0,1418533.81964,1221902.00928,3540.36941,0,490845.12831,25403.90096,1836.20625,0,0,700251.45861,24.94574,8524.2332,0,0,,0,1111.73566,652.29521,0,4.13003,6756.0723,0,188107.57716,0,,3745490.67232,14337.37801,40877.30597
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",71920.23122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.61184,790.61184,,,0,22698.34897,16250.59391,2373.53799,0,591.85794,0,1260.21995,0,0,10316.59038,1708.38765,6447.75506,0,0,,0,0,0,0,0,6447.75506,0,0,0,,43819.47266,1416.45323,3195.34452
0928,"Страховое публичное акционерное общество ""Ингосстрах""",6946173.377129999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22232.53415,14101.69238,,,8130.84177,1955920.783,1814498.92126,15695.09852,0,217642.07911,37072.31053,53364.58216,2428.38313,0,1488296.46781,0,16640.41526,3223.92157,3223.92157,,0,10443.94137,0,0,33.78742,2938.7649,0,6565.26549,118216.18099,,4874849.21478,28432.68225,64738.16295
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",20512.48397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,20512.48397,11899.8379,0,0,11698.09826,0,47.37777,0,0,154.36187,0,8612.64607,0,0,,0,0,0,0,9.70766,8602.93841,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",3020127.8326499998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11614.73279,11614.73279,,,0,739512.58789,732522.49532,198.2415,0,4502.87012,40851.38867,20281.293,2686.07751,0,664002.62452,0,5476.84509,82.64502,0,,0,0,0,751.11489,0,4643.08518,0,0,1513.24748,,2187584.39198,12439.66968,68976.45031
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",6832031.540050001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.23878,657.43524,,,1215.80354,166232.04158,155528.44259,6362.6378,34.39002,540.16604,0,43527.49003,0,0,104207.26005,856.49865,10703.59899,0,0,,0,0,0,0,0,10703.59899,0,0,0,,6534378.29554,34549.78612,94998.17803
1216,"Акционерное общество Страховая компания ""Чулпан""",109784.2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,645.37021,645.37021,0,0,0,645.37021,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,100171.26406,2470.30719,6497.34164
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1831627.6061900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,352.16573,352.16573,0,0,0,0,0,0,0,352.16573,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1781136.6403,14427.03894,35711.76122
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1884959.03321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,703580.82959,387632.82525,3692.49055,0,159865.30701,105,856.8776,93.07974,0,223020.07035,0,0,0,0,,0,0,0,0,0,0,0,195857.15101,120090.85333,,1160994.79055,5381.32323,15002.08984
1427,"Акционерное общество ""Московская акционерная страховая компания""",1026006.2531499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,80021.92985,79814.33948,0,29.29423,2005.33886,0,169.7228,0,0,77609.98359,0,207.59037,0,0,,0,0,0,0,0,207.59037,0,0,0,,930588.69594,4211.82098,11183.80638
1587,"Акционерное общество ""Страховое общество ""Талисман""",1850.17379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1850.17379,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",211305.15230000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,26451.27462,22072.4736,113.63753,0,0,0,3235.84386,0,0,9952.76604,8770.22617,990.96407,0,0,,0,0,0,0,0,0,990.96407,0,3387.83695,,175186.14906,2192.943,7474.78562
1820,"Акционерное общество ""ГУТА-Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",927210.0747799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,165447.21896,149659.21336,23374.7339,33.4454,1959.69164,0,60385.69362,1549.95624,0,62195.62523,160.06733,11917.66349,0,0,,0,0,0,0.66125,0,11917.00224,0,3870.34211,0,,750019.56395,3287.48497,8455.8069
1858,"Акционерное общество Страховая компания ""Армеец""",118281.29307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,118281.29307,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",4781.91242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,4781.91242,0,0
2239,"Акционерное общество ""АльфаСтрахование""",6270803.78913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.64628,60.64628,,,0,636652.55468,441161.57625,141.1948,0,20057.84474,9579.74818,9977.3868,0,0,401405.40173,0,113151.99156,0,0,,0,554.3283,31672.39079,0,0,80925.27247,0,82338.98687,0,,5557510.53201,20582.81945,55997.23671
2346,"Акционерное общество ""Объединенная страховая компания""",201369.86545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4124.52153,4124.52153,,,0,34041.53529,34012.59939,25515.56154,0,461.2174,1608.33242,2828.02318,0,0,3400.41349,199.05136,28.9359,0,0,,0,0.01535,0,0,0,28.92055,0,0,0,,163203.80863,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",176226.21700000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.7053,187.7053,,,0,87100.00035,83524.55126,69664.57206,0,1909.46519,9597.1055,0,0,0,2122.04171,231.3668,3575.44909,0,0,,0,0,1527.18533,0,0,2048.26376,0,0,0,,83054.13912,1554.1772,4330.19503
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",11421.31234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,552,,,0,3993.37999,3993.37999,583.38518,0,0,0,0,0,0,3370.44441,39.5504,0,0,0,,0,0,0,0,0,0,0,0,0,,6605.50555,150.86195,119.56485
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",29346.44015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,29346.44015,0,0
2708,Акционерное общество «Баланс Страхование»,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",1643.41272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1643.41272,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",1970504.40848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.46588,482.46588,,,0,132166.67513,126444.58057,434.93643,0,1941.40551,0,98884.68451,0,0,25183.55412,0,82.05636,0,0,,82.05636,0,0,0,0,0,0,5640.0382,0,,1823756.74103,3784.96668,10313.55976
3229,"Акционерное общество ""Страховая бизнес группа""",11345.84743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,4618.27466,0,0,0,0,0,0,0,0,0,0,4618.27466,0,0,,0,0,0,0,21.54696,0,4596.7277,0,0,,3734.90996,780.80855,2211.85426
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",286.42885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,249.8741,0,0,0,0,0,0,0,0,0,0,249.8741,0,0,,0,0,0,0,0,249.8741,0,0,0,,36.55475,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",10827.33455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2252.12766,192.3258,0,0,0,0,192.3258,0,0,0,0,2059.80186,0,0,,0,0,0,0,0,2059.80186,0,0,0,,8575.20689,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",34516.91534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,10012.99017,24503.92517
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",5061.3821100000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2605.51589,2605.51589,0,0,0,0,0,0,0,2605.51589,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,2455.86622,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,1334.22169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,1334.22169,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",212234.69206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,212234.69206,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",133917.28014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,133917.28014,132482.27263,27111.5191,0,50756.95165,0,829.11062,0,0,53784.69126,0,1435.00751,0,0,,0,0,0,0,0,1435.00751,0,0,0,,0,0,0
4189,Общество с ограниченной ответственностью «Протекта Торговое Страхование»,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",1123987.59801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,454766.12036,359695.36528,0,0,206663.04499,4853.52649,12422.98765,0,0,135755.80615,0,2248.13992,0,0,,0,1275.89076,0,0,0,972.24916,0,92822.61516,0,,636199.14022,7951.84578,25070.49165
4334,Общество с ограниченной ответственностью Страховая компания «АСТК»,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",24841129.12935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846704.4084,783905.08411,,,62799.32429,23526338.36486,22175745.46043,3137199.454,21476.03578,2132045.02605,368858.67524,1508301.56539,2430722.75375,815392.78833,11969322.70526,607819.24496,557159.8542,0,0,,0,58071.4374,37873.38062,0,7031.79754,429011.00444,25172.2342,0,793433.05023,,468086.35609,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",228051.80042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,228051.80042,133909.01463,1335.19568,0,0,1085.65071,46678.4031,0,0,84809.76514,0,4271.97332,0,0,,0,0,0,0,0,4271.97332,0,89870.81247,0,,0,0,0
4404,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СТРАХОВАЯ КОМПАНИЯ «ХАТХОР»,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
4406,"Общество с ограниченной ответственностью ""Новая Перестраховочная Компания""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
