"Сведения о выплатах по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
2239,"Акционерное общество ""АльфаСтрахование""",31420.116779999997,0,0,0,0,0,0,0,16954.79571,15795.1806,288.77886,0,4816.01533,0,0,0,0,10690.38641,0,1159.61511,0,0,0,0,0,0,0,0,1159.61511,0,0,0,,0,3565.81261,10899.50846,0
2346,"Акционерное общество ""Объединенная страховая компания""",8116.219250000001,0,0,352.75807,352.75807,0,0,0,7243.64576,5966.54818,5130.46555,0,14.3108,0,504.2712,0,0,226.28523,91.2154,1277.09758,0,0,0,0,0,0,0,0,1277.09758,0,0,0,,0,322.09737,197.71805,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",67872.91528,0,0,57.01396,57.01396,0,0,0,66745.88,66270.708,66071.83336,0,0,29.99997,1.76351,0,0,165.21796,1.8932,475.172,0,0,0,0,0,0,0,0,475.172,0,0,0,,0,548.92301,521.09831,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",872.04871,0,0,0,0,0,0,0,12.75049,12.75049,0,0,0,0,12.75049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,859.29822,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",2199.5791500000005,0,0,27.00869,27.00869,0,0,0,10.5825,10.5825,0,0,0,0,10.5825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1221.85947,940.12849,0
3229,"Акционерное общество ""Страховая бизнес группа""",1273.29864,0,0,0,0,0,0,0,738.80321,9.11983,0,0,0,0,9.11983,0,0,0,0,729.68338,0,0,0,0,0,0,0,0,0,729.68338,0,0,,0,335.3074,199.18803,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",5660.05683,0,0,0,0,0,0,0,5660.05683,5474.74623,0,0,3809.61478,0,7.55327,0,0,1657.57818,0,185.3106,0,0,0,0,0,0,0,0,185.3106,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",1133.12608,0,0,0,0,0,0,0,406.98192,275.1556,0,0,0,0,274.28139,0,0,0.87421,0,131.82632,0,0,0,0,0,0,0,0,131.82632,0,0,0,,0,363.09757,363.04659,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",23588.02878,0,0,1545.42127,1545.42127,0,0,0,94.00774,94.00774,0,0,58.73251,0,35.27523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,14930.43053,7018.16924,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",101.8526,0,0,0,0,0,0,0,101.8526,0,0,0,0,0,0,0,0,0,0,101.8526,0,0,0,0,0,0,0,0,101.8526,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",2127.48552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2127.48552,0,0
3947,"Акционерное общество ""АИГ страховая компания""",116405.46626,0,0,0,0,0,0,0,115481.60629,107634.20966,0,0,0,0,18421.5106,0,0,89212.69906,0,0,0,0,0,0,0,0,0,0,0,0,0,7847.39663,,0,923.85997,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",610994.8405500001,0,0,482.53902,482.53902,0,0,0,610512.30153,609802.1727,64955.92538,0,1370.15655,0,1461.33154,9462.97812,0,532551.78111,0,710.12883,89.65668,89.65668,0,0,0,0,0,0,568.80068,51.67147,0,0,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",50222.5353,0,0,0,0,0,0,0,47381.71297,47381.71297,0,0,0,0,11.061,0,0,40247.023,7123.62897,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1661.94965,1178.87268,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",699822.17222,0,0,87041.46049,59519.05601,0,0,27522.40448,604376.93386,480328.16754,93018.3629,15.56703,37080.92942,47767.8818,18001.30232,3521.73006,0,280725.34193,197.05208,12135.25301,0,0,0,0,1616.54232,0,0,2706.11162,7593.64366,218.95541,0,111913.51331,,8202.9672,200.81067,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",13.70753,0,0,0,0,0,0,0,13.70753,13.70753,0,0,0,0,0,0,0,13.70753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
