"Сведения о вознаграждении посредникам (кроме договоров страхования, заключенных путем обмена информацией в электронной форме), тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
0191,"Акционерное общество ""Т-Страхование""",1103944.49396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,205047.21454,205047.21454,0,0,0,898897.27942,840794.55643,788574.05134,0,0,0,0,0,0,0,52220.50509,614.69533,591.13003,0,0,0,0,0,23.5653,0,0,57488.02766,,0,0,0,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",89220.60977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,67213.2294,3495.99433,0,0,63717.23507,22007.38037,18438.28042,4113.35597,0,103.15183,0,208.70265,0,0,8402.99973,5610.07024,3274.12995,0,0,2.64264,0,0,162.3994,1499.18791,1609.9,0,294.97,,0,0,0,
0212,"Акционерное общество Страховая компания ""Турикум""",50140.01683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,50140.01683,33264.19097,0,0,0,0,16552.48283,0,0,16711.70814,0,10976.55376,0,0,0,0,0,5853.01473,5123.53903,0,4975.82889,923.44321,,0,0,0,
0290,"Акционерное общество ""Зетта Страхование""",203961.30477000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,29876.44858,24903.49937,288.24716,0,4972.94921,173824.64133,142819.35319,36665.80863,15.07625,0,0,19122.58865,501.20234,0,44193.00616,42321.67116,26445.23179,251.94124,0,0,0,1752.70778,3555.17735,20353.07874,532.32668,71.6461,4488.41025,,0,181.44211,78.77275,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",6506.03713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4685.22136,0,0,0,4685.22136,1820.81577,0,0,0,0,0,0,0,0,0,0,15.493,0,0,0,0,0,0,0,15.493,0,1805.32277,,0,0,0,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",384754.4951800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,71311.11522,52576.07012,0,0,18735.0451,263254.94215,235325.1693,87128.77653,0,0,0,12438.99064,0,0,127783.08018,7974.32195,20267.11685,33.0354,0,16.47465,961.72643,0,141.5075,18969.94637,144.4265,0,7662.656,,50188.43781,0,0,
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",397378.71556000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,226318.50659,226098.51534,0,0,219.99125,171060.20897,134999.76314,0,0,1.53693,9826.73901,3014.93476,213.69488,0,54059.88245,67882.97511,18063.72944,0,0,4.8,8166.51014,0,2959.3868,6933.0325,0,0,17996.71639,,0,0,0,
0448,"Страховое Акционерное Общество ""Геополис""",120.4525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,120.4525,0,0,0,120.4525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
0518,"Акционерное общество Страховая компания ""БАСК""",10512.715400000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1038.04669,511.00765,0,0,527.03904,2367.06613,2356.46113,1892.59434,0,0,0,0,0,0,15.2286,448.63819,10.605,0,0,0,0,0,0,10.605,0,0,0,,7097.01058,10.592,0,
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",24797.250869999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5449.89341,4976.05391,0,0,473.8395,15000.81131,14855.76381,3961.71195,0,0,0,5.53103,67.2344,0,1323.58589,9497.70054,52.5225,8.0028,0,0,0,0,0,44.5197,0,0,92.525,,4346.54615,0,0,
0621,"Страховое акционерное общество ""ВСК""",20762487.75862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3781797.22923,2633771.64958,0,0,1148025.57965,16601148.79729,13343666.22355,6778518.91349,9525.28431,65354.83648,307685.46864,846829.9068,33588.63652,29045.86912,939046.41042,4363116.76689,350991.915,58838.04764,0,428.54792,115228.30064,7841.56721,6308.62692,162239.76217,107.0625,70034.55727,2836456.10147,,368323.68952,5544.24257,5673.80001,
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",728898.9282699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,86006.31253,56911.47536,0,0,29094.83717,497707.0006,470699.33705,330092.71031,717.23055,0,2659.10892,96981.91042,0,0,17098.02122,23150.35563,9085.82404,586.89731,0,0,0,0,86,5344.52749,3068.39924,0,17921.83951,,140923.21683,1655.96676,2606.43155,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",1758200.88061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,319567.14201,255751.92383,0,0,63815.21818,1436616.57584,1377771.8675,88258.15234,230.44938,1247.68055,1866.62556,914490.84916,0,0,236258.50353,135419.60698,37866.01507,1316.48695,0,87.9938,1994.47822,1160.30984,1869.79827,30940.79299,496.155,164.39451,20814.29876,,1281.77444,391.24372,344.1446,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",15810617.45765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1953660.50136,1194240.63885,588.57475,0,759419.86251,12964781.10107,10574446.2506,7553369.85122,3862.50861,24615.12173,158846.8901,783150.001,14682.80571,12834.81502,981368.1874,1054550.88483,620994.90325,118522.70149,0,3079.2405,134599.9741,14991.18153,116416.38193,232151.22945,1234.19425,2777.19871,1766562.74851,,851746.73923,17182.75961,23246.35638,
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",520370.39395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,296594.6129,165890.36181,0,0,130704.25109,223775.78105,167945.66311,78479.23887,0,7669.60697,566.1376,25132.85265,0,0,27353.78601,28744.04101,41382.04015,194.85309,0,5955.85879,0,0,33375.64952,0,1855.67875,0,14448.07779,,0,0,0,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",9554145.399220001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4551250.87943,3449860.9364,0,0,1101389.94303,4729372.33482,3718661.59479,2043005.52935,23169.19615,150025.1005,11058.64011,43110.45385,1895.27179,1243.41812,668787.1294,777610.27364,444267.28406,32294.17513,0,21262.2516,4630.77021,17430.07566,13291.65596,355039.4304,318.9251,47936.32547,518507.1305,,254205.73862,3659.64069,15656.80566,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",19304291.847000003,-236.09603,-236.09603,0,0,0,0,0,0,-236.09603,0,-236.09603,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6143875.82181,3886101.33685,453.65881,0,2257774.48496,11165390.70382,9883428.82351,7145322.56835,5080.6283,0,0,300171.75734,1262.95667,628.70912,762262.71306,1669328.19979,377517.70413,121571.38718,0.79153,30.122,202.73808,26771.45314,10522.87267,198675.28562,19743.05391,15886.13744,888558.03874,,1972769.80612,18666.37015,3825.24113,
1216,"Акционерное общество Страховая компания ""Чулпан""",78287.60034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2647.52783,1336.09661,0,0,1311.43122,75336.11898,74789.26171,24159.68794,0,0,44.6875,41066.84834,92.0964,0,3660.70485,5765.23668,538.27166,15.53164,0,0,52.11442,0.892,0,469.7336,0,0,8.58561,,16.168,244.09091,43.69462,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",9347559.78728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1754942.01873,1259772.16576,0,0,495169.85297,7310809.08916,5011677.26395,4163770.25709,219.83298,0,12268.17011,15987.09295,0,0,44914.60804,774517.30278,68985.05659,39000.30199,0,0,42.22697,0,1136.87277,28805.65486,0,0,2230146.76862,,276921.45158,1416.92183,3470.30598,
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",4763827.30078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,457461.20263,362477.71048,0,0,94983.49215,4255358.37229,3524098.2223,2550778.91147,2300.41997,5559.60257,72493.93264,326487.66572,101462.46283,96255.34142,281604.47179,183410.75531,217525.97618,53465.92033,0,777.52423,98143.41901,4056.96127,496.91887,59528.30648,1056.92599,31506.10085,482228.07296,,48449.642,951.98662,1606.09724,
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",163213.47609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,67479.4368,1038.71827,0,0,66440.71853,95734.03929,94831.19756,36247.20653,0,0,0,57986.52651,0,0,526.14509,71.31943,115.31003,27.44253,0,0,0,0,0,87.8675,0,0,787.5317,,0,0,0,
1412,"Акционерное общество ""Д2 Страхование""",2554798.75381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2039989.53568,1981728.96402,0,0,58260.57166,514809.21813,171201.96946,156489.39948,0,0,0,1051.73246,0,0,1360.6985,12300.13902,4932.02989,56.7,0,0,0,0,0,3591.60639,1283.7235,0,338675.21878,,0,0,0,
1427,"Акционерное общество ""Московская акционерная страховая компания""",2178919.89905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,408964.49836,405059.41091,0,0,3905.08745,1625407.20349,732928.83974,648037.84725,26264.66202,36,248.40191,1186.16624,0,0,7184.6813,49971.08102,28563.76621,9979.16975,0,6.9,190.28493,3305.74664,218.63907,2785.53795,12077.48787,5677.0064,858237.59114,,142581.70729,465.05483,1501.43508,
1580,Общество с ограниченной ответственностью «РБ Страхование»,271718.79044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,39466.21234,29164.60897,0,0,10301.60337,232252.5781,201824.16438,0,0,0,0,0,0,0,0,201824.16438,3378.10914,0,0,0,0,0,0,3378.10914,0,0,27050.30458,,0,0,0,
1587,"Акционерное общество ""Страховое общество ""Талисман""",2209.62435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,121.45345,121.45345,0,0,0,2088.1709,2088.1709,881.59089,0,0,0,0,0,0,963.94009,242.63992,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",35396.84802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,22847.65309,22847.65309,0,0,0,12549.19493,8533.66944,0,0,0,0,0,0,0,0,8533.66944,1517.296,0,0,0,0,0,0,1517.296,0,0,2498.22949,,0,0,0,
1675,"Акционерное общество ""Совкомбанк страхование""",3409824.1470000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,899127.86194,802953.64221,0,0,96174.21973,2510150.7374,2183710.51777,1960852.12591,337.31283,0,0,50395.9717,0,0,83756.18648,88368.92085,146496.6074,18676.46482,0,0,0,2847.66081,1058.45056,108183.01978,15731.01143,1872.79592,178070.81631,,384.31816,80.8845,80.345,
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",3322118.8047100003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,648778.21191,523999.89215,2624.07552,15.7739,124778.31976,2552104.10814,2397279.73335,1357350.47361,1416.54643,0,3437.28302,387439.06873,23600.87382,20507.21219,378869.15054,245166.3372,102091.35202,12826.46334,57.6,37.698,4068.32169,3534.80994,5022.20868,75014.48138,1529.76899,8065.55239,44667.47038,,109588.45125,6396.81752,5251.21589,
1858,"Акционерное общество Страховая компания ""Армеец""",38804.83668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1845.29221,1342.6831,0,0,502.60911,7212.24181,6132.38495,4230.0978,0,0,0,6.95618,0,0,187.42694,1707.90403,1079.85686,0,0,0,0,0,0,1079.85686,0,0,0,,29747.30266,0,0,
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",222980.72985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,53287.13403,20596.68426,0,0,32690.44977,71610.22898,51165.04475,34340.05009,0,0,0,13181.219,0,0,1931.55147,1712.22419,20363.11243,17872.55488,0,0,0,5.11646,1950.06125,513.22984,22.15,0,82.0718,,98083.36684,0,0,
2031,"Общество с ограниченной ответственностью ""Медицинская страховая компания ""ИНКО-МЕД""",1855.34464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1855.34464,0,0,0,1855.34464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",99439.58633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9452.32377,4373.28865,0,0,5079.03512,89987.26256,81122.75025,63121.2582,478.4,0,67.7112,1540.14342,0,0,8112.54374,7802.69369,5702.42109,287.64014,0,0,21.2375,0,4084.81093,1101.33252,207.4,0,3162.09122,,0,0,0,
2239,"Акционерное общество ""АльфаСтрахование""",34322781.71931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6781479.38257,5281843.60041,3551.93572,0,1499635.78216,26624289.54772,18984481.94513,9692969.57744,7108.23035,75756.44376,336135.60859,336176.72945,209069.87859,205127.68825,976484.76011,7350780.71684,3118185.09244,150295.00642,0,23705.43489,214644.00694,14708.66024,28708.42447,2681072.15003,5051.40945,82610.43606,4439012.07409,,898447.94957,11140.80755,7424.0319,
2346,"Акционерное общество ""Объединенная страховая компания""",376487.4249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,74073.37005,44837.53248,0,0,29235.83757,299954.93762,222140.78768,176038.34509,16.875,10,1848.92607,2633.24823,25.6,0,29895.78872,11672.00457,8320.564,529.49646,0,169.47647,962.0283,4.5,970.19975,5661.02792,23.8351,0.625,69492.96094,,2459.11723,0,0,
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",1941285.8565600002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,426026.47654,337582.36832,14463.30038,0,88444.10822,1507805.72588,1278032.33323,183658.25944,84.05397,0,53733.50717,337004.29116,36843.08027,36447.97396,530686.65422,136022.487,186407.37885,1164.53241,185.27375,184.145,56138.312,0,68243.55403,60486.56166,5,4222.64258,39143.37122,,5130.19742,284.63155,2038.82517,
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",1107698.15797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,291978.64715,271050.42571,0,0,20928.22144,740310.4342,453850.79479,212954.2377,0,0,521.86659,2565.52458,782.43987,782.43987,37928.74712,199097.97893,263257.63333,256209.11178,0,0,161.81344,0,189.3504,6409.48287,287.87484,0,23202.00608,,74467.71526,85.98375,855.37761,
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",2313509.6413100003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,529331.8151,522575.03421,0,0,6756.78089,1767651.89083,178310.28602,177608.93829,0,0,0,0,0,0,0,701.34773,1037.31516,1037.31516,0,0,0,0,0,0,0,0,1588304.28965,,16525.93538,0,0,
2708,Акционерное общество «Баланс Страхование»,75852.47042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,27.05943,27.05943,0,0,0,75825.41099,68994.28186,0,0,0,30447.57062,38037.41501,0,0,509.29623,0,6151.12913,0,0,0,5749.41209,0,0,401.71704,0,0,680,,0,0,0,
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",10067.92086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5623.04445,1323.98842,0,0,4299.05603,4444.87641,1382.99385,0,0,0,0,0,0,0,555.35,827.64385,753.36366,0,0,0,0,0,0,753.36366,0,0,2308.5189,,0,0,0,
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",84609.48064000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,18482.92917,15464.61644,0,0,3018.31273,66126.55147,66126.55147,7788.51228,0,0,0,38013.32819,0,0,20303.71867,20.99233,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",1307883.58271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,543939.07571,530181.43262,0,0,13757.64309,763944.507,482987.56485,33943.27047,632.96088,0,0,330.17149,339598.26368,296316.33189,51633.52988,56849.36845,29992.96367,189.9,0,0,0,0,59.175,29743.88867,0,9466.74698,241497.2315,,0,0,0,
3064,"Акционерное общество ""Боровицкое страховое общество""",223453.45835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,78952.09956,41034.6612,0,0,37917.43836,93048.28383,80070.59149,64484.95891,0,0,0,6249.34813,0,0,8885.63562,450.64883,12949.39234,10.242,0,0,0,0,2815.27874,4593.67893,5530.19267,0,28.3,,51453.07496,0,0,
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",104645.44206999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,51096.37196,12.10474,0,12.10474,51084.26722,53549.07011,53428.3296,0,0,0,0,0,0,0,53428.3296,0,104.49,0,0,0,0,0,0,104.49,0,0,16.25051,,0,0,0,
