"Сведения о страховых премиях в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256
0141,"Страховое Акционерное Общество ""Медэкспресс""",298530.80444000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282992.22944,4585.46899,,,,4497.80294,,87.66605,278406.76045,2422.17729,266735.58618,9248.99698,6961.87191,6733.88018,4745.07768,4745.07768,,,,,,,,,,,,,,,,,,,1547.6623,,,1547.6623,441.1402,,,441.1402,227.99173,20.234,20.234,,,,,,,,,,,,,,,207.75773,,,,,207.75773,,,,,,,,,,,,,,,,,,,,,,,,8576.70309,,,,,,,,,,,,,,,,,,,,,,,,,
0191,"Акционерное общество ""Тинькофф Страхование""",8858934.447239999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4904512.72389,4904512.72389,234280.88244,,,,,4670231.84145,,,,,2284379.12779,2133653.91265,1712336.00072,1712336.00072,,,,,,,,,,,,,,,,,,,,,,,421317.91193,154692.49882,,266625.41311,12493.85907,4006.84688,4006.84688,,,,,,,,,,,,,,,8487.01219,,,,,8487.01219,,,,,,,,,,,,138231.35607,23147.87365,,115083.48242,,,,,,,,,1670042.59556,,,,,,,,,,,,,,,,,,,,,,,,,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",49570.746920000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36045.56199,5074.59459,,,,1157.88437,,3916.71022,30970.9674,233.1064,11153.205,19584.656,13525.18493,12146.07638,1108.04255,845.78146,262.26109,,,,,,19.41915,,,,,,,,,,,,7821.37202,,,7821.37202,3197.24266,933.7752,120.51495,2142.95251,1379.10855,,,,,,,,,,,,,,164.6,,164.6,1214.50855,729.4879,,,,485.02065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0212,"Акционерное общество Страховая компания ""Цюрих""",616190.12952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511.51562,1511.51562,,,,,,1511.51562,,,,,614678.6139,302453.91551,,,,,,,,,117281.7271,,,,,,,,,,,,185172.18841,,20231.50254,164940.68587,,,,,170825.82247,2442.549,2442.549,,,,,,,,,,,,35956.34073,35956.34073,,132426.93274,772.08313,,,,131654.84961,,,,,,,,,,,103362.86618,38036.00974,,,38036.00974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0290,"Акционерное общество Страховая компания ""Альянс""",933898.1163600001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94328.63605,64900.93814,,,16290.09501,,,48610.84313,29427.69791,29427.69791,,,1009393.92907,460231.28787,8818.035,8818.035,,1425.35359,-452.11774,1393.59599,1393.59599,,131211.13206,,,,,,,,,,,,311378.48726,,20075.69394,291302.79332,6456.80171,130.85937,,6325.94234,183730.8027,10822.81526,10822.81526,,,,3487.26636,,,,739.88269,,,739.88269,12606.13963,,12606.13963,156074.69876,322.05,,,,155752.64876,,,,,,,,,,,93740.69685,271691.14165,,,271691.14165,,,,,,,,,,2108.7176,2108.7176,,,,593.59755,,,,,,,593.59755,,,,,,,,,,,,-172526.76391
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",-58680.67258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39433.89856,-19.06644,,,,-143.70452,,124.63808,39452.965,,,39452.965,-98114.57114,-17595.97955,117.965,117.965,,,-18732.82594,,,,294.11433,,,,,,,,,,,,355.39787,,,355.39787,369.36919,,,369.36919,-42351.46794,,,,,,-35159.6808,,,,,,,,,,,-7392.07088,,,,,-7392.07088,200.28374,,,,,,,,,200.28374,,-38167.12365,-38197.15599,,30.03234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",1033133.8695799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76726.13845,54757.61218,75.70737,0.3,,,,54681.60481,21968.52627,,11093.85334,10874.67293,196612.00219,189181.67186,75213.93529,75213.93529,,,122.55,-3.66099,,-3.66099,565.75184,112.314,112.314,-7.076,,119.39,,,,,,,106277.03462,,92169.40717,14107.62745,6893.7471,3545.12149,83.8611,3264.76451,5958.83271,1174.13715,1174.13715,,,,102.49,286.87843,,286.87843,90,,,90,162.5,,162.5,4067.05316,349.80178,,128.85,,3588.40138,75.77397,,,,,,,,87,-11.22603,,1471.49762,,,1471.49762,,,,,,,,,759950.14894,,,,,,,,,,,,,,,,,,,,,,,,,-154.42
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",70935.54399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6640.84475,6640.84475,,,,,,6640.84475,,,,,64294.69924,22550.1013,,,,,,9506.22859,9506.22859,,2936.61224,,,,,,,,,,,,9351.49291,,,9351.49291,755.76756,,,755.76756,41613.03187,,,,,,,28343.31336,28343.31336,,,,,,,,,13269.71851,,,,,13269.71851,,,,,,,,,,,,131.56607,,131.56607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0448,"Страховое Акционерное Общество ""Геополис""",2298.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298.2,,,,,,,,2298.2,,,2298.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0518,"Акционерное общество Страховая компания ""БАСК""",261330.14522999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145195.1561,4408.54321,,,,,,4408.54321,140786.61289,,,140786.61289,16781.49858,16600.75858,5742.3946,5742.3946,,,,,,,6937.68833,,,,,,,,,,,,3574.51273,,,3574.51273,346.16292,290.7505,54.46742,0.945,176.94,33,33,,,,,,,,,,,,,,,143.94,,,,,143.94,,,,,,,,,,,,3.8,,,3.8,,,,,,,,,91666.03055,7687.46,7507.05,160.08,8.33,12,,,,,,,,,,,,,,,,,,,,
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",64480.26961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7850.22548,3411.14638,,9.2,,,,3401.94638,4439.0791,9.68412,,4429.39498,56630.04413,54145.42311,40022.59556,40022.59556,,,,,,,3547.04924,,,,,,,,,,,,7826.07353,,,7826.07353,2749.70478,,,2749.70478,1870.06172,575.18312,575.18312,,,,,,,,,,,,10,,10,1070.9286,,,,,1070.9286,213.95,,,,,,,,,213.95,,614.5593,,,614.5593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",162566.99674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31302.7491,12256.89421,33.25482,,,,,12223.63939,19045.85489,,18611.22589,434.629,43935.80777,43687.53635,13979.20003,13979.20003,,,,,,,432.02046,596.33799,,,,,,596.33799,,,596.33799,,4027.74273,,,4027.74273,24652.23514,,,24652.23514,248.27142,73.062,73.062,,,,,,,,,,,,,,,175.20942,,,,,175.20942,,,,,,,,,,,,,,,,,,,,,,,,87328.43987,,,,,,,,,,,,,,,,,,,,,,,,,
0621,"Страховое акционерное общество ""ВСК""",20221506.828900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5966354.06313,2043824.00798,128032.61925,2160.76374,118.49,385370.53417,,1528141.60082,3922530.05515,,3360007.72927,562522.32588,10488914.62195,9627456.57038,5502456.56557,5502456.56557,,9882.41604,242488.38969,168160.77952,168160.77952,,337568.09648,39475.0031,14992.46601,2658.072,,12334.39401,,24482.53709,6438.77507,,17463.0391,580.72292,1050667.80977,59712.14467,394302.15948,596653.50562,2276757.51021,653577.44977,1623180.06044,,410215.21229,95827.28794,33361.81959,62465.46835,,,9164.69575,53114.86481,53114.86481,,16239.70392,285.81599,,15953.88793,13286.63976,13286.63976,,220591.32748,45467.51687,2506.0966,4415.48699,1028.762,167173.46502,1990.69263,,,,,,-31.44137,,100,1922.134,9695.15608,441547.6832,,,441547.6832,,,,,,,,,4311205.76048,98841.59359,83832.36283,7808.79,993.95374,6206.48702,25826.44748,522.36242,,522.36242,51.81176,,51.81176,186.668,-5.21937,-22.70556,17.48619,25035.99087,11311.75778,2975.92224,2204.06751,8544.24334,25.69911,9.13469,,-669635.65773
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",861455.5256299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157365.3195,49334.00508,,,,,,49334.00508,108031.31442,4480.77294,,103550.54148,357427.1209,340973.61649,262233.88425,262233.88425,,567.31487,,,,,47197.24536,,,,,,,,,,,,16342.53725,,,16342.53725,14632.63476,7889.93518,,6742.69958,8168.83025,698.1034,698.1034,,,,,,,,,,,,50,,50,2108.42685,,,,,2108.42685,5312.3,,,,,,,,5312.3,,,8284.67416,,,8284.67416,,,,,,,,,338929.01307,3119.76808,3119.76808,,,,4614.30408,,,,,,,,,,,4614.30408,,,4614.30408,,,,,
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",585551.3515100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494716.50311,435007.41796,8.68525,,,210.58955,,434788.14316,59709.08515,670.75864,51397.84451,7640.482,92682.22578,92710.58174,,,,,,,,,3180.91415,,,,,,,,,,,,73083.928,,,73083.928,16445.73959,373.07766,1087.14446,14985.51747,5912.22228,,,,,,,,,,599.54008,599.54008,,,,,,4752.68454,,,,,4752.68454,559.99766,,,,,,-18.00234,,,578,,-5940.57824,0.65928,,-5941.23752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1847.37738
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",4932.66517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.26333,181.26333,,,,181.26333,,,,,,,4751.40184,4751.40184,4542.82651,4542.82651,,,,,,,,,,,,,,,,,,,208.57533,,,208.57533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",1288098.2730299998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371967.7031,229127.08447,,,,,,229127.08447,142840.61863,,126211.81863,16628.8,880241.30992,811545.99133,118439.483,118439.483,,179.44527,3348.816,905.49887,,905.49887,383353.50926,,,,,,,,,,,,189778.79643,78574.93167,8762.14563,102441.71913,115540.4425,16343.33245,19442.673,79754.43705,42303.60964,3155.78298,3155.78298,,,,337.24227,1464.67198,,1464.67198,554.36775,554.36775,,,3043.77906,997.218,2046.56106,33444.07027,1624.96537,,136.93562,30.4,31651.76928,303.69533,,,,,,-39.30467,,343,,141.21096,26250.49799,7112.6264,,19137.87159,,,,,,,,,43169.40223,3698.91509,2615.13406,79.46,45.315,959.00603,870.25921,6.39663,,6.39663,,,,,61.85564,61.85564,,802.00694,420.68059,105.37215,45.85427,230.09993,,,,-11849.31652
0928,"Страховое публичное акционерное общество ""Ингосстрах""",36120651.54624999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390390.46693,1398912.28246,3888.5833,1255.45526,15937.74378,2309.04502,,1375521.4551,3991478.18447,201207.86889,3294137.92166,496132.39392,22687641.85682,19052148.4864,9492370.92366,9492370.92366,,57236.39196,716837.89449,962230.18541,931428.73712,30801.44829,1061722.48149,8424.74622,118.7386,,,118.7386,,8306.00762,,,8306.00762,,5567167.91402,,344459.31697,5222708.59705,1186157.94915,553795.42564,95431.99352,536930.52999,2381311.82585,138422.65072,138422.65072,,,400,359262.11599,534081.81849,525976.45642,8105.36207,38273.12692,1249.721,27.5,36995.90592,264654.55918,39257.7898,225396.76938,1040959.29313,53632.2702,6982.56204,8682.71133,2096.5154,969565.23416,5258.26142,,750,,,,,,4149.815,358.44642,51437.10506,1202744.43951,61027.0533,,1141717.38621,,,,,,,,,7820776.08244,143596.49806,122237.88502,10612.19385,1051.38698,9695.03221,84143.20787,434.79721,,434.79721,2535.3295,814.51856,1720.81094,269.699,850.50577,824.93515,25.57062,76402.47174,45874.02945,17781.12143,1764.50643,10982.81443,1814.25652,1817.77696,18.37117,-5896.56587
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",2175778.79285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217326.85805,161188.03166,-1262.64248,,,9581.33624,,152869.3379,56138.82639,17804.22123,18709.45373,19625.15143,1157660.12615,978247.73522,749370.88912,749370.88912,,146.96,,,,,19279.6996,2814.12877,,,,,,2814.12877,,,2814.12877,,54366.87482,,10374.70496,43992.16986,152269.18291,139875.65785,10737.36201,1656.16305,105992.93,62738.1263,3141.8763,59596.25,,,,,,,734.42781,734.42781,,,1208.727,1164.37675,44.35025,38502.74056,24546.85085,,287.8635,120.7775,13547.24871,2808.90833,,,,107.1565,,,,,2701.75183,82.24527,73337.21566,61876.6587,,11460.55696,,,,,,,,,772742.49983,8357.31035,6501.77554,364.89945,235.76,1254.87536,5189.10947,,,,,,,,23.08746,23.08746,,5166.02201,2696.10015,1832.52024,275.82711,361.57451,,,,14502.889
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",431669.86979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195010.14297,79840.0107,96.9533,,,,,79743.0574,115170.13227,,,115170.13227,236659.72682,152473.89045,84150.74986,84150.74986,,,9142.66526,,,,13157.25986,,,,,,,,,,,,30572.06592,,,30572.06592,15451.14955,56.50546,,15394.64409,66524.0896,469.3867,469.3867,,,,6581.75803,,,,,,,,56738.57387,,56738.57387,,,,,,,2734.371,,,,,,,,2530.5,203.871,,17661.74677,526.28052,4173.46753,12961.99872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",102183963.32322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63101874.88681,15379959.66316,62320.74785,40542.83971,,911726.7684,38.71,14365330.5972,47721915.22365,,46706503.75737,1015411.46628,35782734.4504,30513060.84158,3872424.93302,3500970.52818,371454.40484,103967.93771,2812944.67964,533624.87603,529155.43958,4469.43645,634169.34756,7223.07956,4242.61326,,,4242.61326,,2980.4663,,,2980.4663,,21446418.9465,,6049791.96563,15396626.98087,1102287.04156,68300.43491,,1033986.60665,2396429.68253,51383.75984,51383.75984,,,107.03814,443971.46509,193762.33634,192170.4239,1591.91244,230815.74215,243.8856,279.43153,230292.42502,214231.58107,173874.28719,40357.29388,1242885.05235,54380.99299,1194.31895,859.93167,195.35,1186254.45874,19272.70755,,,241.77,,,,,247.75022,18783.18733,2313886.69068,559357.23561,105028.84237,,454328.39324,,,,,,,,,2846140.12091,396391.19597,242486.86906,139475.48533,9091.11588,5337.7257,56822.66913,3931.63836,3506.88689,424.75147,10687.04089,1476.50013,9210.54076,17.87481,10.46607,6.16261,4.30346,40891.42494,18674.3202,3927.17652,1165.80138,17124.12684,468.94231,815.28175,,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",32138875.308990005,2029.40571,1950.6068,-0.00804,,,,,,,,,,,,,-0.00804,,,,,-0.00804,,,,,,,,,,,,,1950.61484,,,,,,,20.02758,,,,,20.02758,1930.58726,,,,,1930.58726,,,,,,,,,,,,,78.79891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.79891,,,,,,,,,,,,,78.79891,,,,,78.79891,,,,,,,,,,,,,,,,,,,,,,,,,,10006081.20535,1377871.72265,1786.44064,4125.932,556.85056,253101.6248,,1118300.87465,8628209.4827,182399.55469,7839169.83147,606640.09654,12246719.09266,10825295.02727,7783370.77626,7783370.77626,,37569.53868,-0.00644,,,,235338.24866,9650.28322,,,,,,9650.28322,,,9650.28322,,1710262.25237,,206615.13935,1503647.11302,1049103.93452,516552.55914,217310.55713,315240.81825,627447.61143,253387.90548,129946.31715,123441.58833,,,59.07,,,,5641.04518,53.5,,5587.54518,110732.11667,110732.11667,,229797.37903,7109.5395,3647.77886,4298.10014,953.12679,213788.83374,27830.09507,,,,,,,,45,27785.09507,307836.09342,486140.36054,4153.94424,1033.98711,480952.42919,,,,,,,,,9793785.60265,75822.75204,60241.47309,3855.26,631.485,11094.53395,14437.25058,,,,,,,-1e-05,19.15035,,19.15035,14418.10024,8066.65587,3969.94684,914.01285,1467.48468,,,,
1216,"Акционерное общество Страховая компания ""Чулпан""",741766.92609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519389.41096,12622.72511,,,,8203.2167,,4419.50841,506766.68585,6.86867,504868.22613,1891.59105,34543.43089,32176.25641,19798.02048,19798.02048,,,,,,,11.55,305.0939,,,,,,305.0939,,,305.0939,,3301.89154,,461.41062,2840.48092,8759.70049,1567.71578,7069.02414,122.96057,2339.05348,71.18188,71.18188,,,,50.84,,,,112.05037,20.53,,91.52037,19.95,,19.95,2066.73123,817.21892,,2.465,3,1244.04731,18.3,,,,,,,,18.3,,,28.121,,,28.121,,,,,,,,,180162.02202,6963.45705,5446.55855,715.72,777.54675,23.63175,708.60517,,,,,,,,,,,708.60517,656.88404,38.64743,13.0737,,,,,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",12193698.869269999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937634.2912,1048965.31073,677.93366,5895.58,,,,1042391.79707,1888668.98047,34384.94968,1677658.75257,176625.27822,6731483.90779,5278673.7952,3699125.36577,3699125.36577,,67.584,,48322.05765,48322.05765,,869989.51137,,,,,,,,,,,,256595.96431,36358.23963,2302.93731,217934.78737,404573.3121,39367.6738,112559.72439,252645.91391,167738.61359,71877.39953,71877.39953,,,,,197.42033,197.42033,,,,,,2052.07433,2052.07433,,93611.7194,470.00324,,228.87445,55,92857.84171,,,,,,,,,,,,1285071.499,13363.74602,,1271707.75298,,,,,,,,,2464115.19335,6829.3087,5270.0337,719.2,87,753.075,2678.62702,,,,,,,83.10216,,,,2595.52486,1328.8828,709.72671,85.7783,471.13705,,,,50957.54121
