"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
0191,"Акционерное общество ""Тинькофф Страхование""",0,0,1606151.60627,1606151.60627,0,0,0,3526686.95621,3451667.87918,2502492.278,0,0,0,0,0,0,0,949175.60118,2454.52886,2323.22646,0,0,0,0,0,131.3024,0,0,72564.54817,,0,0,0,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",0,0,81226.76541,21585.11309,0,0,59641.65232,105863.42516,62947.64777,2773.70545,0,26384.64887,0,764.6097,0,0,16742.86549,16281.81826,42915.77739,0,0,34622.84697,0,11.5,104.0187,8177.41172,0,0,0,,0,0,0,
0212,"Акционерное общество Страховая компания ""Цюрих""",0,0,1045.71875,1045.71875,0,0,0,517327.0935,311861.73049,0,0,0,0,105760.65414,0,0,206101.07635,0,104551.54526,0,0,0,0,0,22068.4381,82483.10716,0,59661.40329,41252.41446,,0,0,0,
0290,"Акционерное общество Страховая компания ""Альянс""",0,0,187075.3074,177140.64108,21211.18706,0,9934.66632,5437732.75786,2216421.53668,0,29247.60404,1536.60272,164996.97132,719222.44276,0,0,1240296.25158,61121.66426,990761.45068,0,0,3073.40328,0,93189.89504,56221.2361,843152.76096,-4875.8447,239527.44582,1991022.32468,,0,11347.42438,8999.4237,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",0,0,18696.5,0,0,0,18696.5,37099.90256,26282.99161,0,0,16394.48742,0,3156.50135,0,0,6078.1237,653.87914,10437.70297,0,0,10021.22,0,0,0,0,416.48297,0,379.20798,,0,0,0,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",0,0,823925.44045,725148.60957,0,0,98776.83088,776828.33389,508889.1923,161567.80422,0,1835.52512,640.35,4247.76753,29552.74275,29552.74275,200511.14328,110533.8594,247935.48204,5084.52582,0,287.6748,628.75406,390,299.40137,238550.12599,2695,0,20003.65955,,2623798.83883,-16.35,0,
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",0,0,8063.03264,8063.03264,0,0,0,86293.06798,51312.25102,0,0,0,33836.87316,3329.16909,0,0,12645.27199,1500.93678,34484.90564,0,0,0,34412.08004,0,0,72.8256,0,0,495.91132,,0,0,0,
0448,"Страховое Акционерное Общество ""Геополис""",0,0,5456.059,0,0,0,5456.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
0518,"Акционерное общество Страховая компания ""БАСК""",0,0,5413.52972,1677.8538,0,0,3735.67592,5561.69801,5532.39801,4557.27549,0,0,0,0,0,0,196.51752,778.605,29.3,0,0,0,0,0,0,29.3,0,0,0,,153721.92973,75,0,
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",0,0,28102.02799,14415.58328,0,0,13686.44471,324507.90873,311220.40836,262534.89195,0,0,0,3648.63109,0,0,25286.6684,19750.21692,10966.87094,3818.86622,0,0,0,0,99.6,6695.75472,352.65,0,2320.62943,,0,0,0,
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",0,0,123308.5062,96663.30339,0,0,26645.20281,123460.99357,122761.07098,46748.75058,0,0,0,1711.78754,809.294,0,19814.26866,53676.9702,693.92259,232.25628,0,0,0,0,0,461.66631,0,0,6,,440700.2004,40.71815,106.43933,
0621,"Страховое акционерное общество ""ВСК""",0,0,17468325.58028,9968210.50277,3517.2847,0,7500115.07751,42277267.68613,37414092.95353,21871730.35819,57809.13187,793604.91909,262524.38863,1746266.44671,372405.09567,309897.65516,3721649.18882,8588103.42455,1606411.3266,628812.83452,0,48845.42338,131444.95263,141422.80297,125689.98554,531933.18808,-1737.86052,53266.10949,3203497.29651,,6101373.90293,177447.79851,118219.62111,
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",0,0,411442.10415,199089.64662,0,0,212352.45753,1451184.61779,1377590.24551,1140742.57547,2489.83882,0,2594.66575,120461.50607,0,0,45940.8624,65360.797,25260.31918,2450.63236,0,0,0,0,30,5365.18682,17414.5,0,48334.0531,,972202.73151,14048.57566,29142.46834,
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",0,0,3227008.91252,3109507.9365,0,0,117500.97602,215680.33209,113254.85296,11.21931,0,0,0,277.2914,0,0,16934.95703,96031.38522,18624.8305,0,0,0,0,89.26035,0,18535.57015,0,0,83800.64863,,0,0,0,
0758,"Общество с ограниченной ответственностью Страховая медицинская компания ""АСТРА-МЕТАЛЛ""",0,0,167139.184,0,0,0,167139.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",0,0,996772.69209,757212.55692,0,0,239560.13517,2358806.88241,2134302.04451,207310.97277,604.05828,5030.59001,8163.38364,1021367.69269,0,0,479516.2709,412309.07622,117974.40847,7465.76344,0,1234.33756,7430.43928,10244.6731,8465.9424,81975.9852,1157.26749,2760.13205,103770.29738,,24338.06585,3613.40977,4970.00666,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",0,0,12306088.94841,4762003.17257,14358.44345,0,7544085.77584,47907101.63134,41302482.71285,28952656.64163,22699.85503,503925.34385,868979.78977,1470774.20973,29947.8538,4594.79452,5914953.07361,3538545.94543,3422565.38733,479166.11358,0,73396.92718,977526.33419,257746.84757,464799.11262,1163606.57036,6323.48183,59270.16258,3122783.36858,,9943196.01865,188447.44407,141526.87737,
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",0,0,763475.29036,564238.64809,0,0,199236.64227,4502172.5192,4029706.24163,3054994.0747,711.84732,0,0,63969.93042,9395.47469,0,281104.32101,619530.59349,400306.89222,199350.02768,0,0,0,14108.10752,4094.88299,176336.38345,6417.49058,497.11328,71662.27207,,1036891.24585,17964.9755,31374.44886,
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",0,0,727320.78066,441576.80818,0,0,285743.97248,850126.10914,527728.52539,358481.35683,0,38673.54428,10,29045.32639,0,0,51146.77913,50371.51876,244746.16015,1536.41183,0,37673.54845,0,0,196530.19987,0,9006,0,77651.4236,,0,0,0,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",0,0,138857270.58153,129936807.71715,0,0,8920462.86438,48453981.96494,42089671.51051,10985854.05551,244032.22399,4310495.73589,571686.47319,502570.62874,47808.17372,27643.35177,20988125.69955,4439098.51992,3057791.7091,116055.87353,6.6,480833.59971,136932.01343,464388.75683,317057.98407,1540182.45076,2334.43077,1785640.97933,1520877.766,,2607825.9081,245816.94128,238206.21967,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",6654.52431,0,27475939.77217,8207820.38343,5997.53462,0,19268119.38874,45684397.5106,40987265.16124,30792734.97425,53694.18236,5326.53724,405.36236,942985.67997,17693.79939,0,3980030.71833,5194393.90734,2295792.7552,994357.93169,179.55,354.6655,1226.38174,186224.59253,76500.67966,905745.34893,131203.60515,354605.11186,2046734.4823,,29259778.65372,179420.33481,83687.04204,
1216,"Акционерное общество Страховая компания ""Чулпан""",0,0,41013.32289,13273.30401,0,0,27740.01888,129187.55071,124108.77485,55051.73339,0,0,85.5,15363.11254,950.45881,0,19719.97157,32937.99854,4817.19645,253.26485,0,0,412.6934,17,19.95,4114.2882,0,0,261.57941,,17958.19803,2452.497,17748.08611,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",0,0,5766294.42319,1307499.88973,0,0,4458794.53346,15315376.16981,11333297.06452,9677912.99627,386.19065,0,99931.5007,72365.13947,0,0,319187.61401,1163513.62342,375133.92586,180932.06282,0,0,60.5732,23,27945.85874,166172.4311,0,0,3606945.17943,,2477271.60639,5597.02416,17552.38919,
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",0,0,3398487.63926,1345251.39211,300.4894,0,2053236.24715,18931841.86776,16778091.29149,12879350.77562,47314.95852,21354.05612,338261.58644,680781.54069,520999.95678,491437.17988,1381839.1844,908189.23292,950543.04838,432224.68483,108,3206.58359,181352.20323,5120.35811,14025.53328,306515.85491,7989.83043,472055.67024,731151.85765,,2369329.01068,27958.20408,39498.57398,
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",0,0,868057.62953,11397.25476,0,0,856660.37477,282557.67332,280258.96836,132324.39122,0,0,0,145601.66565,0,0,1946.2691,386.64239,402.13331,201.13329,0,0,0,0,0,201.00002,0,0,1896.57165,,0,0,0,
1372,"СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""АСТРАМЕД-МС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1412,"Акционерное общество ""Д2 Страхование""",0,0,706544.5164,659245.30846,0,0,47299.20794,392038.60731,258487.29482,16186.99024,0,0,0,0,0,0,264.93,242035.37458,20284.39139,0,0,0,0,0,0,20284.39139,0,0,113266.9211,,0,0,0,
1427,"Акционерное общество ""Московская акционерная страховая компания""",0,0,2201652.84797,1680534.51078,0,0,521118.33719,5269943.48694,3360715.3749,3101720.63929,53036.05273,631.89,1105.06796,3303.76249,-6.73811,-6.73811,42052.69987,158872.00067,123827.92087,53280.47712,0,47.9,1326.131,40164.18371,0,22300.74011,6708.48893,170.66417,1785229.527,,3067693.17071,6388.72677,30711.85144,
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",0,0,37066.19025,37066.19025,0,0,0,781562.97655,620336.62176,-9.52,0,0,0,0,0,0,0,620346.14176,9813.47866,0,0,0,0,0,0,9813.47866,0,0,151412.87613,,0,0,0,
1587,"Акционерное общество ""Страховое общество ""Талисман""",0,0,834.3814,834.3814,0,0,0,21165.52155,21097.71255,19911.02848,0,0,0,0,0,0,263.49633,923.18774,67.809,0,0,0,0,0,0,67.809,0,0,0,,627364.53077,0,0,
1623,"Общество с ограниченной ответственностью Страховая компания ""Тюмень-Полис""",0,0,52103.45355,50576.39244,0,0,1527.06111,33009.77089,18005.81733,797.47911,0,0,65.17,0,0,0,209.33695,16933.83127,28.86,0,0,0,0,0,0,28.86,0,0,14975.09356,,0,0,0,
1675,"Акционерное общество ""Совкомбанк страхование""",0,0,3595481.35366,1970845.77461,0,0,1624635.57905,7978064.12463,3920705.7553,3119994.03528,482.37325,0,35262.99673,146589.21416,0,0,125291.48037,493085.65551,1981075.64225,27061.47489,0,0,9239.64697,4012.81533,4792.94149,1935758.84981,209.91376,6256.85957,2070025.86751,,1502114.37265,1804.68,2395.77898,
1820,"Акционерное общество ""ГУТА-Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",0,0,2651550.65356,1667970.21229,4261.96275,420.05,983580.44127,8075612.99447,7574940.40011,4323594.84585,2295.21205,5041.82592,11315.13774,1282122.61067,203467.32982,186823.64072,1075046.43678,672057.00128,371650.80914,32913.43566,171,160.22718,14723.14208,25310.64161,11600.1078,284029.92042,2742.33439,11958.72941,117063.05581,,1665938.66504,68760.1779,91938.84608,
1858,"Акционерное общество Страховая компания ""Армеец""",0,0,50580.36565,32665.15226,0,0,17915.21339,31145.83663,23304.60653,10105.53552,0,0,0,2.65127,0,0,3284.72324,9911.6965,7752.63309,18,0,88.56,0,0,0,7634.87309,11.2,0,88.59701,,1016561.73064,0,0,
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",0,0,48149.24014,47000.06189,0,0,1149.17825,346480.05828,107302.30138,81063.98556,0,0,0,17374.00708,0,0,3555.11427,5309.19447,239162.63918,237220.188,0,0,0,0,615.39593,1327.05525,0,0,15.11772,,1047072.48019,0,0,
2031,"Общество с ограниченной ответственностью ""Медицинская страховая компания ""ИНКО-МЕД""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",0,0,76792.00797,69611.09458,0,0,7180.91339,293965.62758,271627.62587,224785.05108,0,0,346.387,1182.93052,0,0,10946.09306,34367.16421,16710.98933,686.6,0,0,21.588,0,11656.28601,3992.71532,353.8,0,5627.01238,,0,0,0,
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",0,0,42956.08835,15748.54484,0,0,27207.54351,71116.28111,70917.26495,57762.16313,0,0,0,119.29022,201.4652,0,2233.27066,10601.07574,199.01616,0,0,0,0,0,0,199.01616,0,0,0,,0,0,0,
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2239,"Акционерное общество ""АльфаСтрахование""",0,0,14556297.10393,8090212.68907,11493.69474,0,6466084.41486,51561475.45468,43153946.40776,22284832.79442,56605.37158,587726.37927,630082.13859,713858.0591,1185805.10516,1090729.05424,3713065.52817,13981971.03147,2968963.68359,780735.83828,0,231180.10244,146249.33803,127216.47729,66665.62625,1599160.56219,17755.73911,617634.5644,4820930.79893,,13598718.50197,156673.97652,115925.87851,
2346,"Акционерное общество ""Объединенная страховая компания""",0,0,291163.34181,133874.02236,0,0,157289.31945,1021190.79997,945641.09276,819260.33715,137.718,103.5,3068.94532,15508.45765,283.35233,0,68279.60412,38999.17819,54642.63097,2708.55369,0,1667.35557,2712.98445,20.1,6030.8867,40411.61786,1091.1327,-99.73016,21006.8064,,441423.06763,4311.28042,2844.37538,
2353,"Общество с ограниченной ответственностью ""Страховая компания ""Сибирский Дом Страхования""",0,0,121649.98276,6872.45587,0,0,114777.52689,13230.15768,12096.69282,8463.81903,0,0,0,0,0,0,1369.73674,2263.13705,1073.86486,0,0,0,0,0,0,491.79486,582.07,0,59.6,,6405.71301,0,0,
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",0,0,2792698.00202,1301976.9987,11545.5304,0,1490721.00332,3954726.48775,3411785.10945,1345028.35215,1945.46732,0,240658.51057,537365.228,225054.00706,219269.3682,716629.85462,345103.68973,368230.42268,7602.84502,0,413.4,86394.1282,0,119541.3214,154248.72806,30,17883.98155,156826.97407,,35360.17807,4799.93765,4874.37258,
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",0,0,1137927.94249,1018169.82569,0,0,119758.1168,620566.99707,608482.50502,439586.35866,0,0,1556.306,5152.55152,1288.58412,1256.36412,28054.90873,132843.79599,12084.49205,562.403,0,0,557.8358,0,1311.78837,9599.04688,53.418,0,0,,661876.43308,0,0,
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",0,0,477437.00666,477437.00666,0,0,0,1295451.64868,360034.94482,360034.94482,0,0,0,0,0,0,0,0,3646.02119,3646.02119,0,0,0,0,0,0,0,0,931770.68267,,0,0,0,
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,-295.12402,-295.12402,0,0,0,1070.71749,-286.10577,0,0,0,0,0,0,0,-286.10577,0,1385.23697,0,0,0,0,536.5184,0,848.71857,0,0,-28.41371,,0,-72.39869,0,
2733,"Акционерное общество ""Страховая компания ""Резерв""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",0,0,604362.07484,80396.8481,0,0,523965.22674,350424.58216,349955.55456,224362.89985,0,0,0,11996.86919,0,0,111109.75901,2486.02651,469.0276,0,0,96.59498,0,0,39.8,332.63262,0,0,0,,0,0,0,
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",0,0,1130019.72165,1130019.72165,0,0,0,2714014.8103,2308958.42408,72320.29098,5606.5018,0,188.899,1209.10489,1889639.24952,1652981.3749,121180.68058,218813.69731,123702.99554,1321.5,0,0,0,0,1025.5,121355.99554,0,33477.65943,247875.73125,,0,84.945,0,
3064,"Акционерное общество ""Боровицкое страховое общество""",0,0,259280.69405,82500.21244,0,0,176780.48161,160219.99295,75014.1791,35056.28925,0,0,0,26116.82035,0,0,13100.34305,740.72645,18407.25126,0,0,0,0,0,395.51123,1943.18717,16068.55286,0,66798.56259,,444594.16914,0,0,
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",0,0,56395.845,0,0,0,56395.845,120270.11844,109879.79844,0,0,0,0,0,0,0,0,109879.79844,10390.32,0,0,0,0,0,0,10390.32,0,0,0,,0,0,0,
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",0,0,152507.24568,32073.87675,0,0,120433.36893,1175805.28899,224580.84969,95201.58862,0,-80.12928,36661.64786,11045.81498,0,0,63407.81564,18344.11187,927677.23665,0,0,317.27716,93731.61917,153.46,0,369069.68269,464405.19763,0,23547.20265,,0,0,0,
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",0,0,2622782.57642,2420821.07109,558.14425,0,201961.50533,5226334.73937,4696308.1571,3830607.9961,0,2839.21812,11920.01827,60348.38579,3132.35694,0,260815.23716,526644.94472,61422.92342,6610.25011,0,0,10014.55281,5973.58202,1733.09475,35911.16064,1180.28309,1187.17013,467416.48872,,6173791.32586,18263.01348,25854.92141,
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",0,0,5331.95662,5331.95662,0,0,0,1063944.85958,1025682.69429,1025682.69429,0,0,0,0,0,0,0,0,38262.16529,38262.16529,0,0,0,0,0,0,0,0,0,,0,0,0,
3229,"Акционерное общество ""Страховая бизнес группа""",0,0,154874.90335,11840.65973,0,0,143034.24362,1364002.34376,1281051.92371,822.99998,1290.24,45.72994,5866.52,70297.49361,0,0,1201302.19136,1426.74882,81393.4015,0,0,41.043,684.30538,0,10744.41506,62398.47726,7525.1608,0,1557.01855,,36972.85351,6453.4469,26850.99914,
3230,"Акционерное общество ""Страховая компания ""СОГАЗ-Мед""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",2078962.46535,265216.13367,1305800.61377,1174862.45237,0,0,130938.1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",0,0,105138.0925,1946.0925,0,0,103192,26107.15055,15777.9855,4159.65475,0,0,304.42238,160.43304,0,0,8900.62471,2252.85062,10091.77587,16.2,0,16.5,3.9,0,463.43,9591.74587,0,0,237.38918,,49454.1094,763.01433,1443.61389,
3300,"Акционерное общество Страховая группа ""Спасские ворота""",0,0,377772.4152,34010.11928,0,0,343762.29592,202231.52456,189609.47221,18434.42147,0,0,0,144508.23697,0,0,6769.05196,19897.76181,12154.83694,73.7,0,0,68.6,0,62.585,11949.95194,0,0,467.21541,,5976.31381,128.62,0,
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",0,0,14783.60897,-1292.42178,0,0,16076.03075,26330.34092,17920.187,17509.37363,0,0,0,480.81896,0,0,-749.08314,679.07755,3925.61386,485.91234,0,0,0,0,2138.79883,1300.90269,0,0,4484.54006,,7715.56874,0,0,
3398,"Общество с ограниченной ответственностью Страховая компания ""ВТБ Страхование""",0,0,3182665.3434,1332959.26424,0,0,1849706.07916,1020483.87744,772200.4749,163119.39735,-68.07492,0,0,96.65493,0,0,233539.78575,375512.71179,133723.37415,0,0,0,0,126669.47404,46.64558,7030.45553,-23.201,0,114560.02839,,0,-80.23748,0,
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",74061226.26493,0,853838.25323,573329.34987,0,0,280508.90336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",0,0,1552149.51235,1552149.51235,0,0,0,180269.47057,158921.22157,0,0,0,0,0,0,0,0,158921.22157,12112.715,0,0,0,0,0,0,12112.715,0,0,9235.534,,0,0,0,
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",5515216.073,0,18073.18553,2876.53273,0,0,15196.6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",0,0,186603.956,0,0,0,186603.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",4143920.63922,558541.85835,87829.98932,83328.33732,0,0,4501.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",110272852.29232,0,1309520.65647,986022.99098,0,0,323497.66549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3748,"Акционерное общество ""Русский Стандарт Страхование""",6976676.87383,0,2287864.55143,1469780.72256,0,0,818083.82887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",0,0,154907.40361,154907.40361,0,0,0,252716.47042,112134.31079,106864.36332,0,0,0,1997.14065,0,0,2682.63017,590.17665,139396.76095,0,0,0,0,0,0,137876.76095,1520,0,1185.39868,,0,0,0,
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",0,0,176833.08175,1385.99012,0,0,175447.09163,506248.48966,39443.40862,13449.14898,0,0,0,7526.26085,0,0,15117.92894,3350.06985,433109.77505,236.79027,0,0,0,0,172.768,426360.70648,6339.5103,33695.30599,0,,0,0,0,
