"Сведения о страховых выплатах по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0212,"Акционерное общество Страховая компания ""Турикум""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",254887.8958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.49811,1961.49811,0,,0,252926.39769,252926.39769,10159.61828,0,0,0,68.43257,13830.91446,0,228364.21155,503.22083,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",38536.957949999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,18809.38975,6846.69166,0,0,0,0,0,0,0,6846.69166,0,11962.69809,0,0,0,0,0,0,0,0,11962.69809,0,0,0,,0,4534.74458,15192.82362
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",62181.2606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,62181.2606,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",29746.24923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29746.24923,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",41369.4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41369.4152,0,0
0621,"Страховое акционерное общество ""ВСК""",2556973.7026100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07025,1.07025,0,,0,404260.99166,346204.44626,3806.42983,0,39304.63185,37896.3201,566.37295,300.60795,0,264301.67211,28.41147,11339.00973,0,0,0,0,38.86966,0,0,0,11300.14007,0,46717.53567,0,,2115076.53455,9483.21877,28151.88738
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",3065.40238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3065.40238,0,0
0667,"Общество с ограниченной ответственностью ""Инлайф страхование""",73.83163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,73.83163,73.83163,0,0,0,0,0,0,0,73.83163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",45593.02863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.71623,407.71623,0,,0,12665.11416,9524.45428,2235.94536,0,0,0,3467.81465,0,0,3671.57074,149.12353,3140.65988,0,0,0,0,0,0,0,1.32818,3139.3317,0,0,0,,28134.09022,1278.33449,3107.77353
0928,"Страховое публичное акционерное общество ""Ингосстрах""",4659040.73064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36944.86591,19657.75744,0,,17287.10847,1536013.22297,1488763.5736,15906.57865,2728.83071,450916.36189,105584.95597,42484.77884,4342.42993,0,866799.63761,0,11317.40602,4812.70757,4812.70757,0,0,1324.19665,0,3306.41027,365.75159,1508.33994,0,0,35932.24335,,3005221.09979,22221.60024,58639.94173
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",367343.95061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1828.45214,1828.45214,733.13906,0,0,0,1.49334,0,0,1067.50533,26.31441,0,0,0,0,0,0,0,0,0,0,0,0,0,,359967.70234,1376.7593,4171.03683
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",9590.89261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,9590.89261,5221.49847,931.24707,0,4.03028,0,3731.34139,0,0,489.04134,65.83839,4369.39414,0,0,0,0,0.15162,0,0,196.29134,4172.95118,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",2106464.8764500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417.51341,2417.51341,0,,0,501613.68799,482188.53214,837.67666,0,72906.3433,14871.63772,19100.64368,1751.95128,0,372720.2795,0,16826.49634,0,0,0,0,0.2289,0,665.75125,0,16160.51619,0,0,2598.65951,,1542390.83348,10653.88753,49388.95404
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",5141179.88057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.1315,67.96667,0,,404.16483,44212.96148,43093.93678,15577.58373,3.42337,0,0,120.61267,0,0,27180.01654,212.30047,649.25643,179.89342,179.89342,0,0,0,0,220.42735,0,248.93566,0,0,469.76827,,4997442.89958,26784.27465,72267.61336
1216,"Акционерное общество Страховая компания ""Чулпан""",77474.72382000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70207.33641,5312.39126,1954.99615
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1423139.1199400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,60.8,0,,0,370.23747,370.23747,0,0,0,0,0,0,0,370.23747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1375078.74267,12673.64965,34955.69015
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",981058.47007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.69265,318.69265,0,,0,388971.5122,373269.4878,1421.04374,0,240044.95276,813.01224,103.90576,0,0,125111.56807,5775.00523,7597.74811,0,0,0,0,6590.35872,0,838.68309,0,168.7063,0,7613.34429,490.932,,577761.49754,3496.81571,10509.95197
1427,"Акционерное общество ""Московская акционерная страховая компания""",862446.7437899999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.42414,396.42414,0,,0,22817.99409,22817.99409,0,2.84035,17616.78892,0,124.52755,0,0,5073.83727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,828913.13996,2722.43851,7596.74709
1587,"Акционерное общество ""Страховое общество ""Талисман""",15747.83955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15747.83955,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",226811.7178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,8470.58622,5060.31677,0,0,0,0,1933.50101,0,0,2458.99692,667.81884,507.5598,507.5598,0,507.5598,0,0,0,0,0,0,0,0,2902.70965,,214442.48574,927.37924,2971.2666
1820,"Акционерное общество ""ГУТА-Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",658522.18225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191.56158,1191.56158,0,,0,180703.38113,65449.44942,18722.50819,3.23437,0,856.63677,2950.48248,3437.1934,0,38445.00811,1034.3861,6453.87522,0,0,0,0,0,0,15.95907,0,6437.91615,0,108800.05649,0,,467369.40417,2491.05137,6766.784
1858,"Акционерное общество Страховая компания ""Армеец""",109531.2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,109531.2512,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",2861.34258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2861.34258,0,0
2239,"Акционерное общество ""АльфаСтрахование""",3285552.90903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.05719,160.05719,0,,0,434473.36933,398664.70338,1295.23103,0,170918.22061,12485.89511,0,0,0,213965.35663,0,11668.01345,0,0,0,0,9070.429,0,0,0,2597.58445,0,24140.6525,0,,2803043.61595,12501.27932,35374.58724
2346,"Акционерное общество ""Объединенная страховая компания""",157572.50292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457.10826,2457.10826,0,,0,21491.33044,16943.57436,12184.48038,0,1184.10398,135.97061,1693.81743,0,0,1382.16393,363.03803,4547.75608,0,0,0,0,0.03972,0,0,0,4547.71636,0,0,0,,133624.06422,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",159005.48432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.3454,198.3454,0,,0,123368.74315,122047.87449,117200.28276,0,12.56588,2951.81629,15.24578,0,0,1792.44498,75.5188,1320.86866,0,0,0,0,0,0,0,0,1320.86866,0,0,0,,32008.88158,821.87243,2607.64176
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",4003.01644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0,,0,535.34615,535.34615,0,0,0,0,535.34615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3455.67029,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",2533.41093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2533.41093,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",21217.64732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10804.71659,0,0,,10804.71659,5662.35816,5662.35816,0,0,2.99051,0,49.24515,0,0,5610.1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1263.22559,3487.34698
3064,"Акционерное общество ""Боровицкое страховое общество""",999.91876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,999.91876,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",1440624.58551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6532,3.6532,0,,0,28937.19183,10627.97677,0,0,0,0,0,0,0,10574.35895,53.61782,137.88497,0,0,0,137.88497,0,0,0,0,0,0,18171.33009,0,,1404301.23414,2077.22804,5305.2783
3229,"Акционерное общество ""Страховая бизнес группа""",15038.6883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,5097.15837,38.11375,0,0,0,0,38.11375,0,0,0,0,5059.04462,0,0,0,0,0,0,0,0,0,5059.04462,0,0,,8034.51114,559.70164,1347.31715
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",628.27795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,628.27795,0,0,0,0,0,0,0,0,0,0,628.27795,0,0,0,0,0,0,0,0,628.27795,0,0,0,,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",17269.39868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1765.00569,955.57475,0,0,0,0,919.71709,0,0,35.85766,0,809.43094,0,0,0,0,0,0,0,0,809.43094,0,0,0,,13711.50841,465.64812,1327.23646
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",40594.82525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.87167,483.87167,0,,0,8236.18633,5584.45197,0,0,5494.59124,89.86073,0,0,0,0,0,2651.73436,0,0,0,0,1686.15594,0,0,0,965.57842,0,0,0,,0,9747.17356,22127.59369
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",4871.62287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,2296.72388,2296.72388,0,0,0,0,0,0,0,2296.72388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2574.89899,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,2374.05582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1268.85534,1268.85534,0,0,0,0,0,0,0,1268.85534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1105.20048,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",99933.82526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,99933.82526,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",85410.81825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5158.13102,0,0,,5158.13102,80252.68723,71994.62361,163845.33032,0,0,0,13601.64263,16831.75051,0,-122284.09985,0,8258.06362,32.84447,32.84447,0,0,0,0,0,0,8111.74185,113.4773,0,0,,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",551538.1268399999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,170502.60027,166788.18654,0,7.65454,42196.60716,2898.29387,16644.28272,0,0,105041.34825,0,1689.38799,0,0,0,0,222.28749,0,0,0,1467.1005,0,1885.02574,140,,372907.39037,1139.56591,6988.57029
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",8460119.054580001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004785.91092,879922.59979,0,,124863.31113,7126617.03488,6717288.48393,1572286.28577,11871.57375,1064846.24271,14919.04664,1172025.88942,1118472.85947,653381.73207,1742470.42966,20396.15651,74095.31906,171.73743,0,0,0,20114.64495,1819.723,0,39852.31555,11576.01083,560.8873,0,335233.23189,,327871.13727,844.97151,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",84857.24555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,84857.24555,17867.98321,0,0,0,0,616.29107,0,0,17251.69214,0,0,0,0,0,0,0,0,0,0,0,0,66989.26234,0,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
