"Сведения о страховых премиях по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0191,"Акционерное общество ""Тинькофф Страхование""",549127.40693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,549127.40693,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",8321.27879,0,0,0,0,0,0,0,8321.27879,3014.45171,0,0,0,0,1970.79365,0,0,1043.65806,0,5129.2503,0,0,0,0,0,0,0,0,5129.2503,0,177.57678,0,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",971412.67792,0,0,5767.07203,5767.07203,0,0,0,965645.60589,958352.89231,53854.57292,0,0,1550.64836,9703.46292,5192.41608,0,882344.12879,5707.66324,7292.71358,885.67628,885.67628,0,0,0,0,36.98218,81.99446,6356.70066,-68.64,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",223440.53436000002,0,0,0,0,0,0,0,92656.24073,45394.23097,0,0,0,0,0,0,0,45169.239,224.99197,13999.43168,0,0,0,0,0,0,263.39461,2849.28845,10886.74862,0,32665.96785,596.61023,,0,77637.20097,53147.09266,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",-738829.46018,0,0,-6789.88999,-6789.88999,0,0,0,-732039.57019,-322448.23824,0,0,-322448.23824,0,0,0,0,0,0,-409591.33195,0,0,0,0,-406499.71786,0,0,0,-3091.61409,0,0,0,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",119700.84012000001,0,0,0,0,0,0,0,0.01867,0.01867,0,0,0,0,0,0,0,0.01867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,119700.82145,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",13654.26277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13654.26277,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",33866.63188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33866.63188,0,0,0
0621,"Страховое акционерное общество ""ВСК""",4617021.77752,0,0,5322.971,1359.14324,0,0,3963.82776,2651029.01185,2120916.20163,15248.73229,510.14527,309321.9674,111021.25706,58685.89253,11139.951830000002,5992.40108,1614162.28156,825.97369,469751.90674,526.22417,274.51862,251.70555,2023.97757,2747.67925,7872.59836,11584.41626,2443.06647,442553.94466,0,30736.63502,29624.26846,,1749668.06675,119447.69278,91554.03514,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",2387.16451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2387.16451,0,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",532.04795,0,0,0,0,0,0,0,532.04795,386.12918,0,0,0,0,4.50064,0,0,381.62854,0,145.91877,0,0,0,0,0,0,137.03395,0,8.88482,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",89681.12524000001,0,0,3013.78639,3013.78639,0,0,0,42608.99987,39648.99285,6806.95213,0,740.25269,0,17086.2707,0,0,12108.41095,2907.10638,2646.56198,357.42554,357.42554,0,0,0,0,955.83851,407.88135,860.41658,65,0,313.44504,,19139.46045,14054.77794,10864.10059,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",6529021.52905,0,0,20533.10106,-6826.17407,-18141.5565,0,27359.27513,3713496.95953,2682765.9526,46593.25392,0,669392.94618,296710.23809,179312.06061,4182.70995,0,1486574.74385,0,959952.37942,36014.77479,36014.77479,0,0,619258.89127,0,12652.61242,12481.79918,279544.30176,0,8026.27991,62752.3476,,2356098.81961,271729.52896,167163.11989,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",333027.52262,0,0,135.77611,135.77611,0,0,0,9774.18328,7847.46441,4024.71323,1.17123,0,0,1101.79061,10.40204,0,2635.23681,74.15049,1915.42739,0,0,0,0,0,0,865.4448,21.65,1003.59009,24.7425,0,11.29148,,292604.65652,16984.11345,13528.79326,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",-63734.59255,0,0,1231.19456,1231.19456,0,0,0,-64965.78711,16685.05247,3044.54057,0,878.93099,-1.98298,9412.25724,0,0,2177.33641,1173.97024,-81805.00126,166.74541,166.74541,0,0,-82081.68223,0,0,95.56221,14.37335,0,0,154.16168,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",3243047.44567,0,0,-107.00023,-107.00023,0,0,0,1850407.89628,1666493.39217,3136.75,1385.53861,-29716.51051,4213.51537,192431.74331,-17972.91439,0,1520195.61407,-7180.34429,163839.41199,0,0,0,0,-21652.83928,128.4713,11289.30656,0,174074.47341,0,15428.47149,4646.62063,,1036017.35417,200308.68987,156420.50558,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",4230462.6244,0,0,6421.73546,5089.83588,0,0,1331.89958,186142.90173,156067.70421,13151.45272,-245.10994,2960.98509,2464.064,3302.2978,2562.07981,0,105229.12384,26642.81089,17130.55843,593.17681,593.17681,0,0,0,0,11338.30874,207.03083,4992.04205,0,12157.32688,787.31221,,3554155.70567,282580.17758,201162.10396,0
1216,"Акционерное общество Страховая компания ""Чулпан""",102202.29639,0,0,0,0,0,0,0,596.5028,586.76862,331.49644,0,0,207.97891,43.29327,0,0,4,0,9.73418,0,0,0,0,0,0.73418,0,0,9,0,0,0,,64339.09162,21620.24026,15646.46171,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1272178.58669,0,0,0,0,0,0,0,1141.53064,1069.80675,0,0,0,0,658.03127,0,0,411.77548,0,15.9002,0,0,0,0,0,0,0,0,15.9002,0,0,55.82369,,996487.32023,161734.4833,112815.25252,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",2532982.51438,0,0,1529.12429,1529.12429,0,0,0,1829152.9443,1602172.18891,4527.58294,5142.29704,529781.30496,16820.57525,39742.50241,15937.73311,0,989555.97798,664.21522,58482.27274,0,0,0,0,42531.74771,99.77941,-14.19435,5863.17934,9575.20731,426.55332,145104.65198,23393.83067,,629850.90697,41752.43945,30697.09937,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",933172.34526,0,0,11922.05753,11922.05753,0,0,0,245353.49621,242156.78493,-89.31507,209.94715,25626.34355,1593.89675,20194.56603,196.87539,0,194373.9971,50.47403,3196.71128,2.044,0,2.044,0,0,0,1479.83565,728.21988,894.51175,92.1,0,0,,616692.53792,34186.71382,25017.53978,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",21058.04099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21058.04099,0,0,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",-2892.47132,0,0,-1.77021,-1.77021,0,0,0,-2890.70111,-2583.40461,-121.8287,0,0,-26.04712,801.19566,0,0,-3194.77596,-41.94849,-291.08025,0,0,0,0,0,0,0,0,-291.08025,0,0,-16.21625,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",193374.29707000003,0,0,827.36092,827.36092,0,0,0,20204.22745,15582.16611,407.7,0,0,0,4541.86845,0,0,10081.01046,551.5872,4135.18232,3.742,2.5,1.242,0,0,0,322.04289,678.41509,3130.98234,0,16.10267,470.77635,,150871.25549,12125.16179,9346.29142,0
1820,"Акционерное общество ""ГУТА-Страхование""",15730.95557,0,0,0,0,0,0,0,15730.10607,15730.10607,0,0,0,0,0,0,0,15730.10607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.8495,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",662505.7067699999,0,0,3473.34841,3473.34841,0,0,0,212304.62359,185622.92071,24810.68904,283.66245,4542.9349,105.10278,19637.74073,2696.39166,0,131781.27748,1765.12167,5853.80796,0,0,0,0,0,104.1498,1815.21136,313.11742,3621.32938,0,20567.70483,260.19009,,400329.20809,26938.35492,19460.17176,0
1858,"Акционерное общество Страховая компания ""Армеец""",99668.59556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,99668.59556,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",2223.91995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2223.91995,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",4853864.699139999,0,0,4172.76561,4172.76561,0,0,0,1371509.83558,1124355.30702,5883.81086,-29.94246,191653.61943,132033.55004,3402.70223,405,0,791006.56692,0,151152.73412,517.44407,0,517.44407,0,24962.31968,828.44896,7839.09226,0,116434.92443,570.50472,95990.31424,11.4802,,3237487.62944,138581.52511,102112.9434,0
2346,"Акционерное общество ""Объединенная страховая компания""",146319.18469,0,0,4371.57196,4371.57196,0,0,0,47254.84245,45264.11386,25119.15621,8.68562,2789.9444,793.26749,3023.91097,92.16625,0,10105.07812,3331.9048,1990.72859,381.9924,0,0,0,703.25154,157.08395,0,12,736.4007,0,0,0,,97633.52004,-1498.46345,-1442.28631,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",161671.6901,0,0,557.88519,557.88519,0,0,0,126126.14555,89516.32587,65867.29174,6.36989,8178.18359,4182.38777,440.06111,0,0,10058.01215,784.01962,36509.80795,137.36648,137.36648,0,0,681.49015,571.23112,0,96.94076,35022.77944,0,100.01174,-1e-05,,18605.9232,9379.55124,7002.18492,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",3621.43057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3621.43057,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",31.28467,0,0,0,0,0,0,0,31.28467,0,0,0,0,0,0,0,0,0,0,31.28467,0,0,0,0,0,0,31.28467,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",103977.35929999998,0,0,-541.7958,33.999,0,0,-575.7948,79725.18026,74083.42285,-80.38356,7.92972,2289.5115,0,7470.18595,4076.8287800000003,2747.09834,60279.31319,40.03727,1048.9932,0,0,0,0,0,0,0,912.5,136.4932,0,29.73007,4563.03414,,0,13555.2655,11238.70934,0
3064,"Акционерное общество ""Боровицкое страховое общество""",839.59613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,839.59613,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",1075181.52003,0,0,1266.57842,1266.57842,0,0,0,54355.02245,26286.48932,1576.59626,49.97561,158.32282,0,2587.82169,0,0,21906.09594,7.677,4680.16266,0,0,0,0,54.41644,0,160.36886,173.68037,4291.69699,0,23388.37047,0,,975466.73515,25192.63098,18900.55303,0
3229,"Акционерное общество ""Страховая бизнес группа""",28148.489709999998,0,0,0,0,0,0,0,6697.61673,6690.62327,1240.59157,0,0,56.86386,5052.79978,0,0,334.01953,6.34853,6.99346,0,0,0,0,0,0,0,0,6.99346,0,0,0,,10740.36308,6140.39637,4570.11353,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",-1.42355,0,0,0,0,0,0,0,-1.42355,-1.42355,0,0,0,0,-1.42355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",18397.4653,0,0,0,0,0,0,0,3009.4188,2890.90287,0,4.90129,0,782.33445,1658.01185,0,0,424.60528,21.05,118.51593,0,0,0,0,0,52.16276,0,27.56565,38.78752,0,0,0,,6405.51446,5128.87037,3853.66167,0
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",6.94956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.94956,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",328649.74739000003,0,0,0,0,0,0,0,177276.08589,157373.05941,0,0,0,0,0,0,0,157373.05941,0,19903.02648,0,0,0,0,0,0,0,0,19903.02648,0,0,0,,0,87102.3521,64271.3094,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",35785.3103,0,0,0,0,0,0,0,3189.8296,3189.8296,0,0,214.92919,0,1055.47377,0,0,1919.42664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,32595.4807,0,0
3947,"Акционерное общество ""АИГ страховая компания""",559519.3346699999,0,0,0,0,0,0,0,546674.48868,96476.93497,0,0,0,0,94736.89484,0,0,1740.04013,0,313241.08362,0,0,0,0,0,0,0,0,313241.08362,0,0,136956.47009,,0,12844.84599,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",68325.47665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,68325.47665,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",591494.11885,0,0,1783.14738,1783.14738,0,0,0,589710.97147,338897.38988,0,0,0,0,19532.65931,0,0,319364.73057,0,170828.95369,0,0,0,0,0,0,0,5954.6715,164874.28219,0,79984.6279,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",837423.51916,0,0,15857.23984,8525.55941,0,0,7331.68043,821566.27932,776607.66906,258658.69467,-1244.67482,-8428.99793,6212.643,26056.18957,-16109.15654,0,511462.97111,0,35318.54547,-244.22402,1469.92499,0,0,-1771.2915,0,0,0,35026.56153,2307.49946,0,9640.06479,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",31775.45225,0,0,0,0,0,0,0,31775.45225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28324.58279,3450.86946,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",1605425.0939499997,0,0,973.09573,973.09573,0,0,0,1222498.93009,882171.62447,-213.54521,443.14385,196456.86696,5281.39688,17970.76709,810,810,660186.86644,1236.12846,258908.71387,0,0,0,0,5635.33699,3165.21783,1283.71887,16474.5108,231876.73198,473.1974,54118.27748,27300.31427,,314142.53659,38982.6039,28827.92764,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",75110101.16807,0,0,1741583.29129,1628858.14151,0,0,112725.14978,73183274.03797,60416471.06142,2425310.42683,87774.78521,4508498.86125,4608222.34114,2536432.24439,4501628.5736299995,3340762.13083,41604234.78949,144369.03948,8942501.00703,7278.60293,0,0,0,3913271.64049,1229484.66021,0,1707155.69488,2054018.5008,31291.90772,523767.75878,3300534.21074,,185243.83881,0,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",92442.32451,0,0,0,0,0,0,0,92442.32451,92699.06219,0,-884.78167,-21598.29427,941.50718,-157.70048,0,0,113705.45981,692.87162,-14744.9756,0,0,0,0,-16232.29941,260.82655,0,0,1770.86946,-544.3722,8033.09906,6455.13886,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
