"Сведения о страховых премиях по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",73673.191,0,0,1990.86366,1990.86366,0,0,0,71682.32734,41632.79486,1366.61184,0,23495.76683,0,215.5454,0,0,9847.3806,6707.49019,30049.53248,0,0,0,0,29368.53236,0,0,0,681.00012,0,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Цюрих""",2495128.54726,0,0,7688.04451,7688.04451,0,0,0,2487440.50275,1539615.2525,0,0,0,0,237976.51594,0,0,1301638.73656,0,363297.45897,3116.49236,3116.49236,0,0,0,0,0,67811.67198,292369.29463,0,461395.46916,123132.32212,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",575226.7875000001,0,0,3494.04173,3494.04173,0,0,0,571732.74577,571671.30366,1353.85556,0,0,0,7709.62318,2703.24104,0,558872.06009,1032.52379,61.44211,0,0,0,0,0,0,0,0,61.44211,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",3208286.4811000004,0,0,85047.39893,49908.97491,0,0,35138.42402,3112240.05678,1033484.1435,9361.24063,4710.57805,-15151.10527,25614.46075,318978.66816,0,0,684380.98461,5589.31657,587349.27306,9472.99941,9472.99941,0,0,-6205.70618,0,17777.99929,3118.07311,561587.57408,1598.33335,292509.18786,1198897.45236,,0,6092.76075,4906.26464,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",524161.45475,0,0,9692.9045,9692.9045,0,0,0,514468.55025,276676.28661,1365.99852,0,258897.69799,0,10066.27867,0,0,5019.0277,1327.28373,237306.33374,-59.14112,0,0,0,237279.78124,0,0,0,85.69362,0,0,485.9299,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",11013.65712,0,0,65.77508,65.77508,0,0,0,10679.65378,8757.8836,4221.6746,0,0,0,349.08465,0,0,3710.22264,476.90171,1909.77018,0,0,0,0,0,0,0,0,1909.77018,0,0,12,,0,268.22826,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",60266.78263,0,0,0,0,0,0,0,60266.78263,27098.63736,0,0,0,25543.59527,1412.74276,0,0,120.29933,22,33168.14527,0,0,0,0,0,33168.14527,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",135749.96555,0,0,47.18462,47.18462,0,0,0,120560.33535,21996.69033,1602.30734,0,0,0,6534.06143,0,0,13492.89627,367.42529,98499.01002,0,0,0,0,0,0,0,0,98499.01002,0,0,64.635,,0,15142.44558,0,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",20838.95822,0,0,1164.43717,1164.43717,0,0,0,19674.52105,19518.54127,14588.62038,0,0,0,723.06006,0,0,2344.97005,1861.89078,33.75,0,0,0,0,0,0,0,0,33.75,0,0,122.22978,,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",32157.336359999998,0,0,2852.53821,2852.53821,0,0,0,29943.68516,29896.33387,11403.86424,101.61948,0,26.60278,1501.85576,0,0,8543.94846,8318.44315,47.35129,0,0,0,0,0,0,0,0,47.35129,0,0,0,,0,29.61818,-668.50519,0
0621,"Страховое акционерное общество ""ВСК""",3304217.40805,0,0,94568.37429,22223.61203,0,0,72344.76226,2783608.57167,2287411.60006,-3801.41939,9518.44336,954820.61092,93029.62464,257864.14106,108577.70419,61682.90434,858079.49802,9322.99726,413696.04823,28033.57466,3377.44013,24656.13453,0,113742.41894,43495.69598,42017.49239,60020.11832,126386.74794,0,14572.58631,67928.33707,,0,279251.59909,146788.863,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",229684.86476,0,0,834.29083,834.29083,0,0,0,125101.13797,125039.56873,108156.17714,12.4225,0,37.27454,9815.00426,0,0,6965.04738,53.64291,61.56924,0,0,0,0,0,0,0,0,61.56924,0,0,0,,48241.79469,15775.6474,39731.99387,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",26210.75317,0,0,11319.28171,11319.28171,0,0,0,14891.47146,11749.47024,1.152,0,0,0,4306.91,0,0,7441.40824,0,3142.00122,0,0,0,0,0,0,2814.37922,0,327.622,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",186205.94072999997,0,0,172.51811,172.51811,0,0,0,169739.16814,156954.9015,9530.53467,0,0,2655.77955,55675.58964,0,0,82882.22576,6210.77188,11635.99691,0,0,0,0,254.13465,1435.4356,2467.58369,21.05771,7457.78526,0,418.79143,729.4783,,0,9388.25259,6906.00189,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",23389029.2212,0,0,736490.01369,11426.58085,0,0,725063.43284,21977927.09408,15581123.73664,406314.74915,0,1237004.58695,627498.70978,850491.42905,0,0,12459814.26171,0,5090629.89965,8863.7402,0,0,0,1986493.84271,728009.13365,0,0,2367263.18309,0,0,1306173.45779,,0,331870.49467,342741.61876,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",360805.98867,0,0,160423.64572,4908.08386,0,0,155515.56186,145922.29931,122189.16723,9201.52766,230.02866,0,0,18810.70232,2921.61443,0,70893.53302,20131.76114,20398.57112,7941.95292,234.41497,7707.53795,0,0,0,3352.06973,297.79071,8745.76769,60.99007,4.55546,3330.0055,,0,21812.85057,32647.19307,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",414520.9042,0,0,9563.16371,9563.16371,0,0,0,404957.74049,273114.48007,110614.6138,0,128650.89115,0,6163.44598,0,0,25762.69052,1922.83862,131344.51009,0,0,0,0,127247.51729,0,0,410.69953,3686.29327,0,0,498.75033,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",54371956.05985999,0,0,73834.43149,67425.93129,22143.55214,0,6408.5002,53051860.49585,41471769.35214,3821282.54671,47648.81312,4369981.98722,931316.29435,321383.19076,193703.5894,27401.11463,31640911.42212,145541.50846,4754373.0436,5937.77175,0,0,0,1125724.81833,185908.37441,191884.16191,347936.93226,2896795.89621,185.08873,6711008.47054,114709.62957,,90345.57628,702572.94845,453342.60779,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",4998833.5920899995,0,0,1931120.43006,167561.55555,229.0464,0,1763558.87451,2843509.74993,2016929.06897,138102.38506,1189.41294,5289.55997,330.57875,313285.41406,7682.70755,0,1551049.01064,0,447134.42768,29133.14103,13465.18175,15667.95928,0,58.5,243.52655,57273.7546,151884.12139,150374.73615,58166.64796,330600.80516,48845.44812,,0,154549.36915,69654.04295,0
1216,"Акционерное общество Страховая компания ""Чулпан""",71967.33668000001,0,0,82.41335,82.41335,0,0,0,34923.83285,34792.59993,6692.48874,0,0,0,8194.50806,0,0,18322.92709,1582.67604,162.54505,0,0,0,0,0,47.444,0,0,66.88187,48.21918,-39.55103,8.2389,,0,16840.99389,20120.09659,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1990478.7210600001,0,0,307259.90822,230287.29829,0,0,76972.60993,1639529.49131,805824.13874,313504.44991,0,0,11128.75667,31011.03486,0,0,421752.13807,28427.75923,109169.64115,23406.66739,23406.66739,0,0,0,0,0,14608.51088,71154.46288,0,0,724535.71142,,0,15308.13369,28381.18784,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1696556.17222,0,0,7795.9768,7795.9768,0,0,0,1576754.43683,1183737.31018,33155.56891,35928.52147,23393.77719,83661.71377,244142.84996,91814.71454,0,671347.90045,292.26389,105075.49976,11541.31021,0,0,0,1255.14094,60322.95144,2952.81662,17707.35475,11277.93017,17.99563,285295.47717,2646.14972,,0,52965.634,59040.12459,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",51075.07049,0,0,0,0,0,0,0,51075.07049,51075.07049,0,67.89,0,0,50075.63946,0,0,931.54103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",1282.41638,0,0,113.09997,113.09997,0,0,0,1169.31641,1135.68326,10.21955,0,0,0,0,0,0,1118.02167,7.44204,33.63315,0,0,0,0,0,0,0,0,33.63315,0,0,0,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",142648.99814,0,0,30408.31085,30408.31085,0,0,0,62552.64963,48621.25947,-48.45027,8974.56021,159.3,0,594.9676,0,0,36052.9504,2887.93153,13328.0926,-3.34813,-3.34813,0,0,0,0,9246.46162,0,4084.97911,0,0,603.29756,,0,9802.24278,39885.79488,0
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",4774.21314,0,0,-138.81444,252.98231,0,0,-391.79675,4913.02758,5047.67784,0,0,0,0,0,0,0,0,5047.67784,0,0,0,0,0,0,0,0,0,0,0,0,-134.65026,,0,0,0,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",139805.32981,0,0,139983.37595,0,0,0,139983.37595,-178.04614,-178.04614,0,0,0,0,0,0,0,-178.04614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",138165.71237,0,0,5264.5847,5264.5847,0,0,0,128254.74088,99718.08651,6957.04477,39.79514,0,10673.14288,27910.10533,0,0,45479.53322,8658.46517,8886.00567,0,0,0,0,0,1012.72949,1226.97378,986.57123,5484.61966,175.11151,77.87557,19572.77313,,0,1945.48325,2700.90354,0
1820,"Акционерное общество ""ГУТА-Страхование""",34561.437900000004,0,0,13.3634,13.3634,0,0,0,34548.0745,33557.73718,187.61382,0,0,463.10807,976.32339,0,0,31930.6919,0,990.33732,0,0,0,0,0,67.37432,0,0,922.963,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",871144.58434,0,0,29240.5835,29240.5835,0,0,0,660753.42904,636004.31275,332933.27938,-26.6535,4066.24621,510,40014.0615,5346.54824,5346.54824,210022.19177,43138.63915,23360.03468,5916.03144,5916.03144,0,0,0,0,10394.50203,0,7049.50121,0,63.15744,1325.92417,,0,73589.51722,107561.05458,0
1858,"Акционерное общество Страховая компания ""Армеец""",247355.16349,0,0,1269.78728,1269.78728,0,0,0,2967.46585,2299.55784,281.81952,0,0,0,113.9562,0,0,943.98222,959.7999,664.82801,0,0,0,0,0,0,0,75,589.82801,0,0,3.08,,243117.91036,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",66392.79647,0,0,824.60401,824.60401,0,0,0,65568.19246,41216.09839,8377.31155,0,0,0,26214.88483,0,0,6557.71351,66.1885,23420.46847,14178.9524,430.90466,13748.04774,0,0,0,0,2901.44213,6340.07394,0,0,931.6256,,0,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",14243.156930000001,0,0,9778.71839,9778.71839,0,0,0,4464.43854,4459.34685,2289.6387,0,0,0,49.06818,0,0,1661.37071,459.26926,0,0,0,0,0,0,0,0,0,0,0,0,5.09169,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",8552.64291,0,0,412.68,412.68,0,0,0,8139.96291,8139.96291,583.46279,0,0,0,377.4,37.12508,0,6641.97775,499.99729,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",1496.53939,0,0,0,0,0,0,0,1496.53939,1496.53939,65,0,0,0,1277.28939,0,0,154.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",20445199.50626,0,0,559335.15372,358898.0969,0,0,200437.05682,19555309.49219,15157231.7707,214166.89004,7001.66029,1815275.16423,174178.61886,322784.434,197959.09255,165164.56208,12410313.41133,15552.4994,2848681.57266,22808.46334,2208.42831,20600.03503,0,917366.43789,57147.86763,39369.95522,48530.30366,1760785.42567,2673.11925,1143675.92902,405720.21981,,0,196596.70109,133958.15926,0
2346,"Акционерное общество ""Объединенная страховая компания""",58360.04274999999,0,0,837.76224,837.76224,0,0,0,50398.1603,48817.81666,1448.45819,0,0,35945.43832,15.91996,0,0,8454.47164,2953.52855,1453.63402,827.79955,0,0,0,287.89342,4,0,304.28363,29.65742,0,0,126.70962,,0,4188.09761,2936.0226,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",588822.21909,0,0,44323.71542,44323.71542,0,0,0,531103.4507,447605.25554,16049.34889,0,0,37901.4177,29653.86442,126104.09757,122713.30125,219551.64963,18344.87733,61636.37535,53.2,53.2,0,0,0,14821.19602,0,3101.33639,43660.64294,0,21861.81981,0,,0,6484.09979,6910.95318,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",30946.103850000003,0,0,182.776,182.776,0,0,0,30763.32785,30346.40251,9396.27778,0,0,839.79481,2551.5009,0,0,12591.84952,4966.9795,416.92534,0,0,0,0,0,92.358,0,0,235.62066,88.94668,0,0,,0,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",3091.19045,0,0,0,0,0,0,0,3091.19045,3091.19045,3091.19045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",-26.015080000000005,0,0,0,0,0,0,0,53.4334,-40.97352,0,0,0,0,0,0,0,-40.97352,0,94.40692,0,0,0,0,0,0,94.40692,0,0,0,0,0,,0,-78.73407,-0.71441,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",77450.66451,0,0,-3804.78034,-3804.78034,0,0,0,81255.44485,81238.56985,-201.78643,0,0,0,6211.40287,0,0,75153.58479,75.36862,16.875,0,0,0,0,0,0,0,0,16.875,0,0,0,,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",630305.01743,0,0,1348.90507,1348.90507,0,0,0,628956.11236,532741.07037,0,0,532163.19767,0,-0.14822,0,0,0,578.02092,96215.04199,0,0,0,0,93292.25434,0,0,1067.61729,1855.17036,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",2420266.6024599997,0,0,-15408.98046,-15408.98046,0,0,0,2435331.20002,2398453.97656,116525.61134,2571.59651,0,2191.79264,12282.17511,2060639.70235,1701749.95287,90941.68254,113301.41607,5477.87836,0,0,0,0,0,0,0,382.99514,5094.88322,0,25999.58337,5399.76173,,0,344.3829,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",2488.12104,0,0,0,0,0,0,0,2488.12104,2488.12104,552.0285,0,0,0,705.1662,0,0,1182.47897,48.44737,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",77154.31737,0,0,1772.04975,1772.04975,0,0,0,75382.26762,42264.87431,11086.88619,0,58.37701,1728.47014,14501.77061,0,0,13693.31134,1196.05902,30140.44303,0,0,0,0,13.75,15556.22539,0,0,3107.21644,11463.2512,0,2976.95028,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",691663.93381,0,0,5030.14155,3025.44232,0,0,2004.69923,613260.7013,568865.45209,93.39745,0,99102.99834,4164.39306,15843.50001,0,0,449661.16323,0,39827.30596,11171.80546,0,11171.80546,0,9978.19758,3137.77188,1823.87994,0,13715.6511,0,0,4567.94325,,0,40096.23325,33276.85771,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",648,0,0,0,0,0,0,0,648,648,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",369311.33447,0,0,0,0,0,0,0,336084.74763,318719.33423,185.80613,0,0,1994.6168,5981.09362,0,0,309910.8479,646.96978,17365.4134,0,0,0,0,0.75,107.08204,0,239.9,16892.58669,125.09467,0,0,,0,6425.54454,26801.0423,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",361067.96047,112684.82191,3.66834,248379.47022,203441.78635,0,0,44937.68387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",49834.69596,0,0,10049.99944,10049.99944,0,0,0,36569.19207,30017.43024,0,0,0,0,26176.37524,0,0,3841.055,0,6551.76183,0,0,0,0,0,0,0,0,6551.76183,0,0,0,,0,1321.93936,1893.56509,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",89904.5114,0,0,11576.32391,11576.32391,0,0,0,77826.74844,63138.15524,16405.02908,0,5903.15502,2043.85,29568.22378,0,0,7740.92005,1476.97731,14688.5932,0,0,0,0,3914.63763,7467.64949,0,37.91729,3268.38879,0,0,0,,0,444.93149,56.50756,0
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",8797.936,0,0,0,0,0,0,0,8797.936,7852.50979,5989.2829,0,0,0,0,0,0,1863.22689,0,945.42621,0,0,0,0,0,0,0,0,945.42621,0,0,0,,0,0,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""ВТБ Страхование""",265399.8404,0,0,391.85556,391.85556,0,0,0,276060.18284,163320.57471,0,0,26404.96734,1846.3776,0,0,0,135069.22977,0,91466.44359,0,0,0,0,20923.95019,0,0,242.59285,70299.90055,0,0,21273.16454,,0,-11052.19397,-0.00403,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",92830.99718,44853.60308,0,47977.3941,5172.3851,0,0,42805.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",4686.83194,749.325,0,3937.50694,0.675,0,0,3936.83194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",79997.29591,68590.27596,0,11407.01995,11407.01995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",466334.46684999997,428172.58846,0,38161.87839,6769.70507,0,0,31392.17332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",104.88472,0,0,104.88472,104.88472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",28083.85892,0,0,0,0,0,0,0,28083.85892,2007.18102,348.61955,0,0,0,1591.73647,0,0,66.825,0,26076.6779,0,0,0,0,0,0,0,0,26076.6779,0,0,0,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",7727.18019,0,0,0,0,0,0,0,7727.18019,3023.17546,0,0,0,0,1194.97048,0,0,1730.18498,98.02,4654.11646,0,0,0,0,0,0,0,0,4654.11646,0,49.88827,0,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",677.79085,0,0,0,0,0,0,0,677.79085,605.6657,0,0,0,0,276.12245,0,0,329.54325,0,72.12515,0,0,0,0,0,0,0,0,72.12515,0,0,0,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",292494.32797,1740.86856,0,290753.45941,261628.67879,0,0,29124.78062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",5334.3351600000005,3014.38649,0,2319.94867,1771.63989,0,0,548.30878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",1394439.44366,82033.86164,0,1312405.58202,38652.13458,0,0,1273753.44744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",38036.0899,0,0,0,0,0,0,0,38036.0899,26138.48208,0,0,5690.30767,16042.58256,3317.74621,0,0,847.77691,240.06873,11897.60782,0,0,0,0,104.901,11794.64466,0,0,-1.93784,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",1784001.8684,0,0,0,0,0,0,0,1772584.14054,1762358.2201,0,0,257152.90572,0,1488492.60494,0,0,15074.5048,1638.20464,10225.92044,0,0,0,0,8763.92044,0,0,0,1462,0,0,0,,0,11417.72786,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",18416.6703,18416.6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",76478.29215,0,0,20261.80039,20261.80039,0,0,0,56216.49176,40491.68953,3774.26366,0,27781.54312,-13.73753,22.67239,801.05534,0,6540.44011,1585.45244,15678.14575,0,0,0,0,6202.55034,0,0,25.15,9450.44541,0,0,46.65648,,0,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",6469.72177,6467.44761,0,2.27416,2.27416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",159422.1795,92500.17477,0,66922.00473,57781.22139,0,0,9140.78334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
