"Сведения о страховых суммах по договорам страхования, действовавшим на конец отчетного периода, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0141,"Страховое Акционерное Общество ""Медэкспресс""",150726610.18061998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146714198.57123,9980217.8,,,,9872324.8,,107893,136733980.77123,525815.316,134670645.25523,1537520.2,4012411.60939,3885211.60939,978573.90534,978573.90534,,,,,,,,,,,,,,,,,,,2085968.44633,,,2085968.44633,820669.25772,,,820669.25772,127200,60500,60500,,,,,,,,,,,,,,,66700,,,,,66700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0191,"Акционерное общество ""Тинькофф Страхование""",1874730456.3166301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195170522.82522,1195170522.82522,731760806.9875,,,,,463409715.83772,,,,,679559933.49141,409241272.01636,191469511.19312,191469511.19312,,,,,,,,,,,,,,,,,,,336284.55,,,336284.55,217435476.27324,140836342.29724,,76599133.976,20287095.5567,7140050,7140050,,,,,,,,,,,,,,,13147045.5567,,,,,13147045.5567,,,,,,,,,,,,250031565.91835,8605535.91112,,241426030.00723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",130455417.33634001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43379757.95514,2986961.87484,,,,868170,,2118791.87484,40392796.0803,201340.4899,2065596.5354,38125859.055,87075659.3812,19259826.58454,198157.99369,104375.1464,93782.84729,,3259335.9164,,,,13943.56351,,,,,,,,,,,,11315561.85738,,657336.18,10658225.67738,4472827.25356,964211.4662,73256.8365,3435358.95086,67815832.79666,,,,,,65484000,,,,2400,,,2400,15780.64307,,15780.64307,2263652.15359,1720805.226,,,,542846.92759,50000,,,,,,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0212,"Акционерное общество Страховая компания ""Цюрих""",2305898107.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4571001.015,4571001.015,,,,,,4571001.015,,,,,2301327106.383,1758621875.27,,,,,,,,,611627997.335,,,,,,,,,,,,1146993877.935,,173677351.385,973316526.55,,,,,126310078.116,930000,,,930000,,,,,,,,,,23798815.17,23798815.17,,101581262.946,8878654.368,,,,92702608.578,,,,,,,,,,,359398628.334,56996524.663,,,56996524.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0290,"Акционерное общество Страховая компания ""Альянс""",27071496885.06254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680356283.19066,58190512.85888,,,27604000,,,30586512.85888,1622165770.33178,1622165770.33178,,,3551716681.87188,2814511772.61685,30,30,,89307511.03261,,37208076.86159,36857927.39409,350149.4675,1171181505.7211,,,,,,,,,,,,1457212292.60408,500000,392097796.85893,1064614495.74515,59602356.39747,1106569.96989,,58495786.42758,203320900.66751,148.5852,148.5852,,,,1475150,,,,8983897.49996,,,8983897.49996,21852581.3275,,21852581.3275,170603698.50485,2126566.22505,,,,168477132.2798,405424.75,,,,,,,,,405424.75,155193098.4039,378690910.18362,,,378690910.18362,,,,,,,,,,10990000,10990000,,,,21828433920,,,,,,,21828433920,,,,,,,,,,,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",280599700.70329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8538044.46022,769059.95462,59582.904,,,,,709477.05062,7768984.5056,,,7768984.5056,272061656.24307,7157042.02621,17481.00068,17481.00068,,,3555682.40412,,,,71807.3627,,,,,,,,,,,,2414531.81048,,,2414531.81048,1097539.44823,,,1097539.44823,255190287.82927,1500,1500,,,,243712046.83027,,,,,,,,,,,11267165,,,,,11267165,209575.999,,,,,,,,12000,197575.999,,9714326.38759,9357523.8365,,356802.55109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",249078711.72031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100054009.34537,67737809.84242,169898.1296,,,,,67567911.71282,32316199.50295,,6559922.967,25756276.53595,149024702.37494,100294197.29792,9216752.08808,9216752.08808,,,,38457.34256,,38457.34256,12638363.4562,1581490.68911,1581490.68911,1581490.68911,,,,,,,,,47781809.27919,,2485771.81189,45296037.4673,29037324.44278,5068478.94491,83404.975,23885440.52287,40459214.62268,3793765.942,3793765.942,,,173900,38366.27984,3689625,,3689625,13000,,,13000,71500,,71500,32585057.40084,1527255.13867,,3498900.001,501000,27057902.26117,94000,,,,,,,,94000,,,8271290.45434,,,8271290.45434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",153860928.54992002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20256715.62443,20256715.62443,,,,,,20256715.62443,,,,,133604212.92549,48026548.20398,,,,,,41824002.73439,41824002.73439,,1080529.54691,,,,,,,,,,,,4299467.39212,,,4299467.39212,822548.53056,,,822548.53056,85211932.13521,,,,,,,85211932.13521,85211932.13521,,,,,,,,,,,,,,,,,,,,,,,,,,365732.5863,,365732.5863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0448,"Страховое Акционерное Общество ""Геополис""",436219.39596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421889.44548,421889.44548,,,,,421889.44548,,,,,,,14329.95048,6293.21148,,,,,,6293.21148,8036.739,,,8036.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0518,"Акционерное общество Страховая компания ""БАСК""",57099827.52372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5399349.45673,2285013.69542,,,,,,2285013.69542,3114335.76131,,,3114335.76131,46975478.06699,43254204.41599,1686542.97848,1686542.97848,,,,,,,3084133.62062,,,,,,,,,,,,38142151.98977,,,38142151.98977,341375.82712,307694.273,33608.55412,73,3647558,2000,2000,,,,,,,,,,,,,,,3645558,,,13000,,3632558,,,,,,,,,,,,73715.651,,73715.651,,,,,,,,,,,4725000,4260000,285000,20000,160000,,,,,,,,,,,,,,,,,,,
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",76269310.86365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42877058.36768,3488228.30859,,,,,,3488228.30859,39388830.05909,252208.5,,39136621.55909,33392252.49597,31091039.14647,9784528.29651,9784528.29651,,,,,,,204879.32412,,,,,,,,,,,,15917051.78793,,,15917051.78793,5184579.73791,,,5184579.73791,1546229.31153,729817,729817,,,,,,,,,,,,37150,,37150,756762.31153,,,,,756762.31153,22500,,,,,,,,22500,,,754984.03797,,,754984.03797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",52363448.67238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17823324.72451,12549086.45105,67848.785,,,,,12481237.66605,5274238.27346,,,5274238.27346,34540123.94787,34371723.78887,8444290.481,8444290.481,,1695719.9992,,7406,,7406,218900.54554,10746,,,,,,10746,,,10746,,8346092.78947,,,8346092.78947,15648567.97366,6378997.35072,4048056.96206,5221513.66088,168200.159,23700,23700,,,,,,,,,,,,,,,144500.159,,,,,144500.159,,,,,,,,,,,,200,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0621,"Страховое акционерное общество ""ВСК""",1467651894879.2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5336425542.75148,1624113206.72389,105102743.02983,233617.8995,3134000,143266984.40771,,1372375861.38685,3712312336.02759,,2355069717.55293,1357242618.47466,10595188336.5112,9090371614.63679,895604232.09659,895604232.09659,,132051178.12657,86016178.10957,90975933.4856,90975933.4856,,266617718.55852,61030290.64726,34568327.14399,2221618.67404,,31965409.48692,381298.98303,26461963.50327,1379267.73161,,24788606.76337,294089.00829,6171839797.74738,299352462.96861,2855720301.12016,3016767033.65861,1386236285.8653,1284324845.83997,101911440.02533,,821804796.46779,82376185.531,82376185.531,,,,115616563.04895,148364445.84358,148364445.84358,,34751828.62165,294504.9005,500,34456823.72115,33496134.96562,33496134.96562,,405073365.84709,191617655.58399,7798300,22363700.003,6578324.957,176715385.3031,2126272.6099,,,,,,504648.6928,1606916.65635,8500,6207.26075,67702299.26696,615309626.13963,,34999.1926,615274626.94703,,,,,,,,,,451570000,338395000,27035000,9000000,77140000,1451268711000,25749978975,160458975,25589520000,341133525,111413475,229720050,271805625,5545802700,5466339675,79463025,1344145463775,38397877050,204928493350,96958573325,1003860520050,46831923900,28382602500,
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",234078921803.2809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252371049.274,183319662.725,,,,,,183319662.725,69051386.549,47270614.749,,21780771.8,375821210.0069,339707250.3019,145055871.36,145055871.36,,5877805.406,,268592.477,,268592.477,34518453.734,,,,,,,,,,,,83307872.613,,,83307872.613,70678654.7119,14230078.12628,,56448576.58562,7882825.587,2974600,2974600,,,,,,,,,,,,5500,,5500,3815025.587,,,,,3815025.587,1087700,,,,,,,,1087700,,,28231134.118,,,28231134.118,,,,,,,,,,21885000,21885000,,,,233428844544,,,,,,,,,,,233428844544,,233428844544,,,,,
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",266650131.19935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175398024.56703,110940960.28829,3934.5336,,,606420.4,,110330605.35469,64457064.27874,36526963.69674,23474136.748,4455963.834,91252106.63232,73126837.85202,590.49,590.49,,,,,,,3924558.58511,,,,,,,,,,,,25644477.50337,,,25644477.50337,43557211.27354,901687.35358,544948.851,42110575.06896,16060738.06446,,,,,,,,,,2455202.14433,2455202.14433,,,,,,12795523.982,,,,,12795523.982,810011.93813,,,,,,240011.93813,,,570000,,2064530.71584,255774.63,,1808756.08584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0758,"Общество с ограниченной ответственностью Страховая медицинская компания ""АСТРА-МЕТАЛЛ""",222635141.16064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222635141.16064,,,,,,,,222635141.16064,,42482956.067,180152185.09364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",6004586.82015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,,,,4000,,,,,,,6000586.82015,6000586.82015,249776.215,249776.215,,,,,,,,5679080.788,5679080.788,5545348.359,,133732.429,,,,,,,71729.81715,,,71729.81715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",128424945359.52618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244755082.92742,228364251.79442,,,,,,228364251.79442,16390831.133,,14427431.133,1963400,1468574804.59877,1317277707.96897,18063916.92423,18063916.92423,,797595.41382,142000,878347.23407,,878347.23407,247258391.54069,,,,,,,,,,,,788200034.9106,286082521.02912,81862881.83691,420254632.04457,261937421.94556,18306752.87914,2331464.26227,241299204.80415,77016363.58195,4557109.32508,4557109.32508,,,,152401,1270650.611,,1270650.611,2510253.56327,2508253.56327,2000,,4762388.43187,521575.605,4240812.82687,63519304.31203,10504294.99249,,256350,31100,52727559.31954,244256.3387,,,,,,166756.3387,,77500,,3257088.37024,71023644.67761,16977067.004,42088.512,54004489.16161,,,,,,,,,,20310000,9320000,130000,380000,10480000,126691305472,,,,14716928,,14716928,30709760,149399552,143755264,5644288,95832860672,1486028800,16762243072,37774745600,39809843200,2166312960,28497305600,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",5201939703687.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5630338911.54984,1701056046.3917,2097135.1141,86283.3878,321272687.6355,13369310,,1364230630.2543,3929282865.15814,559940674.69129,2623774954.99434,745567235.47251,91312043425.4554,49570987048.5177,1569745736.87109,1569745736.87109,,188839147.13269,1245821642.29172,607633689.07947,578536394.70472,29097294.37475,5046169985.75456,10725854.37798,1580963.49457,199365.32153,,1381598.17304,,9144890.88341,,,9144890.88341,,37832557485.0617,,3063983797.5158,34768573687.5459,3069493507.94844,1666741170.87513,130710736.2124,1272041600.86091,38271766089.1162,422145236.88917,422145236.88917,,,742506,24585700426.6861,10424008936.947,10348207714.169,75801222.778,500888885.58866,6464586.563,353482.95,494070816.07566,374710090.4679,8330153.6276,366379936.8403,1961502872.72181,411222121.21104,25502800,52851569.8,7779823.7445,1464146557.96627,2067133.81564,,524127.42766,,,,,,829071.13709,713935.25089,47134503.34399,3422155784.47752,1575756.67005,,3420580027.80747,,,,,,,,,,553225000,381030000,38265000,13400000,120530000,5104444096350,9693016875,969367500,8723649375,524744325,456516000,68228325,504769725,5449046175,5344556175,104490000,3929589140175,158789437425,731553699150,186667918200,2852578085400,598596315975,559499197500,587865600
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",228802193417.95618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281870497.93169,1028138287.29817,247473625.9792,,,10798541.56989,,769866119.74908,253732210.63352,25366940.88352,148116189.75,80249080,3875906072.02448,819567195.91207,136949743.95426,136949743.95426,,704728.2315,,,,,8895997.04158,270563.2289,,,,,,270563.2289,,,270563.2289,,324593593.95487,,122690775.98605,201902817.96882,348152569.50096,295553991.41207,8719881.96366,43878696.12523,137649300.93282,6988927.164,6988927.164,,,,,,,,2974968.80103,2974968.80103,,,3930374.78,3923874.78,6500,121636337.21388,67836643.11603,,2893211.107,101130,50805352.99085,2118692.97391,,,,1487501.104,,,,112500,518691.86991,858273.10858,2917831302.07101,2899297637.35698,,18533664.71403,,,,,,,,,,39730000,23890000,410000,1210000,14220000,223604686848,,,,,,,16930816,517089280,517089280,,223070666752,9900916736,64659025920,9164804096,139345920000,,,
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",366243821.13504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51298680.43052,31675018.64487,189199.899,,,,,31485818.74587,19623661.78565,,,19623661.78565,314945140.70452,90906871.30327,8697393.30026,8697393.30026,,,5402073.7737,652.7,,652.7,1696119.86157,,,,,,,,,,,,44488249.40678,,7449527.73438,37038721.6724,30622382.26096,508107.13177,550,30113725.12919,201364285.27925,591630,591630,,,,183112401.16334,,,,,,,,17039454.11591,,17039454.11591,,,,,,,620800,,,,,,,,535000,85800,,22673984.122,547.81,1363421.855,21310014.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",13943376154823.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19258089145.8247,8436232621.62735,6629571.422,270248218.54174,170925000,4275262968.99187,16435.26895,3713150427.40279,10821856524.1973,,9770838262.05338,1051018262.14393,165408126141.55,126316084779.745,948867585.60327,666181157.53526,282686428.06801,677760667.33536,1333877396.20235,304967460.33589,300388485.322,4578975.01389,34536521823.7573,7545785.01402,3657606.11193,,,3657606.11193,,3888178.90209,,,3888178.90209,,85494128335.7058,,12381007817.671,73113120518.0348,3012415725.79098,115145893.03541,2924.97,2897266907.78557,34527917016.7059,96653345.74451,96653345.74451,,,339000,18781982715.8913,11015906629.036,10999204400.7498,16702228.2862,707182076.86486,1807598.5,1600381.74334,703774096.62152,545135671.16425,367239158.9335,177896512.23075,3373501695.07419,221522332.75285,4848063.636,5909690.001,3336201.001,3137885407.68334,7215882.93075,,622000,1252000,,5500,52688.0499,,379500,4904194.88085,3440692028.67368,1123432316.42539,329174980.9858,5016.1,794252319.33959,,,,,,,,,,731730000,549320000,51770000,58300000,72340000,13757978209536,1440835445280,265440422896,1175395022384,1371308576,829904768,541403808,93545232,3255081808,3242557296,12524512,9889569057280,177385813088,1366764736480,359407177184,7986011330528,541229432304,1881624339056,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",638768410375.6001,6372391.14479,267404.04979,9621.84304,,,,,,,,,,,,,417.29355,,,,,417.29355,9204.54949,,,,,9204.54949,,,,,,,257782.20675,,,,,,,15803.37868,,,,,15803.37868,239754.43021,,,,,239754.43021,2224.39786,,,,,2224.39786,,,,,,,6104987.095,298170.10183,,,,,,,,,,,,,298170.10183,,,,,298170.10183,,,,,,,,,,,,,5806816.99317,,,,,,,,,,,,,5806816.99317,,,,,5806816.99317,,,,,,,,,,,,,62423.08359,62423.08359,,,,,62423.08359,,,,,,,7049938598.60184,2316997023.64477,239842.6472,163353.75,7846000,1281308092.86078,,1027439734.38679,4732941574.95707,105567663.9646,3020390060.76437,1606983850.2281,10427960512.7699,8377974853.27018,1167755437.03422,1167755437.03422,,713100286.05493,574233.50781,192811.85154,192811.85154,,433792381.30404,3563258.39655,,,,,,3563258.39655,,,3563258.39655,,3327776141.9433,,910694967.12044,2417081174.82286,2731220303.17779,763413912.95362,331515165.94504,1636291224.27913,917089145.67599,173932250.203,173932250.203,,,60000,18251.84366,352728,337278,15450,36052419.2937,2788900,,33263519.2937,68815984.59807,68815984.59807,,627755988.13368,111970705.65192,10433550,56697501.608,6945600.202,441708630.67176,10101523.60388,,,,,,,,59500,10042023.60388,826437511.18268,306459002.64103,132091.19056,7742466.15418,298584445.29629,,,,,,,,,,378135000,217805000,14575000,6640000,139115000,620905941450,14867550000,,14867550000,,,,89282250,64279575,46771425,17508150,456713467875,25294297275,118724676750,67665160350,245029333500,96072419250,53098942500,
