"Сведения о страховых премиях по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0191,"Акционерное общество ""Тинькофф Страхование""",239862.4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,239862.4775,0,0,0
0212,"Акционерное общество Страховая компания ""Цюрих""",7100.04395,0,0,0,0,0,0,0,7100.04395,1970.79365,0,0,0,0,1970.79365,0,0,0,0,5129.2503,0,0,0,0,0,0,0,0,5129.2503,0,0,0,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",696467.63635,0,0,4701.27639,4701.27639,0,0,0,691766.35996,685976.73291,44860.56587,0,0,1550.64836,6839.79082,4379.07649,0,624631.19405,3715.45732,5789.62705,624.92265,624.92265,0,0,0,0,204.29832,81.99446,4947.05162,-68.64,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",179108.86099000002,0,0,0,0,0,0,0,71542.82498,239.74484,0,0,0,0,0,0,0,14.75287,224.99197,41881.63687,0,0,0,0,0,0,263.39461,16447.89105,25170.35121,0,28550.11365,871.32962,,0,64468.62695,43097.40906,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",-738829.46018,0,0,-6789.88999,-6789.88999,0,0,0,-732039.57019,-322448.23824,0,0,-322448.23824,0,0,0,0,0,0,-409591.33195,0,0,0,0,-406499.71786,0,0,0,-3091.61409,0,0,0,,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",12937.59511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12937.59511,0,0,0
0621,"Страховое акционерное общество ""ВСК""",3004661.1823400003,0,0,4379.6959,656.20985,0,0,3723.48605,2262705.28475,1835144.761,9803.41462,510.14527,228035.61952,100329.23642,35745.37493,10095.06302,5401.26922,1450215.93074,409.97648,386924.47731,446.3975,194.69195,251.70555,2023.97757,8948.48593,6900.17293,10002.82819,2176.65505,356425.96014,0,11011.77798,29624.26846,,585306.05521,89428.94441,62841.20207,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",535.57901,0,0,0,0,0,0,0,535.57901,389.66024,0,0,0,0,4.50064,0,0,385.1596,0,145.91877,0,0,0,0,0,0,137.03395,0,8.88482,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",54255.633330000004,0,0,1594.34609,1594.34609,0,0,0,26480.85102,23920.13712,3944.13798,0,633.09421,0,12337.90127,0,0,5800.81421,1204.18945,2272.16687,248.74744,248.74744,0,0,0,0,1071.36312,281.95885,605.09746,65,0,288.54703,,7132.77237,11231.45823,7816.20562,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",4319498.65592,0,0,32985.9355,11152.61243,155.03738,0,21833.32307,2930631.87196,2037776.86347,19054.44287,0,524553.79789,202033.90551,115534.57815,2241.4403,0,1174358.69875,0,821690.97178,33312.67397,0,0,0,558440.05339,0,12262.32898,6399.51676,211276.39868,0,8040.72409,63123.31262,,1011047.34742,226861.70395,117971.79709,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",150869.1472,0,0,66.77843,66.77843,0,0,0,6973.16837,5525.07175,3894.71323,0,0,0,747.53816,10.40204,0,830.35228,42.06604,1436.80514,0,0,0,0,0,0,845.29472,0,589.05792,2.4525,0,11.29148,,119957.10526,13923.42704,9948.6681,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",-21325.51168,0,0,1165.811,1165.811,0,0,0,-22491.32268,23674.31519,2284.40049,0,6907.66003,6.125,9335.75873,0,0,4021.64794,1118.723,-46207.52906,121.31517,121.31517,0,0,-46579.32144,0,0,206.42358,44.05363,0,0,41.89119,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1928170.54909,0,0,-42.57936,-42.57936,0,0,0,1249910.17421,1098293.88014,1935.71157,442.81067,6746.88239,-1815.36191,88686.13942,-17661.7257,0,1027319.82379,-7360.40009,121518.74746,0,0,0,0,-2017.27127,71.0963,11140.6673,0,112324.25513,0,24676.0284,5421.51821,,422093.24967,148435.4933,107774.21127,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",2050077.99631,0,0,4364.27723,3193.59923,0,0,1170.678,126972.33172,107052.76717,8373.12191,-245.10963,2532.34869,1780.65027,2705.77461,2538.58573,0,79109.69161,10257.70398,12725.3241,358.26297,358.26297,0,0,0,0,10916.65595,207.03083,1243.37435,0,6406.92824,787.31221,,1550385.47815,222203.81399,146152.09522,0
1216,"Акционерное общество Страховая компания ""Чулпан""",56122.96043,0,0,0,0,0,0,0,571.78855,562.05437,354.57589,0,0,160.18521,43.29327,0,0,4,0,9.73418,0,0,0,0,0,0.73418,0,0,9,0,0,0,,26802.95312,17209.61916,11538.5996,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",585903.19085,0,0,0,0,0,0,0,923.6619,907.7617,0,0,0,0,618.04224,0,0,289.71946,0,15.9002,0,0,0,0,0,0,0,0,15.9002,0,0,0,,362038.03702,134424.9705,88516.52143,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1748730.8704,0,0,1441.62171,1441.62171,0,0,0,1525924.74905,1344016.70076,3229.76936,3928.00714,483018.52386,12572.1685,23939.01688,15209.2325,0,801727.1173,392.86522,55568.73803,0,0,0,0,43985.61154,69.7104,-10.0359,2970.2655,8316.85169,236.3348,115223.89344,11115.41682,,167829.47553,32116.15927,21418.86484,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",413300.09674999997,0,0,11849.63393,11849.63393,0,0,0,158111.30026,155045.60421,-89.31507,209.94715,20999.76543,390.40034,10826.18547,196.87539,0,122461.27147,50.47403,3065.69605,1.965,0,1.965,0,0,0,1431.85114,728.21988,813.56003,90.1,0,0,,200522.29523,25603.98792,17212.87941,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",13178.98284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13178.98284,0,0,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",-706.49044,0,0,-1.77021,-1.77021,0,0,0,-704.72023,-414.94661,-15.17054,0,0,0,-1.5589,0,0,-377.29067,-20.9265,-289.77362,0,0,0,0,0,0,0,0,-289.77362,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",82704.15656999999,0,0,600.48622,600.48622,0,0,0,5670.34667,2707.94346,0,0,0,0,55.59441,0,0,2384.21624,268.13281,2491.62686,3.742,2.5,1.242,0,0,0,315.55913,678.41509,1493.91064,0,0,470.77635,,63723.05689,7923.19756,4787.06923,0
1820,"Акционерное общество ""ГУТА-Страхование""",15730.95557,0,0,0,0,0,0,0,15730.10607,15730.10607,0,0,0,0,0,0,0,15730.10607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.8495,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",327164.67279999994,0,0,2334.19916,2334.19916,0,0,0,145981.94156,127293.83343,16722.09076,277.74457,3762.378,105.10278,12949.43413,1944.83042,0,90162.87853,1369.37424,4028.75455,0,0,0,0,0,104.1498,1760.86766,127.72246,2036.01463,0,14491.86193,167.49165,,143041.50673,21358.9163,14448.10905,0
1858,"Акционерное общество Страховая компания ""Армеец""",45496.68796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,45496.68796,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",855.13258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,855.13258,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",2432359.87263,0,0,2921.19882,2921.19882,0,0,0,1093436.99598,902856.71296,4267.27747,-29.94246,138598.39796,104601.50897,3402.70223,0,0,652016.76879,0,114414.37455,0,0,0,0,16076.48072,723.40871,6899.11742,0,90430.65587,284.71183,76154.42827,11.4802,,1163678.32421,102576.50009,69746.85353,0
2346,"Акционерное общество ""Объединенная страховая компания""",67358.97690000001,0,0,1556.86989,1556.86989,0,0,0,34216.96576,32491.00658,19203.87429,8.68562,2398.92873,459.48023,1975.89802,92.16625,0,6557.73615,1794.23729,1725.95918,224.71411,0,0,0,703.25154,148.60895,0,8,641.38458,0,0,0,,34525.89101,-1498.46345,-1442.28631,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",98980.36881999999,0,0,398.25863,398.25863,0,0,0,86954.29366,60867.83841,45914.49059,6.36989,7193.25668,2185.43719,413.12192,0,0,4589.41884,565.7433,25990.02665,97.77246,97.77246,0,0,644.62005,512.19547,0,80.2973,24655.14137,0,96.42861,-1e-05,,0,6938.37027,4689.44626,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",980.14323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,980.14323,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",31.28467,0,0,0,0,0,0,0,31.28467,0,0,0,0,0,0,0,0,0,0,31.28467,0,0,0,0,0,0,31.28467,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",33198.050070000005,0,0,-541.7958,33.999,0,0,-575.7948,14368.14208,10079.5231,-80.38356,7.92972,2263.0496,0,3632.10447,0,0,4256.82287,0,6.33065,0,0,0,0,0,0,0,0,6.33065,0,19.25419,4263.03414,,0,10835.01222,8536.69157,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",387305.40723,0,0,1230.17743,1230.17743,0,0,0,30851.14525,12693.13341,415.62405,0,-132.68948,0,708.58586,0,0,11701.61298,0,138.77666,0,0,0,0,0,0,0,0,138.77666,0,18019.23518,0,,324504.25095,18207.24709,12512.58651,0
3229,"Акционерное общество ""Страховая бизнес группа""",11553.35624,0,0,0,0,0,0,0,3588.2336,3581.24014,503.02917,0,0,0,2737.84291,0,0,334.01953,6.34853,6.99346,0,0,0,0,0,0,0,0,6.99346,0,0,0,,0,4718.35585,3246.76679,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",38.39441,0,0,0,0,0,0,0,-1.51725,-1.51725,0,0,0,0,-1.51725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.91166,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",10707.86665,0,0,0,0,0,0,0,2250.91118,2169.50617,0,4.06,0,755.33445,1166.86883,0,0,227.59289,15.65,81.40501,0,0,0,0,0,45,0,27.56565,8.83936,0,0,0,,1724.90166,3971.51077,2760.54304,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",107018.51968999999,0,0,0,0,0,0,0,7145.16828,86.46043,0,0,0,0,0,0,0,86.46043,0,7058.70785,0,0,0,0,0,0,0,0,7058.70785,0,0,0,,0,63301.61919,36571.73222,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",31839.32647,0,0,0,0,0,0,0,2407.82034,2407.82034,0,0,0,0,902.28974,0,0,1505.5306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,29431.50613,0,0
3947,"Акционерное общество ""АИГ страховая компания""",557368.1506599999,0,0,0,0,0,0,0,546674.48868,96476.93497,0,0,0,0,94736.89484,0,0,1740.04013,0,313241.08362,0,0,0,0,0,0,0,0,313241.08362,0,0,136956.47009,,0,10693.66198,0,
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",591433.89072,0,0,1783.14738,1783.14738,0,0,0,589650.74334,338837.16175,0,0,0,0,19532.65931,0,0,319304.50244,0,170828.95369,0,0,0,0,0,0,0,5954.6715,164874.28219,0,79984.6279,0,,0,0,0,
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",736777.4384100001,0,0,9850.80772,5415.13318,0,0,4435.67454,726926.63069,676067.10223,144667.68606,-1248.33369,-8584.05029,5864.27554,4591.74096,-15802.46649,0,546578.25014,0,47361.0772,-799.92811,913.0784,0,0,-1771.69907,0,0,0,49697.97635,234.72803,0,3498.45126,,0,0,0,
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",49423.75695,0,0,0,0,0,0,0,49423.75695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45972.88749,3450.86946,,0,0,0,
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",994371.61588,0,0,808.45524,0,0,0,808.45524,834752.16514,619668.29797,-267.94521,343.29319,91198.11692,1498.43399,5627.77176,134973.94349,0,382487.91702,3806.76681,166159.16688,0,0,0,0,3000.43358,1543.47693,1265.71535,5738.35393,154317.08965,294.09744,42261.53234,6663.16795,,106595.27344,30364.65664,21851.06542,
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",44632694.730409995,0,0,1227109.74171,1148090.30432,0,0,79019.43739,43223991.14989,33900363.1791,1511691.77035,65994.85724,3400098.20087,2043483.83226,1780003.97549,3002925.64114,1133778.09408,21983241.72352,112923.17823,6729855.22459,3849.58734,0,0,0,2775248.63016,767580.73153,0,1174742.5477,1993125.03446,15308.6934,223065.41269,2370707.33351,,181593.83881,0,0,
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",244620.391,0,0,0,0,0,0,0,244620.391,212409.87383,0,-425.45949,-21458.91615,941.50718,-184.04117,0,0,230138.24352,3398.53994,-8734.19687,0,0,0,0,-15986.47215,260.82655,0,0,4112.26372,2879.18501,30415.61355,10529.10049,,0,0,0,
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
