"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
0191,"Акционерное общество ""Тинькофф Страхование""",0,0,232720.08248,232720.08248,0,0,0,1040440.69643,995184.60501,792508.39094,0,0,0,0,0,0,0,202676.21407,729.58416,675.38331,0,0,0,0,0,54.20085,0,0,44526.50726,,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",0,0,14882.2511,6189.16647,0,0,8693.08463,17362.99077,10705.49456,474.74684,0,2645.83318,0,33.65359,0,0,3225.53682,4325.72413,6657.49621,0,0,3517.15571,0,1.15,22.44561,3116.74489,0,0,0,,0,0,0
0212,"Акционерное общество Страховая компания ""Цюрих""",0,0,78.42891,78.42891,0,0,0,75124.51833,47155.4158,0,0,0,0,21093.63893,0,0,26061.77687,0,12519.2462,0,0,0,0,0,2660.92992,9858.31628,0,7822.84566,7627.01067,,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",0,0,80085.5484,78082.77878,5767.02824,0,2002.76962,760927.37832,291226.99402,0,3763.44528,-378.45876,18182.17336,104500.98884,0,0,141207.37454,23951.47076,125423.2849,0,0,0,0,12629.19346,13227.9312,100298.6658,-732.50556,9228.47598,335048.62342,,0,1134.28246,901.7361
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",0,0,3640.63772,0,0,0,3640.63772,8888.13745,5079.97955,0,0,3278.89748,0,315.65013,0,0,1304.56577,180.86617,3797.6579,0,0,3737.94693,0,0,0,0,59.71097,0,10.5,,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",0,0,540480.12087,505471.25194,0,0,35008.86893,296302.59796,189917.09764,45151.83712,0,466.69097,-270.109,822.2918,6075.18024,6075.18024,68917.45828,68753.74823,92048.11772,5277.47562,0,74.13681,138.86536,97.5,77.75034,85445.08959,937.3,0,14337.3826,,253521.97883,-8.78575,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",0,0,1828.61886,1828.61886,0,0,0,18559.84643,11649.81958,0,0,0,6233.44008,1461.11714,0,0,3578.05773,377.20463,6760.92347,0,0,0,6751.8001,0,0,9.12337,0,0,149.10338,,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",0,0,530.44605,0,0,0,530.44605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",0,0,1240.49291,671.36779,0,0,569.12512,1656.38095,1649.08095,1223.74848,0,0,0,0,0,0,24.879,400.45347,7.3,0,0,0,0,0,0,7.3,0,0,0,,8523.98095,7.83,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",0,0,10754.68815,4890.08884,0,0,5864.59931,97985.4475,93242.49532,77219.54808,0,0,0,1352.28724,0,0,6993.01305,7677.64695,3826.90067,1102.56772,0,0,0,0,27.365,2606.64795,90.32,0,916.05151,,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",0,0,74326.28268,72912.01454,0,0,1414.26814,35103.78734,34964.11177,13647.61411,0,0,0,336.46545,148.76592,0,5020.35178,15810.91451,138.92557,45.3326,0,0,0,0,0,93.59297,0,0,0.75,,34984.09961,-51.75691,8.24731
0621,"Страховое акционерное общество ""ВСК""",0,0,8346810.34008,6825991.74441,69.0421,0,1520818.59567,16636087.94563,13622392.80991,5975949.31981,11240.47092,76221.9491,55206.07093,484816.89915,42548.98828,33595.68347,1065755.46046,5910653.65126,323787.67191,122434.38458,0,2823.72075,22425.18049,18073.74433,-14184.92209,172206.75189,8.81196,6919.44159,2682988.02222,,548324.12713,15943.81827,10621.84138
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",0,0,115086.04671,73626.48581,0,0,41459.5609,427210.95625,403674.43313,330920.6355,548.40104,0,691.07159,33337.68938,0,0,14486.05365,23690.58197,7223.00006,659.68884,0,0,0,0,6.1,1452.02122,5105.19,0,16313.52306,,96741.73724,1336.18638,2477.08743
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",0,0,856566.22653,812860.52742,0,0,43705.69911,88870.03183,47008.38525,3.92676,0,0,0,69.17085,0,0,8567.31152,38367.97612,9295.01298,0,0,0,0,13.37129,0,9281.64169,0,0,32566.6336,,0,0,0
0758,"Общество с ограниченной ответственностью Страховая медицинская компания ""АСТРА-МЕТАЛЛ""",0,0,39552.99037,0,0,0,39552.99037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",0,0,403732.83639,371687.5924,0,0,32045.24399,1020318.67687,939496.9896,48030.29864,130.05612,1016.49751,1798.50224,470926.03699,0,0,187836.79637,229758.80173,37227.13234,1625.67234,0,230.80398,1963.75996,1355.47773,2366.15424,29428.94409,256.32,1195.41836,42399.13657,,2378.8438,361.51411,499.82372
0928,"Страховое публичное акционерное общество ""Ингосстрах""",0,0,3412994.57015,2128104.94599,1016.5993,0,1284889.62416,13465170.23261,11287526.36812,8615456.04321,2241.58172,43678.66216,118246.96821,250863.2751,3066.16497,689.21918,936071.56563,1317902.10712,563505.46016,117306.96631,0,4925.31681,98762.28053,26726.97944,71225.14082,243187.64314,1371.13311,3798.25172,1610340.15261,,974540.4875,19110.92216,13933.98396
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",0,0,249029.90552,201413.31554,0,0,47616.58998,1353288.71429,1201767.08996,877668.16379,225.84056,0,0,18688.68578,2164.95637,0,90356.08995,212663.35351,120176.59599,40563.94198,0,0,0,1659.03924,897.21685,75089.5189,1966.87902,172.4988,31172.52954,,96925.14677,1757.25804,3084.85592
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",0,0,312141.29648,241325.27768,0,0,70816.0188,210165.22635,137537.59973,71780.16098,0,9758.0349,2,15205.90389,0,0,17198.70439,23592.79557,49121.45208,334.1785,0,9764.67823,0,0,37212.24535,0,1810.35,0,23506.17454,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",0,0,112903137.07546,111596121.67072,0,0,1307015.40474,8374596.21887,6908540.86949,3240651.54549,64247.68644,417269.60145,50550.64902,90890.39784,6246.72248,3926.54132,1410715.9089,1627968.35787,537577.76258,35378.05802,1.65,46401.55983,12897.07565,27548.47857,36649.68217,378335.28708,365.97126,281114.19872,647363.38808,,262661.22171,16955.85901,18280.36284
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",-30.07362,0,7109137.8751,4811560.51161,446.25499,0,2297577.36349,12059190.30483,10449061.45254,7563312.36058,12652.88342,0,99.81232,278684.86476,4661.18343,0,842920.67899,1746729.66904,527497.27121,203004.91838,17.955,96.7901,267.66854,22608.59067,9269.96859,268785.41442,23445.96551,30857.77194,1051773.80914,,2875067.90294,16717.18149,5840.85221
1216,"Акционерное общество Страховая компания ""Чулпан""",0,0,3050.13025,2308.9088,0,0,741.22145,30153.69123,29034.4643,8545.48481,0,0,21.375,6547.16418,142.647,0,4911.10586,8866.68745,1048.68391,29.5628,0,0,49.52321,0.85,4.9875,963.7604,0,0,70.54302,,1623.92708,245.24973,1829.56112
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",0,0,1047372.24409,631914.00077,0,0,415458.24332,6408794.67035,3476773.75608,2582464.43668,86.88957,0,19343.05961,17030.71968,0,0,41662.06159,816186.58895,100375.81533,13735.95341,0,0,11.34858,7.01115,2691.68154,83929.82065,0,0,2831645.09894,,244517.65765,585.8054,1863.93792
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",0,0,1107916.53793,793247.30115,34.33856,0,314669.23678,6403191.10188,5540441.22075,4185270.63715,13728.26594,4843.14653,72717.66982,155441.94772,92984.02093,85110.07432,460276.76913,555178.76353,240988.16321,96836.28077,21.6,759.85735,37546.70832,675.21234,5797.81723,97282.99743,2067.68977,88403.41464,533358.30328,,536065.05287,2264.40775,2804.42476
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",0,0,71195.89748,2586.8087,0,0,68609.08878,94753.9131,94232.42988,49278.2224,0,0,0,44329.45065,0,0,510.88241,113.87442,136.85095,71.10084,0,0,0,0,0,65.75011,0,0,384.63227,,0,0,0
1372,"СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""АСТРАМЕД-МС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",0,0,564658.77777,556648.71732,0,0,8010.06045,265051.43361,196848.98716,3112.77215,0,0,0,0,0,0,132.465,193603.75001,12520.46677,0,0,0,0,0,0,12520.46677,0,0,55681.97968,,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",0,0,1541351.45437,1440021.03165,0,0,101330.42272,2860595.48598,1258298.1082,1140996.06425,14634.41571,126.378,153.70017,929.95803,-69.29781,-69.29781,19037.52409,82489.36576,37515.51183,18974.97978,0,0.675,220.76446,4431.72104,0,10282.90476,3604.46679,51.11434,1564730.75161,,244895.80189,488.93173,2787.12851
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",0,0,18659.26213,18659.26213,0,0,0,408664.02772,319259.9822,0,0,0,0,0,0,0,0,319259.9822,5441.80911,0,0,0,0,0,0,5441.80911,0,0,83962.23641,,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",0,0,0,0,269.18866,0,0,7153.21166,7127.32601,6706.27425,0,0,0,0,0,0,103.10911,317.94265,25.88565,0,0,0,0,0,0,25.88565,0,0,0,,62217.71869,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Тюмень-Полис""",0,0,19146.87074,19136.87074,0,0,10,11305.65905,5662.78304,172.8801,0,0,13.034,0,0,0,65.58268,5411.28626,5.00078,0,0,0,0,0,0,5.00078,0,0,5637.87523,,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",0,0,192173.7484,81628.02357,0,0,110545.72483,1468963.67099,1172439.22904,962548.99377,82.59712,0,4898.47671,47151.46632,0,0,41294.64122,116463.0539,27389.57442,7234.41957,0,0,3904.00287,431.72966,1590.53566,13932.28466,296.602,1255.48581,267879.38172,,25974.42299,180.71462,289.36344
1820,"Акционерное общество ""ГУТА-Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",0,0,1050972.54558,848313.18908,3159.64275,28.75988,202659.3565,2589918.63722,2397665.81197,1325472.93618,531.04301,202.37815,3074.14997,362684.49542,38408.31558,32815.21348,374654.89415,292637.59951,124545.11578,9783.05049,68.4,30.665,3528.31368,3467.39682,4907.80507,101582.3019,1177.18282,4505.63251,63202.07696,,158714.42956,6767.4548,9287.09256
1858,"Акционерное общество Страховая компания ""Армеец""",0,0,26666.96191,15463.65423,0,0,11203.30768,10358.1326,7054.38994,2502.81122,0,0,0,0.92794,0,0,1094.28553,3456.36525,3258.99715,6.3,0,30.996,0,0,0,3218.34115,3.36,0,44.74551,,103402.09891,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",0,0,21872.83601,21452.03373,0,0,420.80228,80889.38463,33345.54218,28657.66483,0,0,0,2286.65168,0,0,985.72225,1415.50342,47539.95081,47246.956,0,0,0,0,83.20688,209.78793,0,0,3.89164,,104707.10487,0,0
2031,"Общество с ограниченной ответственностью ""Медицинская страховая компания ""ИНКО-МЕД""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",0,0,36947.66211,34190.67811,0,0,2756.984,108619.12413,101063.3718,81071.18727,0,0,97.44318,240.48777,0,0,3826.57218,15827.6814,5421.2299,175.692,0,0,5.502,0,3731.62184,1427.77906,80.635,0,2134.52243,,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",0,0,10419.2379,5565.58531,0,0,4853.65259,14791.22528,14761.05848,9426.24209,0,0,0,17.89373,41.79013,0,273.24333,5001.8892,30.1668,0,0,0,0,0,0,30.1668,0,0,0,,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",0,0,4410246.45221,3613260.96762,3939.46222,0,796985.48459,23874249.90186,19310152.01259,7481699.61655,15618.8059,75047.42102,111302.0667,171099.48244,163591.85096,151487.93964,721253.77763,10570538.99139,702709.82478,171959.01809,0,24742.5177,21783.49622,13353.99885,14369.60041,451195.14259,5306.05092,37947.6014,3823440.46309,,1345430.4564,13632.02822,11129.96303
2346,"Акционерное общество ""Объединенная страховая компания""",0,0,118878.93021,52056.97096,0,0,66821.95925,275429.88619,255969.95081,220662.46629,35.80644,26.55,-1277.44473,3968.7228,77.74729,0,20050.66268,12425.44004,12740.16059,413.0509,0,417.34251,660.82616,4.02,2011.80916,9014.99964,218.11222,-1208.73954,7928.51433,,42026.07868,254.68464,180.07724
2353,"Общество с ограниченной ответственностью ""Страховая компания ""Сибирский Дом Страхования""",0,0,14885.7673,1881.23714,0,0,13004.53016,3617.12649,3326.03085,2244.21323,0,0,0,0,0,0,412.20847,669.60915,278.79564,0,0,0,0,0,0,146.52764,132.268,0,12.3,,234.6646,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",0,0,983144.46027,866835.35053,4822.34096,0,116309.10974,1555528.3173,1286296.3317,428952.64997,766.68694,0,44051.51317,295347.44302,44506.94838,43400.07864,298586.05905,174085.03117,147560.83827,1986.41179,0,142.59,16993.00973,0,65930.21671,62502.61004,6,3231.12042,118440.02691,,3459.23193,487.53019,492.90588
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",0,0,600328.55446,570504.82873,0,0,29823.72573,322364.49042,318176.01451,240299.45724,0,0,565.60644,1521.36816,279.37854,274.45644,10369.81395,65140.39018,4188.47591,544.70603,0,0,27.4166,0,543.77105,2945.16863,127.4136,0,0,,55679.23764,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",0,0,140535.78328,140535.78328,0,0,0,260177.3758,35692.8178,35692.8178,0,0,0,0,0,0,0,0,325.33714,325.33714,0,0,0,0,0,0,0,0,224159.22086,,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,-103.97378,-103.97378,0,0,0,199.01112,0,0,0,0,0,0,0,0,0,0,199.01112,0,0,0,0,80.51412,0,118.497,0,0,0,,0,-0.69,0
2733,"Акционерное общество ""Страховая компания ""Резерв""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",0,0,144385.58103,32766.38637,0,0,111619.19466,139901.11584,139761.48939,101586.49249,0,0,0,6771.54124,0,0,30753.55989,649.89577,139.62645,0,0,28.9785,0,0,9.95,100.69795,0,0,0,,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",0,0,693380.60863,693380.60863,0,0,0,702702.53379,478287.02721,18577.54362,1115.20298,0,37.7798,351.09989,260318.64207,228282.91257,39777.95371,158108.80514,82165.93418,330.375,0,0,0,0,232.775,81602.78418,0,14521.18796,127728.38444,,0,7.6125,0
3064,"Акционерное общество ""Боровицкое страховое общество""",0,0,78515.67181,41771.35972,0,0,36744.31209,56624.86571,48112.62895,20405.4727,0,0,0,20632.61805,0,0,6764.50936,310.02884,5168.84038,0,0,0,0,0,186.12684,841.33864,4141.3749,0,3343.39638,,43775.40028,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",0,0,41036.65764,0,0,0,41036.65764,51330.32372,44783.56472,0,0,0,0,0,0,0,0,44783.56472,6546.759,0,0,0,0,0,0,6546.759,0,0,0,,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",0,0,71483.83454,13075.58338,0,0,58408.25116,334951.59349,83974.48119,32441.75765,0,0,13752.55839,4342.06006,0,0,25510.58994,7927.51515,240687.93353,0,0,121.02273,34143.34505,65.9878,0,112335.28262,94022.29533,0,10289.17877,,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",0,0,1799543.75419,1714272.92449,1031.38813,0,85270.8297,1764216.66246,1411114.28981,1089601.23038,0,638.97066,1654.20576,22531.90073,882.16889,0,70929.85912,224875.95427,20454.10012,1614.5266,0,32.35738,1352.79156,895.73731,434.84084,15891.50543,232.341,343.56313,332304.7094,,113633.67607,1839.81731,2646.99394
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",0,0,1898.35121,1898.35121,0,0,0,370491.47401,357286.71499,357286.71499,0,0,0,0,0,0,0,0,13204.75902,13204.75902,0,0,0,0,0,0,0,0,0,,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",0,0,50001.5276,5438.3913,0,0,44563.1363,622621.33122,587497.37175,101.781,256.8145,9.14599,1759.956,32972.06354,0,0,551931.25464,466.35608,34965.81013,0,0,4.1043,258.19646,0,3726.67852,28188.78959,2788.04126,0,158.14934,,3432.86427,645.69405,2754.456
3230,"Акционерное общество ""Страховая компания ""СОГАЗ-Мед""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",1221574.43032,20147.55467,238791.85923,215691.80541,0,0,23100.05382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",0,0,13856.3621,671.66946,0,0,13184.69264,8511.08872,5779.36274,1228.06105,0,0,74.69948,32.35061,0,0,3777.5471,666.7045,2687.5944,2.75,0,3.3,0.78,0,104.234,2576.5304,0,0,44.13158,,4342.91506,76.7205,179.86583
3300,"Акционерное общество Страховая группа ""Спасские ворота""",0,0,81046.25169,14613.65678,0,0,66432.59491,77923.57235,72866.86551,5725.11764,0,0,0,56753.11528,0,0,1466.46589,8922.1667,4908.64009,16.17,0,0,17.15,0,6.2585,4869.06159,0,0,148.06675,,563.18171,13.392,0
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",0,0,6154.61509,-1209.86521,0,0,7364.4803,13304.52244,8044.50898,7568.25957,0,0,0,340.70972,0,0,-108.74622,244.28591,1950.46814,207.43902,0,0,0,0,1244.61215,498.41697,0,0,3309.54532,,766.33497,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""ВТБ Страхование""",0,0,-952612.55425,-438219.44127,0,0,-514393.11298,-340642.95405,-247738.82119,-109930.34437,25.89244,0,0,1.59912,0,0,-1210.62777,-136625.34061,-22997.9399,0.04437,0,0,0,-21537.75606,0.4794,-1468.82796,8.12035,0,-69906.19296,,0,5.7195,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",36027709.90501,0,240574.34612,227091.87462,0,0,13482.4715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",0,0,1249084.1151,1249084.1151,0,0,0,108278.43338,94392.54855,0,0,0,0,0,0,0,0,94392.54855,7814.70779,0,0,0,0,0,0,7814.70779,0,0,6071.17704,,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",3613743.16159,0,5834.38723,1034.20395,0,0,4800.18328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",0,0,14804.17713,0,0,0,14804.17713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",956041.87582,51429.04723,20957.09707,20096.8583,0,0,860.23877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",16871899.86437,0,34011.67914,22515.87691,0,0,11495.80223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",1834758.84921,0,1038163.60521,619974.73729,0,0,418188.86792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",0,0,95501.69692,95501.69692,0,0,0,92557.55968,50440.99264,48379.20259,0,0,0,798.85626,0,0,1073.05207,189.88172,41738.19656,0,0,0,0,0,0,41358.19656,380,0,378.37048,,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",0,0,30719.73083,455.73533,0,0,30263.9955,229480.04114,10849.45607,2882.27333,0,0,0,2295.32465,0,0,4740.5892,931.26889,204113.23665,51.83853,0,0,0,0,37.392,201348.57249,2675.43363,14517.34842,0,,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",0,0,14.04,14.04,0,0,0,30270.86782,25860.407,0,0,0,0,21625.36228,0,0,4235.04472,0,4410.46082,0,0,0,0,0,220.5,4189.96082,0,0,0,,0,0,0
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",0,0,0,0,0,0,0,11532.4462,0,0,0,0,0,0,0,0,0,0,1549.49092,0,0,0,0,0,0,412.72,1136.77092,0,9982.95528,,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",466717.20178,880.00889,489219.6538,488816.27675,0,0,403.37705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
