"Сведения о выплатах по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0212,"Акционерное общество Страховая компания ""Цюрих""",377.68408,0,0,0,0,0,0,0,377.68408,377.68408,0,0,0,0,377.68408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",293296.95196000003,0,0,1045.41983,1045.41983,0,0,0,292251.53213,292251.53213,15494.17525,0,0,0.68829,445.90759,7567.58645,0,268609.62024,133.55431,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",17336.32909,0,0,0,0,0,0,0,9754.87054,5771.66911,0,0,4410.05312,0,0,0,0,1361.61599,0,47.09248,0,0,0,0,0,0,0,0,47.09248,0,3936.10895,0,,0,3374.73312,4206.72543,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",16564.10434,0,0,0,0,0,0,0,16564.10434,16564.10434,0,0,16564.10434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",395.59311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,395.59311,0,0,0
0621,"Страховое акционерное общество ""ВСК""",104481.70409,0,0,0,0,0,0,0,81296.90531,74126.42095,1133.43856,0,10744.92115,34219.61837,5224.5925,0,0,22788.10389,15.74648,0,0,0,0,0,0,0,0,0,0,0,7170.48436,0,,0,12289.51208,10895.2867,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",2570.985,0,0,2570.985,2570.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",12798.865409999999,0,0,2207.77337,2207.77337,0,0,0,6776.15409,5974.39769,3236.3531,0,1263.96725,0,1007.16638,0,0,435.27258,31.63838,801.7564,0,0,0,0,0,0,0,121.00624,680.75016,0,0,0,,218.70571,1704.98236,1891.24988,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",669076.20442,0,0,5161.35217,4349.88339,0,0,811.46878,611234.62998,604844.56362,19310.32989,1068.4277,142874.1704,92059.23008,20378.98617,2209.1232,0,326944.29618,0,6390.06636,1817.37183,0,0,0,385.37914,0,1441.81329,980.36049,1765.14161,0,0,0,,0,20416.13203,32264.09024,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",8687.43402,0,0,0,0,0,0,0,1701.90098,1683.61609,675.2646,0,0,990,1.57319,0,0,16.7783,0,18.28489,0,0,0,0,0,0,0,18.28489,0,0,0,0,,3615.91955,1533.11381,1836.49968,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",145964.45419000002,0,0,28.50698,28.50698,0,0,0,145935.94721,131922.03656,650.68535,0,112397.91028,0,3793.61364,0,0,15078.98078,0.84651,14013.91065,0,0,0,0,0,0,0,583.79008,13430.12057,0,0,0,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",765254.7887300001,0,0,4503.7994,4503.7994,0,0,0,718462.00094,697350.82689,5844.42954,0,7501.35947,31280.6718,3624.54416,37253.05091,0,611846.77101,0,15788.62583,137.67339,0,0,0,0,0,3603.81333,0,12047.13911,0,0,5322.54822,,0,23377.71891,18911.26948,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",230345.45025999998,0,0,84659.64507,199.54887,0,0,84460.0962,31596.54199,12378.91899,2146.42323,0,38.17559,7200,0,103.92368,0,2886.16396,4.23253,92.6446,0,0,0,0,0,0,92.6446,0,0,0,19073.8284,51.15,,42072.80682,35659.2038,36357.25258,0
1216,"Акционерное общество Страховая компания ""Чулпан""",6610.129419999999,0,0,0,0,0,0,0,855.73325,855.73325,0,0,0,855.73325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2348.78166,3405.61451,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",32915.097890000005,0,0,0,0,0,0,0,6.49186,6.49186,0,0,0,0,6.49186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3710.80481,14420.02697,14777.77425,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",181503.16300999996,0,0,518.71889,518.71889,0,0,0,168108.79578,142037.13187,138.67521,0,26683.95386,86486.91482,209.74781,0,0,28517.84017,0,3885.2058,0,0,0,0,1927.92607,0,1957.27973,0,0,0,22186.45811,0,,5318.25453,3659.17002,3898.22379,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",11601.367229999998,0,0,0,0,0,0,0,5633.25876,5633.25876,0,0,3990.1374,1283.59988,36.02878,0,0,323.4927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3138.22315,2829.88532,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",1743.14641,0,0,0,0,0,0,0,1743.14641,252.2558,0,0,0,0,252.2558,0,0,0,0,1490.89061,73.87957,73.87957,0,0,0,0,0,667.77097,749.24007,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",8877.953739999999,0,0,0,0,0,0,0,7040.93946,4849.98258,0,0,0,0,0,0,0,4849.98258,0,2190.95688,2187.7229,0,2187.7229,0,0,0,0,0,3.23398,0,0,0,,0,746.38191,1090.63237,0
1820,"Акционерное общество ""ГУТА-Страхование""",1383.85089,0,0,0,0,0,0,0,1383.85089,1383.85089,0,0,0,1383.85089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",147030.56394999998,0,0,1427.92599,1427.92599,0,0,0,138926.89656,137828.18895,8498.90595,0,7387.29743,3910.42575,651.19027,2931.23622,0,114446.14828,2.98505,1098.70761,0,0,0,0,0,0,44.05612,0,1054.65149,0,0,0,,0,2820.83368,3854.90772,0
1858,"Акционерное общество Страховая компания ""Армеец""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",3.24272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.24272,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",94424.14223000001,0,0,38.67923,38.67923,0,0,0,61996.97316,57177.59304,694.40667,0,14806.25634,9109.18356,0,0,0,32567.74647,0,2068.1379,0,0,0,0,0,0,0,0,2068.1379,0,2748.93245,2.30977,,0,13861.60563,18526.88421,0
2346,"Акционерное общество ""Объединенная страховая компания""",15059.64448,0,0,741.16235,741.16235,0,0,0,12520.96718,10729.95761,9269.14832,0,45.74275,0,628.8101,0,0,677.52404,108.7324,1791.00957,0,0,0,0,0,0,0,0,1791.00957,0,0,0,,405.88048,1060.46839,331.16608,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",139945.41512000002,0,0,57.01396,57.01396,0,0,0,138026.06512,137255.89281,129831.32912,0,7071.09239,86.66658,4.40999,0,0,260.50153,1.8932,770.17231,0,0,0,0,295.00031,0,0,0,475.172,0,0,0,,0,876.46328,985.87276,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",0.9271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9271,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",6270.456910000001,0,0,2917.3322,0,0,0,2917.3322,214.27527,214.27527,0,0,0,0,12.75049,0,0,201.52478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1495.6333,1643.21614,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",36409.02775,0,0,119.75136,119.75136,0,0,0,21261.79666,10.5825,0,0,0,0,10.5825,0,0,0,0,6129.36326,0,0,0,0,18.13684,0,0,0,6111.22642,0,15121.8509,0,,10474.00112,2205.61448,2347.86413,0
3229,"Акционерное общество ""Страховая бизнес группа""",1916.91948,0,0,0,0,0,0,0,802.58998,9.11983,0,0,0,0,9.11983,0,0,0,0,793.47015,0,0,0,0,0,0,0,0,0,793.47015,0,0,,0,577.84079,536.48871,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",7604.31514,0,0,0,0,0,0,0,7604.31514,7418.39378,0,0,5191.7592,0,7.02169,0,0,2219.61289,0,185.92136,0,0,0,0,0,0,0,0,185.92136,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",1849.48567,0,0,0,0,0,0,0,557.35988,425.53356,0,0,0,0,424.65935,0,0,0.87421,0,131.82632,0,0,0,0,0,0,0,0,131.82632,0,0,0,,47.23676,588.96843,655.9206,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",44940.43244999999,0,0,1660.81593,1660.81593,0,0,0,644.82638,94.00774,0,0,58.73251,0,35.27523,0,0,0,0,550.81864,0,0,0,0,0,0,0,401.95321,148.86543,0,0,0,,0,22973.29961,19661.49053,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",294.43331,0,0,0,0,0,0,0,294.43331,0,0,0,0,0,0,0,0,0,0,294.43331,0,0,0,0,0,0,0,0,294.43331,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",6675.20474,0,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3075.20474,0,0
3947,"Акционерное общество ""АИГ страховая компания""",209051.67705,0,0,0,0,0,0,0,207599.91531,110578.35743,0,0,0,0,21365.65837,0,0,89212.69906,0,0,0,0,0,0,0,0,0,0,0,0,0,97021.55788,,0,1451.76174,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",1038527.89399,0,0,747.01179,482.53902,0,0,264.47277,1037780.8822,1036410.61212,132103.68916,0,1370.15655,0,3456.34556,184574.28701,0,714906.13384,0,1370.27008,231.81088,162.75654,0,0,0,0,0,0,788.34247,350.11673,0,0,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",453.15575,0,0,0,0,0,0,0,453.15575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.15575,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",53004.06809,0,0,0,0,0,0,0,47764.80895,47683.57296,0,0,0.36,0,54.99144,0,0,47628.22152,0,81.23599,0,0,0,0,81.23599,0,0,0,0,0,0,0,,0,2665.65786,2573.60128,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",1259994.7039899998,0,0,189373.84291,150385.51095,0,0,38988.33196,1059138.98622,918319.44333,173474.02098,68.40211,67749.72065,50974.82112,22613.40424,66351.5501,15547.07972,536834.36554,253.15859,15765.7215,262.75198,0,0,0,2187.4014,487.66319,0,3074.50578,9466.48025,286.9189,0,125053.82139,,11126.73724,355.13762,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",13.70753,0,0,0,0,0,0,0,13.70753,13.70753,0,0,0,0,0,0,0,13.70753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
