"Сведения о количестве заключенных договоров страхования в разрезе страховщиков, единиц",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0141,"Страховое Акционерное Общество ""Медэкспресс""",3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114,284,,,,150,,134,830,184,322,324,313,239,119,119,,,,,,,,,,,,,,,,,,,22,,,22,98,,,98,74,26,26,,,,,,,,,,,,,,,48,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,2102,,,,,,,,,,,,,,,,,,,,,,,,
0191,"Акционерное общество ""Тинькофф Страхование""",4535095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3037090,3037090,430559,,,,,2606531,,,,,1102496,592770,187878,187878,,,,,,,,,,,,,,,,,,,,,,,404892,404892,,,75793,10304,10304,,,,,,,,,,,,,,,65489,,,,,65489,,,,,,,,,,,,433933,400100,,33833,,,,,,,,,395509,,,,,,,,,,,,,,,,,,,,,,,,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51567,14077,,,,866,,13211,37490,501,235,36754,2433,2021,41,34,7,,3,,,,26,,,,,,,,,,,,242,,2,240,1709,889,136,684,412,1,1,,,,4,,,,1,,,1,3,,3,393,101,,1,1,290,10,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0212,"Акционерное общество Страховая компания ""Цюрих""",733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,5,,,,,728,195,,,,,,,,,92,,,,,,,,,,,,103,,20,83,,,,,369,4,4,,,,,,,,,,,,135,135,,230,2,,,,228,,,,,,,,,,,45,119,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0290,"Акционерное общество Страховая компания ""Альянс""",115940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66054,26017,,,8,,,26009,40037,40037,,,49517,8093,2,2,,30,,,,,726,,,,,,,,,,,,612,1,21,590,6723,744,,5979,751,1,1,,,,2,,,,1,,,1,73,,73,674,8,,,,666,,,,,,,,,,,46,40627,,,40627,,,,,,,,,,315,315,,,,54,,,,,,,54,,,,,,,,,,,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",20263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19992,30,,,,6,,24,19962,,,19962,271,57,2,2,,,4,,,,19,,,,,,,,,,,,5,,,5,27,,,27,53,,,,,,13,,,,,,,,,,,14,,,,,14,26,,,,,,,,,26,,161,154,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",569652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277979,260170,,174,,,,259996,17809,,1098,16711,45719,28916,23245,23245,,,,5,,5,1151,45,42,38,,4,,3,3,,,,1473,,74,1399,2997,1283,205,1509,16563,13932,13932,,,,41,405,,405,5,,,5,18,,18,2122,94,,43,,1985,40,,,,,,,,39,1,,240,,,240,,,,,,,,,245954,,,,,,,,,,,,,,,,,,,,,,,,
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,526,,,,,,526,,,,,746,428,,,,,,40,40,,27,,,,,,,,,,,,52,,,52,309,309,,,240,,,,,,,217,,217,,,,,,,,23,,,,,23,,,,,,,,,,,,78,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0448,"Страховое Акционерное Общество ""Геополис""",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,39,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0518,"Акционерное общество Страховая компания ""БАСК""",50960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8683,3774,,,,,,3774,4909,,,4909,9739,9644,8518,8518,,,,,,,640,,,,,,,,,,,,53,,,53,433,339,92,2,90,1,1,,,,,,,,,,,,,,,89,,,2,,87,,,,,,,,,,,,5,,,5,,,,,,,,,32269,269,246,10,2,11,,,,,,,,,,,,,,,,,,,
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",24841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19910,2676,,125,,,,2551,17234,25,,17209,4931,4036,729,729,,,,,,,1002,,,,,,,,,,,,860,,,860,1445,,,1445,817,523,523,,,,,,,,,,,,2,,2,271,,,,,271,21,,,,,,,,,21,,78,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",90054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20268,15201,31,,,,,15170,5067,,442,4625,25804,25620,13016,13016,,,,2,,2,95,221,,,,,,221,,,221,,302,,,302,11984,4476,3940,3568,184,21,21,,,,,,,,,,,,,,,163,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,43982,,,,,,,,,,,,,,,,,,,,,,,,
0621,"Страховое акционерное общество ""ВСК""",12977622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431301,2191922,548417,3180,9,3254,,1637062,1239379,,91393,1147986,7791993,5920288,245066,245066,,323,195,161,161,,1679427,641,197,71,,126,,444,12,,429,3,18390,543,2267,15580,3976085,2003404,1972681,,1716569,56267,21129,35138,,,538,358,358,,112,23,,89,222,222,,1659056,3411,450,1830,169,1653196,16,,,,,,,,14,2,50,155086,,,155086,,,,,,,,,1729743,20760,14956,595,605,4604,3825,4,1,3,6,2,4,81,85,78,7,3640,1117,454,679,1390,7,2,
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",310647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104690,69217,,,,,,69217,35473,7518,,27955,79847,74008,46527,46527,,17,,6,,6,3076,,,,,,,,,,,,1593,,,1593,22789,17838,,4951,2502,616,616,,,,,,,,,,,,5,,5,1365,,,,,1365,516,,,,,,,,516,,,3337,,,3337,,,,,,,,,124474,951,951,,,,685,,,,,,,,,,,685,,,685,,,,
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",78548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23168,16427,35,,,32,,16360,6741,491,2055,4195,55380,39804,,,,,,,,,2548,,,,,,,,,,,,4580,,,4580,32676,136,2124,30416,11008,,,,,,,,,,,,,,,,,10968,,,,,10968,40,,,,,,,,,40,,4568,3,,4565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,4,,,,,,,285,285,113,113,,,,,,,,27,27,26,,1,,,,,,,145,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",1690704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136968,108573,,,,,,108573,28395,,20445,7950,1540836,1499808,3433,3433,,16,20,43,,43,1430031,,,,,,,,,,,,5288,1656,279,3353,60977,2489,15242,43246,21823,2315,2315,,,,27,169,,169,12,12,,,284,28,256,18959,262,,25,5,18667,57,,,,,,,,57,,648,18557,16411,,2146,,,,,,,,,11915,899,317,10,16,556,86,,,,3,,3,2,31,22,9,50,13,20,9,8,,,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",5208979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029485,501808,13192,5165,67,7,,483377,527677,314697,1785,211195,1541069,1032222,272981,272981,,165,183,466,350,116,36298,40,21,14,,7,,19,,,19,,20608,,1579,19029,701481,192408,156134,352939,197991,65006,65006,,,,1036,785,537,248,112,48,2,62,1146,11,1135,129610,1641,905,1243,97,125724,296,,,,,,,,253,43,308,310548,29117,,281431,,,,,,,,,2609077,22919,14705,725,780,6709,6429,4,1,3,19,3,16,103,141,105,36,6115,2664,1940,516,995,27,18,2
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",652888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126022,101495,997,,,502,,99996,24527,9347,673,14507,232595,181418,70734,70734,,3,,,,,1112,1071,,,,,,1071,,,1071,,3498,,278,3220,105000,85011,18417,1572,26103,12781,1422,11359,,,,,,,20,20,,,44,41,3,13111,4409,,101,15,8586,147,,,,46,,,,4,97,11,25063,13667,,11396,,,,,,,,,291569,2045,982,61,111,891,657,,,,,,,9,35,34,1,613,256,173,50,134,,,
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",312916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288949,8440,126,,,,,8314,280509,,,280509,23967,15892,2017,2017,,,32,,,,4238,,,,,,,,,,,,608,,2,606,8997,39,,8958,4605,335,335,,,,140,,,,,,,,3931,,3931,,,,,,,199,,,,,,,,181,18,,3470,327,177,2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",9470758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246233,3851692,3077209,64041,,8222,1,702219,394541,,6807,387734,4153214,528546,68693,62483,6210,639,246,124,93,31,14014,81,7,,,7,,74,,,74,,10316,,1345,8971,434433,17767,,416666,235544,8806,8806,,,5,347,169,118,51,331,14,73,244,2526,229,2297,223267,1265,166,130,34,221672,93,,,17,,,,,11,65,526,3388598,3231634,,156964,,,,,,,,,1030620,36633,26739,701,4815,4378,4058,18,4,14,22,7,15,10,48,44,4,3936,1283,441,402,1810,12,12,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",5714265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285858,714173,121206,39993,3,13487,,539484,571685,169618,7725,394342,1581781,1079954,284839,284839,,54,1,1,1,,13789,221,,,,,,221,,,221,,63033,,5942,57091,718016,183226,286583,248207,320308,141312,89891,51421,,,38,34,1,33,38,5,,33,340,340,,178291,688,407,764,130,176302,255,,,,,,,,14,241,731,180788,6229,11,174548,,,,,,,,,2827637,17156,9035,353,408,7360,1833,2,,2,,,,6,18,12,6,1806,689,651,224,242,,1,
1216,"Акционерное общество Страховая компания ""Чулпан""",95135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18548,18347,,,,60,,18287,201,18,183,,11699,6833,489,489,,,,3,,3,1,180,,,,,,180,,,180,,126,,3,123,6034,1235,4758,41,4863,64,64,,,,4,17,,17,6,1,,5,1,,1,4768,25,,3,1,4739,3,,,,,,,,3,,,3,,,3,,,,,,,,,63060,1782,1221,4,496,61,46,,,,,,,,1,1,,45,28,10,6,1,,,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",5020925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275416,2001980,105871,107054,,,,1789055,273436,173147,3022,97267,1990137,510351,171698,171698,,11,,12,12,,1197,,,,,,,,,,,,1860,308,23,1529,335573,6441,149729,179403,534748,46227,46227,,,,,2,2,,,,,,62,62,,488456,22,,26,7,488401,1,,,,,,,,1,,,945038,26167,,918871,,,,,,,,,753442,1327,836,37,45,409,603,1,,1,,,,92,3,1,2,506,310,101,21,74,1,,
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1301771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348639,257808,137954,9898,,38,,109918,90831,,,90831,413191,213469,104679,104679,,274,30,128,99,29,7548,573,255,226,,29,,318,3,,315,,14475,532,570,13373,85762,13784,25891,46087,77595,54965,18176,36789,,,116,691,673,18,56,,,56,27,27,,21554,1623,,60,,19871,186,,,24,,10,,,53,99,2424,119703,103968,,15735,,,,,,,,,536040,2930,1808,,75,1047,971,1,,1,5,1,4,13,49,46,3,903,298,66,251,288,,,
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",11315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4544,2848,,,,96,,2752,1696,,588,1108,6771,4106,2293,2293,,,,,,,1684,,,,,,,,,,,,32,12,,20,97,80,17,,116,47,47,,,,,,,,,,,,1,,1,68,,,4,,64,,,,,,,,,,,,2549,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,"СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""АСТРАМЕД-МС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,"Акционерное общество ""Д2 Страхование""",748174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568997,531867,4,,,,,531863,37130,48,,37082,179177,11483,1264,1264,,,,,,,,,,,,,,,,,,,21,,,21,10198,,4872,5326,5115,,,,,,,,,,,,,,,,,4112,,,,,4112,1003,,,,,,,,,1003,,162579,1984,,160595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,"Акционерное общество ""Московская акционерная страховая компания""",809976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211461,184193,1878,34983,,4,,147328,27268,,186,27082,101680,72397,39390,39357,33,86,2,34,,34,220,,,,,,,,,,,,683,2,45,636,31982,535,9463,21984,17990,7987,7987,,,,16,58,58,,28,,,28,17,17,,9392,24,,51,3,9314,492,,3,,,,,,,489,,11293,32,,11261,,,,,,,,,495087,978,569,19,50,340,770,1,1,,,,,6,5,5,,743,176,272,10,285,10,5,
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",125788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32582,32582,,,,,,32582,,,,,93206,55144,,,,,,,,,,,,,,,,,,,,,,,,,55144,,,55144,11873,,,,,,,,,,,,,,,,,11873,,,,,11873,,,,,,,,,,,,26189,,,26189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,"Акционерное общество ""Страховое общество ""Талисман""",21023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388,1388,,,,,,1388,,,,,397,319,149,149,,,1,,,,,6,6,6,,,,,,,,,51,,,51,112,73,13,26,78,,,,,,2,,,,,,,,,,,76,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,19238,,,,,,,,,,,,,,,,,,,,,,,,
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",231340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86360,77953,,,,,,77953,8407,,,8407,144980,72938,,,,,,,,,,,,,,,,,,,,,,,,,72938,,,72938,71034,,,,,,,,,,,,,,,,,71034,,,,,71034,,,,,,,,,,,,1008,,,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
