"Сведения о вознаграждении посредникам за их заключение по договорам страхования, заключенным путем обмена информацией в электронной форме, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
0191,"Акционерное общество ""Тинькофф Страхование""",21147.343610000004,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,3653.02368,3653.02368,,,0,922.76643,721.95469,717.59194,0,,,0,0,,0,4.36275,0.14895,0,,0,,,0,0.14895,0,0,200.66279,,16571.5535,0,0,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",5.90594,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,5.90594,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,5.90594,,0,0,0,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",39302.50903,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,39302.50903,0,0,
0621,"Страховое акционерное общество ""ВСК""",342055.07076,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,27662.32778,27662.32778,,,0,12622.53803,12609.33263,459.3753,0,,,0,0,,0,12149.95733,13.2054,0,,0,,,0,13.2054,0,0,0,,301770.20495,0,0,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",50057.54678999999,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,27711.61157,27690.01157,,,21.6,20527.62333,19045.98273,0,0,,,0,0,,0,19045.98273,16.52375,0,,0,,,0,16.52375,0,0,1465.11685,,1818.31189,0,0,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",893878.39593,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,11407.72103,2210.18155,,,9197.53948,549104.67712,547322.32989,467786.65721,0,,,2980.91959,0,,2384.53964,74170.21345,1605.8443,213.0167,,2.8225,,,465.66216,924.34294,0,0,176.50293,,332844.7285,175.50081,345.76847,
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",333910.89012,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,48492.93714,42765.06851,,,5727.86863,277661.94265,251599.849,201883.06734,51.436,,,8091.46454,114.81774,,4160.50112,37298.56226,15623.42574,491.0206,,0,,,66.04373,14693.94365,372.41776,2.52,10436.14791,,6579.82324,851.25811,324.92898,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",19759.08881,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,3171.04576,1504.55072,,,1666.49504,5960.81751,5902.09687,5345.57698,0,,,6.5124,0,,0,550.00749,42.5358,0,,0,,,0,42.5358,0,0,16.18484,,10627.22554,0,0,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",341762.79303,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,341762.79303,0,0,
1216,"Акционерное общество Страховая компания ""Чулпан""",6426.14926,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,668.34155,668.34155,,,0,957.85415,862.98155,0,0,,,0,0,,0,862.98155,94.8726,0,,0,,,0,94.8726,0,0,0,,4799.95356,0,0,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",116417.6489,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,35997.94378,30025.271,,,5972.67278,22265.8043,18721.86378,10366.06685,0,,,0,0,,0,8355.79693,1044.89219,13.5746,,0,,,0,1031.31759,0,0,2499.04833,,58153.90082,0,0,
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",394964.104,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,52863.99192,48249.6824,,,4614.30952,280997.57519,252774.48863,241148.48923,0,,,66.46702,0,,15.43,11544.10238,1638.35444,534.25409,,0,,,0,1104.10035,0,0,26584.73212,,61102.53689,0,0,
1427,"Акционерное общество ""Московская акционерная страховая компания""",35759.58928,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,5087.46599,5087.46599,,,0,1797.07203,1031.66026,31.41435,0,,,0,0,,0,1000.24591,1.47627,0,,0,,,0,1.47627,0,0,763.9355,,28875.05126,0,0,
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",206610.97025999997,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,139097.12605,125422.07018,,,13675.05587,67513.84421,50942.46241,0,0,,,0,0,,0,50942.46241,2010.54422,0,,0,,,0,2010.54422,0,0,14560.83758,,0,0,0,
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",8059.27159,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,6144.57416,4292.63416,,,1851.94,949.52714,922.50284,287.53014,0,,,0,0,,0,634.9727,27.0243,0,,0,,,0,27.0243,0,0,0,,965.17029,0,0,
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",20360.11879,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,6113.21015,6113.21015,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,14246.90864,0,0,
2239,"Акционерное общество ""АльфаСтрахование""",599090.55241,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,230822.77949,230673.02747,,,149.75202,339668.7173,64458.34345,1727.28935,0,,,0,0,,63.0842,62667.9699,342.31898,12.86062,,0,,,0,329.45836,0,0,274868.05487,,28599.05562,0,0,
2346,"Акционерное общество ""Объединенная страховая компания""",21173.53262,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,64.21789,40.31116,,,23.90673,271.81189,236.7455,219.91591,0,,,0,0,,0,16.82959,21.06637,9.58,,0,,,0,11.48637,0,0,14.00002,,20837.50284,0,0,
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",66435.30901,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,17597.91738,11673.35118,,,5924.5662,48179.84856,45708.05031,30959.56208,0,,,0,0,,12010.57308,2737.91515,1591.6087,361.23796,,0,,,0,1230.37074,0,0,880.18955,,657.54307,0,0,
3064,"Акционерное общество ""Боровицкое страховое общество""",0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",2678.0143,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,1446.05111,1446.05111,,,0,312.71842,309.12202,0,0,,,0,0,,0,309.12202,3.5964,0,,0,,,0,3.5964,0,0,0,,919.24477,0,0,
3229,"Акционерное общество ""Страховая бизнес группа""",114.06519,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,39.522,38.122,,,1.4,42.69178,42.69178,0,0,,,42.69178,0,,0,0,0,0,,0,,,0,0,0,0,0,,31.85141,0,0,
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",1376.45536,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,1376.45536,0,,,1376.45536,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",2478087.62395,2476065.9679,2476065.9679,2339976.92936,22382.13983,2278283.45384,39311.33569,0,,136089.03854,,0,136089.03854,0,0,0,0,0,,0,,,0,0,,0,,,,,,2021.65605,336.16293,,,1685.49312,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",12275.18166,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,6008.29551,6008.29551,,,0,6266.88615,5312.74381,0,0,,,0,0,,0,5312.74381,749.14911,0,,0,,,0,749.14911,0,0,204.99323,,0,0,0,
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",3448.46399,3448.46399,3448.46399,48.9331,0,48.9331,0,0,,3399.53089,,3399.53089,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",1819.98333,1819.98333,1643.56217,17.15,0,0,17.15,0,,1626.41217,,0,1626.37331,0.03886,0,176.42116,176.42116,176.42116,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",49077.80094,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,23659.12594,27417.5428,,,0,17817.10191,17.94151,481.02845,0,,,0,0,,0,14.4335,0.21,0,,0,,,0,0.96,0,0,17798.9504,,7601.57309,0,0,
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",764.18464,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,764.18464,2.83098,,,761.35366,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
3987,"Акционерное общество «Инлайф страхование жизни""",101473.96872,101473.96872,101473.96872,101473.96872,0,101473.96872,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
4014,Акционерное общество «Страховая компания «Ю-Лайф»,9.77633,0.33464,0.33464,0.33464,0,0,0,0.33464,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,9.44169,5.74955,,,3.69214,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
4326,"Общество с ограниченной ответственностью ""Крымская первая страховая компания""",5281.974819999999,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,512.32,512.32,,,0,4769.65482,4686.62982,2280.201,0,,,0,0,,2139.0836,267.34522,83.025,0,,0,,,0,83.025,0,0,0,,0,0,0,
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",146375.46117,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,0,0,,0,,,,,,2441.12211,1550.3219,,,890.80021,33473.80969,31566.19897,12928.75067,0,,,0,0,,1080.73155,17556.71675,1451.90446,23.44669,,0,,,0,1428.45777,0,0,455.70626,,110460.52937,0,0,
4365,Общество с ограниченной ответственностью Страховая компания «БКС Страхование жизни»,9932.33923,9931.31087,229.97166,117,0,0,117,0,,112.97166,,0,112.97166,0,0,9701.33921,9701.33921,9684.33921,,17,,,0,0,,0,,,,,,1.02836,1.02836,,,0,0,0,0,0,,,0,0,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
