"Сведения о страховых выплатах по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",27029.90402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27029.90402,0,0
0621,"Страховое акционерное общество ""ВСК""",1489206.6252000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07025,1.07025,0,,0,201925.04179,187012.84102,2522.73343,0,17854.14543,28955.19487,452.16045,0,0,137211.30259,17.30425,7184.92785,0,0,0,0,36.44466,0,0,0,7148.48319,0,7727.27292,0,,1264591.93357,5167.10444,17521.47515
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",1871.26443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1871.26443,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",73.83163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,73.83163,73.83163,0,0,0,0,0,0,0,73.83163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",27118.86247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.51207,337.51207,0,,0,6947.85346,6614.0609,1363.50162,0,0,0,3002.11098,0,0,2170.3493,78.099,333.79256,0,0,0,0,0,0,0,1.32818,332.46438,0,0,0,,17239.27938,598.09392,1996.12364
0928,"Страховое публичное акционерное общество ""Ингосстрах""",2853723.67465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021.43317,6891.32341,0,,4130.10976,993273.29722,953522.01115,8795.46446,2370.33644,216520.87026,89938.18794,38193.96703,1364.21807,0,596338.96695,0,5722.62396,3478.37467,3478.37467,0,0,839.98849,0,206.16329,192.82299,1005.27452,0,0,34028.66211,,1805823.21746,12332.24982,31273.47698
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",231182.63787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,922.70861,922.70861,733.13906,0,0,0,0.8176,0,0,162.43754,26.31441,0,0,0,0,0,0,0,0,0,0,0,0,0,,226756.1498,809.99816,2693.7813
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",7645.85869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,7645.85869,3442.48581,896.43143,0,2.02778,0,1989.14687,0,0,489.04134,65.83839,4203.37288,0,0,0,0,0.15162,0,0,44.23918,4158.98208,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1394813.28485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177.81702,2177.81702,0,,0,387488.39801,368063.47106,710.21041,0,72908.01713,12174.46559,18723.93425,999.8796,0,262546.96408,0,16826.26744,0,0,0,0,0,0,665.75125,0,16160.51619,0,0,2598.65951,,967993.71856,6619.31332,30534.03794
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",3160331.67173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.18061,67.5,0,,133.68061,33224.272,32420.02688,14288.87797,3.34014,0,0,98.23934,0,0,17839.61195,189.95748,334.47685,80.54372,80.54372,0,0,0,0,13.74422,0,240.18891,0,0,469.76827,,3086037.07354,9551.93378,31317.2118
1216,"Акционерное общество Страховая компания ""Чулпан""",45782.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,43146.44918,824.3264,1811.63142
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",898961.98213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,60.8,0,,0,32.32973,32.32973,0,0,0,0,0,0,0,32.32973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,866827.746,7752.24003,24288.86637
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",874485.2411399999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.69265,318.69265,0,,0,288397.02689,276602.63912,276.19165,0,151687.472,813.01224,-23.91682,0,0,118074.87482,5775.00523,7253.27622,0,0,0,0,6590.35872,0,494.2112,0,168.7063,0,4050.17955,490.932,,577761.49754,1220.05172,6787.97234
1427,"Акционерное общество ""Московская акционерная страховая компания""",546400.55107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.42414,396.42414,0,,0,18331.06753,18331.06753,0,2.84035,17615.17682,0,10.31505,0,0,702.73531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,521755.32222,1436.83241,4480.90477
1587,"Акционерное общество ""Страховое общество ""Талисман""",11737.39483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11737.39483,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",159101.02738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,4211.59835,1607.04808,0,0,0,0,1236.23916,0,0,370.80892,0,507.5598,507.5598,0,507.5598,0,0,0,0,0,0,0,0,2096.99047,,153748.79234,341.9789,798.65779
1820,"Акционерное общество ""ГУТА-Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",329433.70128000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.92414,405.92414,0,,0,43405.10647,42357.00846,16019.84259,3.15537,0,0,2374.68736,0,0,22924.93704,1034.3861,341.21336,0,0,0,0,0,0,15.95907,0,325.25429,0,706.88465,0,,282301.03199,1043.46636,2278.17232
1858,"Акционерное общество Страховая компания ""Армеец""",67766.47368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,67766.47368,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",1718.99285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1718.99285,0,0
2239,"Акционерное общество ""АльфаСтрахование""",1574862.70062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,224308.93632,190357.28301,888.5453,0,41238.56363,0,0,0,0,148230.17408,0,11487.98919,0,0,0,0,9083.09825,0,0,0,2404.89094,0,22463.66412,0,,1335492.00775,4790.7972,10270.95935
2346,"Акционерное общество ""Объединенная страховая компания""",100063.43674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.24347,1887.24347,0,,0,13281.77248,12236.03472,8680.07802,0,1184.10398,135.97061,997.02743,0,0,1223.74339,15.11129,1045.73776,0,0,0,0,0.03875,0,0,0,1045.69901,0,0,0,,84894.42079,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",56256.00176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.21207,198.21207,0,,0,46231.59128,46231.59128,45777.21526,0,4.97401,0,13.55805,0,0,367.43533,68.40863,0,0,0,0,0,0,0,0,0,0,0,0,0,,7629.53572,484.7702,1711.89249
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",1794.55144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0,,0,304.80556,304.80556,0,0,0,0,304.80556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1477.74588,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",717.67687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,717.67687,0,0
2708,Акционерное общество «Баланс Страхование»,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",14482.6903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7520.32501,0,0,,7520.32501,3966.46509,3966.46509,0,0,2.42083,0,3.55999,0,0,3960.48427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,535.3526,2460.5476
3064,"Акционерное общество ""Боровицкое страховое общество""",563.46675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,563.46675,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",907892.81091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6532,3.6532,0,,0,21311.96928,9048.58747,0,0,0,0,0,0,0,8994.96965,53.61782,94.45973,0,0,0,94.45973,0,0,0,0,0,0,12168.92208,0,,881967.86613,1112.1674,3497.1549
3229,"Акционерное общество ""Страховая бизнес группа""",6974.53255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,482.56438,2.49124,0,0,0,0,2.49124,0,0,0,0,480.07314,0,0,0,0,0,0,0,0,0,480.07314,0,0,,5427.95519,310.11991,753.89307
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",6.65195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,6.65195,0,0,0,0,0,0,0,0,0,0,6.65195,0,0,0,0,0,0,0,0,6.65195,0,0,0,,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",10976.45821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,743.74861,743.74861,0,0,0,0,707.89095,0,0,35.85766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8842.10163,293.296,1097.31197
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",27929.66318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.51918,113.51918,0,,0,8047.73341,5582.66243,0,0,5492.8017,89.86073,0,0,0,0,0,2465.07098,0,0,0,0,1686.15594,0,0,0,778.91504,0,0,0,,0,5529.77335,14238.63724
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",1415.81813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,107.76575,107.76575,0,0,0,0,0,0,0,107.76575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1308.05238,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,1875.6659100000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1268.85534,1268.85534,0,0,0,0,0,0,0,1268.85534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,606.81057,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",57831.60381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57831.60381,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",-41961.99483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.53801,0,0,,117.53801,-42079.53284,-49240.54831,112086.53864,0,0,0,9976.84434,16632.24394,0,-187936.17523,0,7161.01547,32.84447,32.84447,0,0,0,0,0,0,7014.6937,113.4773,0,0,,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",266998.59857000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,40189.77356,37907.58917,0,7.65454,0,258.30282,360.65823,0,0,37280.97358,0,397.15865,0,0,0,0,209.94173,0,0,0,187.21692,0,1885.02574,0,,220338.31523,1138.65378,5331.856
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",5399192.896719999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800355.91515,680050.47185,0,,120305.4433,4431090.77098,4186392.76077,991786.99994,2926.71226,1009184.76214,7250.44802,1161434.81978,615678.6518,566801.06094,395421.26677,2709.10006,56538.74988,4.65387,0,0,0,15938.42666,1123.72419,0,29617.16092,9467.54578,387.23846,0,188159.26033,,167693.52442,52.68617,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",15362.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,15362.807,1027.15714,0,0,0,0,616.29107,0,0,410.86607,0,0,0,0,0,0,0,0,0,0,0,0,14335.64986,0,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
