"Сведения о страховых премиях по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",1.9251,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.9251,1.9251,0,0,0,0,0,0,0,1.9251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",13550.06164,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,430.53058,430.53058,0,,0,10433.19656,10216.74867,1644.15182,0,58.33981,0,5235.05085,0,0,2547.25609,731.9501,173.99052,0,0,0,0,0,0,0,121.61308,52.37744,0,0,42.45737,,173.26623,224.41029,2288.65798
0928,"Страховое публичное акционерное общество ""Ингосстрах""",1332630.55901,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18813.61206,1166.90999,-2445.66,,17646.70207,1185699.69543,1009360.65508,20014.78529,0,226009.21924,91017.99914,117965.1812,514.09097,123.65328,553839.37924,0,161923.96305,3971.80697,3971.80697,0,0,117686.12966,0,352.1903,3884.51392,36029.3222,0,182.7808,14232.2965,,0,103625.5063,24491.74522
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",126617.08742000001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.43646,17.43646,0,,0,3472.6065,3114.85398,1514.625,0,0,0,523.01945,0,0,1064.55307,12.65646,353.53051,0,0,0,0,0,0,0,0,285.40299,68.12752,4.22201,0,,113721.6259,6877.95149,2527.46707
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",-298.60672,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50949,22.50949,0,,0,-321.11621,-335.99282,0,0,-336.172,0,0,0,0,0.17918,0,14.87661,0,0,0,0,14.87661,0,0,0,0,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",2538745.7527199998,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13757.77645,13757.77645,0,,0,1698098.02833,1526652.45,0,0,61647.43372,396086.80476,118706.31421,0,0,950103.79587,108.10144,70639.72412,0,0,0,0,5690.25287,1635.5156,66.09306,0,63247.86259,0,100805.85421,0,,755706.81609,40107.58403,31075.54782
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",1843850.6197100002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,187.25921,150.0466,0,,37.21261,23705.75728,20135.65193,158.37769,586.21457,0,760.04278,605.16489,0,0,13937.26668,4088.58532,2078.24701,29.55,29.55,0,0,0,0,744.49136,57.4625,1246.74315,0,1489.36806,2.49028,,1730044.51713,69446.23123,20466.85486
1216,"Акционерное общество Страховая компания ""Чулпан""",34642.00402,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,75.43562,75.43562,75.43562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25603.74712,6449.35169,2513.46959
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",538099.57372,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,247.39544,247.39544,0,0,0,0,0,0,0,247.39544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,491383.94984,33429.89025,13038.33819
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1051017.26505,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2286.23455,2286.23455,0,,0,710155.60691,600487.16986,1061.88964,893.03455,135904.83843,17870.41554,24149.05542,361.88909,0,419524.95055,721.09664,15350.59817,0,0,0,0,2462.95316,148.1501,96.11645,4596.86457,7724.45035,322.06354,86193.90102,8123.93786,,316018.89994,16310.19238,6246.33127
1427,"Акционерное общество ""Московская акционерная страховая компания""",469562.61519999994,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.97996,10.97996,0,,0,187475.78243,187024.8993,24,0,4102.81879,92.295,15511.38187,0,0,167260.39588,34.00776,450.88313,0,0,0,0,0,34.84607,0,118.0761,211.96096,86,0,0,,267739.31123,10851.77131,3484.77027
1587,"Акционерное общество ""Страховое общество ""Талисман""",1852.9493,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1852.9493,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",83565.23674,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.71089,89.71089,0,,0,14141.83587,12399.53453,0,0,0,0,4010.38524,0,0,7777.61201,611.53728,1126.44828,2.5,2.5,0,0,0,0,-8.78358,77.16987,1055.56199,0,0,615.85306,,58930.56301,6473.12099,3930.00598
1820,"Акционерное общество ""ГУТА-Страхование""",13874.78596,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,13874.78596,13874.78596,0,0,0,0,0,0,0,13874.78596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",282775.34573,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,503.12422,503.12422,0,,0,79295.55295,72356.19474,8047.83691,0,442.68357,0,7993.61667,2692.98691,0,51480.46697,1698.60371,4038.37678,0,0,0,0,0,0,1333.24943,81.60078,2623.52657,0,2453.6294,447.35203,,194883.13475,6107.21785,1986.31596
1858,"Акционерное общество Страховая компания ""Армеец""",36735.02959,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36735.02959,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",1426.4566,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1426.4566,0,0
2239,"Акционерное общество ""АльфаСтрахование""",2155759.2031900003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.12584,1193.12584,0,,0,681937.49432,558873.8694,0.56514,0,29305.99656,120310.8196,71.72035,0,0,409184.76775,0,87553.30416,0,0,0,0,837.37951,44.40753,0,0,86536.75108,134.76604,35510.32076,0,,1411612.91681,46495.98735,14519.67887
2346,"Акционерное общество ""Объединенная страховая компания""",60589.19222,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1679.69109,1679.69109,0,,0,14614.97654,14144.24112,6638.55989,0,323.40245,146.44421,2274.33052,0,0,3850.18288,911.32117,470.73542,131.94128,0,0,0,42.31044,18,0,16,262.4837,0,0,0,,44294.52459,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",7924.04983,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.67075,26.67075,0,,0,2032.35317,1351.27427,0,0,0,1044.93426,0,0,0,294.62622,11.71379,681.0789,0,0,0,0,0,0,0,0,681.0789,0,0,0,,0,4210.56358,1654.46233
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",10583.660319999999,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6119.91217,6119.91217,0,,0,1998.59061,1976.66103,0,0,0,0,1349.62373,0,0,510.43648,116.60082,19.37155,0,0,0,0,0,0,0,0,19.37155,0,0,2.55803,,2465.15754,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",4078.96107,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4078.96107,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",47831.85223,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,93.34978,17.805,0,,75.54478,40068.93145,38104.27597,52.48788,0,49.69773,0,4041.68729,5251.01582,5251.01582,28171.34246,538.04479,1829.70778,0,0,0,0,0,0,0,1.51952,1828.18826,0,115.3931,19.5546,,0,5611.94354,2057.62746
3064,"Акционерное общество ""Боровицкое страховое общество""",616.22342,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,616.22342,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",568511.2220399999,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,652.79972,652.79972,0,,0,54426.6077,47904.90432,1865.37948,0,10429.99159,2445.06839,2079.62395,0,0,30885.13429,199.70662,5665.42652,0,0,0,0,16.54598,1138.94859,0,65.73663,4444.19532,0,834.59619,21.68067,,501091.44513,9327.3635,3013.00599
3229,"Акционерное общество ""Страховая бизнес группа""",6386.822630000001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,2909.89013,2909.89013,350.08711,0,0,0,2530.40302,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1224.09434,1698.96411,553.87405
3300,"Акционерное общество Страховая группа ""Спасские ворота""",8728.77038,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,435.59275,434.53343,0,0,0,0,305.63404,0,0,119.68029,9.2191,1.05932,0,0,0,0,0,0,0,0,1.05932,0,0,0,,5753.00324,1827.006,713.16839
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",25003.382879999997,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,73.54747,-328.31325,0,0,0,0,0,0,0,-328.31325,0,401.86072,0,0,0,0,0,0,69.76757,0,332.09315,0,0,0,,0,15507.21495,9422.62046
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",6055.40112,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,3024.96733,3024.96733,0,0,0,0,2193.21112,0,0,831.75621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3030.43379,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,2596.78194,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2596.78194,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",23261.536790000002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,31.06692,25.10316,0,0,0,0,0,0,0,5.14982,19.95334,5.96376,0,0,0,0,0,0,0,0,5.96376,0,0,0,,23230.46987,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",455.80636,455.80636,455.80636,455.80636,455.80636,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",74519.47112999999,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3390.23155,-2559.19873,0,,5949.43028,71129.23958,76766.03253,37991.21794,19.16063,165.79297,853.28105,11579.61712,-45.12207,0,26202.08489,0,-5056.3381,-2008.19224,-402.52552,0,0,-0.67525,0,0,0,-3559.81261,512.342,0,-580.45485,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",77048.39536,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,77048.39536,23911.4524,0,0,8838.97755,2691.50042,145.37979,0,0,12235.59464,0,19765.69712,0,0,0,0,95.91225,0,0,314.17382,19355.61105,0,33266.67908,104.56676,,0,0,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",15948870.728,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,600568.36047,597046.70081,0,,3521.65966,15212366.72135,12133373.43743,302485.10929,9726.08139,514219.42409,1398707.18884,275251.87843,683147.97001,435394.75768,8896672.07611,53163.70927,1534779.43809,658.39747,0,0,0,80447.59575,67467.7518,0,475349.71399,904376.37804,6479.60104,143364.7516,1400849.09423,,135935.64618,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",194492.55638,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,194492.55638,157230.30151,1865.754,2699.93999,0,8918.45211,11913.55829,0,0,124990.28409,6842.31303,9758.78119,0,0,0,0,0,1133.57169,0,0,5500.8655,3124.344,23229.99663,4273.47705,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
