"Сведения о страховых суммах по договорам страхования, действовавшим на конец отчетного периода, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0013,"Общество с ограниченной ответственностью ""Страховая компания ""РЕСО-Шанс""",18444800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18444200,200,,,,,,200,18444000,,18444000,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0141,"Страховое Акционерное Общество ""Медэкспресс""",179306975.91968998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175501742.98358,12136710.4,,,,12042037.4,,94673,163365032.58358,321886.78,161126696.20358,1916449.6,3805232.93611,3686032.93611,945748.725,945748.725,,,,,,,,,,,,,,,,,,,1883771.77739,,,1883771.77739,856512.43372,,,856512.43372,119200,53000,53000,,,,,,,,,,,,,,,66200,,,,,66200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0191,"Акционерное общество ""Тинькофф Страхование""",1925241590.1886702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059729145.24253,1059729145.24253,456660754.649,,,,,603068390.59353,,,,,865512444.94614,486555427.16725,267698682.11045,267698682.11045,,,,,,,,,,,,,,,,,,,,,,,218856745.0568,132502922.261,,86353822.7958,18919235.676,8279740,8279740,,,,,,,,,,,,,,,10639495.676,,,,,10639495.676,,,,,,,,,,,,360037782.10289,8593983.07412,,351443799.02877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",148625512.37941998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50213016.67316,3544027.72414,,,,666850,,2877177.72414,46668988.94902,519680.9383,2584941.9114,43564366.09932,98412495.70626,23174252.43465,338115.89688,221756.9084,116358.98848,,3282264.32175,,,,56695.4517,,,,,,,,,,,,15327900.36567,,107851.115,15220049.25067,4169276.39865,986605.015,66696.163,3115975.22065,75238243.27161,1000,1000,,,,72428300,,,,3300,,,3300,133407.06102,,133407.06102,2662736.21059,2081931.86,,1000,5000,574804.35059,9500,,,,,,,,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0212,"Акционерное общество Страховая компания ""Цюрих""",2331856124.23071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287099.688,1287099.688,,,,,,1287099.688,,,,,2330569024.54271,1752689132.03964,,,,,,,,,545848755.53436,,,,,,,,,,,,1206840376.50528,,224077014.01808,982763362.4872,,,,,136401119.93983,23200000,23200000,,,,,,,,,,,,15072470.43142,15072470.43142,,98128649.50841,13722083.98069,,,,84406565.52772,,,,,,,,,,,400164341.47875,41314431.08449,,,41314431.08449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0290,"Акционерное общество Страховая компания ""Альянс""",18694237154.87382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899861315.35176,56775270.87536,,,30410000,,,26365270.87536,843086044.4764,843086044.4764,,,1831331759.52206,1231533417.77656,3911067.9295,3911067.9295,,25911676.8534,,7079854.58419,7079854.58419,,115457612.92953,,,,,,,,,,,,1035139669.62306,500000,269543677.17544,765095992.44762,44033535.85688,869776.37324,,43163759.48364,152576857.4208,30951405.166,30951405.166,,,,1844590.011,,,,7575302.65481,,,7575302.65481,24514488.01,,24514488.01,87691071.57899,1220566.22505,,,,86470505.35394,,,,,,,,,,,76709698.13502,370511786.18968,,,370511786.18968,,,,,,,,,,8950000,8950000,,,,15954094080,,,,,,,15954094080,,,,,,,,,,,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",13639006.3546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290135.51691,329659.52271,,,,1900,,327759.52271,9960475.9942,,,9960475.9942,3348870.83769,2701987.41177,16481.00068,16481.00068,,,,,,,,,,,,,,,,,,,2062609.30034,,,2062609.30034,622897.11075,,,622897.11075,224545.99,1500,1500,,,,,,,,,,,,,,,15900,,,,,15900,207145.99,,,,,,,,11000,196145.99,,422337.43592,118487.6,,303849.83592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",246127779.9591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106812305.15446,65511526.90163,,,,,,65511526.90163,41300778.25283,,10422794.77433,30877983.4785,139315474.80464,112834116.51962,17631567.1975,17631567.1975,,,5700,29646.74256,,29646.74256,12817155.30756,3147083.92541,3024464.17641,2986552.7173,,37911.45911,,122619.749,122619.749,,,,59747596.07623,,5313577.6638,54434018.41243,19455367.27036,4189441.20683,77842.09854,15188083.96499,20868311.55514,3883061,3883061,,,,63793.27984,7759270.696,,7759270.696,12000,,,12000,317618.1611,,317618.1611,8502668.4182,2688019.36235,,1636100,,4178549.05585,329900,,,,,,,,83000,246900,,5613046.72988,,,5613046.72988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",136255947.72161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9563892.65739,9563892.65739,,,,,,9563892.65739,,,,,126692055.06422,40388683.89194,,,,,,11368648.16822,11368648.16822,,538739.10581,,,,,,,,,,,,26773241.84349,,,26773241.84349,1708054.77442,1708054.77442,,,85925962.03054,,,,,,,84036522.03054,,84036522.03054,,,,,,,,1889440,,,,,1889440,,,,,,,,,,,,377409.14174,,377409.14174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0448,"Страховое Акционерное Общество ""Геополис""",413789.15467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396760.46604,396760.46604,,,,,396760.46604,,,,,,,17028.68863,6245.05363,,,,,,6245.05363,10783.635,,,10783.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0518,"Акционерное общество Страховая компания ""БАСК""",61967117.64501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11081675.48861,4085945.35375,,,,,,4085945.35375,6995730.13486,,,6995730.13486,46430442.1564,42716048.5054,3169724.66276,3169724.66276,,,,,,,1296381.76272,,,,,,,,,,,,37886671.1628,,,37886671.1628,363270.91712,334493.073,28621.85412,155.99,3640678,2000,2000,,,,,,,,,,,,,,,3638678,,,13000,,3625678,,,,,,,,,,,,73715.651,,,73715.651,,,,,,,,,,4455000,4455000,,,,,,,,,,,,,,,,,,,,,,
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",7860137.2086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835259.01618,3679829.01618,,,,,,3679829.01618,155430,,,155430,4024878.19242,3740603.19242,3719103.19242,3719103.19242,,,,,,,,,,,,,,,,,,,,,,,21500,,,21500,284275,284275,284275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",51929773.89879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18557059.26123,13188167.65997,48846.898,,,,,13139320.76197,5368891.60126,,411380.39667,4957511.20459,33372714.63756,33166037.00356,10305771.322,10305771.322,,,,7406,,7406,225431.97091,31924.764,,,,,,31924.764,,,31924.764,,6965389.27337,,,6965389.27337,15630113.67328,6482257.8233,4121282.79607,5026573.05391,206677.634,19700,19700,,,,,,,,,,,,,,,186977.634,,,,,186977.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0621,"Страховое акционерное общество ""ВСК""",1448054791626.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8506902404.32107,4275406956.88468,1000695123.70158,205908,3234000,1806398405.51198,,1464873519.67112,4231495447.43639,,2936613948.23727,1294881499.19912,10444895821.8168,9232792886.55961,932202159.39453,932202159.39453,,152136480.62593,50090173.13595,108273020.05039,108273020.05039,,191473854.35989,34297563.85659,21009326.46613,5427312.95931,,15200714.52379,381298.98303,13288237.39046,1862454.30864,,11067561.70686,358221.37496,6292041067.42992,504908614.60863,3319385846.4309,2467746606.39039,1472278567.70641,1358872893.91485,113405673.79156,,953839546.58814,83252840.115,83252840.115,,,,85301428.43246,264780736.24946,264780736.24946,,33016196.43129,616284.9005,,32399911.53079,35944312.31405,35944312.31405,,451075387.34928,197221445.49836,5354810,26412245.005,4599175.216,217487711.62992,468645.6966,,,,,,433872.87185,,9500,25272.82475,92032951.03913,166230437.62994,,30231.297,166200206.33294,,,,,,,,,,466790000,347680000,30540000,8430000,80140000,1428636203400,27727861275,331887375,27395973900,371142000,118665000,252477000,381333825,5728158000,5722631775,5526225,1280483854050,39515020125,93834174550,93047786750,1054086872625,83374049250,30569805000,
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",79517837069.52803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136143362.05392,85556594.38892,,,,,,85556594.38892,50586767.665,29117537.365,,21469230.3,191210419.47411,176669408.19809,77669008.11526,77669008.11526,,2949149.609,,92693.8905,,92693.8905,27599603.98715,,,,,,,,,,,,34279855.03804,,,34279855.03804,34079097.55814,7163017.02776,,26916080.53038,3518791.58374,1227600,1227600,,,,,,,,,,,,78250,,78250,1761891.58374,,,,,1761891.58374,451050,,,,,,,,451050,,,11022219.69228,,,11022219.69228,,,,,,,,,,31175000,31175000,,,,79159308288,,,,,,,,,,,79159308288,,,79159308288,,,,
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",251031511.20683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173863649.35898,104423805.35505,43953.474,,,110513,,104269338.88105,69439844.00393,34847430.16993,30699300,3893113.834,77167861.84785,59886161.98828,,,,,,,,,1872922.95672,,,,,,,,,,,,17490173.08649,,,17490173.08649,40523065.94507,757747.97324,809273.27205,38956044.69978,15610673.04781,,,,,,,,,,1648421.56587,1648421.56587,,,,,,13168295.94403,,,,,13168295.94403,793955.53791,,,,,,233955.53791,,,560000,,1671026.81176,2220,,1668806.81176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",21171447.11746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7960,7960,,,,7960,,,,,,,21163487.11746,21163487.11746,253123.236,253123.236,,,,,,,,20831698.355,20831698.355,20684680.706,,147017.649,,,,,,,78665.52646,,,78665.52646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",88087945148.52942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288518305.57093,264924946.62259,,,,,,264924946.62259,23593358.94834,,21284258.94834,2309100,1630767386.95849,1412165405.12174,21586975.23426,21586975.23426,,854967.84752,209936,852970.36209,,852970.36209,222026919.61255,,,,,,,,,,,,864612043.57039,374476792.30462,87342980.60316,402792270.66261,302021592.49493,20987723.1417,2692992.50596,278340876.84727,99592724.61161,5796455.84908,5796455.84908,,,,118980.091,3413347.8504,,3413347.8504,2484398.10847,2484398.10847,,,4720795.53322,501527.04535,4219268.48787,82819296.94854,10972029.17983,,1283350.001,41600,70522317.76771,239450.2309,,,,,,154900.2309,,84550,,2277076.46062,116732180.76452,62651362.103,39767.312,54041051.34952,,,,,,,,,,21440000,10410000,160000,400000,10470000,86147219456,,,,10444800,,10444800,6803456,702441472,643145728,59295744,83261216768,1727457280,13434836992,34784808960,33314113536,2166312960,,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",5770210891814.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700958843.18607,1804622318.72462,2184548.2397,3119191.419,248147200.2394,7309800,,1543861578.82652,3896336524.46145,245755804.31571,2305174222.75884,1345406497.3869,99082203046.3379,40938014027.0262,1747433402.08401,1747433402.08401,,94365378.10446,1359645235.18599,980261442.27151,951253525.24485,29007917.02666,6286509178.86012,10724057.84842,3976765.76067,2060293.8384,,1916471.92227,,6747292.08775,,,6747292.08775,,27509090802.1554,,2843844951.31983,24665245850.8356,2949984530.51629,1365761906.05844,147404506.33244,1436818118.12541,55101895657.4541,328160816.86978,328160816.86978,,,742926,26184338011.3822,25965325721.787,25828068273.801,137257447.986,468221416.16399,5968002.164,355612.95,461897801.04999,293220878.07827,6198947.74,287021930.33827,1859970612.36393,359967190.82394,26176800,51761560.3,9422033.7015,1412643027.53849,1915274.80895,,376953.97055,,,,,,966500,571820.8384,48214452.71668,2994078909.14089,1058148.12109,,2993020761.0198,,,,,,,,,,577635000,404855000,32930000,12850000,127000000,5664850094925,50322149100,502200000,49819949100,564235875,490047975,74187900,501238125,5841570150,5798816325,42753825,4091924816325,159411373650,698398983675,235008754650,2999105704350,790422939900,723972479850,1300665600
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",157049641685.84802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597877797.2685,500037808.9618,179189276.738,,,15078160.65167,,305770371.57213,97839988.3067,8311248.1067,62894180,26634560.2,2953601400.57953,849174684.67793,149306672.6763,149306672.6763,,566558.8139,,,,,5111143.9113,320252.46327,,,,,,320252.46327,,,320252.46327,,340957261.92703,,138323011.91958,202634250.00745,352912794.88613,311397433.15987,8772685.79904,32742675.92722,129348554.93274,7201230.22786,7201230.22786,,,,,,,,3187197.27862,3187197.27862,,,2237945.5,2223945.5,14000,114131778.55006,73224348.2996,,2900411.107,177130,37829889.14346,2590403.3762,,,,1598901.105,,,,122500,869002.2712,547559.87165,1974530601.09721,1954767403.17448,,19763197.92273,,,,,,,,,,41715000,24620000,765000,1590000,14740000,153456447488,,,,,,,20043776,653993984,653547520,446464,152782409728,9806944256,49215500288,8851113984,84908851200,,,
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",508629292.21099997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264912959.459,40220737.467,210786.428,,,,,40009951.039,224692221.992,,,224692221.992,243716332.752,105604623.467,10554261.583,10554261.583,,,4637102.551,652.7,,652.7,1751342.065,,,,,,,,,,,,52721078.445,,4492379.901,48228698.544,35940186.123,190216.106,,35749970.017,111365058.43,618200,618200,,,,102695044.822,,,,,,,,7348863.608,,7348863.608,,,,,,,702950,,,,,,,,335050,367900,,26746650.855,6062.799,1831318.808,24909269.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",13535730650149.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43408427668.9993,13993061793.7017,950115456.6389,14693739.47761,170925000,8920206348.44112,100435.26895,3937020813.87507,29415365875.2977,,28299828131.3667,1115537743.93102,158415128360.386,117106832584.86,1133198735.97524,800795773.52633,332402962.44891,1038995733.03409,1598156905.13349,275886582.36437,272473407.41047,3413174.9539,30806728483.3086,8717693.14792,2891404.53152,,,2891404.53152,,5826288.6164,,,5826288.6164,,79189392034.352,,13118804667.5001,66070587366.8519,3055756417.54466,121754291.89678,2324.97,2933999800.67788,36089701081.5448,111439066.44921,111439066.44921,,,425000,22348015341.129,9461282670.60095,9440039968.76875,21242701.8322,781115856.68921,1072506.61642,1881013.04334,778162337.02945,603535906.84758,469891179.37264,133644727.47494,2777249474.1447,244474464.21188,2641525,6103150.001,3371301.001,2520659033.93082,6637765.68415,,622000,1132000,,5500,48428.2117,,109500,4720337.47245,3871637971.14261,1346956722.83838,559114026.3752,4796.1,787837900.36318,,,,,,,,,,821505000,569495000,116030000,60440000,75540000,13333085589120,1614952923408,365067050304,1249885873104,3417609008,2509670944,907938064,52713056,3591551568,3579350896,12200672,9166397694784,170959524032,1488458052224,202977143600,7304002974928,568977286240,1975695811056,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",505070111591.2463,4417422.7134,158312.97251,8911.10113,,,,,,,,,,,,,77.22439,,,,,77.22439,8833.87674,,,,,8833.87674,,,,,,,149401.87138,,,,,,,2838,,,,,2838,144949.4851,,,,,144949.4851,1614.38628,,,,,1614.38628,,,,,,,4259109.74089,205631.79437,,,,,,,,,,,,,205631.79437,,,,,205631.79437,,,,,,,,,,,,,4053477.94652,,,,,,,,,,,,,4053477.94652,,,,,4053477.94652,,,,,,,,,,,,,39437.26112,39437.26112,,,,,39437.26112,,,,,,,8384611763.07734,2191440473.86186,189036.306,167197.5,10622000,1130317321.71724,,1050144918.33862,6193171289.21548,471287046.49,3967077195.18238,1754807047.5431,11946643218.1944,9654126179.96361,1309742315.84389,1309742315.84389,,839636995.63504,610281.6873,124680.99154,124680.99154,,1092199329.68245,3621759.7332,,,,,,3621759.7332,,,3621759.7332,,3578828558.24338,,1024915486.36392,2553913071.87946,2829362258.14681,795773534.60184,346735857.88337,1686852865.6616,1029163455.03255,234348116.3,234348116.3,,,60000,22181.84366,496675.7,216432,280243.7,44492777.24828,4317900,,40174877.24828,93064012.33155,93064012.33155,,632610966.04746,118257637.20162,7946300,63241901.31,7453861.902,435711265.63384,24068725.5616,,,,,,,,229000,23839725.5616,956365979.36789,306987603.83038,32143.32843,7824843.72182,299130616.78013,,,,,,,,,,388825000,225800000,13785000,6100000,143140000,484345574750,34350682500,,34350682500,,,,80595000,567038475,553948875,13089600,442937931275,24270282875,122093588250,66139632675,230434427475,,6409327500,
