"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
0191,"Акционерное общество ""Тинькофф Страхование""",8621991.939720001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3857857.46933,3857857.46933,0,0,0,4764134.47039,4456078.42342,3705548.28527,0,0,0,0,0,0,0,750530.13815,10096.38997,3604.56113,0,0,0,0,0,6491.82884,0,0,297959.657,,0,0,0,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",383175.90743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,311486.06634,19376.66894,0,0,298951.31435,71689.84109,66065.68422,16652.61669,0,-3799.37966,0,2387.02209,0,0,35574.17118,24625.67905,5624.15687,1.5,0,-2238.81873,0,8.5,603.52003,6021.19973,2871,0,0,,0,0,0,
0212,"Акционерное общество Страховая компания ""Турикум""",794862.94564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,794862.94564,626218.08363,0,0,0,0,73712.06548,0,0,558970.17876,0,66865.0797,0,0,0,0,0,29161.28899,38381.29071,0,77257.64981,24522.1325,,0,0,0,
0290,"Акционерное общество ""Зетта Страхование""",468238.99847999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,48233.44504,44406.43222,2341.25603,0,3827.01282,414447.46397,326592.73532,0,47.9892,0,0,141547.49398,0,0,175416.03229,9581.21985,68171.45389,0,0,0,0,0,17247.83831,50923.61558,0,10089.56938,9593.70538,,0,3401.63524,2156.45423,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",88380.41298000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,78369.6,0,0,0,78369.6,10010.81298,0,0,0,0,0,0,0,0,0,0,272.4125,0,0,0,0,0,0,0,272.4125,0,9738.40048,,0,0,0,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",2638988.7945499998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,468919.89481,295794.69547,0,0,173125.19934,1398889.27343,1259444.31937,743009.74534,2172.72156,19,2478.07893,43133.49974,100336.55342,100311.93394,324374.38656,43920.33382,94817.49301,899.94895,0,434.9965,3961.4566,90.3,521.53217,86511.41769,2397.8411,0,44627.46105,,771179.62631,0,0,
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",621382.0938200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,352997.85193,352155.22693,0,0,842.625,268384.24189,192311.41812,0,0,384.43863,30557.94396,10514.36855,0,0,57910.79813,92943.86885,63295.11558,0,0,0,42067.08138,0,3135.266,18092.7682,0,0,12777.70819,,0,0,0,
0448,"Страховое Акционерное Общество ""Геополис""",4274.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4274.85,0,0,0,7056.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
0518,"Акционерное общество Страховая компания ""БАСК""",259976.87943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4989.56382,1642.61382,0,0,3346.95,10621.75381,10584.26581,9486.14804,0,0,0,0,0,0,120.488,977.62977,37.488,0,0,0,0,0,0,37.488,0,0,0,,244223.1643,142.3975,0,
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",507673.00239000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,89073.17066,60149.70264,0,0,24741.42387,108061.68807,106632.81973,25315.84846,0,0,0,770.15151,597.251,0,10179.57704,64780.52299,649.86834,66.50678,0,0,0,0,0,583.36156,0,0,779,,310538.14366,0,0,
0621,"Страховое акционерное общество ""ВСК""",80149135.62298001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17063547.14035,9840252.29565,1669.9548,0,7223294.8447,57123641.10742,49009533.97963,26366840.96239,87620.59081,1530078.06407,999597.8294,2531926.94756,359191.44262,314004.66308,6813033.50425,10321244.63853,2613022.73796,451254.75062,309.1074,28780.18691,635210.89633,193218.33887,142400.86373,1153591.13815,8257.45595,552244.81896,4948839.57087,,5666247.02332,175411.23133,120289.12056,
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",2409943.33256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,213802.40161,179202.91352,0,0,282219.81868,963427.95715,920371.58201,1239989.06588,2378.28525,0,2200.15871,371332.41924,0,0,55277.85229,69266.95493,3852.71869,2637.28262,0,0,0,0,315.9025,6413.03848,15417.5,0,39203.65645,,1192767.76661,15191.42335,24753.78384,
0667,"Общество с ограниченной ответственностью ""Инлайф страхование""",3113969.55027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3033887.0141,2947490.25726,0,0,86396.75684,80082.53617,62331.90944,0,0,0,0,0,0,0,9861.47653,52470.43291,12451.60098,0,0,0,0,0,3081.42811,9370.17287,0,0,5299.02575,,0,0,0,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",5717951.52831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1254904.24852,691190.3179,0,0,563713.93062,4436667.24238,4170064.49299,322596.78683,776.69091,5603.318,7533.36751,2652645.99869,0,0,780128.69362,400779.63743,176419.89328,3710.60139,0,468.26821,8446.82241,7924.1184,7702.72652,146046.33635,2121.02,395.20485,89787.65126,,18077.34979,4299.96948,4002.71814,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",92322036.39673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14729769.40958,6218693.9962,12317.88855,0,8511075.41338,62479071.59774,53058948.84315,31453413.25752,73408.7051,1088918.79835,1951642.48496,3875294.36595,159281.91471,132293.05027,9814652.56924,4642336.74732,5639787.77895,620750.01659,0,300746.84861,1783911.79632,418940.69145,604263.4955,1905083.05951,6091.87097,80625.46867,3699709.50697,,14745468.97729,214209.97486,153516.43726,
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",2261974.87587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,384943.27796,222732.51506,0,0,162210.7629,1877903.51485,1582524.14151,930519.91974,1004.45976,0,0,47923.66157,10124.64193,0,214385.35762,378566.10089,262187.49475,106452.67741,0,0,0,15435.28291,2902.70523,123672.64257,13724.18663,458.79065,32733.08794,,-871.91694,0,0,
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",1031823.36614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,580981.72997,453429.5321,0,0,471828.48436,450841.63617,248038.57843,348101.02608,0,37018.16955,10,57226.07809,0,0,117533.67787,90786.97589,155839.98088,1853.22533,0,42569.59141,0,0,160646.17196,0,8445.72591,0,46963.07686,,0,0,0,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",133925972.85592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,70176944.8437,59505893.31731,0,0,10671051.52639,59089989.54747,50068430.83159,15019919.95401,251590.03852,4870040.23381,459130.55934,798459.19931,45272.32796,27623.55095,21295457.9846,7328560.53404,4559931.89197,164913.4204,13.2,514451.757,106462.37968,331976.93136,98057.44301,3328662.9431,15393.81742,2166364.47948,2295262.34443,,4432425.78909,70052.90971,156559.76595,
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",110479351.04554,4650.27056,4437.42316,0,0,0,0,0,0,4437.42316,0,-36.43913,4473.86229,0,0,212.8474,0,0,0,0,0,0,212.8474,0,,212.8474,0,0,0,0,0,29587424.34956,9106815.47298,2310.5275,0,20480608.87658,49476300.41424,45543099.88049,33895036.08185,34854.53246,0,0,1119755.33863,19910.92284,5372.46688,3834722.99274,6638820.01197,1861564.83707,666593.68035,262.34662,228.1869,687.5773,254258.32219,48220.2258,738913.45972,152401.03819,158032.3329,1913603.36378,,31161507.15323,188493.81668,60975.04127,
1216,"Акционерное общество Страховая компания ""Чулпан""",184760.10706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,29222.93385,12567.36911,0,0,16655.56474,132609.38272,129089.12386,66357.69597,0,0,142.5,23337.60413,808.82679,0,13379.53779,25062.95918,3474.98588,301.752,0,0,434.2868,24.84,0,2714.10708,0,0,45.27298,,150.85532,2234.54248,20542.39269,
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",32297060.046509996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9135748.35058,3971684.71819,0,0,5164063.63239,19169091.46629,16071310.34125,14043071.42971,1452.8644,0,71950.75751,91454.80326,0,0,179177.68635,1684202.80002,282255.88377,141352.70368,0,0,210.82881,0,26333.90304,114351.04824,7.4,0,2815525.24127,,3941868.22068,18469.10806,31882.9009,
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",25715664.09679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2987693.66265,1304662.46138,4248.06395,0,1683031.20127,21885134.58371,19293971.22454,14871920.44764,34817.08691,56080.91174,320944.09641,838239.76146,806172.12762,759681.39906,1539260.61399,826536.17877,960815.19173,330132.15011,0,4497.5529,189807.34026,56170.30174,16318.69895,358659.8245,5229.32327,1081969.19931,548378.96813,,791107.43234,19270.64857,32457.76952,
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",1160448.60196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,817900.04732,5190.67545,0,0,812709.37187,342548.55464,340582.66383,159717.4065,0,0,0,178188.31584,0,0,2250.92589,426.0156,400.5515,148.4265,0,0,0,0,0,252.125,0,0,1565.33931,,0,0,0,
1412,"Акционерное общество ""Д2 Страхование""",1269594.22127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,886245.15992,854033.76741,0,0,78985.98533,383349.06135,230122.19868,240033.19729,0,0,0,368.70161,0,0,940.81476,42403.16011,9663.29142,0,0,0,0,0,0,9172.79142,806.45,0,143563.57125,,0,0,0,
1427,"Акционерное общество ""Московская акционерная страховая компания""",13388913.21977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3279560.7076,2302882.22708,0,0,976678.48052,5160053.57316,3039530.13321,2846085.01814,61418.77268,869.78,1712.9229,10549.39928,0,0,18257.22922,100637.01099,88308.29602,54661.38906,0,663.903,982.0601,92.86,632.69508,12406.17511,18869.21367,0,2032215.14393,,4917233.17841,6969.35197,25096.40863,
1580,Общество с ограниченной ответственностью «РБ Страхование»,821097.51008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,91520.83025,81857.73407,0,0,9663.09618,729576.67983,636273.57636,0,0,0,0,0,0,0,0,636273.57636,10642.64168,0,0,0,0,0,0,10642.64168,0,0,82660.46179,,0,0,0,
1587,"Акционерное общество ""Страховое общество ""Талисман""",10534.22341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,761.02482,761.02482,0,0,0,9303.47609,9303.47609,5578.3824,0,0,0,0,0,0,2423.91394,1301.17975,0,0,0,0,0,0,0,0,0,0,0,,469.7225,0,0,
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",44028.01451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,30330.54173,28474.87273,0,0,1855.669,13697.47278,10431.65836,0,0,0,0,0,0,0,0,10431.65836,0,0,0,0,0,0,0,0,0,0,3265.81442,,0,0,0,
1675,"Акционерное общество ""Совкомбанк страхование""",6369945.9476499995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1148360.56733,876528.56335,0,0,704870.39612,5219571.50371,4933680.51683,7057394.11689,1206.8753,0,39,193199.01227,0,0,314300.90668,147039.95323,159281.52498,70993.83065,0,0,0,38898.7566,7641.62626,63218.84934,47779.90528,9041.95732,117567.50458,,25.0721,955.3325,1033.47201,
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",13197847.50921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2512487.27241,1560991.58519,5497.5144,1464.658,951495.68722,9053085.14522,8577002.68925,4930501.69355,4208.39851,0,11476.98954,1556443.11859,206393.01938,193482.22202,1124757.14064,743222.32904,359200.8352,46841.00553,144,175.17622,15831.28175,31088.85699,10831.46304,247457.88215,6831.16952,33773.1805,83108.44027,,1518038.41655,59042.46297,55194.21206,
1858,"Акционерное общество Страховая компания ""Армеец""",577456.21228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,19748.09897,9070.98858,0,0,10677.11039,26491.03692,22391.25211,14090.98537,0,0,0,1.43741,0,0,862.23112,7436.59821,4089.73198,0,0,0,0,0,0,4089.73198,0,0,10.05283,,531217.07639,0,0,
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",1888097.3743399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,135752.46867,30681.91367,0,0,105070.555,254995.41892,128960.45092,103801.1191,0,0,0,14329.27381,0,0,4802.56402,6027.49399,125733.451,124110.455,0,0,0,0,432,1190.996,0,0,301.517,,1497349.48675,0,0,
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",316295.07866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,28630.78822,17226.56257,0,0,11404.22565,287664.29044,259775.37957,217657.04763,198.72,0,303.43,4243.9295,0,0,13787.3222,23584.93024,20667.17843,1176.96604,0,0,90.25,0,15200.87967,3574.78272,624.3,0,7221.73244,,0,0,0,
2239,"Акционерное общество ""АльфаСтрахование""",102107195.00651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,20016620.10704,10287732.8381,15335.17056,0,9728887.26894,68827628.59056,58480525.86256,33532692.62116,34771.08331,521493.80085,1413711.32908,1748461.14,1942351.56566,1885228.04136,6491624.85042,12795419.47208,4420561.79095,694841.02082,0,207149.81435,766013.98185,173945.36321,157843.66573,2400269.83268,20498.11231,762629.90177,5163911.03528,,13027284.25713,145387.93215,90274.11963,
2346,"Акционерное общество ""Объединенная страховая компания""",1142661.1927699998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,49629.36557,112615.02704,0,0,159576.34038,999559.08412,879726.36952,705548.20252,41.25,435,10516.08261,14075.66596,0,0,94871.67567,45677.49724,43878.1589,3724.74579,0,577.67353,3728.33514,18,6124.46194,29655.17184,141.77066,0,75954.5557,,93472.74308,0,0,
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",6672468.792389999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1742206.83421,1083321.74984,25358.7725,0,658885.08437,4789977.01808,3952324.24961,1178771.42991,1191.84551,0,317635.78752,820828.47802,189085.14228,188246.6333,1015815.63533,428995.93104,741666.34638,6469.08193,0,0,314602.19338,0,177140.47726,243454.59381,0,34327.56589,61658.8562,,77198.6691,3096.75283,59989.51817,
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",3809994.0052099996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1541918.08392,1391681.52487,0,0,150369.00212,1500761.16537,898787.54886,439981.46813,0,0,2138.622,7815.04447,14820.66968,13850.71694,199822.60519,255279.38887,572641.85763,560285.41841,0,0,88,0,1420.96177,17280.03817,84.721,0,29331.75888,,767314.75592,0,0,
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",3418793.18413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,875791.26461,875791.26461,0,0,0,2364104.39498,608173.85606,608173.85606,0,0,0,0,0,0,0,0,6883.17672,6883.17672,0,0,0,0,0,0,0,0,1749047.3622,,178897.52454,0,0,
2708,Акционерное общество «Баланс Страхование»,18486.34125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,741,741,0,0,0,17745.34125,10467.26291,0,0,0,2460.52342,8006.73949,0,0,0,0,7278.07834,0,0,168,7110.07834,0,0,0,0,0,0,,0,0,0,
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",53659.74602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,52378.77874,127.70468,0,0,52251.07406,1280.96728,31.72367,0,0,0,0,0,0,0,0,31.72367,201.0387,0,0,0,0,0,0,201.0387,0,0,1048.20491,,0,0,0,
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",889852.61727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,536054.41013,87901.5294,0,0,448152.88073,353798.20714,353658.95714,70771.36658,0,0,0,128505.32268,0,0,153667.82537,714.44251,139.25,0,0,0,0,0,8.75,130.5,0,0,0,,0,0,0,
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",2343026.84962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,832318.38854,819447.56226,0,0,13063.75,1510708.46108,939065.74682,187272.5206,6000.58919,0,0,689.27027,2389440.58888,2120031.87933,204211.54783,104098.13536,65410.5144,507,0,0,0,0,380.5,66141.19472,0,25057.60605,481174.59381,,0,0,0,
