"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",673888.6294,0,0,335516.90959,55504.50181,0,0,280012.40778,338371.71981,338110.58945,146130.39006,0,0,0,30293.5071,0,0,160774.10401,912.58828,261.13036,0,0,19.88036,0,0,0,241.25,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",4127436.1731499997,0,0,861416.0239,861416.0239,0,0,0,3266042.0115799997,2579852.64935,138929.53828,5410.4801800000005,0,75.20858,1021.31042,2181495.80051,1967498.06152,150426.94249,102493.36889,71093.03344,75,0,0,10.77055,0,680.6,70326.66288999999,0,22733.15349,592363.1753,,0,-21.86233,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",977378.18676,0,0,261358.20375999997,100790.15049999999,0,0,160568.05326,167775.603,141948.00017,91911.30192999999,0,0,0,32853.07884,0,0,16040.64626,1142.97314,25753.568189999998,0,0,0,0,0,366.25763,2354.40898,23032.90158,0,74.03464,,548244.38,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",-1366.2865800000004,0,0,3093.80356,-1079.02666,0,0,4172.83022,-4460.09014,-22376.33078,-757.3784,0,0,-19392.1888,0,0,0,-1941.2152199999998,-285.54836,16667.27612,0,0,0,-24533.01035,0,0,-161.92531,41362.211780000005,0,1248.96452,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",19886490.97418,0,0,3281399.68027,2865449.8504500003,0,0,415949.82982,6032034.28448,5629779.72373,4221605.0342500005,1147.63159,71092.19742000001,35964.56963,189865.63039,4624.10749,0,333060.40645,772420.14651,176192.79573,23223.68594,0,24537.965650000002,25130.85778,40087.226989999996,5731.77616,51945.500770000006,5535.78244,4800.18224,221261.58278,,10521854.41387,18777.78392,32424.81164,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",1228721.45693,0,0,13554.08266,11531.96743,0,0,2022.1152299999999,1215167.37427,1169661.7721600002,1168313.69528,0,0,0,0,0,0,1348.07688,0,45505.60211,45505.60211,0,0,0,0,0,0,0,0,0,,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",2344603.8078500004,0,0,196690.78941,13359.71644,0,0,183331.07297,2124192.2733400003,2011006.74081,215.2,1903.47,45.72994,114.99247,119544.87544,0,0,1887951.70715,1230.76581,111856.34928000001,0,0,67.058,3768.41546,0,11573.04126,95895.73823,552.0963300000001,0,1329.18325,,100.9381,6155.12037,17464.68663,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",52762.99848,0,0,49898.84004,322.84004,0,0,49576,2828.15569,2099.19489,127.56024,0,0,28.12238,150.63144,0,0,1131.90812,660.97271,728.9608,734.7,0,6,0,0,-11.5,-0.2392,0,0,0,,36.00275,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",540566.31946,0,0,300945.63971,39610.44551,0,0,261335.1942,231689.59986,227255.04129999998,32745.867130000002,0,0,1628.35819,163829.13327,0,0,5454.70611,23596.9766,3431.42294,38.012499999999996,0,0,367.65495999999996,0,34.5,2991.25548,0,0,1003.1356199999999,,7821.45989,109.61999999999999,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",2373303.14789,0,0,1655876.91414,702054.48555,0,0,953822.4285899999,717426.23375,579773.83755,64436.553270000004,-145.26699000000002,0,198684.85541999998,0,0,0,102859.80777,213937.88808,116327.55801000001,-0.6,0,0,0,86741.28552,0,29586.87249,0,10199.999,11124.839189999999,,0,0,0,0
3438,"Общество с ограниченной ответственностью ""ПРОМИНСТРАХ""",-850,0,0,0,0,0,0,0,-850,0,0,0,0,0,0,0,0,0,0,-850,0,0,0,0,0,0,0,-850,0,0,,0,0,0,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",87602820.39661,86477742.3286,0,1125078.0680099998,807193.67796,0,0,317884.39005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",2564264.73258,0,0,2226511.52604,2226511.52604,0,0,0,337753.20654,238206.57254,0,0,0,0,0,0,0,0,238206.57254,36549.915,0,0,0,0,0,0,36549.915,0,0,62996.719,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",4599499.724730001,4460832.5425700005,0,138667.18216,641.32178,0,0,138025.86038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",198334.846,0,0,198334.846,0,0,0,198334.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3594,"Общество с ограниченной ответственностью ""Международная Страховая Группа""",1567832.25613,0,0,160371.32764,63287.15836,0,0,97084.16928,1407460.92849,4,0,0,0,0,0,0,0,0,4,1407456.92849,0,0,0,0,0,0,0,1407456.92849,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",4945916.61859,4204106.8241,657014.8294,84794.96509000001,81764.17009,0,0,3030.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",128209304.24479999,127976268.84798,0,233035.39682,120855.32195,0,0,112180.07487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",4720431.59722,3144781.10715,0,1575650.4900699998,891334.02141,0,0,684316.46866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",881397.7768,0,0,315985.87174,315985.87174,0,0,0,565411.90506,164105.21947,143728.72889000003,0,0,0,230.25434,0,0,19446.526410000002,699.70983,400950.14479999995,2,0,0,0,0,0,400432.25439,515.89041,0,356.54079,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",689320.53917,0,0,147655.21836,13834.07634,0,0,133821.14202,541665.3208100001,73249.46259,10662.962529999999,0,0,0,29323.48601,0,0,29558.680200000003,3704.33385,426056.89428,253.3609,0,0,0,0,120.80000000000001,418945.37907,6737.35431,0,42358.96394,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",27889.435800000003,0,0,19.116,19.116,0,0,0,27870.3198,14282.609499999999,0,0,0,0,0,0,0,14282.609499999999,0,13587.710299999999,0,0,0,0,0,619,12968.710299999999,0,0,0,,0,0,0,0
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",26831.416999999998,0,0,0,0,0,0,0,26831.416999999998,0,0,0,0,0,0,0,0,0,0,4087.656,0,0,0,0,0,0,1522.8999999999999,2564.756,0,22743.761,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",9990100.21139,8900502.59645,55994.88342,1033602.7315199999,1026172.4202099999,0,0,7430.311309999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",51544846.534260005,51524235.5705,58.4764,20552.48736,20552.48736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
