"Сведения о страховых премиях по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0191,"Акционерное общество ""Тинькофф Страхование""",872886.23437,0,0,0,0,0,0,0,1178.33546,1178.33546,1016.21612,0,0,0,0,0,0,0,162.11934,0,0,0,0,0,0,0,0,0,0,0,0,0,,871707.89891,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",39083.82986,0,0,1657.92252,1657.92252,0,0,0,37425.90734,27905.65365,4102.06639,0,7941.2649,0,5.5776,0,0,12297.82997,3558.91479,9520.25369,0,0,0,0,8718.35235,0,0,80,721.90134,0,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",857913.39477,0,0,1510.00396,1510.00396,0,0,0,856403.39081,539585.64284,0,0,0,0,111259.48497,0,0,428326.15787,0,161627.61849,2442.30473,2442.30473,0,0,0,0,0,33746.17752,125439.13624,0,121627.23291,33562.89657,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",419962.45561,0,0,1644.45305,1644.45305,0,0,0,418318.00256,418282.93212,3023.53802,0,0,0,3384.17551,1186.09063,0,410026.56738,662.56058,35.07044,0,0,0,0,0,0,0,0,35.07044,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",1427534.1734500001,0,0,59022.08831,37703.9573,0,0,21318.13101,1363327.20861,492835.66796,8729.85522,3967.483,-439.39906,9680.646,134310.5675,0,0,329859.40876,6727.10654,104088.57613,12951.96099,12951.96099,0,0,-30684.78833,0,0,11114.16909,110707.23438,0,213002.84598,553400.11854,,0,3820.80582,1364.07071,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",-879839.1207300001,0,0,-3002.55665,-3002.55665,0,0,0,-876836.56408,-391091.31196,17.25567,0,-391709.95078,0,205.06577,0,0,129.20084,267.11654,-485767.81369,0,0,0,0,-485779.20925,0,0,0,11.39556,0,0,22.56157,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",101256.47096,0,0,0,0,0,0,0,54470.94918,54470.94918,9375.77667,0,0,0,6502.99792,0,0,38589.49884,2.67575,0,0,0,0,0,0,0,0,0,0,0,0,0,,46785.52178,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",10962.033,0,0,0,0,0,0,0,10962.033,8221.70134,0,0,0,-2917.72417,1934.73146,0,0,9204.69405,0,2740.33166,0,0,0,0,0,131.45551,0,0,2608.87615,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",61692.43175,0,0,27.66171,27.66171,0,0,0,26530.19817,23822.20917,2413.49805,0,0,0,3803.5332,0,0,17341.58905,263.58887,2643.354,0,0,0,0,0,0,0,0,2643.354,0,0,64.635,,19983.58405,15150.98782,0,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",4063.9543700000004,0,0,577.44982,577.44982,0,0,0,3486.50455,3417.2805,2068.35525,0,0,0,365.81988,0,0,373.67947,609.4259,0,0,0,0,0,0,0,0,0,0,0,0,69.22405,,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",43185.98614,0,0,2602.90183,2602.90183,0,0,0,24526.18214,24458.04187,11440.75015,0,0,25.01419,1562.63738,18.07929,0,4977.72913,6433.83173,68.14027,0,0,0,0,0,0,0,0,68.14027,0,0,0,,16056.90217,0,0,0
0621,"Страховое акционерное общество ""ВСК""",5220156.47909,0,0,56449.77312,32493.44039,0,0,23956.33273,2161715.37397,1766210.75084,10593.11766,3021.83518,242252.97808,204613.72763,140600.61452,158429.35754,135535.27644,997280.76351,9418.35672,378874.90594,10953.37748,3612.39068,7340.9868,42489.93665,19038.32362,42446.22665,37682.28744,34563.88381,191700.87029,0,15294.78781,1334.92938,,2671273.98829,212773.78967,117943.55404,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",159661.7288,0,0,8.3844,8.3844,0,0,0,38709.41027,38584.00178,5208.21178,0,0,119.78208,26973.92661,0,0,6170.28177,111.79954,125.40849,0,0,0,0,0,0,0,0,125.40849,0,0,0,,63564.43561,30629.7071,26749.79142,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",20204.3037,0,0,15357.45679,15357.45679,0,0,0,4846.84691,4827.40038,0.07491,0,0,0,2444.44971,0,0,2382.87576,0,19.44653,0,0,0,0,0,0,4.585,0,14.86153,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",164659.75742,0,0,551.78954,551.78954,0,0,0,131787.80965,111303.34023,11548.28711,0,395,2549.34557,30733.07272,0,0,57619.64061,8457.99422,20254.41294,0,0,0,0,69.50776,396.0642,3557.70526,0,16231.13572,0,-235.47784,465.53432,,18385.01471,8404.30973,5530.83379,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",18377497.30162,0,0,440466.91891,2015.15171,0,0,438451.7672,12741903.88396,9122302.84608,201259.06024,0,370570.83789,418318.75576,667842.52394,0,0,7464311.66825,0,2698939.14775,3328.10971,0,0,0,998845.81962,759459.66436,0,0,937305.55406,0,0,920661.89013,,4579461.83026,282549.86067,333114.80782,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",192389.71359,0,0,5561.58077,250.85503,0,0,5310.72574,3166.3718,-10947.33241,9266.9199,-42.19092,0,0,-2827.23546,-603.89237,0,-13634.3737,-3106.55986,12268.84282,7640.86042,13.21356,7627.64686,0,0,0,3911.7937,271.95778,265.4583,178.77262,1.40799,1843.4534,,145073.54777,18501.21551,20086.99774,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",217160.05786,0,0,19615.82353,19615.82353,0,0,0,197544.23433,147902.12306,98098.93753,0,6601.61127,0,5102.7434,0,0,35850.47138,2248.35948,47667.37416,0,0,0,0,46598.12957,0,0,53.2108,1016.03379,0,0,1974.73711,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",36916180.653850004,0,0,37663.8252,31736.21979,349.3828,0,5927.60541,33631530.59228,29051781.9531,2771666.31509,2337.71891,2724471.0484,604867.43569,99423.72208,17770.045430000002,14472.47135,22791236.48353,40009.18397,1693494.7857,6780.70659,0,0,0,357795.3249,113815.72258,316753.42401,238064.27885,659618.59174,666.73703,2871542.89921,14710.95427,,2311764.13033,592203.63335,343018.47269,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",3488986.96984,0,0,562816.09673,87672.37899,38.4318,0,475143.71774,1734319.32625,1208577.21396,38583.63935,991.53629,229.37668,0,203684.42509,5154.7555,0,959933.48105,0,253943.03087,33764.82104,9109.24932,24655.57172,0,0,0,7950.93985,162039.59911,35253.47184,14934.19903,177338.1307,94460.95072,,1033202.39598,121559.52516,37089.62572,0
1216,"Акционерное общество Страховая компания ""Чулпан""",73915.70608,0,0,24.37322,24.37322,0,0,0,7842.46216,7777.40652,6208.05693,0,0,0,0,0,0,1062.24814,507.10145,65.05564,0,0,0,0,0,0,0,0,0.05564,65,0,0,,31425.00323,16236.90822,18386.95925,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1864994.6981400002,0,0,370118.16855,328168.99174,0,0,41949.17681,271013.70789,418881.77519,102457.42952,0,0,14452.02879,34490.43611,0,0,227754.65782,39727.22295,35370.15267,1202.75095,1202.75095,0,0,0,0,0,6749.35408,27418.04764,0,0,-183238.21997,,1172602.48439,16059.18029,35201.15702,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1447734.1793999998,0,0,7933.33812,7933.33812,0,0,0,822486.3549,731447.72351,11274.89145,8926.81215,9025.44096,38025.77803,60039.92656,54017.06537,0,549991.62539,146.1836,48167.07707,11561.52616,0,0,0,1217.62392,24881.8247,61.54304,7134.34505,3292.93228,17.28192,42417.50072,454.0536,,524441.63458,56195.77781,36677.07399,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",29027.10429,0,0,0,0,0,0,0,29027.10429,29027.10429,122.4825,0,0,0,28476.04327,0,0,381.85285,46.72567,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",1377.32292,0,0,0,0,0,0,0,1377.32292,1349.6921,0,0,0,0,0,0,0,1349.6921,0,27.63082,0,0,0,0,0,0,0,0,27.63082,0,0,0,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",593409.42345,0,0,8853.56903,8853.56903,0,0,0,68611.50303,57277.26616,0,20951.90223,0,0,81.50929,0,0,30879.10407,5364.75057,10000.48129,0,0,0,0,0,0,9909.34129,0,91.14,0,0,1333.75558,,472176.39525,6894.1393,36873.81684,0
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",1082.83338,0,0,27.8126,27.8126,0,0,0,1055.02078,1060.62061,0,0,0,0,0,0,0,0,1060.62061,0,0,0,0,0,0,0,0,0,0,0,0,-5.59983,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",4085.05749,0,0,0,0,0,0,0,1650.85986,1637.07797,777.67695,0,250.13425,0,0,0,0,424.54798,184.71879,13.78189,0,0,0,0,12.34589,0,0,0,1.436,0,0,0,,2434.19763,0,0,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",-99.40901000000001,0,0,35.00426,0,0,0,35.00426,-134.41327,-134.41327,0,0,0,0,0,0,0,-134.41327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",651357.20302,0,0,7012.71781,6280.95765,0,0,731.76016,162404.72838,156466.51035,14272.07979,50.5111,0,2015.59356,14343.69163,0,0,110186.84659,15597.78768,7287.91234,0,0,0,0,0,664.12744,2308.68767,1047.87301,3237.28499,29.93923,0,-1349.69431,,477328.40056,2335.34141,2276.01486,0
1820,"Акционерное общество ""ГУТА-Страхование""",22109.23034,0,0,25.37734,25.37734,0,0,0,22083.853,22037.28602,1182.6472,0,0,236.65374,801.12934,0,0,19816.85574,0,46.56698,0,0,0,0,0,46.56698,0,0,0,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",664356.2596900001,0,0,32221.47904,32221.47904,0,0,0,399061.59144,378765.86312,114519.30807,0,3280.50784,0,66691.07805,1423.73755,-7.19991,177453.64228,15397.58933,19224.20361,2546.49194,2546.49194,0,0,0,0,10952.21483,0,5725.49684,0,0,1071.52471,,126113.02286,49750.98369,57209.18266,0
1858,"Акционерное общество Страховая компания ""Армеец""",-233465.60231,0,0,346.60217,346.60217,0,0,0,2294.77741,1591.98542,137.51927,0,0,0,-28.91186,0,0,1048.8592,434.51881,702.79199,0,0,0,0,0,0,0,0,702.79199,0,0,0,,-236106.98189,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",76275.17694,0,0,2159.76169,2159.76169,0,0,0,44220.29401,30738.28212,5505.28428,0,0,0,18695.1206,0,0,6474.1436,63.73364,12844.1693,8043.79932,286.09773,7757.70159,0,0,0,0,1337.16817,3463.20181,0,0,637.84259,,29895.12124,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",12762.474030000001,0,0,166.7198,166.7198,0,0,0,12595.75423,12087.15773,5235.72997,0,0,0,525.39347,0,0,5683.07284,642.96145,479.63512,0,0,0,0,0,0,0,78.02222,401.6129,0,0,28.96138,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",8088.49338,0,0,599.36582,599.36582,0,0,0,7489.12756,7489.12756,168.46408,0,0,0,0,304.67294,0,6409.68693,606.30361,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",141.5,0,0,0,0,0,0,0,141.5,141.5,-6.25,0,0,0,0,0,0,147.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",10387271.258129999,0,0,96109.66317,161740.08509,0,0,-65630.42192,8853922.79779,6483565.75112,113504.98655,12526.58074,665944.94591,237839.44418,310587.43502,358207.90657,327894.37017,4771639.76994,13314.68221,1668459.14122,40764.3569,0,40764.3569,0,469046.9862,63035.24001,41744.08649,67604.11015,985238.46463,1025.89684,634678.30479,67219.60066,,1156852.4366,158807.81833,121578.54224,0
2346,"Акционерное общество ""Объединенная страховая компания""",115765.2761,0,0,24976.61142,584.22608,0,0,24392.38534,16835.9836,15200.82636,2090.87258,0,0,1162.68023,143.45454,0,0,8636.35783,3167.46118,1635.15724,1294.26874,0,0,0,0,94,0,189.1285,57.76,0,0,0,,73957.41679,-4.65887,-0.07684,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",411516.62332,0,0,6979.34259,6979.34259,0,0,0,358232.39347,287000.12122,16884.15751,0,0,56393.8553,13357.56326,-858.2895699999999,-841.12426,193807.59955,7415.23517,67144.92744,64.758,64.758,0,0,0,28004.18883,0,26970.16834,12105.81227,0,4087.34481,0,,34093.84675,4678.01985,7533.02066,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",267529.13888,0,0,171.525,171.525,0,0,0,19811.59965,19621.0854,633.26962,0,0,378.61,2054.30417,0,0,13909.40573,2645.49588,190.51425,0,0,0,0,0,0,0,0,190.51425,0,0,0,,247546.01423,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",1984.44307,0,0,52.88346,52.88346,0,0,0,1931.55961,1383.24507,1383.24507,0,0,0,0,0,0,0,0,546.46356,546.46356,546.46356,0,0,0,0,0,0,0,0,0,1.85098,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",-16.57955,0,0,0,0,0,0,0,-16.57955,-26.63532,0,0,0,0,0,0,0,-26.63532,0,10.05577,0,0,0,0,0,0,10.05577,0,0,0,0,0,,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",43209.3544,0,0,525.19758,525.19758,0,0,0,42684.15682,42667.28182,759.34816,0,0,0,6193.14358,0,0,35675.43057,39.35951,16.875,0,0,0,0,0,0,0,0,16.875,0,0,0,,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",-91915.13485,0,0,1546.92758,1546.92758,0,0,0,-93462.06243,-87424.02633,0,0,-88244.63577,0,384.52236,0,0,0,436.08708,-6038.0361,0,0,0,0,-6038.0361,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",2244763.36811,0,0,958.91412,958.91412,0,0,0,2243590.72679,2234187.91672,116742.48441,1614.82712,0,868.0048,8741.71309,1732710.9351699997,1214428.66118,394063.60584,-20553.65371,5204.44417,0,0,0,0,0,0,0,385.93846,4818.50571,0,7435.40927,-3237.04337,,0,213.7272,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",75658.01818,0,0,0,0,0,0,0,1441.0478,1441.0478,0,0,0,0,831.23024,0,0,547.96975,61.84781,0,0,0,0,0,0,0,0,0,0,0,0,0,,74216.97038,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",14342.7824,0,0,747.47195,747.47195,0,0,0,13595.31045,13595.31045,-21.05,0,0,0,-294.94253,0,0,13911.30298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",2158363.35452,0,0,1538.65606,1400.84125,0,0,137.81481,584304.40962,509340.65998,14908.22882,0,32357.99376,8727.15577,21745.42468,0,0,431004.46089,597.39606,68692.03586,-6516.18813,0,-6516.18813,0,31622.99123,9826.08851,10210.77975,0,23474.8075,73.557,0,6271.71378,,1506951.36609,30810.54242,34758.38033,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",651.43527,0,0,0,0,0,0,0,651.43527,651.43527,651.43527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",260593.53126,0,0,0,0,0,0,0,242470.37754,223884.02639,100.465,0,0,-997.3084,7546.50857,0,0,216844.64385,389.71737,18586.35115,0,0,0,0,0,75.71441,0,225.25,18276.63314,8.7536,0,0,,0,4946.45813,13176.69559,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",-98284.42684999999,-11991.18159,874.4117,-87167.65696,-72905.40528,0,0,-14262.25168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",4584.18086,0,0,0,0,0,0,0,4584.18086,6026.25769,0,0,0,0,5968.87487,0,0,57.38282,0,-1442.07683,0,0,0,0,0,0,0,0,-1442.07683,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",94577.68475999999,0,0,6726.19246,6726.19246,0,0,0,79379.43974,67293.80375,16455.13122,0,0,1721.6542,42952.66843,0,0,3196.45464,2967.89526,12085.63599,24,24,0,0,0,10628.88577,0,-3.74006,1436.49028,0,0,0,,8107.56351,364.59158,-0.10253,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",569860.31668,0,0,911.6454,911.6454,0,0,0,568949.78774,459071.19715,0,38.57349,48348.69324,751.50589,26427.54358,0,0,383203.38215,301.4988,93964.9697,0,0,0,0,3791.01115,0,7748.971,-6201.1366,88626.12415,0,254.19543,15659.42546,,0,-1.11646,0,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",51627.23487,47698.99883,0,3928.23604,3928.23604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",2360.6509,0,0,2360.6509,0,0,0,2360.6509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",-37776.42611,-32033.21088,0,-5743.21523,-5743.21523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",412087.04406999995,410379.90325,0,1707.14082,563.45307,0,0,1143.68775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",60.08163,0,0,60.08163,60.08163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",36588.46663,0,0,0,0,0,0,0,36588.46663,524.46663,348.61955,0,0,0,175.84708,0,0,0,0,36064,0,0,0,0,0,0,0,0,36064,0,0,0,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",9912.59331,0,0,0,0,0,0,0,9912.59331,5617.12896,0,0,0,0,2853.70648,0,0,2494.24059,269.18189,4231.1896,0,0,0,0,0,0,0,0,4231.1896,0,0,64.27475,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",127.96786,0,0,0,0,0,0,0,127.96786,127.96786,0,0,0,0,0,0,0,127.96786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",183635.14602,2433.0637,0,181202.08232,163095.1287,0,0,18106.95362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",525.6863500000001,78.87951,0,446.80684,0,0,0,446.80684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",293665.17063,34526.85596,0,259138.31467,25153.34381,0,0,233984.97086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",678.05035,0,0,0,0,0,0,0,678.05035,678.05035,0,0,116.39355,0,561.6568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",1156552.5788,0,0,0,0,0,0,0,1144581.6537,1140699.24328,993.6,0,122093.87904,0,990341.91324,0,0,25549.56512,1720.28588,3882.41042,0,0,0,0,2927.85056,0,0,0,954.55986,0,0,0,,0,11970.9251,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",4133.88943,4133.88943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",71589.86002,0,0,14819.26064,14819.26064,0,0,0,56770.59938,41400.43962,8547.96578,0,25807.29969,0,14.34,88.48391,0,5616.74797,1325.60227,15353.84636,0,0,0,0,4302.42623,0,0,17.91882,11033.50131,0,0,16.3134,,0,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",167.67752,167.67752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",188875.89784,94633.77857,0,94242.11927,92196.9199,0,0,2045.19937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
