"Сведения о выплатах по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0235,"Акционерное общество ""Русское перестраховочное общество""",555081.4720899999,0,0,3139.61945,3139.61945,0,0,0,551941.8526399999,551855.20659,22607.24638,0,0,27.49211,1180.90583,8335.09505,0,517659.77077,2044.69645,86.64605,20.78884,20.78884,0,0,0,0,0,0,65.85721,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",31782.15915,0,0,654.04504,654.04504,0,0,0,11529.73874,5948.65988,0,0,4410.05312,0,0,0,0,1538.60676,0,528.57601,0,0,0,0,0,0,0,0,528.57601,0,5052.50285,0,,0,6766.85901,12831.51636,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",16564.10434,0,0,0,0,0,0,0,16564.10434,16564.10434,0,0,16564.10434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",83129.64541,0,0,0,0,0,0,0,25466.925,25466.925,0,0,0,0,0,0,0,25466.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57662.72041,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",14925.79257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14925.79257,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",14247.51839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14247.51839,0,0,0
0621,"Страховое акционерное общество ""ВСК""",951297.77125,0,0,707.58356,707.58356,0,0,0,676075.1947999999,650805.6785,2744.37608,0,218506.98792,109694.55229,6453.77084,0,0,313304.73554,101.25583,17796.763160000002,0,0,0,0,1.2,8335.64026,0,144.84177,9315.081129999999,0,7170.4843599999995,302.26878,,214506.69726999998,22240.65302,37767.6426,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",830.64555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,830.64555,0,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",5829.74892,0,0,5713.785,5713.785,0,0,0,115.96392,115.96392,0,0,0,0,0,0,0,115.96392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",31960.81481,0,0,2633.72281,2633.72281,0,0,0,11857.01294,10265.88665,5529.26326,0,1610.1717600000002,0,2156.02533,0,0,785.36054,185.06575999999998,1591.1262900000002,0,0,0,0,0,0,0,302.64556999999996,1288.48072,0,0,0,,8105.447270000001,3392.2249500000003,5972.40684,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",1932784.92324,0,0,12792.52143,10579.562109999999,0,0,2212.95932,1463478.2048199999,1414589.63698,29921.7975,3011.50414,592780.95096,119250.29366,32894.34884,14081.29992,0,622649.44196,0,48888.56784,2376.08693,2376.08693,0,0,39448.04651,0,1862.62773,1640.0054,3561.80127,0,0,0,,343583.51152,40088.16931,72842.51616,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",133119.1631,0,0,0,0,0,0,0,1999.12434,1980.83945,830.22237,0,0,990,2.9883599999999997,0,0,157.62872,0,18.28489,0,0,0,0,0,0,0,18.28489,0,0,0,0,,123777.8019,2640.5869900000002,4701.64987,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",178340.13551000002,0,0,28.506980000000002,28.506980000000002,0,0,0,178311.62853000002,163852.28305,1188.72705,0,139925.62326999998,0,7017.66096,0,0,15683.148340000002,37.12343,14459.34548,0,0,0,0,0,0,0,739.2607399999999,13720.08474,0,0,0,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1783611.61713,0,0,4556.10611,4556.10611,0,0,0,1228219.1727699998,1154924.30409,6003.30024,0,122009.56622,41398.11556,13169.54659,49945.07772,0,922398.69776,0,54462.49634,137.67339,0,0,0,72.53705000000001,0,4698.64471,0,49553.64119,0,6404.71432,12427.65802,,444610.08113,36059.52653,70166.73059,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",1998469.14122,0,0,85323.8711,199.54887,0,0,85124.32223,188312.84980999999,168046.53805,4357.47033,9.16267,7037.09876,7457.90224,49.433749999999996,207.84736,0,148364.65412000002,562.96882,1075.3333599999999,0,0,0,0,0,0,120.6989,0,954.63446,0,19073.8284,117.15,,1579243.57327,55156.49729,90432.34975,0
1216,"Акционерное общество Страховая компания ""Чулпан""",39610.30754,0,0,0,0,0,0,0,1177.55177,855.73325,0,0,0,0,855.73325,0,0,0,0,321.81852,0,0,0,0,0,0,0,321.81852,0,0,0,0,,27342.02647,4001.0993299999996,7089.62997,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",490284.21443000005,0,0,231,231,0,0,0,55.39396,55.39396,0,0,0,0,6.49186,0,0,48.9021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,426800.53898,23843.12734,39354.15415,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",553444.4324699999,0,0,518.71889,518.71889,0,0,0,266554.40937999997,171807.02045,159.86650999999998,0,45670.12261,93468.32596,902.21585,0,0,31606.48952,0,3931.96296,0,0,0,0,1927.92607,0,2004.03689,0,0,0,25338.97811,65476.44785999999,,270277.52206999995,6084.01177,10009.770359999999,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",279404.71622,0,0,0,0,0,0,0,10475.198199999999,7629.068679999999,0,8.12653,5372.59072,1283.59988,118.84481,0,0,755.12513,90.78161,2846.12952,0,0,0,0,0,0,0,0,2846.12952,0,0,0,,253274.6147,5943.56571,9711.337609999999,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",9248.255029999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9248.255029999998,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",33242.61831,0,0,0,0,0,0,0,8240.86404,5648.56051,0,0,0,0,0,0,0,5648.56051,0,2592.30353,2589.06955,0,2589.06955,0,0,0,0,0,3.23398,0,0,0,,21133.05587,1327.6833299999998,2541.01507,0
1820,"Акционерное общество ""ГУТА-Страхование""",1383.85089,0,0,0,0,0,0,0,1383.85089,1383.85089,0,0,0,1383.85089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",259799.28283,0,0,2260.97964,2260.97964,0,0,0,193170.78923,191696.40602000002,23862.95844,18.62179,9179.75442,4017.87826,2499.4231,2988.23983,0,148990.01787,139.51231,1474.38321,0,0,0,0,0,0,58.32264,0,1416.0605699999999,0,0,0,,51319.654720000006,4736.347559999999,8311.511680000001,0
1858,"Акционерное общество Страховая компания ""Армеец""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",744.34707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,744.34707,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",916674.70975,0,0,38.679230000000004,38.679230000000004,0,0,0,447627.44548,411876.63668,4845.63871,0,197109.01783,10792.73828,0,0,0,199129.24186,0,4578.03018,0,0,0,0,0,0,0,536.3642,4041.66598,0,31170.468849999997,2.30977,,404357.72845999995,22802.907900000002,41847.94868,0
2346,"Акционерное общество ""Объединенная страховая компания""",79194.73543,0,0,1258.7054099999998,1258.7054099999998,0,0,0,36107.28574,32067.452780000003,15735.540990000001,0,12939.06107,0,1281.1731399999999,0,0,2002.1243800000002,109.5532,4039.83296,99.23899999999999,0,0,0,0,0,0,0,3940.59396,0,0,0,,405.88048,41091.69772,331.16607999999997,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",297928.52986,0,0,57.32357,57.32357,0,0,0,278147.49542,275325.4575,248836.12991999998,0,8796.61233,10092.86391,7.94773,0,0,7437.5965400000005,154.30706999999998,2822.03792,0,0,0,0,295.00031,1977.1179000000002,0,74.74771,475.17199999999997,0,0,0,,15823.02511,1452.60885,2448.07691,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",1567.7544400000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1567.7544400000002,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",14343.943379999997,0,0,8426.78531,0,0,0,8426.78531,387.96899,387.96899,0,0,0.52726,0,45.87697,0,0,326.43449000000004,15.13027,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2133.68529,3395.5037899999998,0
3064,"Акционерное общество ""Боровицкое страховое общество""",222.76757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,222.76757,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",471955.19134,0,0,136.85651,136.85651,0,0,0,39919.24572,24010.8825,0,0,0,0,10.5825,0,0,24000.3,0,484.48428,0,0,0,359.07460000000003,18.136840000000003,0,0,0,107.27283999999999,0,15423.87894,0,,419813.08030000003,4393.24256,7692.76625,0
3229,"Акционерное общество ""Страховая бизнес группа""",9223.85341,0,0,0,0,0,0,0,1214.22406,32.30811,0,0,0,0,32.30811,0,0,0,0,1181.91595,0,0,0,0,0,0,0,0,251.12925,930.7867,0,0,,5060.2575,1084.61058,1864.76127,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",7604.31514,0,0,0,0,0,0,0,7604.31514,7418.393779999999,0,0,5191.7591999999995,0,7.0216899999999995,0,0,2219.61289,0,185.92136000000002,0,0,0,0,0,0,0,0,185.92136000000002,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",6683.65629,0,0,0,0,0,0,0,1179.2846299999999,1047.45831,0,0,0,0,1046.5841,0,0,0.87421,0,131.82632,0,0,0,0,0,0,0,0,131.82632,0,0,0,,2968.9202,1008.38878,1527.06268,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",97606.55765,0,0,2015.8971000000001,2015.8971000000001,0,0,0,3656.5693499999998,2759.70635,0,0,3702.68013,0,35.27523,0,0,-978.24901,0,896.8629999999999,0,0,0,0,0,0,0,401.95321,494.90979000000004,0,0,0,,0,35358.468790000006,56575.62241,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",9114.95882,0,0,0,0,0,0,0,3770.83593,3770.83593,0,0,0,0,0,0,0,3770.83593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5344.122890000001,0,0
3947,"Акционерное общество ""АИГ страховая компания""",225255.79411000002,0,0,0,0,0,0,0,222871.77933000002,125850.22145000001,0,0,0,0,36637.52239,0,0,89212.69906,0,0,0,0,0,0,0,0,0,0,0,0,0,97021.55788000001,,0,2384.0147800000004,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",28733.50347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28733.50347,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",1566653.00675,0,0,3279.8669299999997,482.53902,0,0,2797.32791,1563373.13982,1557121.65197,236048.46563999998,0,1370.15655,793.04353,10816.03922,207254.03683,0,1100839.9102,0,6251.48785,3432.80545,162.75654,0,0,0,0,0,0,2216.97996,601.7024399999999,0,0,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",227879.60611999998,0,0,0,0,0,0,0,177745.15313,165798.06638,0,0.5186299999999999,0.36000000000000004,0,74.86688,0,0,165722.32087,0,95.42662,0,0,0,0,95.42662,0,0,0,0,0,11750.90387,100.75626,,37887.26872,4181.47731,8065.7069599999995,0
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",7999288.03573,0,0,514447.33239000005,400322.52447,0,0,114124.80791999999,7400323.118749999,7096881.59485,879058.549,176.3508,191066.01176999998,69986.78284,97420.37848,97454.02937,16114.32529,5749614.83983,12104.65276,55453.00808,421.72019,0,0,0,6659.01983,487.66319000000004,0,32083.795530000003,14942.95558,857.85376,19.09012,247969.4257,,84054.90550000001,462.67909000000003,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",120468.91435,0,0,0,0,0,0,0,120468.91435,117091.76417000001,0,0,0,0,0,0,0,117091.76417000001,0,0,0,0,0,0,0,0,0,0,0,0,3377.15018,0,,0,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
