"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",96433.50275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48726.31043,48726.31043,0,0,0,47707.19232,20520.59247,0,0,0,1464.268,1174.25672,0,0,4777.22094,13104.84681,26527.52447,0,0,0,10957.47647,0,404,15166.048,0,0,659.07538,,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",1040.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040.1,0,0,0,1040.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",42278.19888999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972.48,359.702,0,0,612.778,2373.75531,2362.29531,2263.06021,0,0,0,0,0,0,0,99.235,11.46,0,0,0,0,0,0,11.46,0,0,0,,38879.00358,52.96,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",90541.88008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19073.73139,13665.39971,0,0,5408.33168,20317.08824,20005.43504,5458.62562,0,0,0,155.64277,179.67956,0,1936.40183,12275.08526,161.6532,22.14,0,0,0,0,0,139.5132,0,0,150,,51151.06045,0,0,0
0621,"Страховое акционерное общество ""ВСК""",18313835.82213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4147502.30203,2083099.02495,909.72,0,2064403.27708,12707145.47745,11058365.24614,5731687.93731,16879.97316,229937.58846,370413.29766,539150.75696,44169.39043,30697.03944,1736077.03274,2390049.26942,481695.62346,123942.82994,0,3086.76795,94965.63872,15257.65165,15286.79916,228868.03778,287.89826,266144.69203,900939.91582,,1367766.74684,68406.24856,23015.04725,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",526561.74624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43260.52376,40934.33846,0,0,68675.22339,197736.90008,189680.87955,240211.22857,723.5472,0,0,76166.48635,0,0,12809.87949,13570.92948,841.95768,565.70062,0,0,0,0,78.4025,2000.4597,4079,0,7214.06285,,280702.70828,2140.82314,2720.79098,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",641611.76742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620806.2706,590253.40943,0,0,30552.86117,20805.49682,15750.07535,0,0,0,0,0,0,0,3057.31919,12692.75616,3220.50179,0,0,0,0,0,927.54185,2292.95994,0,0,1834.91968,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",1383381.5044399998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278646.59909,153604.43395,0,0,125042.16514,1098825.92565,1040932.43095,96400.08551,148.86157,812.3555,764.38,697372.87397,0,0,163561.00092,81872.87348,37919.23889,601.14098,0,77.74,1427.66017,0,2311.49495,32915.60279,585.6,76.9178,19897.33801,,4301.00831,1009.47317,598.49822,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",19697049.036799997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3311074.55086,1456887.54426,3448.9016,0,1854187.0066,13113471.71568,11043269.40332,5593749.12579,22937.80419,277812.37452,446276.90577,601970.92486,15563.01445,9390.73065,3056392.39107,1028566.86267,1341672.55452,120529.41215,0,58027.46396,288069.00324,80635.42357,211779.09817,580759.43013,1872.7233,18148.3205,710381.43734,,3182359.29766,59440.99583,30702.47677,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",705903.07114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114455.83059,69698.21729,0,0,44757.6133,591898.29088,496295.59386,326273.44803,271.78,0,0,13751.18554,2920.85869,0,60032.5977,93045.7239,83286.00925,36833.00188,0,0,0,2026.39195,1128.31857,40048.36994,3249.92691,295.63506,12021.05271,,-451.05033,0,0,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",409142.43426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194749.00599,93612.32681,0,0,101136.67918,214393.42827,146749.12807,76498.31939,0,9343.85794,0,11583.26527,0,0,34946.3151,14377.37037,56186.40488,444.705,0,8978.30247,0,0,45697.47241,0,1065.925,0,11457.89532,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",41830008.594359994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26916853.94999,24971502.43361,0,0,1945351.51658,13820154.37328,11485835.92852,2889332.08482,63879.99161,1536567.01363,76317.15323,242979.22818,10877.66999,4124.76675,4629917.90094,2035964.88612,1286736.38548,23973.30044,0,121611.2562,49199.94075,32331.31103,30137.75197,1023764.91838,5717.90671,492936.46077,554645.59851,,1006534.31585,25489.39272,60976.56252,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",25624995.80447,1091.13066,1043.18248,0,0,0,0,0,0,1043.18248,0,0,1043.18248,0,0,47.94818,0,0,0,0,0,0,47.94818,0,0,47.94818,0,0,0,0,0,6940434.88686,1768381.24606,270.74437,0,5172053.6408,11221225.44867,10330126.38493,7808264.40419,3556.32378,0,0,233418.54987,5869.42545,0,1033002.25969,1246015.42195,423879.44594,164183.62024,0,139.6569,0,28758.08801,14985.27093,176187.6884,39625.12146,57242.92093,409976.69687,,7396756.29498,52974.28991,12513.75339,0
1216,"Акционерное общество Страховая компания ""Чулпан""",39350.04289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020.29058,5575.20654,0,0,4445.08404,27869.17897,27027.15532,18727.0186,0,0,0,0,252.4678,0,1144.002,6903.66692,813.90265,65.77999,0,0,0,5,0,743.12266,0,0,28.121,,176.72021,1163.3302,120.52293,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",6901803.23073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801892.32979,1022553.38031,0,0,779338.94948,4091055.55648,3417350.47574,2924924.96091,140.88,0,31407.27923,12275.99328,0,0,40301.93734,408299.42498,88296.43883,26023.91132,0,0,197.0504,0,15449.27341,46618.8037,7.4,0,585408.64191,,1002335.34415,4784.15785,1735.84246,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",4957994.97504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747320.98853,233922.46671,3642.2448,0,513398.52182,4060128.16112,3664293.13919,2944070.64843,8919.56061,5499.37204,55998.18192,108858.53437,114402.81885,98391.34495,264260.398,162283.62497,207201.04122,72585.29195,0,1237.55022,35706.35231,7141.79928,3854.74077,85617.34769,1057.959,117634.2681,70999.71261,,141757.50688,5892.77674,2895.54177,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",97733.92219000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68844.79265,787.33206,0,0,316706.17179,28889.12954,28353.98054,35362.66995,0,0,0,40648.33498,0,0,342.61424,64.13642,2.16,3.78,0,0,0,0,0,82,0,0,532.989,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",243220.15292999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150741.68281,136810.19687,0,0,24492.2221,92478.47012,50169.53786,38569.23591,0,0,0,0,0,0,55.515,14200.99525,2915.299,0,0,0,0,0,0,2855.299,60,0,39393.63326,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",3091535.8846199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608242.02492,539319.39179,0,0,68922.63313,1189349.24115,730251.26192,638404.60267,36924.80968,0,349.7473,2120.47588,0,0,12886.0705,39565.55589,17952.7457,10792.57231,0,173.7,0,127.03069,0,1981.04795,4878.39475,0,441145.23353,,1287446.06217,2336.12232,4162.43406,0
1580,Общество с ограниченной ответственностью «РБ Страхование»,198170.63258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16102.51786,16094.26239,0,0,8.25547,182068.11472,154895.27053,0,0,0,0,0,0,0,0,154895.27053,3153.695,0,0,0,0,0,0,3153.695,0,0,24019.14919,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",3941.94456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.63883,244.63883,0,0,0,3230.49981,3207.07981,1128.583,0,0,0,0,0,0,1703.04008,375.45673,23.42,0,0,0,0,0,0,23.42,0,0,0,,466.80592,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",8125.587879999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5869.21617,5491.70917,0,0,377.507,2256.37171,1488.34047,0,0,0,0,0,0,0,0,1488.34047,0,0,0,0,0,0,0,0,0,0,768.03124,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",1164512.50738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254395.02327,165165.09595,0,0,222628.27481,847982.30733,810681.55096,1188835.28687,181.32,0,0,36653.90753,0,0,50628.94324,24538.04251,27148.47599,15318.38214,0,0,0,919.57719,1339.80336,4052.65908,10749.83995,675.24064,9477.03974,,61424.62434,400.2325,310.31994,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",2841853.7414600006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569137.06143,352583.34788,980.42325,277.478,216553.71355,1882323.7135,1790963.64149,994972.5802,501.38066,0,1158.7568,375158.16393,3810.49352,594.63509,259591.83618,155770.4302,72644.29808,8833.2667,0,31.15,2361.64691,3581.67706,2261.83985,54985.17993,589.53763,2756.96896,15958.80497,,364281.83234,15498.92936,10612.20483,0
1858,"Акционерное общество Страховая компания ""Армеец""",163242.44203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6724.20047,2582.83695,0,0,4141.36352,5071.20378,4014.33882,2399.02664,0,0,0,0,0,0,228.93382,1386.37836,1053.39042,0,0,0,0,0,0,1053.39042,0,0,3.47454,,151447.03778,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",348253.55746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19611.44011,5545.1859,0,0,37270.407,9250.19128,6082.87128,18716.8726,0,0,0,1397.598,0,0,1665.92278,1155.2881,2887.32,19904.865,0,0,0,0,352,266.65,0,0,280,,319391.92607,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",69190.30277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6225.91314,4022.37807,0,0,2203.53507,62964.38963,56736.06385,48937.01976,0,0,0,1112.07987,0,0,3035.21373,3651.75049,4798.99203,264.00014,0,0,0,0,3755.74895,628.74294,150.5,0,1429.33375,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",23206002.25031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4643939.90848,2303121.07939,11178.49875,0,2340818.82909,15642336.6147,13702009.55904,6124066.19674,19196.81873,144417.89613,353256.4557,375626.55122,660985.21917,648046.55966,4109597.19206,1914863.22929,1125031.79784,138502.47549,0,14328.30083,191947.32888,11612.43548,69139.76357,692775.3073,6726.18629,299784.04274,515511.21508,,2864132.27198,40070.63073,15522.82442,0
2346,"Акционерное общество ""Объединенная страховая компания""",301841.20171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69714.28404,28282.75044,0,0,41431.5336,210850.21187,192340.59494,159813.40697,0,27,279.9019,2600.76377,0,0,21325.12084,8294.21293,6688.94504,707.57191,0,89.81556,131.83328,6,1762.68345,3889.04084,102,0,11820.67189,,21276.7058,0,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",1378535.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413571.96059,268550.22987,3381.77,0,145021.73072,918684.24756,741684.01959,221953.22752,0,0,53903.41601,185688.34384,5937.01953,5937.01953,202932.60427,71269.40842,155519.38984,1559.80269,0,0,53457.56736,0,48532.43794,51969.58185,0,5590.52134,15890.31679,,17330.28526,896.60938,28052.71321,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",669566.2583999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481444.36227,466173.98177,0,0,15270.3805,20319.42935,17483.95839,65732.47108,0,0,342.684,1964.00768,585.9095,0,22853.27816,31617.02327,524.46288,2436.11085,0,0,0,0,315.98677,5163.33624,14.69,0,2311.00808,,167802.46678,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",609487.88144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191932.16636,191932.16636,0,0,0,415262.06186,123416.8918,123416.8918,0,0,0,0,0,0,0,0,1155.55953,1155.55953,0,0,0,0,0,0,0,0,290689.61053,,2293.65322,0,0,0
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",25653.87661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25311.96123,0,0,0,25311.96123,341.91538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.91538,,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",190854.04384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89949.94802,20134.81144,0,0,69815.13658,100904.09582,100861.59582,19327.65121,0,0,0,17044.02367,0,0,64295.18448,194.73646,42.5,0,0,0,0,0,0,42.5,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",604143.8141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176646.443,176646.443,0,0,0,427497.3711,313298.86691,27842.8795,76.06794,0,0,212.64593,221680.5015,167475.06959,40489.01733,22997.75471,13556.35735,33,0,0,0,0,21,13502.35735,0,8200.46986,92441.67698,,0,0,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",46377.19414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12777.3788,0,0,0,44896.88,33599.81534,33480.71534,0,0,0,0,0,0,0,0,33480.71534,119.1,0,0,0,0,0,0,119.1,0,0,0,,0,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",115.55803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.99703,-64.39033,0,0,2.25,32.561,32.561,0,0,0,0,0,0,0,9.92386,-6.9753,0,0,0,0,0,0,0,0,-37.87397,0,0,,0,0,0,0
