"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0141,"Страховое Акционерное Общество ""Медэкспресс""",76327387.57248001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,74756717.93556,2741174,0,0,0,2704024,0,37150,72015543.93556,5089386.24905,65932859.08651,993298.6,1570669.63692,1497319.63692,220834.417,220834.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986966.8305,0,0,986966.8305,289518.38942,0,0,289518.38942,73350,41500,41500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31850,0,0,0,0,31850,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",15401428807.869629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,9067402308.78789,9067402308.78789,1962433088.406,0,0,0,0,7104969220.38189,0,0,0,0,6334026499.08174,5535087267.86266,488741058.19314,488741058.19314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5046346209.66952,418333614.51648,0,4628012595.15304,73657087.5555,24306260,24306260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49350827.5555,0,0,0,0,49350827.5555,0,,0,0,0,0,0,,0,0,0,725282143.66358,35479830.67522,0,689802312.98836,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",93552981.60222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,74646495.03174,2220252.54514,0,0,0,950260,0,1269992.54514,72426242.4866,19213621.9016,4777021.025,48435599.56,18906486.57048,17170021.99249,817379.37139,633189.11602,184190.25537,0,0,0,0,0,226416.99067,0,0,0,0,0,0,0,0,0,0,0,12716278.44372,0,166184.09791,12550094.34581,3409947.18671,455388.6,72088.513,2882470.07371,1704594.57799,104000,0,0,104000,0,286,0,0,0,0,0,0,0,101284.64973,0,101284.64973,1394523.92826,904793.22712,0,7800,5000,476930.70114,104500,,0,0,0,0,0,,104500,0,0,31870,0,0,31870,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",173163814.05477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173163814.05477,132676937.30565,0,0,0,0,0,0,0,0,101755242.24862,0,0,0,0,0,0,0,0,0,0,0,30921695.05703,0,47957.10596,30873737.95107,0,0,0,0,16932656.7,0,0,0,0,0,0,0,0,0,0,0,0,0,6713405.63333,6713405.63333,0,10219251.06667,0,0,0,0,10219251.06667,0,,0,0,0,0,0,,0,0,21713269.98212,1840950.067,0,0,1840950.067,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",70273075875.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,26433792283.72,26346036756.3,899888.2,0,280000,6380403.8,0,26338476464.3,87755527.42,80996667.42,6400,6752460,36769705427.47,1438160372.93,18082945.53,18082945.53,0,60128.8,0,0,0,0,1151996289.25,4998,0,0,0,0,0,4998,0,0,4998,0,112541088.69,0,10466675.94158,102074412.74842,155474922.66,31693691.019,1304403.621,122476828.02,8775953202.35,207500,207500,0,0,0,0,0,0,0,231869.17,231869.17,0,0,9942058.59,5061499.7,4880558.89,8765111349.09,7983989.355,0,142999.999,3000,8756981359.736,460425.5,,0,0,219999.999,0,0,,0,240425.501,73605.3,26555518246.89,211418549.172,0,26344099697.718,,,,,,,,,0,7992500,5852500,80000,300000,1760000,7061585664,0,0,0,0,0,0,1094266880,27623424,27623424,0,5939695360,920870656,2725064704,137216000,2156544000,0,0,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",2374161.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1952390.852,2000,0,0,0,0,0,2000,1950390.852,0,0,1950390.852,421770.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127880,,0,0,0,0,0,,0,127880,0,293890.512,293890.512,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",328556360.45373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,225116612.20681,185108084.30823,65236533.9865,0,0,0,0,119871550.32173,40008527.89858,0,8448070.89858,31560457,103439748.24692,93506665.1004,20184323.97445,20184323.97445,0,0,0,0,0,0,29613233.23162,0,0,0,0,0,0,0,0,0,0,0,39632272.37765,149720.54955,11375667.60034,28106884.22776,4076835.51668,1200449.56745,121026.673,2755359.27623,9205926.09312,18800,18800,0,0,0,669,1429721.9,0,1429721.9,0,0,0,0,44800,0,44800,7633935.19312,3373043.24951,0,360200,0,3900691.94361,78000,,0,0,0,0,0,,78000,0,0,727157.0534,699602.1124,0,27554.941,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",489708634.82447004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,155702535.63388,155610105.63388,0,0,0,0,0,155610105.63388,92430,0,0,92430,334006099.19059,230913554.53934,0,0,0,0,1032417,11206504.35208,11206504.35208,0,10690546.8795,0,0,0,0,0,0,0,0,0,0,0,108516246.9227,0,0,108516246.9227,99467839.38506,0,0,99467839.38506,88274024.04898,0,0,0,0,0,1220016.252,82338181.42463,82338181.42463,0,0,0,0,0,1245062.90715,0,1245062.90715,3470763.4652,0,0,0,0,3470763.4652,0,,0,0,0,0,0,,0,0,0,14818520.60227,0,14818520.60227,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",80733.84700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,72763.728,72763.728,,0,0,0,72763.728,0,0,0,0,0,0,7970.119,0,0,0,0,0,0,0,7970.119,0,0,7970.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",38801520.24954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,8823391.62685,2006764.45,0,0,0,0,0,2006764.45,6816627.17685,0,0,6816627.17685,23555628.62269,22766325.62269,2055364.5987,2055364.5987,0,0,0,0,0,0,6934516.45927,0,0,0,0,0,0,0,0,0,0,0,13498293.96472,0,0,13498293.96472,278150.6,253819.9,24309.7,21,769303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769303,0,0,0,0,769303,0,,0,0,0,0,0,,0,0,0,20000,0,0,20000,,,,,,,,,0,6422500,5837500,270000,80000,235000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",37513973.70211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,15159208.66608,5490419.08757,77558.607,0,0,0,0,5412860.48057,9668789.57851,0,546453.58904,9122335.98947,22354765.03603,22273510.03603,4738395.15979,4738395.15979,0,0,0,7406,0,7406,1964019.08999,11067,0,0,0,0,0,11067,0,0,11067,0,4994064.56031,0,0,4994064.56031,10558558.22594,3338716.65757,3960817.9837,3259023.58467,74355,9800,9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64555,0,0,0,0,64555,0,,0,0,0,0,0,,0,0,0,6900,0,0,6900,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",1260766039546.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,5887823847.402,3128661234.954,2155579730.157,3677914,0,105826095.183,0,863577495.614,2759162612.448,0,1544925844.396,1214236768.052,11807011824.15,8826812823.449,640948961.082,640948961.082,0,83516847.634,71852090.377,150164538.374,150164538.374,0,3493899410.79,11770291.715,9862181.357,7862780.074,0,1999401.283,0,1908110.358,1439285.051,0,468825.307,0,3217197968.191,378908502.683,969718781.277,1868570684.231,1157462715.286,1090426725.665,64400233.837,2635755.784,2507252181.049,21065298.168,21065298.168,0,0,0,86827817.792,2141805214.2,2141805214.2,0,27486899.51,203400,18560,27264939.51,13139476.512,13139476.512,0,216663413.121,40389810.04,0,7083754.694,902940.055,168286908.332,264061.746,,0,0,0,0,0,,55000,209061.746,59676590.492,413270229.16,0,0,413270229.16,,,,,,,,,0,541420000,411957500,21842500,14960000,92660000,1242529783875,70730921250,0,70730921250,241420500,70757550,170662950,441415575,4402497825,4394106225,8391600,1020724162875,35295079725,78395629275,71818878825,835214575050,71942000850,74047365000,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",526382571302.51904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,97489811.88285,48884636.32485,0,0,0,0,0,48884636.32485,48605175.558,6404078.062,0,42201097.496,259582926.63619,254871306.18993,44935736.09063,44935736.09063,0,1536219.6872,0,7963.36,0,7963.36,131785832.5752,0,0,0,0,0,0,0,0,0,0,0,44432065.38364,0,0,44432065.38364,32173489.09326,21815450.6329,0,10358038.46036,2242983.52671,618400,618400,0,0,0,0,0,0,0,0,0,0,0,3850,0,3850,1400683.52671,0,0,0,0,1400683.52671,220050,,0,0,0,0,0,,220050,0,0,2468636.91955,0,0,2468636.91955,,,,,,,,,0,25282500,25282500,0,0,0,526000216064,0,0,0,0,0,0,0,0,0,0,526000216064,0,0,526000216064,0,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",112055.59871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,8600,8600,0,0,0,8600,0,0,0,0,0,0,103455.59871,103455.59871,91330,91330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12125.59871,0,0,12125.59871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",34087965784.292778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,134783336.7338,120941574.7418,0,0,0,0,0,120941574.7418,13841761.992,0,12652961.992,1188800,2857272011.55898,2593684322.00303,18340938.03168,18340938.03168,0,504066.22,167439,1111802.70414,0,1111802.70414,2096258728.92662,0,0,0,0,0,0,0,0,0,0,0,315122248.43167,151790707.5182,22238324.3031,141093216.61037,162179098.68892,9765134.434,2349793.51825,150064170.73667,145091099.14202,4010305.348,4010305.348,0,0,0,91099.4,3375659.74,0,3375659.74,1021730.5211,1021730.5211,0,0,1924550,643650,1280900,134561254.13292,2306371.85349,0,125600,6100,132123182.27943,106500,,0,0,0,0,0,,56500,50000,245308.09424,118251282.31969,108775741.1172,0,9475541.20249,,,,,,,,,0,18622500,9702500,500000,240000,8180000,31077287936,0,0,0,11063296,0,11063296,32522240,915494912,808712192,106782720,30118207488,1001230336,10811359232,3720849408,14584768512,0,0,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",5056252500665.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7792834476.09923,612402175.41819,12085923.77395,4174907.4135,4916000,76200,0,591149144.23074,7180432300.68104,4335076680.00431,771794767.05628,2073560853.62045,54462544664.2634,14506903892.9037,1238051360.40069,1238051360.40069,0,99704560.30227,42193150.51555,1213567653.34054,1178627130.82024,34940522.5203,4702363335.06481,17502086.98006,15644594.55289,11988366.67389,0,3656227.879,0,1857492.42717,0,0,1857492.42717,0,5776545754.82118,0,373290627.62768,5403255127.1935,1416975991.47863,775435889.22643,80815134.8311,560724967.4211,39327096877.5962,138546540.1108,138546540.1108,0,0,0,404118732.196,38223408698.6597,38001467515.8705,221941182.7892,31160628.58294,4167089.478,14000,26979539.10494,127836522.51012,15086000,112750522.51012,401700220.04184,68283491.17794,11644650,17044225.4,578525.14,304149328.3239,325535.49484,,0,0,0,0,0,,205500,120035.49484,8273592.35514,620270301.40836,4480243.52817,0,615790057.88019,,,,,,,,,0,660225000,467900000,34625000,13360000,144340000,4993336896525,30410295750,1329615000,29080680750,46718775,4981500,41737275,369112950,9388254375,9275947875,112306500,3817437890850,148542137550,478490797800,96979175775,3093425779725,801418365900,334266257925,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",790307781.0053699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,499491781.04133,19261965.81907,802000,0,0,0,0,18459965.81907,480229815.22226,0,0,480229815.22226,290815999.96404,215572045.15702,129469046.7046,129469046.7046,0,0,4304165.79639,12816,0,12816,23408060.77772,0,0,0,0,0,0,0,0,0,0,0,41076844.94181,0,291503.37867,40785341.56314,17301110.9365,0,0,17301110.9365,70145259.47787,205900,205900,0,0,0,58303884.19532,0,0,0,0,0,0,0,11184925.28255,0,11184925.28255,0,0,0,0,0,0,450550,,0,0,0,0,0,,313150,137400,0,5098695.32915,4955.967,47691.45,5046047.91215,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
