"Сведения о страховых премиях по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",50328.219569999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.72824,824.72824,,,0,45144.31521,43628.45424,2386.64714,35.34247,95.27255,0,29469.00104,0,0,10488.22915,1153.96189,1338.57529,35.09084,35.09084,,0,0,0,334.60744,310.37041,496.0066,162.5,5.22898,172.0567,,2571.92563,1020.2224,767.02809
0928,"Страховое публичное акционерное общество ""Ингосстрах""",4704433.83519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33859.07855,12353.8427,,,21505.23585,1955748.31192,1643792.96714,38195.0192,0,310037.70134,72778.52484,123026.99774,15796.72825,187.93359,1083957.99577,0,264808.34435,1750.85177,1750.85177,,0,203913.8944,1497.31029,10216.74166,8715.98924,38713.55699,0,16993.90315,30153.09728,,2412922.28732,185445.76582,116458.39158
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",35795.25753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.73715,527.73715,,,0,35267.52038,13734.06067,0,0,13727.86197,0,0,0,0,6.1987,0,21533.45971,0,0,,0,21533.45971,0,0,0,0,0,0,0,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",3868515.5952200005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6075.99691,6075.99691,,,0,2298422.68494,1934639.17673,1372.29983,47.20198,49238.27293,243825.85487,228824.62524,-3128.40174,0,1414459.32362,0,194006.01385,0,0,,0,2840.38476,7597.55155,16466.99045,1543.75,161727.79863,3829.53846,168394.94681,1382.54755,,1289393.64967,174612.49974,100010.76396
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",3728736.2921299995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.47517,1433.47517,,,0,111537.81596,94473.36118,1552.30301,816.4019,0,1369.99076,3848.1866,27.63334,0,80313.84654,6544.99903,14299.34711,57.48533,57.48533,,0,0,0,10216.74165,108.49225,3916.62788,0,2765.10767,0,,3220056.85401,235737.75073,159970.39626
1216,"Акционерное общество Страховая компания ""Чулпан""",74191.54156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,183.69316,183.69316,112.7137,0,0,70.97946,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,46931.16679,17005.74305,10070.93856
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1088344.20915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,8894.34172,8894.34172,0,0,0,0,0,0,0,8894.34172,0,0,0,0,,0,0,0,0,0,0,0,0,0,,912422.23769,105595.02043,61432.60931
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1792494.85198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307.12518,3307.12518,,,0,1134845.30079,1037539.50161,1954.1283,3446.57376,318999.11819,27079.49617,86048.24733,13146.88855,2991.80442,586098.33875,766.71056,28560.50051,42.6,0,,0,14371.97965,1358.28502,50,3736.17957,8948.97645,52.47982,55700.02859,13045.27008,,576489.56071,49144.57044,28708.29486
1427,"Акционерное общество ""Московская акционерная страховая компания""",486833.89068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17662.90098,17662.90098,,,0,94574.1722,91726.05918,21.11608,0,23381.57868,3349.34136,26420.2057,0,0,38487.31736,66.5,2228.11302,0,0,,0,156.91865,38.37303,1593.81049,0,431.81085,7.2,0,620,,314708.11572,37444.08266,22444.61912
1587,"Акционерное общество ""Страховое общество ""Талисман""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",168966.63145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.51393,251.51393,,,0,36019.51668,22756.5623,179.0915,0,0,0,8763.93777,0,0,13341.60097,471.93206,6348.83145,58.55867,58.55867,,0,0,0,1873.06991,0,4417.20287,0,355.78438,6558.33855,,90360.96209,27183.64948,15150.98927
1820,"Акционерное общество ""ГУТА-Страхование""",72197.96834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,72197.96834,72187.81983,0,0,0,0,0,52346.76151,52346.76151,19841.05832,0,10.14851,0,0,,0,0,0,0,0,10.14851,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",566829.4517900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057.83866,1057.83866,,,0,161254.4745,144476.74178,13763.03623,183.59627,1425.07143,3153.60801,55940.64005,1924.50048,20.26755,65539.13903,2547.15028,10486.45364,48,48,,0,0,126.95713,1400.86351,273.32,8637.313,0,5597.42247,693.85661,,371202.29238,23985.77593,9329.07032
1858,"Акционерное общество Страховая компания ""Армеец""",46382.57686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,46382.57686,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",3368.48586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,3368.48586,0,0
2239,"Акционерное общество ""АльфаСтрахование""",5368973.548950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.96088,1513.96088,,,0,982323.94663,765790.39368,0,0,94836.82738,88529.80564,17272.8786,0,0,565150.88206,0,133777.94861,0,0,,0,15952.17748,10498.78629,8600.21885,0,98463.75036,263.01563,82755.60434,0,,4385795.2309,-633.29445,-26.29501
2346,"Акционерное общество ""Объединенная страховая компания""",114854.18101999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395.76246,3395.76246,,,0,36146.88477,34864.51193,22525.6716,47.12329,537.14947,426.50295,4554.85917,0,0,5236.48109,1536.72436,1282.37284,707.58235,0,,0,31.96711,61.87228,0,0,480.9511,0,0,0,,75311.53379,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",84181.14319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.98749,17.98749,,,0,29830.2722,12604.83,2878.99856,0,2154.28843,179.82588,117.1202,0,0,7232.56898,42.02795,15663.88472,0,0,,0,0,255.4433,0,1137.63735,14270.80407,0,0,1561.55748,,35582.37168,11852.47243,6898.03939
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",64895.204020000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.67629,860.67629,,,0,38031.37489,29955.71394,8973.10861,0,9.22666,666.27249,7827.22153,0,0,10815.88336,1664.00129,7935.70135,0,0,,0,0,160.42511,0,0,7775.27624,0,0,139.9596,,4389.62918,13369.01417,8244.50949
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",30710.87653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,30710.87653,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",285989.68762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74140.86857,73991.54337,,,149.3252,183580.21425,144527.63982,158.69725,0.50766,2444.85897,163.13559,16889.98124,104.66321,145.81681,124547.71832,218.07758,10170.39799,0,0,,0,22.33541,0,380,283.41844,9484.64414,0,5907.758,22974.41844,,0,19201.78349,9066.82131
3064,"Акционерное общество ""Боровицкое страховое общество""",1410.79518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1410.79518,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",1091749.68311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.30307,291.30307,,,0,163238.20638,120433.12183,1312.80556,2.00372,23307.92499,12909.09267,10991.10404,0,0,62240.64736,9669.54349,31214.69363,0,0,,0,628.4273,1465.03508,4125.27482,457.79664,24538.15979,0,11511.33739,79.05353,,869490.79877,36693.44187,22035.93302
3229,"Акционерное общество ""Страховая бизнес группа""",7950.776779999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,5.75,,,0,4321.57057,4216.3161,758.65034,13.5,0,0,3371.18379,0,0,63.4,9.58197,105.25447,0,0,,0,0,0,0,0,105.25447,0,0,0,,423.57324,2381.52386,818.35911
3300,"Акционерное общество Страховая группа ""Спасские ворота""",2901.0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,5.4,,,0,591.65261,362.22274,151.0274,0,0,49.0875,18.5,0,0,134.38874,9.2191,229.42987,0,0,,0,0,0,0,0,229.42987,0,0,0,,2303.98389,0,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",290708.25758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,213442.48702,90151.9384,0,0,-2103.72071,0,0,0,0,92255.65911,0,17227.34549,0,0,,0,-8338.02442,0,69.76757,0,25495.60234,0,0,106063.20313,,0,54551.85608,22713.91448
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",33555.99534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,10179.9639,10179.9639,0,0,0,0,6090.39806,0,0,4089.56584,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,23376.03144,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,1049751.97385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,1036457.81535,916834.53893,0,0,0,65743.11293,328384.10448,0,0,522707.32152,0,109034.42429,0,0,,0,0,907.47429,0,12585.54903,95541.40097,0,1772.43345,8816.41868,,0,13294.1585,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",55913.59998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.46468,354.46468,,,0,1702.34556,706.40372,0,0,0,25.33875,489.78818,0,0,150.07679,41.2,975.69184,0,0,,0,0,72,0,4.98,898.71184,0,0,20.25,,53856.78974,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",2405.41008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2405.41008,898.37558,0,0,0,0,0,0,0,898.37558,0,1507.0345,0,0,,0,0,0,0,0,1507.0345,0,0,0,,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",-3505.20998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53236,-0.53236,,,0,-3504.67762,3760.6009,6709.73641,0,-7722.7897,0,8.7145,20.69255,0,4744.24714,0,-7265.27852,0,0,,0,-7364.60415,0,0,0,-23.6617,122.98733,0,0,,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",4107.12852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,4107.12852,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4107.12852,0,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",1959371.2931000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.09261,42.09261,,,0,1463464.12798,1053509.41567,0,28.49467,78816.30708,55177.09187,242013.87164,441.51622,441.51622,677027.49075,4.64344,287901.72089,0,0,,0,120433.13141,0,9451.99098,20982.281,134622.95674,2411.36076,47524.52161,74528.46981,,319836.46209,110699.93731,65328.67311
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",49342541.193450004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921440.26197,760536.52954,,,160903.73243,48411558.72601,37968385.77793,1636453.74578,65119.46459,2050904.50148,2872580.03757,2071987.82729,1736283.9342,1491348.92345,27371193.86281,163862.40421,5179232.42795,0,0,,349.3,1570394.10026,1366845.06581,0,1010531.42042,1192148.90476,38963.6367,137942.72243,5125997.7977,,9542.20547,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",649017.21974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,649017.21974,530193.39109,5784.16446,8172.51502,0,15052.14176,52261.13488,0,0,420105.44042,28817.99455,57090.21698,0,0,,0,0,3978.1854,0,0,31216.54934,21895.48224,46031.37,15702.24167,,0,0,0
4404,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СТРАХОВАЯ КОМПАНИЯ «ХАТХОР»,2327.55213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2327.55213,0,0
"*В соответствии с Решением Совета директоров Банка России от 26.12.2023 Банк России до 31.12.2024 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с пунктом 5 статьи 28 Закона № 4015-1, в части информации раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
