"Сведения о доле перестраховщиков в выплатах по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
3300,"Акционерное общество Страховая группа ""Спасские ворота""",28274.73272,0,0,9943.07927,9943.07927,0,0,0,17800.56466,17473.07596,5451.56214,0,0,0,8145.7484,0,0,3875.76542,0,327.4887,0,0,0,0,0,0,0,0,327.4887,0,0,0,,450.33915,79.75367999999999,0.99596,0
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",24452.640320000002,0,0,0,0,0,0,0,23470.00891,102.82785,0,0,0,0,0,0,0,102.82785,0,23367.18106,0,0,0,0,0,0,0,23367.18106,0,0,0,0,,0,683.41125,299.22016,0
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",1057.4552899999999,962.95529,0,94.5,94.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",270.43844,0,0,270.43844,0,0,0,270.43844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",9178.81337,6950.828869999999,0,2227.9845,2227.9845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",316474.5254,316474.5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3748,"Акционерное общество ""Русский Стандарт Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",371524.78891,31845.680510000002,0,339679.1084,295873.63777000003,0,0,43805.47063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",647.5835500000001,0,0,647.5835500000001,647.5835500000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3828,"Общество с ограниченной ответственностью Страховая компания ""Альянс Жизнь""",391990.52222999994,18550.91127,0,373439.61095999996,14742.700599999998,0,0,358696.91036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",11832.57848,0,0,0,0,0,0,0,9869.93848,9869.93848,915.5221799999999,0,0,0,8314.201669999999,0,0,0,640.21463,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1962.6399999999999,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",5908.53999,5908.53999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",9998.98384,0,0,7299.4592,7299.4592,0,0,0,2699.52464,2699.52464,1798.85204,0,0,0,0,0,0,535.07353,365.59907000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",132.16633,132.16633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",15704.03471,5331.17172,0,10372.86299,9376.78817,0,0,996.07482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3941,"Общество с ограниченной ответственностью ""СМП-Страхование""",20238.016540000004,0,0,4717.223760000001,4717.223760000001,0,0,0,15520.792780000002,15520.792780000002,15519.52946,0,0,0,0,0,0,1.26332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3947,"Акционерное общество ""АИГ страховая компания""",233766.88148,0,0,0,0,0,0,0,233727.19950000002,130566.95201,0,0,0,0,41327.88677,0,0,89239.06524,0,7911.19448,0,0,0,0,0,0,0,0,7911.19448,0,0,95249.05301,,0,39.681979999999996,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",280446.42863,0,0,216630.7632,0,0,0,216630.7632,59591.80156,52961.80156,5300,0,0,0,24848.645,10782.82716,10782.82716,0,12030.329399999999,6630,0,0,0,0,0,0,0,6630,0,0,0,0,,4223.86387,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",7217.97363,0,0,343.68266,343.68266,0,0,0,6874.29097,4667.59074,0,0,0,0,4667.59074,0,0,0,0,2206.70023,0,0,0,0,0,0,0,0,2206.70023,0,0,0,,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",407147.74757999997,358375.62717999995,0,48772.1204,21607.2189,0,0,27164.9015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",516.36741,516.36741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4014,Акционерное общество «Страховая компания «Ю-Лайф»,175.23347,175.23347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4079,Общество с ограниченной ответственностью «РБ Страхование Жизни»,7814.36659,7792.63382,0,21.73277,0,0,0,21.73277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4105,Общество с ограниченной ответственностью «Совкомбанк страхование жизни»,103654.12204,91565.28533,0,12088.836710000001,0,0,0,12088.836710000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
4117,"Общество с ограниченной ответственностью ""Страховая компания ""Кредит Европа Лайф""",14215.76454,0,0,14215.76454,14215.76454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
