"Сведения о страховых премиях по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",23693.42787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,23693.42787,0,0
0621,"Страховое акционерное общество ""ВСК""",5327394.46209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.5551,1667.21973,0,,310.33537,2995973.84555,2358182.88728,8892.82891,0,285389.75662,42471.70169,70326.64908,1353.11694,0,1949082.23259,666.60145,458735.60844,153.18471,153.18471,0,32854.32493,15501.35423,17062.64365,5827.8387,2976.79655,384359.46567,0,178847.81496,207.53487,,2126636.80425,119115.37503,83690.88216
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",3160.2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3160.2654,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",1.9251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.9251,1.9251,0,0,0,0,0,0,0,1.9251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",24631.36621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.66082,743.66082,0,,0,20698.71266,20209.73144,2721.35735,0,102.7093,0,11472.22982,0,0,4648.85153,1264.58344,408.72605,9.79043,9.79043,0,0,0,0,0,224.08037,109.85525,65,0,80.25517,,675.92446,224.41029,2288.65798
0928,"Страховое публичное акционерное общество ""Ингосстрах""",5374060.584280001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36492.15272,11618.84885,-2445.66,,24873.30387,2185819.29664,1741579.6041,31030.00135,0,361471.66326,236575.38083,183050.71154,2352.65622,144.37747,927099.1909,0,403145.53754,27046.60035,27046.60035,0,0,295468.95011,2886.54989,13200.92941,14462.04325,50080.46453,0,3620.57935,37473.57565,,2804771.06375,222219.94892,124758.12225
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",275250.04879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.49896,42.49896,0,,0,7772.41291,5861.65048,1635.625,0,0,0,983.70947,0,0,3205.9424,36.37361,1903.24122,0,0,0,0,0,0,687.66658,30,1107.10274,78.4719,7.52121,0,,244608.43923,12832.55868,9994.13901
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",-474.78385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-166.39416,-166.39416,0,,0,-308.38969,-240.96116,0,0,-147.71443,0,3.39906,0,0,1.85712,-98.50291,36.87537,0,0,0,0,36.87537,0,0,0,0,0,0,-104.3039,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",4098840.9730699994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27758.91279,27758.91279,0,,0,2639675.1151,2278805.84756,1035.55593,0,102085.05768,472790.48878,165840.91024,1530.06665,0,1535415.66684,108.10144,138399.86379,0,0,0,0,9040.89323,14563.4433,10486.55362,0,104308.97364,0,222901.50026,-432.09651,,1342129.80463,50911.26013,38365.88042
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",3955048.11199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.39307,1457.14828,0,,185.24479,57288.27989,40790.51609,560.30365,688.57074,0,1513.47402,3646.38639,1101.75475,0,26250.85799,7029.16855,13673.60467,61.51288,61.51288,0,0,0,0,11098.8602,114.92502,2398.30657,0,2819.17858,4.98055,,3741466.46771,114837.27369,39813.69763
1216,"Акционерное общество Страховая компания ""Чулпан""",50667.40554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,276.10771,273.01671,164.92537,0,0,108.09134,0,0,0,0,0,3.091,0,0,0,0,0,3.091,0,0,0,0,0,0,,44829.62746,3249.46878,2312.20159
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",1324692.02838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,138229.8012,89987.17343,0,0,0,0,0,0,0,89987.17343,0,2494.41825,0,0,0,0,0,0,0,0,2494.41825,0,0,45748.20952,,1049106.34497,79459.75867,57896.12354
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",2048130.1076700003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020.91515,3020.91515,0,,0,1366102.41896,1134369.56552,1566.58964,1168.86357,242453.8442,15821.66334,34457.61621,19839.98851,19323.24689,818293.84087,767.15918,34240.37962,0,0,0,0,14463.25485,217.8605,2741.96188,8212.33497,8282.90388,322.06354,174287.65309,23204.82073,,647219.44085,3541.95745,28245.37526
1427,"Акционерное общество ""Московская акционерная страховая компания""",912203.3471700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17536.97996,17536.97996,0,,0,225357.7097,223626.55272,104,39.88308,7722.36109,424.04409,24348.13559,0,0,190954.12111,34.00776,1731.15698,0,0,0,0,0,77.02596,1145.59509,118.0761,304.45983,86,0,0,,617439.2388,29861.33464,22008.08407
1587,"Акционерное общество ""Страховое общество ""Талисман""",1914.80268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1914.80268,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",80649.07502999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.63833,193.63833,0,,0,14867.90009,12653.31715,203.85,0,0,0,3998.64777,0,0,7299.13165,1151.68773,2199.13244,3.125,3.125,0,0,0,0,3.28567,69.01987,2008.5849,115.117,1.52292,13.92758,,58285.75618,4168.91316,3132.86727
1820,"Акционерное общество ""ГУТА-Страхование""",16562.96361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,16562.96361,16562.96361,0,0,0,0,0,0,0,16562.96361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",572038.3869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.81091,800.81091,0,,0,146363.07116,131505.98794,16816.44889,70.01289,719.6367,0,19266.66836,1947.71115,0,90276.54895,2408.961,6311.98988,9.9,9.9,0,0,0,102.4231,2549.7174,264.27535,3385.67403,0,7830.41912,714.67422,,416259.13509,5149.05253,3466.31721
1858,"Акционерное общество Страховая компания ""Армеец""",90238.31627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90238.31627,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",2782.11119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2782.11119,0,0
2239,"Акционерное общество ""АльфаСтрахование""",4254069.42646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157.28875,2157.28875,0,,0,1122538.09199,917440.61821,0.56514,0,97450.26364,127475.33869,2539.23869,0,0,689975.21205,0,145541.48564,0,0,0,0,14602.3226,5606.53023,8858.90648,0,115704.60905,769.11728,59555.98814,0,,2969353.12505,62726.69289,97294.22778
2346,"Акционерное общество ""Объединенная страховая компания""",128428.93418000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589.09775,2589.09775,0,,0,33753.18575,32700.73911,20402.75297,15.95323,683.28892,658.95941,3433.00485,0,0,6169.10598,1337.67375,1052.44664,305.74313,0,0,0,42.31044,148.59523,0,60.32787,495.46997,0,0,0,,92086.65068,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",59876.961590000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.67075,26.67075,0,,0,26541.31085,19840.97961,6921.38033,13.6875,0,3171.73996,491.40122,0,0,9199.37681,43.39379,6700.33124,0,0,0,0,0,0,0,65,6635.33124,0,0,0,,10668.72949,15526.24948,7114.00102
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",23596.485000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14743.37122,14743.37122,0,,0,4769.03953,4656.01208,443.84683,0,0,27.28103,2424.03761,0,0,1528.82457,232.02204,110.46942,0,0,0,0,0,0,0,0,110.46942,0,0,2.55803,,4084.07425,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",6612.50604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6612.50604,0,0
2708,Акционерное общество «Баланс Страхование»,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",11068.4489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5922.3647,25.72291,0,,5896.64179,-10320.61767,-14234.23704,52.48788,6.8961,2708.23866,0,6923.59973,7860.20004,0,-33048.92059,1263.26114,3778.67167,0,0,0,0,0,0,0,1.51952,3777.15215,0,115.3931,19.5546,,7789.80052,7676.90135,0
3064,"Акционерное общество ""Боровицкое страховое общество""",1268.9189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1268.9189,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",1139020.1661599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.62483,536.62483,0,,0,59939.04587,47455.68495,3899.48395,0,8135.28943,1594.60746,4134.41607,0,0,28989.40628,702.48176,9976.9602,0,0,0,4.82727,223.76711,575.04461,2061.66879,180.68697,6930.96545,0,2484.72005,21.68067,,1030439.06916,28807.06048,19298.36582
3229,"Акционерное общество ""Страховая бизнес группа""",9510.53723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,4586.16058,4532.33089,382.51819,0,0,0,3967.55769,0,0,182.25501,0,53.82969,0,0,0,0,0,0,0,0,53.82969,0,0,0,,473.80851,2969.61699,1480.95115
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",11973.24434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,893.49145,479.19168,0,0,0,0,305.63404,0,0,158.33854,15.2191,414.29977,0,0,0,0,0,45,0,0,369.29977,0,0,0,,9704.29948,1000.16801,375.2854
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",115889.02656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,68756.29382,47430.39837,0,0,0,2.92736,0,0,0,47427.47101,0,5353.51162,0,0,0,0,0,0,69.76757,0,5283.74405,0,0,15972.38383,,0,29764.2408,17368.49194
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",16336.19165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,11743.01512,11743.01512,0,0,0,0,10208.97332,0,0,1534.0418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4593.17653,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,6801.67363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,603.0325,-94.11815,0,0,0,0,0.08703,0,0,-94.20518,0,2270.21006,0,0,0,0,0,0,0,798.64501,1471.56505,0,0,-1573.05941,,0,6198.64113,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",23506.529730000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.91192,131.91192,0,,0,144.14794,96.96388,0,0,0,0,6.75,0,0,53.77721,36.43667,47.18406,0,0,0,0,0,20.01,0,0,27.17406,0,0,0,,23230.46987,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",257058.36509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12346.48202,5017.21668,0,,7329.26534,244711.88307,224731.1504,129631.14673,0,0,0,32729.25901,-45.12207,0,62415.86673,0,18828.89775,898.72729,900.78316,0,0,0,0,0,0,14182.94954,3747.22092,0,1151.83492,,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",766.16566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,766.16566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.16566,,0,0,0
4331,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование""",1511815.10999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.29925,303.29925,0,,0,1008878.72617,725289.67326,0,545.66811,61503.4726,37796.65362,164060.91371,0,-77.40716,461378.32178,4.64344,161720.43198,0,0,0,0,1815.87788,0,2664.64507,-36228.38936,193376.55387,91.74452,34187.44706,87681.17387,,389841.50904,50821.03742,61970.53811
4351,"Акционерное общество ""Российская Национальная Перестраховочная Компания""",44008823.93117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398572.62319,1183882.28926,0,,214690.33393,42277754.74778,34644622.08262,1346795.60848,48203.53445,2209565.9714,3392326.78904,1370145.09986,1915765.90057,1445530.21446,24257198.51703,104620.66179,4769449.57299,18040.37652,0,0,0,1396379.81821,1085620.52335,0,888894.94054,1349301.43505,31212.47932,151321.53936,2712361.55281,,332496.5602,0,0
4375,"Общество с ограниченной ответственностью ""ДжиАйСи Перестрахование""",248428.3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,248428.3884,197285.69823,1865.754,3750.07805,0,9765.81681,14834.70354,0,0,155153.7114,11915.63443,18819.19879,0,0,0,0,0,1709.47085,0,0,13985.38394,3124.344,25853.5059,6469.98548,,0,0,0
"*В соответствии с Решением Совета директоров Банка России от 23.12.2022 Банк России до 31.12.2023 включительно не раскрывает на своем официальном сайте в информационно-телекоммуникационной сети «Интернет» информацию, содержащуюся в отчетности субъектов страхового дела, подлежащую размещению в соответствии с п. 5 ст. 28 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации», в части информации, раскрытие которой может привести к введению мер ограничительного характера со стороны иностранных государств, и (или) государственных объединений, и (или) союзов, и (или) государственных (межгосударственных) учреждений иностранных государств или государственных объединений и (или) союзов в отношении субъектов страхового дела. Таким образом, публикуемые в настоящее время Банком России статистические данные в силу нового подхода к раскрытию информации могут быть несопоставимы со сведениями за предыдущие периоды.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
